scenario,mode,controller,metric,mean,std
dp,C,pid,radial_rms,16.5306,0.0000
dp,C,pid,radial_max,18.5631,0.0000
dp,C,pid,dc_ex,16.3606,0.0000
dp,C,pid,dc_ey,-1.4457,0.0000
dp,C,pid,std_x,1.8520,0.0000
dp,C,pid,std_y,0.2676,0.0000
dp,C,pid,depth_std,0.1977,0.0000
dp,C,pid,pitch_mean,10.5444,0.0000
dp,C,pid,pitch_max,12.2439,0.0000
dp,C,pid,IAE,125.5379,0.0000
dp,C,pid,IAE_norm,16.4252,0.0000
dp,C,pid,settling_time,0.0000,0.0000
dp,C,pid,ss_error,16.4252,0.0000
dp,C,pid,control_effort,15.3635,0.0000
dp,C,pid,slew,3.2333,0.0000
dp,C,pid,sat_freq,0.0000,0.0000
dp,C,pid,band_dc,0.0000,0.0000
dp,C,pid,band_wave,1.5013,0.0000
dp,C,pid,band_high,0.7080,0.0000
dp,C,pid,est_err_rms,0.0000,0.0000
dp,C,pid,w_x,0.0000,0.0000
dp,C,pid,w_y,0.0000,0.0000
dp,C,pid,n_fail,0.0000,0.0000
dp,C,mpc,radial_rms,2.9480,0.0000
dp,C,mpc,radial_max,11.1803,0.0000
dp,C,mpc,dc_ex,2.9455,0.0000
dp,C,mpc,dc_ey,0.0008,0.0000
dp,C,mpc,std_x,0.1216,0.0000
dp,C,mpc,std_y,0.0050,0.0000
dp,C,mpc,depth_std,0.1176,0.0000
dp,C,mpc,pitch_mean,7.0513,0.0000
dp,C,mpc,pitch_max,15.0471,0.0000
dp,C,mpc,IAE,31.0497,0.0000
dp,C,mpc,IAE_norm,2.9455,0.0000
dp,C,mpc,settling_time,1.1060,0.0000
dp,C,mpc,ss_error,2.9455,0.0000
dp,C,mpc,control_effort,20.4875,0.0000
dp,C,mpc,slew,14.6362,0.0000
dp,C,mpc,sat_freq,0.0000,0.0000
dp,C,mpc,band_dc,0.0000,0.0000
dp,C,mpc,band_wave,0.1173,0.0000
dp,C,mpc,band_high,0.0175,0.0000
dp,C,mpc,est_err_rms,0.0000,0.0000
dp,C,mpc,w_x,0.0000,0.0000
dp,C,mpc,w_y,0.0000,0.0000
dp,C,mpc,n_fail,0.0000,0.0000
dp,C,dobmpc,radial_rms,0.3941,0.0000
dp,C,dobmpc,radial_max,11.1803,0.0000
dp,C,dobmpc,dc_ex,-0.3259,0.0000
dp,C,dobmpc,dc_ey,0.0010,0.0000
dp,C,dobmpc,std_x,0.2214,0.0000
dp,C,dobmpc,std_y,0.0047,0.0000
dp,C,dobmpc,depth_std,0.0669,0.0000
dp,C,dobmpc,pitch_mean,7.3464,0.0000
dp,C,dobmpc,pitch_max,16.8522,0.0000
dp,C,dobmpc,IAE,10.3490,0.0000
dp,C,dobmpc,IAE_norm,0.3368,0.0000
dp,C,dobmpc,settling_time,0.8040,0.0000
dp,C,dobmpc,ss_error,0.3368,0.0000
dp,C,dobmpc,control_effort,24.1162,0.0000
dp,C,dobmpc,slew,19.8681,0.0000
dp,C,dobmpc,sat_freq,0.0000,0.0000
dp,C,dobmpc,band_dc,0.0000,0.0000
dp,C,dobmpc,band_wave,0.2166,0.0000
dp,C,dobmpc,band_high,0.0122,0.0000
dp,C,dobmpc,est_err_rms,0.0092,0.0000
dp,C,dobmpc,w_x,1.5419,0.0000
dp,C,dobmpc,w_y,-0.0000,0.0000
dp,C,dobmpc,n_fail,0.0000,0.0000
dp,C,mpc/dobmpc,DRR,7.4807,0
dp,CD,pid,radial_rms,15.9897,0.0000
dp,CD,pid,radial_max,18.2780,0.0000
dp,CD,pid,dc_ex,15.7930,0.0000
dp,CD,pid,dc_ey,-1.4454,0.0000
dp,CD,pid,std_x,2.0226,0.0000
dp,CD,pid,std_y,0.2676,0.0000
dp,CD,pid,depth_std,0.2029,0.0000
dp,CD,pid,pitch_mean,10.0420,0.0000
dp,CD,pid,pitch_max,11.4420,0.0000
dp,CD,pid,IAE,122.9222,0.0000
dp,CD,pid,IAE_norm,15.8600,0.0000
dp,CD,pid,settling_time,0.0000,0.0000
dp,CD,pid,ss_error,15.8600,0.0000
dp,CD,pid,control_effort,14.8696,0.0000
dp,CD,pid,slew,3.2051,0.0000
dp,CD,pid,sat_freq,0.0000,0.0000
dp,CD,pid,band_dc,0.0000,0.0000
dp,CD,pid,band_wave,1.6432,0.0000
dp,CD,pid,band_high,0.7711,0.0000
dp,CD,pid,est_err_rms,0.0000,0.0000
dp,CD,pid,w_x,0.0000,0.0000
dp,CD,pid,w_y,0.0000,0.0000
dp,CD,pid,n_fail,0.0000,0.0000
dp,CD,mpc,radial_rms,2.8299,0.0000
dp,CD,mpc,radial_max,11.1803,0.0000
dp,CD,mpc,dc_ex,2.8270,0.0000
dp,CD,mpc,dc_ey,0.0008,0.0000
dp,CD,mpc,std_x,0.1282,0.0000
dp,CD,mpc,std_y,0.0050,0.0000
dp,CD,mpc,depth_std,0.1213,0.0000
dp,CD,mpc,pitch_mean,6.5751,0.0000
dp,CD,mpc,pitch_max,14.9078,0.0000
dp,CD,mpc,IAE,30.4610,0.0000
dp,CD,mpc,IAE_norm,2.8270,0.0000
dp,CD,mpc,settling_time,1.1060,0.0000
dp,CD,mpc,ss_error,2.8270,0.0000
dp,CD,mpc,control_effort,19.9891,0.0000
dp,CD,mpc,slew,15.0058,0.0000
dp,CD,mpc,sat_freq,0.0000,0.0000
dp,CD,mpc,band_dc,0.0000,0.0000
dp,CD,mpc,band_wave,0.1260,0.0000
dp,CD,mpc,band_high,0.0123,0.0000
dp,CD,mpc,est_err_rms,0.0000,0.0000
dp,CD,mpc,w_x,0.0000,0.0000
dp,CD,mpc,w_y,0.0000,0.0000
dp,CD,mpc,n_fail,0.0000,0.0000
dp,CD,dobmpc,radial_rms,0.3868,0.0000
dp,CD,dobmpc,radial_max,11.1803,0.0000
dp,CD,dobmpc,dc_ex,-0.3208,0.0000
dp,CD,dobmpc,dc_ey,0.0010,0.0000
dp,CD,dobmpc,std_x,0.2160,0.0000
dp,CD,dobmpc,std_y,0.0047,0.0000
dp,CD,dobmpc,depth_std,0.0612,0.0000
dp,CD,dobmpc,pitch_mean,6.8645,0.0000
dp,CD,dobmpc,pitch_max,16.7384,0.0000
dp,CD,dobmpc,IAE,10.3248,0.0000
dp,CD,dobmpc,IAE_norm,0.3307,0.0000
dp,CD,dobmpc,settling_time,0.8040,0.0000
dp,CD,dobmpc,ss_error,0.3307,0.0000
dp,CD,dobmpc,control_effort,23.6565,0.0000
dp,CD,dobmpc,slew,33.2519,0.0000
dp,CD,dobmpc,sat_freq,0.0000,0.0000
dp,CD,dobmpc,band_dc,0.0000,0.0000
dp,CD,dobmpc,band_wave,0.2111,0.0000
dp,CD,dobmpc,band_high,0.0105,0.0000
dp,CD,dobmpc,est_err_rms,0.0420,0.0000
dp,CD,dobmpc,w_x,1.4794,0.0000
dp,CD,dobmpc,w_y,-0.0000,0.0000
dp,CD,dobmpc,n_fail,0.0000,0.0000
dp,CD,mpc/dobmpc,DRR,7.3169,0
