t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00000,-0.00004,-0.00001,0.00750,0.00000,0.011,-0.003,0
0.1020,0.00006,-0.00014,-0.00003,0.01500,0.00000,0.038,-0.012,0
0.1520,0.00018,-0.00030,-0.00006,0.02250,0.00000,0.078,-0.025,0
0.2020,0.00037,-0.00051,-0.00009,0.03000,0.00000,0.126,-0.044,0
0.2520,0.00060,-0.00077,-0.00014,0.03750,0.00000,0.179,-0.067,0
0.3020,0.00088,-0.00106,-0.00019,0.04500,0.00000,0.234,-0.095,0
0.3520,0.00119,-0.00138,-0.00025,0.05250,0.00000,0.290,-0.126,0
0.4020,0.00153,-0.00173,-0.00031,0.06000,0.00000,0.344,-0.161,0
0.4520,0.00190,-0.00210,-0.00037,0.06750,0.00000,0.395,-0.199,0
0.5040,0.00231,-0.00250,-0.00043,0.07530,0.00000,0.444,-0.242,0
0.5540,0.00272,-0.00289,-0.00049,0.08280,0.00000,0.486,-0.285,0
0.6040,0.00316,-0.00328,-0.00054,0.09030,0.00000,0.523,-0.330,0
0.6540,0.00362,-0.00368,-0.00059,0.09780,0.00000,0.555,-0.377,0
0.7040,0.00410,-0.00407,-0.00062,0.10530,0.00000,0.581,-0.425,0
0.7540,0.00462,-0.00444,-0.00065,0.11280,0.00000,0.601,-0.474,0
0.8040,0.00516,-0.00481,-0.00067,0.12030,0.00000,0.615,-0.523,0
0.8540,0.00574,-0.00515,-0.00067,0.12780,0.00000,0.625,-0.572,0
0.9040,0.00636,-0.00547,-0.00066,0.13530,0.00000,0.628,-0.621,0
0.9540,0.00704,-0.00577,-0.00064,0.14280,0.00000,0.627,-0.669,0
1.0060,0.00778,-0.00604,-0.00059,0.15060,0.00000,0.621,-0.719,0
1.0560,0.00856,-0.00628,-0.00053,0.15810,0.00000,0.611,-0.764,0
1.1060,0.00941,-0.00648,-0.00045,0.16560,0.00000,0.597,-0.809,0
1.1560,0.01032,-0.00664,-0.00035,0.17310,0.00000,0.579,-0.850,0
1.2060,0.01132,-0.00676,-0.00022,0.18060,0.00000,0.559,-0.890,0
1.2560,0.01239,-0.00684,-0.00008,0.18810,0.00000,0.535,-0.927,0
1.3060,0.01356,-0.00688,0.00009,0.19560,0.00000,0.509,-0.961,0
1.3560,0.01484,-0.00687,0.00027,0.20310,0.00000,0.481,-0.991,0
1.4060,0.01623,-0.00682,0.00048,0.21060,0.00000,0.451,-1.018,0
1.4560,0.01775,-0.00671,0.00072,0.21810,0.00000,0.420,-1.041,0
1.5060,0.01940,-0.00656,0.00098,0.22560,0.00000,0.387,-1.060,0
1.5560,0.02119,-0.00635,0.00125,0.23310,0.00000,0.353,-1.076,0
1.6060,0.02313,-0.00609,0.00156,0.24060,0.00000,0.319,-1.086,0
1.6560,0.02524,-0.00578,0.00188,0.24810,0.00000,0.284,-1.093,0
1.7060,0.02751,-0.00541,0.00222,0.25560,0.00000,0.249,-1.094,0
1.7560,0.02998,-0.00498,0.00258,0.26310,0.00000,0.213,-1.092,0
1.8060,0.03263,-0.00450,0.00297,0.27060,0.00000,0.178,-1.084,0
