t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00017,-0.00000,0.00000,0.00750,0.00000,-0.000,0.001,0
0.1020,0.00071,-0.00000,0.00001,0.01500,0.00000,-0.000,0.006,0
0.1520,0.00164,-0.00000,0.00002,0.02250,0.00000,-0.000,0.012,0
0.2020,0.00293,0.00000,0.00003,0.03000,0.00000,-0.000,0.021,0
0.2520,0.00456,0.00000,0.00005,0.03750,0.00000,-0.000,0.033,0
0.3020,0.00653,0.00000,0.00008,0.04500,0.00000,-0.000,0.046,0
0.3520,0.00882,0.00000,0.00010,0.05250,0.00000,-0.000,0.061,0
0.4020,0.01141,0.00000,0.00013,0.06000,0.00000,-0.000,0.078,0
0.4520,0.01430,0.00000,0.00016,0.06750,0.00000,-0.000,0.096,0
0.5040,0.01761,0.00000,0.00020,0.07530,0.00000,-0.000,0.117,0
0.5540,0.02108,0.00000,0.00024,0.08280,0.00000,-0.000,0.138,0
0.6040,0.02481,0.00000,0.00028,0.09030,0.00000,-0.000,0.161,0
0.6540,0.02879,0.00000,0.00032,0.09780,0.00000,-0.000,0.184,0
0.7040,0.03301,0.00000,0.00036,0.10530,0.00000,-0.000,0.208,0
0.7540,0.03749,0.00000,0.00041,0.11280,0.00000,-0.000,0.232,0
0.8040,0.04219,0.00000,0.00046,0.12030,0.00000,-0.000,0.257,0
0.8540,0.04712,0.00000,0.00050,0.12780,0.00000,-0.000,0.282,0
0.9040,0.05227,0.00000,0.00055,0.13530,0.00000,-0.000,0.307,0
0.9540,0.05765,0.00000,0.00060,0.14280,0.00000,-0.000,0.332,0
1.0060,0.06344,0.00000,0.00066,0.15060,0.00000,-0.000,0.358,0
1.0560,0.06922,0.00000,0.00071,0.15810,0.00000,-0.000,0.383,0
1.1060,0.07519,0.00000,0.00076,0.16560,0.00000,-0.000,0.407,0
1.1560,0.08135,0.00000,0.00081,0.17310,0.00000,-0.000,0.431,0
1.2060,0.08769,0.00000,0.00087,0.18060,0.00000,-0.000,0.453,0
1.2560,0.09419,0.00000,0.00092,0.18810,0.00000,-0.000,0.475,0
1.3060,0.10086,0.00000,0.00097,0.19560,0.00000,-0.000,0.496,0
1.3560,0.10769,0.00000,0.00102,0.20310,0.00000,-0.000,0.516,0
1.4060,0.11468,0.00000,0.00107,0.21060,0.00000,-0.000,0.534,0
1.4560,0.12182,0.00000,0.00112,0.21810,0.00000,-0.000,0.551,0
1.5060,0.12911,0.00000,0.00117,0.22560,0.00000,-0.000,0.567,0
1.5560,0.13653,0.00000,0.00122,0.23310,0.00000,-0.000,0.581,0
1.6060,0.14410,0.00000,0.00127,0.24060,0.00000,-0.000,0.594,0
1.6560,0.15178,0.00000,0.00132,0.24810,0.00000,-0.000,0.605,0
1.7060,0.15960,0.00000,0.00136,0.25560,0.00000,-0.000,0.614,0
1.7560,0.16754,0.00000,0.00141,0.26310,0.00000,-0.000,0.621,0
1.8060,0.17560,0.00000,0.00145,0.27060,0.00000,-0.000,0.626,0
1.8560,0.18376,0.00000,0.00149,0.27810,0.00000,-0.000,0.630,0
1.9060,0.19203,0.00000,0.00153,0.28560,0.00000,-0.000,0.631,0
1.9560,0.20040,0.00000,0.00157,0.29310,0.00000,-0.000,0.631,0
2.0080,0.20919,0.00000,0.00161,0.30090,0.00000,-0.000,0.629,0
2.0600,0.21809,0.00000,0.00165,0.30870,0.00000,-0.000,0.624,0
2.1120,0.22708,0.00000,0.00169,0.31650,0.00000,-0.000,0.617,0
2.1640,0.23617,0.00000,0.00172,0.32430,0.00000,-0.000,0.608,0
2.2160,0.24535,0.00000,0.00176,0.33210,0.00000,-0.000,0.597,0
2.2680,0.25463,0.00000,0.00179,0.33990,0.00000,-0.000,0.584,0
2.3200,0.26400,0.00000,0.00182,0.34770,0.00000,-0.000,0.568,0
2.3720,0.27345,0.00000,0.00185,0.35550,0.00000,-0.000,0.551,0
2.4240,0.28297,0.00000,0.00188,0.36330,0.00000,-0.000,0.532,0
2.4760,0.29256,0.00000,0.00191,0.37110,0.00000,-0.000,0.511,0
2.5280,0.30222,0.00000,0.00193,0.37890,0.00000,-0.000,0.488,0
2.5800,0.31194,0.00000,0.00196,0.38670,0.00000,-0.000,0.463,0
2.6320,0.32172,-0.00000,0.00198,0.39450,0.00000,-0.000,0.437,0
2.6840,0.33157,-0.00000,0.00200,0.40230,0.00000,-0.000,0.410,0
2.7360,0.34148,-0.00000,0.00202,0.41010,0.00000,-0.000,0.380,0
2.7880,0.35144,-0.00000,0.00204,0.41790,0.00000,-0.000,0.350,0
2.8400,0.36146,-0.00000,0.00206,0.42570,0.00000,-0.000,0.319,0
2.8920,0.37152,-0.00000,0.00208,0.43350,0.00000,-0.000,0.286,0
2.9440,0.38163,-0.00000,0.00210,0.44130,0.00000,-0.000,0.253,0
2.9960,0.39178,-0.00000,0.00211,0.44910,0.00000,-0.000,0.218,0
3.0480,0.40195,-0.00000,0.00213,0.45690,0.00000,-0.000,0.183,0
3.1000,0.41216,-0.00000,0.00214,0.46470,0.00000,-0.000,0.148,0
3.1520,0.42240,-0.00000,0.00215,0.47250,0.00000,-0.000,0.112,0
3.2040,0.43268,-0.00000,0.00216,0.48030,0.00000,-0.000,0.076,0
3.2560,0.44297,-0.00000,0.00218,0.48810,0.00000,-0.000,0.040,0
3.3080,0.45329,-0.00000,0.00219,0.49590,0.00000,-0.000,0.004,0
3.3600,0.46363,-0.00000,0.00219,0.50370,0.00000,-0.000,-0.031,0
3.4120,0.47396,-0.00000,0.00220,0.51150,0.00000,-0.000,-0.067,0
3.4640,0.48430,-0.00000,0.00221,0.51930,0.00000,-0.000,-0.102,0
3.5160,0.49465,-0.00000,0.00222,0.52710,0.00000,-0.000,-0.136,0
3.5680,0.50500,-0.00000,0.00222,0.53490,0.00000,-0.000,-0.170,0
3.6200,0.51535,-0.00000,0.00223,0.54270,0.00000,-0.000,-0.202,0
3.6720,0.52571,-0.00000,0.00223,0.55050,0.00000,-0.000,-0.234,0
3.7240,0.53607,-0.00000,0.00223,0.55830,0.00000,-0.000,-0.265,0
3.7760,0.54643,-0.00000,0.00224,0.56610,0.00000,-0.000,-0.294,0
3.8280,0.55678,-0.00000,0.00224,0.57390,0.00000,-0.000,-0.322,0
3.8800,0.56711,-0.00000,0.00224,0.58170,0.00000,-0.000,-0.349,0
3.9320,0.57743,-0.00000,0.00224,0.58950,0.00000,-0.000,-0.374,0
3.9840,0.58773,-0.00000,0.00224,0.59730,0.00000,-0.000,-0.397,0
4.0360,0.59802,-0.00000,0.00224,0.60510,0.00000,-0.000,-0.419,0
4.0880,0.60829,-0.00000,0.00224,0.61290,0.00000,-0.000,-0.439,0
4.1400,0.61855,-0.00000,0.00224,0.62070,0.00000,-0.000,-0.457,0
4.1920,0.62880,-0.00000,0.00223,0.62850,0.00000,-0.000,-0.473,0
4.2440,0.63902,-0.00000,0.00223,0.63630,0.00000,-0.000,-0.487,0
4.2960,0.64922,-0.00000,0.00223,0.64410,0.00000,-0.000,-0.499,0
4.3480,0.65940,-0.00000,0.00222,0.65190,0.00000,-0.000,-0.509,0
4.4000,0.66956,-0.00000,0.00222,0.65970,0.00000,-0.000,-0.517,0
4.4520,0.67969,-0.00000,0.00221,0.66750,0.00000,-0.000,-0.523,0
4.5040,0.68979,-0.00000,0.00221,0.67530,0.00000,-0.000,-0.526,0
4.5560,0.69987,-0.00000,0.00220,0.68310,0.00000,-0.000,-0.528,0
4.6080,0.70991,-0.00000,0.00220,0.69090,0.00000,-0.000,-0.527,0
4.6600,0.71993,-0.00000,0.00219,0.69870,0.00000,-0.000,-0.524,0
4.7120,0.72991,-0.00000,0.00218,0.70650,0.00000,-0.000,-0.518,0
4.7640,0.73986,-0.00000,0.00217,0.71430,0.00000,-0.000,-0.511,0
4.8160,0.74977,-0.00000,0.00216,0.72210,0.00000,-0.000,-0.502,0
4.8680,0.75965,-0.00000,0.00216,0.72990,0.00000,-0.000,-0.490,0
4.9200,0.76949,-0.00000,0.00215,0.73770,0.00000,-0.000,-0.476,0
4.9720,0.77930,-0.00000,0.00214,0.74550,0.00000,-0.000,-0.461,0
5.0240,0.78906,-0.00000,0.00213,0.75330,0.00000,-0.000,-0.444,0
5.0760,0.79878,-0.00000,0.00212,0.76110,0.00000,-0.000,-0.424,0
5.1280,0.80845,-0.00000,0.00211,0.76890,0.00000,-0.000,-0.403,0
5.1800,0.81808,-0.00000,0.00210,0.77670,0.00000,-0.000,-0.381,0
5.2320,0.82769,-0.00000,0.00209,0.78450,0.00000,-0.000,-0.356,0
5.2840,0.83725,-0.00000,0.00208,0.79230,0.00000,-0.000,-0.331,0
5.3360,0.84677,-0.00000,0.00207,0.80010,0.00000,-0.000,-0.304,0
5.3880,0.85624,-0.00000,0.00206,0.80790,0.00000,-0.000,-0.275,0
5.4400,0.86567,-0.00000,0.00205,0.81570,0.00000,-0.000,-0.246,0
