t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00059,-0.00004,0.00006,0.00750,0.00000,0.011,-0.013,0
0.1020,0.00219,-0.00010,0.00014,0.01500,0.00000,0.025,-0.027,0
0.1520,0.00476,-0.00014,0.00021,0.02250,0.00000,0.030,-0.028,0
0.2020,0.00824,-0.00018,0.00026,0.03000,0.00000,0.031,-0.030,0
0.2520,0.01252,-0.00020,0.00030,0.03750,0.00000,0.031,-0.033,0
0.3020,0.01754,-0.00021,0.00033,0.04500,0.00000,0.030,-0.035,0
0.3520,0.02321,-0.00022,0.00034,0.05250,0.00000,0.028,-0.037,0
0.4020,0.02947,-0.00021,0.00035,0.06000,0.00000,0.026,-0.039,0
0.4520,0.03622,-0.00020,0.00034,0.06750,0.00000,0.023,-0.041,0
0.5040,0.04372,-0.00019,0.00033,0.07530,0.00000,0.021,-0.042,0
0.5540,0.05131,-0.00017,0.00030,0.08280,0.00000,0.018,-0.044,0
0.6040,0.05923,-0.00015,0.00027,0.09030,0.00000,0.015,-0.045,0
0.6540,0.06741,-0.00012,0.00024,0.09780,0.00000,0.013,-0.046,0
0.7040,0.07581,-0.00009,0.00019,0.10530,0.00000,0.011,-0.046,0
0.7540,0.08439,-0.00006,0.00015,0.11280,0.00000,0.009,-0.047,0
0.8040,0.09311,-0.00003,0.00010,0.12030,0.00000,0.007,-0.047,0
0.8540,0.10193,-0.00000,0.00004,0.12780,0.00000,0.005,-0.048,0
0.9040,0.11083,0.00003,-0.00002,0.13530,0.00000,0.004,-0.049,0
0.9540,0.11978,0.00006,-0.00008,0.14280,0.00000,0.003,-0.049,0
1.0060,0.12912,0.00009,-0.00015,0.15060,0.00000,0.002,-0.050,0
1.0560,0.13811,0.00012,-0.00021,0.15810,0.00000,0.001,-0.051,0
1.1060,0.14709,0.00015,-0.00028,0.16560,0.00000,-0.000,-0.051,0
1.1560,0.15605,0.00018,-0.00035,0.17310,0.00000,-0.001,-0.052,0
1.2060,0.16497,0.00020,-0.00042,0.18060,0.00000,-0.001,-0.052,0
1.2560,0.17386,0.00023,-0.00050,0.18810,0.00000,-0.002,-0.053,0
1.3060,0.18269,0.00025,-0.00057,0.19560,0.00000,-0.002,-0.053,0
1.3560,0.19146,0.00027,-0.00064,0.20310,0.00000,-0.002,-0.053,0
1.4060,0.20018,0.00029,-0.00072,0.21060,0.00000,-0.003,-0.053,0
1.4560,0.20883,0.00031,-0.00079,0.21810,0.00000,-0.003,-0.053,0
1.5060,0.21742,0.00032,-0.00086,0.22560,0.00000,-0.003,-0.053,0
1.5560,0.22593,0.00034,-0.00094,0.23310,0.00000,-0.003,-0.053,0
1.6060,0.23439,0.00035,-0.00101,0.24060,0.00000,-0.004,-0.052,0
