t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00017,-0.00000,0.00000,0.00750,0.00000,-0.000,0.001,0
0.1020,0.00072,-0.00000,0.00001,0.01500,0.00000,-0.000,0.006,0
0.1520,0.00163,-0.00000,0.00002,0.02250,0.00000,-0.000,0.012,0
0.2020,0.00291,0.00000,0.00003,0.03000,0.00000,-0.000,0.021,0
0.2520,0.00454,0.00000,0.00005,0.03750,0.00000,-0.000,0.033,0
0.3020,0.00649,0.00000,0.00008,0.04500,0.00000,-0.000,0.046,0
0.3520,0.00877,0.00000,0.00010,0.05250,0.00000,-0.000,0.061,0
0.4020,0.01136,0.00000,0.00013,0.06000,0.00000,-0.000,0.078,0
0.4520,0.01425,0.00000,0.00016,0.06750,0.00000,-0.000,0.096,0
0.5040,0.01756,0.00000,0.00020,0.07530,0.00000,-0.000,0.117,0
0.5540,0.02102,0.00000,0.00024,0.08280,0.00000,-0.000,0.138,0
0.6040,0.02476,0.00000,0.00028,0.09030,0.00000,-0.000,0.160,0
0.6540,0.02875,0.00000,0.00032,0.09780,0.00000,-0.000,0.184,0
0.7040,0.03300,0.00000,0.00036,0.10530,0.00000,-0.000,0.207,0
0.7540,0.03749,0.00000,0.00041,0.11280,0.00000,-0.000,0.232,0
0.8040,0.04221,0.00000,0.00046,0.12030,0.00000,-0.000,0.257,0
0.8540,0.04716,0.00000,0.00050,0.12780,0.00000,-0.000,0.282,0
0.9040,0.05233,0.00000,0.00055,0.13530,0.00000,-0.000,0.307,0
0.9540,0.05771,0.00000,0.00060,0.14280,0.00000,-0.000,0.332,0
1.0060,0.06352,0.00000,0.00066,0.15060,0.00000,-0.000,0.358,0
1.0560,0.06931,0.00000,0.00071,0.15810,0.00000,-0.000,0.383,0
1.1060,0.07530,0.00000,0.00076,0.16560,0.00000,-0.000,0.407,0
1.1560,0.08146,0.00000,0.00081,0.17310,0.00000,-0.000,0.431,0
1.2060,0.08781,0.00000,0.00087,0.18060,0.00000,-0.000,0.454,0
1.2560,0.09434,0.00000,0.00092,0.18810,0.00000,-0.000,0.476,0
1.3060,0.10103,0.00000,0.00097,0.19560,0.00000,-0.000,0.496,0
1.3560,0.10788,0.00000,0.00102,0.20310,0.00000,-0.000,0.516,0
1.4060,0.11489,0.00000,0.00107,0.21060,0.00000,-0.000,0.535,0
1.4560,0.12205,0.00000,0.00112,0.21810,0.00000,-0.000,0.552,0
1.5060,0.12935,0.00000,0.00117,0.22560,0.00000,-0.000,0.568,0
1.5560,0.13680,0.00000,0.00122,0.23310,0.00000,-0.000,0.582,0
1.6060,0.14438,0.00000,0.00127,0.24060,0.00000,-0.000,0.595,0
1.6560,0.15210,0.00000,0.00132,0.24810,0.00000,-0.000,0.606,0
1.7060,0.15994,0.00000,0.00136,0.25560,0.00000,-0.000,0.615,0
1.7560,0.16790,0.00000,0.00141,0.26310,0.00000,-0.000,0.622,0
1.8060,0.17599,0.00000,0.00145,0.27060,0.00000,-0.000,0.628,0
1.8560,0.18418,0.00000,0.00149,0.27810,0.00000,-0.000,0.632,0
1.9060,0.19249,0.00000,0.00153,0.28560,0.00000,-0.000,0.633,0
1.9560,0.20089,0.00000,0.00157,0.29310,0.00000,-0.000,0.633,0
2.0080,0.20975,0.00000,0.00161,0.30090,0.00000,-0.000,0.631,0
2.0600,0.21870,0.00000,0.00165,0.30870,0.00000,-0.000,0.627,0
2.1120,0.22776,0.00000,0.00169,0.31650,0.00000,-0.000,0.620,0
2.1640,0.23691,0.00000,0.00173,0.32430,0.00000,-0.000,0.611,0
2.2160,0.24616,0.00000,0.00176,0.33210,0.00000,-0.000,0.600,0
2.2680,0.25549,0.00000,0.00179,0.33990,0.00000,-0.000,0.588,0
2.3200,0.26490,0.00000,0.00182,0.34770,0.00000,-0.000,0.573,0
2.3720,0.27440,0.00000,0.00185,0.35550,0.00000,-0.000,0.556,0
2.4240,0.28397,0.00000,0.00188,0.36330,0.00000,-0.000,0.537,0
2.4760,0.29361,0.00000,0.00191,0.37110,0.00000,-0.000,0.516,0
2.5280,0.30332,0.00000,0.00194,0.37890,0.00000,-0.000,0.494,0
2.5800,0.31309,-0.00000,0.00196,0.38670,0.00000,-0.000,0.469,0
2.6320,0.32292,-0.00000,0.00198,0.39450,0.00000,-0.000,0.444,0
2.6840,0.33281,-0.00000,0.00201,0.40230,0.00000,-0.000,0.416,0
2.7360,0.34275,-0.00000,0.00203,0.41010,0.00000,-0.000,0.388,0
2.7880,0.35274,-0.00000,0.00205,0.41790,0.00000,-0.000,0.358,0
2.8400,0.36278,-0.00000,0.00207,0.42570,0.00000,-0.000,0.327,0
2.8920,0.37286,-0.00000,0.00208,0.43350,0.00000,-0.000,0.294,0
2.9440,0.38299,-0.00000,0.00210,0.44130,0.00000,-0.000,0.261,0
2.9960,0.39314,-0.00000,0.00212,0.44910,0.00000,-0.000,0.227,0
3.0480,0.40334,-0.00000,0.00213,0.45690,0.00000,-0.000,0.193,0
3.1000,0.41356,-0.00000,0.00214,0.46470,0.00000,-0.000,0.158,0
3.1520,0.42381,-0.00000,0.00216,0.47250,0.00000,-0.000,0.122,0
3.2040,0.43408,-0.00000,0.00217,0.48030,0.00000,-0.000,0.086,0
3.2560,0.44438,-0.00000,0.00218,0.48810,0.00000,-0.000,0.051,0
3.3080,0.45470,-0.00000,0.00219,0.49590,0.00000,-0.000,0.015,0
3.3600,0.46503,-0.00000,0.00220,0.50370,0.00000,-0.000,-0.021,0
3.4120,0.47538,-0.00000,0.00220,0.51150,0.00000,-0.000,-0.056,0
3.4640,0.48573,-0.00000,0.00221,0.51930,0.00000,-0.000,-0.091,0
3.5160,0.49610,-0.00000,0.00222,0.52710,0.00000,-0.000,-0.125,0
3.5680,0.50647,-0.00000,0.00222,0.53490,0.00000,-0.000,-0.159,0
3.6200,0.51685,-0.00000,0.00223,0.54270,0.00000,-0.000,-0.191,0
3.6720,0.52723,-0.00000,0.00223,0.55050,0.00000,-0.000,-0.223,0
3.7240,0.53761,-0.00000,0.00223,0.55830,0.00000,-0.000,-0.254,0
3.7760,0.54798,-0.00000,0.00224,0.56610,0.00000,-0.000,-0.283,0
3.8280,0.55835,-0.00000,0.00224,0.57390,0.00000,-0.000,-0.311,0
3.8800,0.56871,-0.00000,0.00224,0.58170,0.00000,-0.000,-0.337,0
3.9320,0.57907,-0.00000,0.00224,0.58950,0.00000,-0.000,-0.363,0
3.9840,0.58941,-0.00000,0.00224,0.59730,0.00000,-0.000,-0.386,0
4.0360,0.59974,-0.00000,0.00224,0.60510,0.00000,-0.000,-0.408,0
4.0880,0.61005,-0.00000,0.00224,0.61290,0.00000,-0.000,-0.428,0
4.1400,0.62035,-0.00000,0.00223,0.62070,0.00000,-0.000,-0.446,0
4.1920,0.63063,-0.00000,0.00223,0.62850,0.00000,-0.000,-0.462,0
4.2440,0.64089,-0.00000,0.00223,0.63630,0.00000,-0.000,-0.476,0
4.2960,0.65113,-0.00000,0.00222,0.64410,0.00000,-0.000,-0.488,0
4.3480,0.66134,-0.00000,0.00222,0.65190,0.00000,-0.000,-0.498,0
4.4000,0.67154,-0.00000,0.00221,0.65970,0.00000,-0.000,-0.505,0
4.4520,0.68170,-0.00000,0.00221,0.66750,0.00000,-0.000,-0.511,0
4.5040,0.69184,-0.00000,0.00220,0.67530,0.00000,-0.000,-0.514,0
4.5560,0.70195,-0.00000,0.00219,0.68310,0.00000,-0.000,-0.516,0
4.6080,0.71202,-0.00000,0.00219,0.69090,0.00000,-0.000,-0.515,0
4.6600,0.72207,-0.00000,0.00218,0.69870,0.00000,-0.000,-0.512,0
4.7120,0.73209,-0.00000,0.00217,0.70650,0.00000,-0.000,-0.506,0
4.7640,0.74207,-0.00000,0.00216,0.71430,0.00000,-0.000,-0.499,0
4.8160,0.75202,-0.00000,0.00216,0.72210,0.00000,-0.000,-0.489,0
4.8680,0.76193,-0.00000,0.00215,0.72990,0.00000,-0.000,-0.477,0
4.9200,0.77180,-0.00000,0.00214,0.73770,0.00000,-0.000,-0.464,0
4.9720,0.78164,-0.00000,0.00213,0.74550,0.00000,-0.000,-0.448,0
5.0240,0.79145,-0.00000,0.00212,0.75330,0.00000,-0.000,-0.430,0
5.0760,0.80121,-0.00000,0.00211,0.76110,0.00000,-0.000,-0.411,0
5.1280,0.81093,-0.00000,0.00210,0.76890,0.00000,-0.000,-0.390,0
5.1800,0.82062,-0.00000,0.00209,0.77670,0.00000,-0.000,-0.367,0
5.2320,0.83026,-0.00000,0.00208,0.78450,0.00000,-0.000,-0.342,0
5.2840,0.83986,-0.00000,0.00207,0.79230,0.00000,-0.000,-0.316,0
5.3360,0.84942,-0.00000,0.00206,0.80010,0.00000,-0.000,-0.289,0
5.3880,0.85894,-0.00000,0.00205,0.80790,0.00000,-0.000,-0.260,0
5.4400,0.86842,-0.00000,0.00204,0.81570,0.00000,-0.000,-0.231,0
