t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00005,-0.00000,0.00000,0.00750,0.00000,0.000,-0.000,0
0.1020,0.00026,-0.00000,0.00000,0.01500,0.00000,0.000,-0.000,0
0.1520,0.00064,-0.00000,0.00000,0.02250,0.00000,0.000,-0.000,0
0.2020,0.00121,-0.00000,0.00000,0.03000,0.00000,0.000,-0.000,0
0.2520,0.00196,-0.00000,0.00000,0.03750,0.00000,0.000,-0.000,0
0.3020,0.00289,-0.00000,0.00000,0.04500,0.00000,0.000,-0.000,0
0.3520,0.00399,0.00000,0.00000,0.05250,0.00000,0.000,-0.000,0
0.4020,0.00527,0.00000,0.00000,0.06000,0.00000,0.000,-0.000,0
0.4520,0.00673,0.00000,0.00000,0.06750,0.00000,0.000,-0.000,0
0.5040,0.00843,0.00000,0.00000,0.07530,0.00000,0.000,-0.000,0
0.5540,0.01024,0.00000,0.00000,0.08280,0.00000,0.000,-0.000,0
0.6040,0.01222,0.00000,0.00000,0.09030,0.00000,0.000,-0.000,0
0.6540,0.01438,0.00000,0.00000,0.09780,0.00000,0.000,-0.000,0
0.7040,0.01671,0.00000,0.00000,0.10530,0.00000,0.000,-0.000,0
0.7540,0.01920,0.00000,0.00000,0.11280,0.00000,0.000,-0.000,0
0.8040,0.02186,0.00000,0.00000,0.12030,0.00000,0.000,-0.000,0
0.8540,0.02469,0.00000,0.00000,0.12780,0.00000,0.000,-0.000,0
0.9040,0.02767,0.00000,0.00000,0.13530,0.00000,0.000,-0.000,0
0.9540,0.03082,0.00000,0.00000,0.14280,0.00000,0.000,-0.000,0
1.0060,0.03427,0.00000,0.00000,0.15060,0.00000,0.000,-0.000,0
1.0560,0.03774,0.00000,0.00000,0.15810,0.00000,0.000,-0.000,0
1.1060,0.04136,0.00000,0.00000,0.16560,0.00000,0.000,-0.000,0
1.1560,0.04514,0.00000,0.00000,0.17310,0.00000,0.000,-0.000,0
1.2060,0.04906,0.00000,0.00000,0.18060,0.00000,0.000,-0.000,0
1.2560,0.05314,0.00000,0.00000,0.18810,0.00000,0.000,-0.000,0
1.3060,0.05735,0.00000,0.00000,0.19560,0.00000,0.000,-0.000,0
1.3560,0.06171,0.00000,0.00000,0.20310,0.00000,0.000,-0.000,0
1.4060,0.06621,0.00000,0.00000,0.21060,0.00000,0.000,-0.000,0
1.4560,0.07085,0.00000,0.00000,0.21810,0.00000,0.000,-0.000,0
1.5060,0.07562,0.00000,0.00000,0.22560,0.00000,0.000,-0.000,0
1.5560,0.08053,0.00000,0.00000,0.23310,0.00000,0.000,-0.000,0
1.6060,0.08556,0.00000,0.00000,0.24060,0.00000,0.000,-0.000,0
1.6560,0.09072,0.00000,0.00000,0.24810,0.00000,0.000,-0.000,0
1.7060,0.09600,0.00000,0.00000,0.25560,0.00000,0.000,-0.000,0
1.7560,0.10141,0.00000,0.00000,0.26310,0.00000,0.000,-0.000,0
1.8060,0.10694,0.00000,0.00000,0.27060,0.00000,0.000,-0.000,0
1.8560,0.11258,0.00000,0.00000,0.27810,0.00000,0.000,-0.000,0
1.9060,0.11833,0.00000,0.00000,0.28560,0.00000,0.000,-0.000,0
1.9560,0.12420,0.00000,0.00000,0.29310,0.00000,0.000,-0.000,0
2.0080,0.13042,0.00000,0.00000,0.30090,0.00000,0.000,-0.000,0
2.0600,0.13675,0.00000,0.00000,0.30870,0.00000,0.000,-0.000,0
2.1120,0.14319,0.00000,0.00000,0.31650,0.00000,0.000,-0.000,0
2.1640,0.14975,0.00000,0.00000,0.32430,0.00000,0.000,-0.000,0
2.2160,0.15640,0.00000,0.00000,0.33210,0.00000,0.000,-0.000,0
2.2680,0.16317,0.00000,0.00000,0.33990,0.00000,0.000,-0.000,0
2.3200,0.17003,0.00000,0.00000,0.34770,0.00000,0.000,-0.000,0
2.3720,0.17699,0.00000,0.00000,0.35550,0.00000,0.000,-0.000,0
2.4240,0.18404,0.00000,0.00000,0.36330,0.00000,0.000,-0.000,0
2.4760,0.19119,0.00000,0.00000,0.37110,0.00000,0.000,-0.000,0
2.5280,0.19843,0.00000,0.00000,0.37890,0.00000,0.000,-0.000,0
2.5800,0.20575,0.00000,0.00000,0.38670,0.00000,0.000,-0.000,0
2.6320,0.21316,0.00000,0.00000,0.39450,0.00000,0.000,-0.000,0
2.6840,0.22065,0.00000,0.00000,0.40230,0.00000,0.000,-0.000,0
2.7360,0.22822,0.00000,0.00000,0.41010,0.00000,0.000,-0.000,0
2.7880,0.23587,0.00000,0.00000,0.41790,0.00000,0.000,-0.000,0
2.8400,0.24359,0.00000,0.00000,0.42570,0.00000,0.000,-0.000,0
2.8920,0.25139,0.00000,0.00000,0.43350,0.00000,0.000,-0.000,0
2.9440,0.25925,0.00000,0.00000,0.44130,0.00000,0.000,-0.000,0
2.9960,0.26719,0.00000,0.00000,0.44910,0.00000,0.000,-0.000,0
3.0480,0.27519,0.00000,0.00000,0.45690,0.00000,0.000,-0.000,0
3.1000,0.28325,0.00000,0.00000,0.46470,0.00000,0.000,-0.000,0
3.1520,0.29137,0.00000,0.00000,0.47250,0.00000,0.000,-0.000,0
3.2040,0.29956,0.00000,0.00000,0.48030,0.00000,0.000,-0.000,0
3.2560,0.30780,0.00000,0.00000,0.48810,0.00000,0.000,-0.000,0
3.3080,0.31609,0.00000,0.00000,0.49590,0.00000,0.000,-0.000,0
3.3600,0.32444,0.00000,0.00000,0.50370,0.00000,0.000,-0.000,0
3.4120,0.33284,0.00000,0.00000,0.51150,0.00000,0.000,-0.000,0
3.4640,0.34129,0.00000,0.00000,0.51930,0.00000,0.000,-0.000,0
3.5160,0.34979,0.00000,0.00000,0.52710,0.00000,0.000,-0.000,0
3.5680,0.35834,0.00000,0.00000,0.53490,0.00000,0.000,-0.000,0
3.6200,0.36693,0.00000,0.00000,0.54270,0.00000,0.000,-0.000,0
3.6720,0.37556,0.00000,0.00000,0.55050,0.00000,0.000,-0.000,0
3.7240,0.38423,0.00000,0.00000,0.55830,0.00000,0.000,-0.000,0
3.7760,0.39294,0.00000,0.00000,0.56610,0.00000,0.000,-0.000,0
3.8280,0.40169,0.00000,0.00000,0.57390,0.00000,0.000,-0.000,0
3.8800,0.41048,0.00000,0.00000,0.58170,0.00000,0.000,-0.000,0
3.9320,0.41930,0.00000,0.00000,0.58950,0.00000,0.000,-0.000,0
3.9840,0.42815,0.00000,0.00000,0.59730,0.00000,0.000,-0.000,0
4.0360,0.43704,0.00000,0.00000,0.60510,0.00000,0.000,-0.000,0
4.0880,0.44596,0.00000,0.00000,0.61290,0.00000,0.000,-0.000,0
4.1400,0.45490,0.00000,0.00000,0.62070,0.00000,0.000,-0.000,0
4.1920,0.46387,0.00000,0.00000,0.62850,0.00000,0.000,-0.000,0
4.2440,0.47287,0.00000,0.00000,0.63630,0.00000,0.000,-0.000,0
4.2960,0.48190,0.00000,0.00000,0.64410,0.00000,0.000,-0.000,0
4.3480,0.49095,0.00000,0.00000,0.65190,0.00000,0.000,-0.000,0
4.4000,0.50002,0.00000,0.00000,0.65970,0.00000,0.000,-0.000,0
4.4520,0.50912,0.00000,0.00000,0.66750,0.00000,0.000,-0.000,0
4.5040,0.51823,0.00000,0.00000,0.67530,0.00000,0.000,-0.000,0
4.5560,0.52737,0.00000,0.00000,0.68310,0.00000,0.000,-0.000,0
