t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00036,0.00019,-0.00001,0.00750,0.00000,0.003,0.000,0
0.1020,0.00200,0.00064,-0.00002,0.01500,0.00000,0.013,0.001,0
0.1520,0.00543,0.00132,-0.00005,0.02250,0.00000,0.036,0.003,0
0.2020,0.01035,0.00216,-0.00007,0.03000,0.00000,0.076,0.008,0
0.2520,0.01645,0.00310,-0.00010,0.03750,0.00000,0.134,0.014,0
0.3020,0.02346,0.00412,-0.00014,0.04500,0.00000,0.207,0.024,0
0.3520,0.03119,0.00517,-0.00017,0.05250,0.00000,0.292,0.036,0
0.4020,0.03944,0.00623,-0.00019,0.06000,0.00000,0.384,0.052,0
0.4520,0.04810,0.00729,-0.00022,0.06750,0.00000,0.480,0.071,0
0.5040,0.05741,0.00837,-0.00023,0.07530,0.00000,0.579,0.094,0
0.5540,0.06657,0.00936,-0.00025,0.08280,0.00000,0.671,0.119,0
0.6040,0.07586,0.01030,-0.00025,0.09030,0.00000,0.756,0.146,0
0.6540,0.08523,0.01117,-0.00025,0.09780,0.00000,0.831,0.176,0
0.7040,0.09463,0.01199,-0.00024,0.10530,0.00000,0.895,0.208,0
0.7540,0.10403,0.01274,-0.00022,0.11280,0.00000,0.947,0.242,0
0.8040,0.11340,0.01342,-0.00019,0.12030,0.00000,0.986,0.278,0
0.8540,0.12273,0.01403,-0.00016,0.12780,0.00000,1.012,0.314,0
0.9040,0.13199,0.01458,-0.00011,0.13530,0.00000,1.023,0.352,0
0.9540,0.14118,0.01507,-0.00006,0.14280,0.00000,1.022,0.390,0
1.0060,0.15064,0.01549,0.00001,0.15060,0.00000,1.006,0.429,0
1.0560,0.15965,0.01583,0.00008,0.15810,0.00000,0.979,0.467,0
1.1060,0.16856,0.01610,0.00016,0.16560,0.00000,0.941,0.504,0
1.1560,0.17737,0.01631,0.00025,0.17310,0.00000,0.893,0.540,0
1.2060,0.18609,0.01646,0.00034,0.18060,0.00000,0.836,0.575,0
1.2560,0.19470,0.01654,0.00044,0.18810,0.00000,0.772,0.608,0
1.3060,0.20320,0.01656,0.00055,0.19560,0.00000,0.701,0.639,0
1.3560,0.21161,0.01653,0.00066,0.20310,0.00000,0.624,0.668,0
1.4060,0.21992,0.01646,0.00078,0.21060,0.00000,0.543,0.694,0
1.4560,0.22813,0.01634,0.00090,0.21810,0.00000,0.459,0.717,0
1.5060,0.23624,0.01617,0.00102,0.22560,0.00000,0.373,0.738,0
1.5560,0.24426,0.01597,0.00115,0.23310,0.00000,0.285,0.756,0
1.6060,0.25220,0.01573,0.00127,0.24060,0.00000,0.197,0.770,0
1.6560,0.26004,0.01544,0.00140,0.24810,0.00000,0.110,0.782,0
1.7060,0.26781,0.01513,0.00152,0.25560,0.00000,0.024,0.790,0
1.7560,0.27549,0.01479,0.00164,0.26310,0.00000,-0.060,0.794,0
1.8060,0.28311,0.01443,0.00176,0.27060,0.00000,-0.141,0.796,0
1.8560,0.29065,0.01403,0.00188,0.27810,0.00000,-0.219,0.794,0
1.9060,0.29813,0.01361,0.00199,0.28560,0.00000,-0.294,0.789,0
1.9560,0.30554,0.01314,0.00209,0.29310,0.00000,-0.364,0.780,0
2.0080,0.31319,0.01263,0.00220,0.30090,0.00000,-0.433,0.768,0
2.0600,0.32078,0.01210,0.00229,0.30870,0.00000,-0.496,0.753,0
2.1120,0.32832,0.01156,0.00238,0.31650,0.00000,-0.555,0.735,0
2.1640,0.33581,0.01100,0.00246,0.32430,0.00000,-0.607,0.715,0
2.2160,0.34325,0.01044,0.00252,0.33210,0.00000,-0.655,0.691,0
2.2680,0.35066,0.00989,0.00258,0.33990,0.00000,-0.696,0.666,0
2.3200,0.35802,0.00933,0.00263,0.34770,0.00000,-0.732,0.638,0
2.3720,0.36535,0.00875,0.00266,0.35550,0.00000,-0.762,0.609,0
2.4240,0.37265,0.00817,0.00269,0.36330,0.00000,-0.787,0.578,0
2.4760,0.37993,0.00757,0.00270,0.37110,0.00000,-0.806,0.546,0
2.5280,0.38719,0.00697,0.00270,0.37890,0.00000,-0.820,0.513,0
2.5800,0.39442,0.00635,0.00269,0.38670,0.00000,-0.828,0.478,0
2.6320,0.40164,0.00574,0.00267,0.39450,0.00000,-0.832,0.444,0
2.6840,0.40886,0.00514,0.00264,0.40230,0.00000,-0.831,0.409,0
2.7360,0.41606,0.00454,0.00259,0.41010,0.00000,-0.825,0.374,0
2.7880,0.42326,0.00395,0.00254,0.41790,0.00000,-0.816,0.339,0
2.8400,0.43046,0.00336,0.00247,0.42570,0.00000,-0.802,0.304,0
2.8920,0.43766,0.00278,0.00240,0.43350,0.00000,-0.785,0.269,0
2.9440,0.44486,0.00219,0.00231,0.44130,0.00000,-0.764,0.235,0
2.9960,0.45207,0.00160,0.00222,0.44910,0.00000,-0.741,0.202,0
3.0480,0.45930,0.00101,0.00212,0.45690,0.00000,-0.714,0.170,0
3.1000,0.46653,0.00042,0.00201,0.46470,0.00000,-0.686,0.138,0
3.1520,0.47379,-0.00016,0.00189,0.47250,0.00000,-0.655,0.107,0
3.2040,0.48106,-0.00072,0.00176,0.48030,0.00000,-0.622,0.078,0
3.2560,0.48835,-0.00127,0.00163,0.48810,0.00000,-0.588,0.049,0
3.3080,0.49566,-0.00182,0.00150,0.49590,0.00000,-0.552,0.021,0
3.3600,0.50299,-0.00236,0.00136,0.50370,0.00000,-0.516,-0.005,0
3.4120,0.51035,-0.00291,0.00121,0.51150,0.00000,-0.479,-0.031,0
3.4640,0.51774,-0.00345,0.00107,0.51930,0.00000,-0.442,-0.055,0
3.5160,0.52515,-0.00398,0.00092,0.52710,0.00000,-0.404,-0.078,0
3.5680,0.53259,-0.00449,0.00077,0.53490,0.00000,-0.367,-0.101,0
3.6200,0.54006,-0.00499,0.00062,0.54270,0.00000,-0.330,-0.122,0
3.6720,0.54756,-0.00545,0.00047,0.55050,0.00000,-0.293,-0.142,0
3.7240,0.55509,-0.00588,0.00033,0.55830,0.00000,-0.257,-0.161,0
3.7760,0.56264,-0.00629,0.00018,0.56610,0.00000,-0.222,-0.179,0
3.8280,0.57023,-0.00669,0.00004,0.57390,0.00000,-0.188,-0.196,0
3.8800,0.57784,-0.00707,-0.00009,0.58170,0.00000,-0.155,-0.212,0
3.9320,0.58548,-0.00742,-0.00022,0.58950,0.00000,-0.124,-0.227,0
3.9840,0.59315,-0.00775,-0.00035,0.59730,0.00000,-0.094,-0.242,0
4.0360,0.60085,-0.00805,-0.00047,0.60510,0.00000,-0.065,-0.255,0
4.0880,0.60857,-0.00831,-0.00058,0.61290,0.00000,-0.038,-0.268,0
4.1400,0.61631,-0.00852,-0.00068,0.62070,0.00000,-0.013,-0.279,0
4.1920,0.62407,-0.00871,-0.00077,0.62850,0.00000,0.010,-0.290,0
4.2440,0.63186,-0.00885,-0.00086,0.63630,0.00000,0.032,-0.300,0
4.2960,0.63966,-0.00897,-0.00094,0.64410,0.00000,0.053,-0.309,0
4.3480,0.64748,-0.00904,-0.00100,0.65190,0.00000,0.071,-0.317,0
4.4000,0.65531,-0.00908,-0.00106,0.65970,0.00000,0.088,-0.324,0
4.4520,0.66316,-0.00908,-0.00110,0.66750,0.00000,0.103,-0.331,0
4.5040,0.67102,-0.00904,-0.00114,0.67530,0.00000,0.117,-0.336,0
4.5560,0.67888,-0.00896,-0.00116,0.68310,0.00000,0.129,-0.341,0
4.6080,0.68675,-0.00885,-0.00118,0.69090,0.00000,0.139,-0.345,0
4.6600,0.69463,-0.00870,-0.00118,0.69870,0.00000,0.149,-0.348,0
4.7120,0.70250,-0.00851,-0.00117,0.70650,0.00000,0.157,-0.350,0
4.7640,0.71038,-0.00830,-0.00115,0.71430,0.00000,0.163,-0.351,0
4.8160,0.71825,-0.00804,-0.00112,0.72210,0.00000,0.169,-0.351,0
4.8680,0.72612,-0.00776,-0.00108,0.72990,0.00000,0.174,-0.351,0
4.9200,0.73399,-0.00744,-0.00103,0.73770,0.00000,0.178,-0.349,0
4.9720,0.74185,-0.00709,-0.00098,0.74550,0.00000,0.181,-0.347,0
5.0240,0.74969,-0.00671,-0.00091,0.75330,0.00000,0.183,-0.344,0
5.0760,0.75753,-0.00632,-0.00084,0.76110,0.00000,0.185,-0.341,0
5.1280,0.76536,-0.00590,-0.00076,0.76890,0.00000,0.186,-0.337,0
5.1800,0.77317,-0.00544,-0.00067,0.77670,0.00000,0.187,-0.332,0
5.2320,0.78097,-0.00494,-0.00058,0.78450,0.00000,0.188,-0.327,0
5.2840,0.78876,-0.00442,-0.00048,0.79230,0.00000,0.189,-0.321,0
5.3360,0.79652,-0.00387,-0.00037,0.80010,0.00000,0.189,-0.315,0
5.3880,0.80427,-0.00331,-0.00027,0.80790,0.00000,0.190,-0.308,0
5.4400,0.81201,-0.00273,-0.00016,0.81570,0.00000,0.190,-0.302,0
5.4920,0.81973,-0.00213,-0.00005,0.82350,0.00000,0.191,-0.295,0
5.5440,0.82743,-0.00153,0.00006,0.83130,0.00000,0.192,-0.289,0
5.5960,0.83511,-0.00091,0.00017,0.83910,0.00000,0.194,-0.282,0
5.6480,0.84277,-0.00027,0.00028,0.84690,0.00000,0.196,-0.276,0
5.7000,0.85042,0.00038,0.00038,0.85470,0.00000,0.198,-0.271,0
5.7520,0.85805,0.00104,0.00048,0.86250,0.00000,0.201,-0.265,0
5.8040,0.86566,0.00169,0.00058,0.87030,0.00000,0.205,-0.261,0
5.8560,0.87326,0.00234,0.00068,0.87810,0.00000,0.210,-0.258,0
5.9080,0.88085,0.00298,0.00076,0.88590,0.00000,0.216,-0.255,0
5.9600,0.88842,0.00364,0.00084,0.89370,0.00000,0.222,-0.254,0
6.0120,0.89598,0.00430,0.00092,0.90150,0.00000,0.230,-0.254,0
6.0640,0.90353,0.00497,0.00098,0.90930,0.00000,0.239,-0.256,0
6.1160,0.91107,0.00563,0.00104,0.91710,0.00000,0.249,-0.260,0
6.1680,0.91860,0.00629,0.00109,0.92490,0.00000,0.260,-0.265,0
6.2200,0.92613,0.00693,0.00112,0.93270,0.00000,0.273,-0.273,0
6.2720,0.93365,0.00755,0.00115,0.94050,0.00000,0.287,-0.283,0
6.3240,0.94118,0.00817,0.00117,0.94830,0.00000,0.303,-0.295,0
6.3760,0.94870,0.00877,0.00117,0.95610,0.00000,0.320,-0.310,0
6.4280,0.95622,0.00936,0.00117,0.96390,0.00000,0.338,-0.328,0
6.4800,0.96374,0.00994,0.00115,0.97170,0.00000,0.359,-0.349,0
6.5320,0.97127,0.01050,0.00112,0.97950,0.00000,0.381,-0.373,0
6.5840,0.97881,0.01104,0.00108,0.98730,0.00000,0.404,-0.401,0
6.6360,0.98636,0.01155,0.00103,0.99510,0.00000,0.429,-0.431,0
