t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00064,0.00012,-0.00001,0.00750,0.00000,0.001,0.000,0
0.1020,0.00238,0.00044,-0.00002,0.01500,0.00000,0.007,0.001,0
0.1520,0.00510,0.00094,-0.00004,0.02250,0.00000,0.018,0.001,0
0.2020,0.00871,0.00159,-0.00008,0.03000,0.00000,0.033,0.000,0
0.2520,0.01312,0.00234,-0.00011,0.03750,0.00000,0.049,-0.001,0
0.3020,0.01826,0.00320,-0.00016,0.04500,0.00000,0.067,-0.002,0
0.3520,0.02402,0.00412,-0.00020,0.05250,0.00000,0.085,-0.003,0
0.4020,0.03035,0.00510,-0.00025,0.06000,0.00000,0.102,-0.005,0
0.4520,0.03717,0.00612,-0.00031,0.06750,0.00000,0.119,-0.006,0
0.5040,0.04470,0.00720,-0.00037,0.07530,0.00000,0.135,-0.008,0
0.5540,0.05232,0.00827,-0.00043,0.08280,0.00000,0.149,-0.010,0
0.6040,0.06025,0.00933,-0.00049,0.09030,0.00000,0.163,-0.012,0
0.6540,0.06843,0.01038,-0.00055,0.09780,0.00000,0.174,-0.013,0
0.7040,0.07682,0.01142,-0.00062,0.10530,0.00000,0.184,-0.015,0
0.7540,0.08539,0.01245,-0.00068,0.11280,0.00000,0.193,-0.017,0
0.8040,0.09409,0.01346,-0.00074,0.12030,0.00000,0.201,-0.018,0
0.8540,0.10289,0.01444,-0.00081,0.12780,0.00000,0.208,-0.020,0
0.9040,0.11176,0.01541,-0.00087,0.13530,0.00000,0.213,-0.021,0
0.9540,0.12069,0.01635,-0.00093,0.14280,0.00000,0.218,-0.022,0
1.0060,0.13000,0.01728,-0.00100,0.15060,0.00000,0.221,-0.023,0
1.0560,0.13895,0.01814,-0.00106,0.15810,0.00000,0.224,-0.024,0
1.1060,0.14790,0.01897,-0.00111,0.16560,0.00000,0.226,-0.025,0
