t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00018,0.00012,0.00000,0.00750,0.00000,0.000,-0.000,0
0.1020,0.00131,0.00040,0.00001,0.01500,0.00000,0.003,-0.000,0
0.1520,0.00401,0.00083,0.00002,0.02250,0.00000,0.014,-0.001,0
0.2020,0.00811,0.00137,0.00003,0.03000,0.00000,0.038,-0.002,0
0.2520,0.01331,0.00198,0.00004,0.03750,0.00000,0.076,-0.005,0
0.3020,0.01939,0.00264,0.00005,0.04500,0.00000,0.128,-0.010,0
0.3520,0.02615,0.00334,0.00007,0.05250,0.00000,0.192,-0.016,0
0.4020,0.03344,0.00405,0.00008,0.06000,0.00000,0.266,-0.024,0
0.4520,0.04113,0.00477,0.00010,0.06750,0.00000,0.347,-0.034,0
0.5040,0.04946,0.00551,0.00012,0.07530,0.00000,0.436,-0.046,0
0.5540,0.05769,0.00621,0.00013,0.08280,0.00000,0.524,-0.060,0
0.6040,0.06609,0.00688,0.00015,0.09030,0.00000,0.612,-0.076,0
0.6540,0.07459,0.00752,0.00016,0.09780,0.00000,0.697,-0.094,0
0.7040,0.08317,0.00813,0.00018,0.10530,0.00000,0.778,-0.114,0
0.7540,0.09178,0.00872,0.00019,0.11280,0.00000,0.855,-0.135,0
0.8040,0.10042,0.00927,0.00021,0.12030,0.00000,0.926,-0.159,0
0.8540,0.10905,0.00979,0.00022,0.12780,0.00000,0.990,-0.185,0
0.9040,0.11767,0.01028,0.00024,0.13530,0.00000,1.047,-0.212,0
0.9540,0.12627,0.01073,0.00025,0.14280,0.00000,1.097,-0.241,0
1.0060,0.13518,0.01116,0.00026,0.15060,0.00000,1.141,-0.273,0
1.0560,0.14370,0.01153,0.00027,0.15810,0.00000,1.176,-0.305,0
1.1060,0.15219,0.01187,0.00028,0.16560,0.00000,1.205,-0.338,0
1.1560,0.16063,0.01218,0.00029,0.17310,0.00000,1.226,-0.373,0
1.2060,0.16903,0.01244,0.00030,0.18060,0.00000,1.242,-0.409,0
1.2560,0.17739,0.01266,0.00031,0.18810,0.00000,1.251,-0.446,0
1.3060,0.18570,0.01285,0.00032,0.19560,0.00000,1.255,-0.483,0
1.3560,0.19397,0.01301,0.00033,0.20310,0.00000,1.255,-0.522,0
1.4060,0.20219,0.01315,0.00033,0.21060,0.00000,1.249,-0.561,0
1.4560,0.21038,0.01325,0.00034,0.21810,0.00000,1.240,-0.601,0
1.5060,0.21852,0.01333,0.00034,0.22560,0.00000,1.227,-0.641,0
1.5560,0.22663,0.01338,0.00034,0.23310,0.00000,1.211,-0.682,0
1.6060,0.23470,0.01341,0.00035,0.24060,0.00000,1.192,-0.722,0
1.6560,0.24273,0.01341,0.00035,0.24810,0.00000,1.171,-0.763,0
1.7060,0.25073,0.01339,0.00035,0.25560,0.00000,1.148,-0.803,0
1.7560,0.25870,0.01336,0.00035,0.26310,0.00000,1.123,-0.844,0
1.8060,0.26664,0.01331,0.00035,0.27060,0.00000,1.098,-0.884,0
1.8560,0.27455,0.01325,0.00035,0.27810,0.00000,1.071,-0.923,0
1.9060,0.28243,0.01316,0.00035,0.28560,0.00000,1.043,-0.962,0
1.9560,0.29029,0.01304,0.00034,0.29310,0.00000,1.015,-1.001,0
2.0080,0.29843,0.01289,0.00034,0.30090,0.00000,0.985,-1.039,0
2.0600,0.30655,0.01274,0.00034,0.30870,0.00000,0.955,-1.077,0
2.1120,0.31465,0.01258,0.00033,0.31650,0.00000,0.925,-1.114,0
2.1640,0.32273,0.01242,0.00033,0.32430,0.00000,0.894,-1.150,0
2.2160,0.33078,0.01225,0.00032,0.33210,0.00000,0.864,-1.184,0
2.2680,0.33882,0.01210,0.00032,0.33990,0.00000,0.835,-1.216,0
2.3200,0.34684,0.01195,0.00031,0.34770,0.00000,0.806,-1.248,0
2.3720,0.35484,0.01179,0.00031,0.35550,0.00000,0.777,-1.277,0
2.4240,0.36283,0.01163,0.00030,0.36330,0.00000,0.750,-1.305,0
2.4760,0.37080,0.01145,0.00029,0.37110,0.00000,0.723,-1.330,0
2.5280,0.37875,0.01127,0.00028,0.37890,0.00000,0.696,-1.354,0
2.5800,0.38670,0.01109,0.00028,0.38670,0.00000,0.671,-1.376,0
2.6320,0.39463,0.01091,0.00027,0.39450,0.00000,0.646,-1.396,0
2.6840,0.40255,0.01074,0.00026,0.40230,0.00000,0.622,-1.414,0
