t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00064,0.00000,-0.00001,0.00750,0.00000,-0.000,0.000,0
0.1020,0.00238,0.00000,-0.00003,0.01500,0.00000,-0.000,0.001,0
0.1520,0.00510,0.00000,-0.00006,0.02250,0.00000,-0.000,0.002,0
0.2020,0.00871,0.00000,-0.00011,0.03000,0.00000,-0.000,0.002,0
0.2520,0.01313,0.00000,-0.00016,0.03750,0.00000,-0.000,0.002,0
0.3020,0.01826,0.00000,-0.00022,0.04500,0.00000,-0.000,0.002,0
0.3520,0.02404,0.00000,-0.00029,0.05250,0.00000,-0.000,0.002,0
0.4020,0.03037,0.00000,-0.00037,0.06000,0.00000,-0.000,0.002,0
0.4520,0.03719,0.00000,-0.00045,0.06750,0.00000,-0.000,0.001,0
0.5040,0.04473,0.00000,-0.00053,0.07530,0.00000,-0.000,0.001,0
0.5540,0.05235,0.00000,-0.00062,0.08280,0.00000,-0.000,-0.000,0
0.6040,0.06028,0.00000,-0.00071,0.09030,0.00000,-0.000,-0.001,0
0.6540,0.06847,0.00000,-0.00080,0.09780,0.00000,-0.000,-0.001,0
0.7040,0.07686,0.00000,-0.00089,0.10530,0.00000,-0.000,-0.002,0
0.7540,0.08543,0.00000,-0.00098,0.11280,0.00000,-0.000,-0.003,0
0.8040,0.09413,0.00000,-0.00108,0.12030,0.00000,-0.000,-0.004,0
0.8540,0.10294,0.00000,-0.00117,0.12780,0.00000,-0.000,-0.004,0
0.9040,0.11182,0.00000,-0.00126,0.13530,0.00000,-0.000,-0.005,0
0.9540,0.12074,0.00000,-0.00135,0.14280,0.00000,-0.000,-0.006,0
1.0060,0.13005,0.00000,-0.00144,0.15060,0.00000,-0.000,-0.006,0
1.0560,0.13901,0.00000,-0.00153,0.15810,0.00000,-0.000,-0.007,0
1.1060,0.14795,0.00000,-0.00161,0.16560,0.00000,-0.000,-0.007,0
1.1560,0.15687,0.00000,-0.00170,0.17310,0.00000,-0.000,-0.008,0
1.2060,0.16576,0.00000,-0.00178,0.18060,0.00000,-0.000,-0.008,0
1.2560,0.17460,0.00000,-0.00185,0.18810,0.00000,-0.000,-0.008,0
1.3060,0.18339,0.00000,-0.00193,0.19560,0.00000,-0.000,-0.009,0
1.3560,0.19213,0.00000,-0.00200,0.20310,0.00000,-0.000,-0.009,0
1.4060,0.20080,0.00000,-0.00207,0.21060,0.00000,-0.000,-0.009,0
1.4560,0.20940,0.00000,-0.00214,0.21810,0.00000,-0.000,-0.009,0
1.5060,0.21794,0.00000,-0.00220,0.22560,0.00000,-0.000,-0.010,0
1.5560,0.22641,0.00000,-0.00226,0.23310,0.00000,-0.000,-0.010,0
1.6060,0.23481,0.00000,-0.00232,0.24060,0.00000,-0.000,-0.010,0
1.6560,0.24315,0.00000,-0.00237,0.24810,0.00000,-0.000,-0.010,0
1.7060,0.25142,0.00000,-0.00242,0.25560,0.00000,-0.000,-0.010,0
1.7560,0.25962,0.00000,-0.00247,0.26310,0.00000,-0.000,-0.010,0
1.8060,0.26776,0.00000,-0.00252,0.27060,0.00000,-0.000,-0.010,0
1.8560,0.27584,0.00000,-0.00256,0.27810,0.00000,-0.000,-0.010,0
1.9060,0.28387,0.00000,-0.00260,0.28560,0.00000,-0.000,-0.010,0
1.9560,0.29184,0.00000,-0.00264,0.29310,0.00000,-0.000,-0.010,0
2.0080,0.30007,0.00000,-0.00268,0.30090,0.00000,-0.000,-0.010,0
2.0600,0.30825,0.00000,-0.00271,0.30870,0.00000,-0.000,-0.010,0
2.1120,0.31639,0.00000,-0.00274,0.31650,0.00000,-0.000,-0.010,0
2.1640,0.32448,0.00000,-0.00277,0.32430,0.00000,-0.000,-0.010,0
2.2160,0.33253,0.00000,-0.00280,0.33210,0.00000,-0.000,-0.010,0
2.2680,0.34054,0.00000,-0.00283,0.33990,0.00000,-0.000,-0.010,0
2.3200,0.34852,0.00000,-0.00285,0.34770,0.00000,-0.000,-0.010,0
2.3720,0.35647,0.00000,-0.00287,0.35550,0.00000,-0.000,-0.010,0
