t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00046,0.00006,-0.00001,0.00750,0.00000,-0.000,-0.010,0
0.1020,0.00169,0.00022,-0.00005,0.01500,0.00000,0.000,-0.020,0
0.1520,0.00365,0.00048,-0.00010,0.02250,0.00000,0.004,-0.018,0
0.2020,0.00628,0.00083,-0.00016,0.03000,0.00000,0.011,-0.013,0
0.2520,0.00952,0.00125,-0.00024,0.03750,0.00000,0.020,-0.008,0
0.3020,0.01333,0.00173,-0.00032,0.04500,0.00000,0.031,-0.004,0
0.3520,0.01766,0.00226,-0.00041,0.05250,0.00000,0.043,0.000,0
0.4020,0.02244,0.00284,-0.00051,0.06000,0.00000,0.056,0.004,0
0.4520,0.02763,0.00345,-0.00060,0.06750,0.00000,0.069,0.008,0
0.5040,0.03342,0.00412,-0.00070,0.07530,0.00000,0.083,0.011,0
0.5540,0.03932,0.00480,-0.00080,0.08280,0.00000,0.096,0.014,0
0.6040,0.04550,0.00549,-0.00088,0.09030,0.00000,0.108,0.017,0
0.6540,0.05193,0.00620,-0.00096,0.09780,0.00000,0.121,0.020,0
0.7040,0.05856,0.00692,-0.00104,0.10530,0.00000,0.132,0.022,0
0.7540,0.06538,0.00766,-0.00110,0.11280,0.00000,0.144,0.024,0
0.8040,0.07235,0.00841,-0.00115,0.12030,0.00000,0.154,0.026,0
0.8540,0.07946,0.00917,-0.00120,0.12780,0.00000,0.165,0.028,0
0.9040,0.08666,0.00994,-0.00123,0.13530,0.00000,0.175,0.029,0
0.9540,0.09396,0.01073,-0.00124,0.14280,0.00000,0.184,0.030,0
1.0060,0.10162,0.01154,-0.00124,0.15060,0.00000,0.194,0.031,0
1.0560,0.10905,0.01232,-0.00123,0.15810,0.00000,0.203,0.032,0
1.1060,0.11652,0.01310,-0.00120,0.16560,0.00000,0.212,0.033,0
1.1560,0.12402,0.01388,-0.00116,0.17310,0.00000,0.220,0.034,0
1.2060,0.13155,0.01465,-0.00110,0.18060,0.00000,0.229,0.034,0
1.2560,0.13909,0.01540,-0.00103,0.18810,0.00000,0.237,0.035,0
1.3060,0.14665,0.01615,-0.00094,0.19560,0.00000,0.245,0.035,0
1.3560,0.15422,0.01689,-0.00084,0.20310,0.00000,0.252,0.035,0
1.4060,0.16180,0.01763,-0.00073,0.21060,0.00000,0.260,0.035,0
1.4560,0.16938,0.01836,-0.00060,0.21810,0.00000,0.268,0.035,0
1.5060,0.17696,0.01907,-0.00045,0.22560,0.00000,0.275,0.034,0
1.5560,0.18455,0.01978,-0.00030,0.23310,0.00000,0.283,0.034,0
1.6060,0.19214,0.02048,-0.00013,0.24060,0.00000,0.290,0.033,0
1.6560,0.19974,0.02117,0.00005,0.24810,0.00000,0.297,0.033,0
1.7060,0.20735,0.02184,0.00024,0.25560,0.00000,0.305,0.032,0
1.7560,0.21496,0.02253,0.00044,0.26310,0.00000,0.312,0.031,0
1.8060,0.22258,0.02320,0.00064,0.27060,0.00000,0.319,0.029,0
1.8560,0.23021,0.02386,0.00086,0.27810,0.00000,0.326,0.028,0
1.9060,0.23786,0.02450,0.00107,0.28560,0.00000,0.334,0.026,0
