t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00036,0.00019,-0.00001,0.00750,0.00000,0.003,0.000,0
0.1020,0.00200,0.00065,-0.00002,0.01500,0.00000,0.013,0.001,0
0.1520,0.00543,0.00132,-0.00005,0.02250,0.00000,0.036,0.003,0
0.2020,0.01035,0.00214,-0.00007,0.03000,0.00000,0.076,0.008,0
0.2520,0.01645,0.00307,-0.00010,0.03750,0.00000,0.134,0.014,0
0.3020,0.02346,0.00407,-0.00014,0.04500,0.00000,0.207,0.024,0
0.3520,0.03119,0.00512,-0.00017,0.05250,0.00000,0.291,0.036,0
0.4020,0.03944,0.00619,-0.00019,0.06000,0.00000,0.384,0.052,0
0.4520,0.04810,0.00725,-0.00022,0.06750,0.00000,0.480,0.071,0
0.5040,0.05741,0.00833,-0.00023,0.07530,0.00000,0.579,0.094,0
0.5540,0.06657,0.00933,-0.00025,0.08280,0.00000,0.670,0.119,0
0.6040,0.07586,0.01029,-0.00025,0.09030,0.00000,0.755,0.146,0
0.6540,0.08523,0.01119,-0.00025,0.09780,0.00000,0.830,0.176,0
0.7040,0.09463,0.01203,-0.00024,0.10530,0.00000,0.895,0.208,0
0.7540,0.10403,0.01280,-0.00022,0.11280,0.00000,0.947,0.242,0
0.8040,0.11340,0.01350,-0.00019,0.12030,0.00000,0.986,0.278,0
0.8540,0.12273,0.01412,-0.00016,0.12780,0.00000,1.012,0.314,0
0.9040,0.13199,0.01468,-0.00011,0.13530,0.00000,1.023,0.352,0
0.9540,0.14118,0.01516,-0.00006,0.14280,0.00000,1.022,0.390,0
1.0060,0.15064,0.01559,0.00001,0.15060,0.00000,1.007,0.429,0
1.0560,0.15965,0.01593,0.00008,0.15810,0.00000,0.980,0.467,0
1.1060,0.16856,0.01621,0.00016,0.16560,0.00000,0.942,0.504,0
1.1560,0.17737,0.01641,0.00025,0.17310,0.00000,0.894,0.540,0
1.2060,0.18609,0.01656,0.00034,0.18060,0.00000,0.838,0.575,0
1.2560,0.19470,0.01665,0.00044,0.18810,0.00000,0.773,0.608,0
1.3060,0.20320,0.01668,0.00055,0.19560,0.00000,0.702,0.639,0
1.3560,0.21161,0.01666,0.00066,0.20310,0.00000,0.625,0.668,0
1.4060,0.21992,0.01659,0.00078,0.21060,0.00000,0.544,0.694,0
1.4560,0.22813,0.01647,0.00090,0.21810,0.00000,0.460,0.717,0
1.5060,0.23624,0.01631,0.00102,0.22560,0.00000,0.374,0.738,0
1.5560,0.24426,0.01612,0.00115,0.23310,0.00000,0.286,0.756,0
1.6060,0.25220,0.01588,0.00127,0.24060,0.00000,0.198,0.770,0
1.6560,0.26004,0.01561,0.00140,0.24810,0.00000,0.111,0.782,0
1.7060,0.26781,0.01530,0.00152,0.25560,0.00000,0.025,0.790,0
1.7560,0.27549,0.01497,0.00164,0.26310,0.00000,-0.059,0.794,0
1.8060,0.28311,0.01461,0.00176,0.27060,0.00000,-0.141,0.796,0
1.8560,0.29065,0.01422,0.00188,0.27810,0.00000,-0.219,0.794,0
1.9060,0.29813,0.01381,0.00199,0.28560,0.00000,-0.294,0.789,0
1.9560,0.30554,0.01338,0.00209,0.29310,0.00000,-0.365,0.780,0
2.0080,0.31319,0.01291,0.00220,0.30090,0.00000,-0.434,0.768,0
2.0600,0.32079,0.01241,0.00229,0.30870,0.00000,-0.498,0.753,0
2.1120,0.32832,0.01191,0.00238,0.31650,0.00000,-0.556,0.735,0
2.1640,0.33581,0.01138,0.00246,0.32430,0.00000,-0.610,0.714,0
2.2160,0.34326,0.01084,0.00252,0.33210,0.00000,-0.657,0.691,0
2.2680,0.35066,0.01029,0.00258,0.33990,0.00000,-0.699,0.666,0
2.3200,0.35802,0.00972,0.00263,0.34770,0.00000,-0.736,0.638,0
2.3720,0.36536,0.00914,0.00266,0.35550,0.00000,-0.766,0.609,0
2.4240,0.37266,0.00856,0.00269,0.36330,0.00000,-0.791,0.578,0
2.4760,0.37994,0.00796,0.00270,0.37110,0.00000,-0.811,0.546,0
2.5280,0.38719,0.00736,0.00270,0.37890,0.00000,-0.825,0.512,0
2.5800,0.39443,0.00675,0.00269,0.38670,0.00000,-0.834,0.478,0
2.6320,0.40165,0.00614,0.00267,0.39450,0.00000,-0.838,0.443,0
2.6840,0.40886,0.00552,0.00264,0.40230,0.00000,-0.837,0.408,0
2.7360,0.41606,0.00490,0.00260,0.41010,0.00000,-0.831,0.373,0
2.7880,0.42326,0.00427,0.00254,0.41790,0.00000,-0.822,0.338,0
2.8400,0.43046,0.00365,0.00248,0.42570,0.00000,-0.808,0.303,0
2.8920,0.43766,0.00303,0.00240,0.43350,0.00000,-0.791,0.269,0
2.9440,0.44487,0.00241,0.00232,0.44130,0.00000,-0.770,0.235,0
2.9960,0.45208,0.00179,0.00222,0.44910,0.00000,-0.746,0.201,0
3.0480,0.45930,0.00118,0.00212,0.45690,0.00000,-0.720,0.169,0
3.1000,0.46654,0.00057,0.00201,0.46470,0.00000,-0.691,0.137,0
3.1520,0.47379,-0.00003,0.00189,0.47250,0.00000,-0.659,0.106,0
3.2040,0.48106,-0.00062,0.00176,0.48030,0.00000,-0.626,0.077,0
3.2560,0.48835,-0.00120,0.00163,0.48810,0.00000,-0.592,0.048,0
3.3080,0.49566,-0.00178,0.00150,0.49590,0.00000,-0.556,0.020,0
3.3600,0.50299,-0.00233,0.00136,0.50370,0.00000,-0.519,-0.006,0
3.4120,0.51035,-0.00288,0.00121,0.51150,0.00000,-0.482,-0.032,0
3.4640,0.51774,-0.00341,0.00107,0.51930,0.00000,-0.444,-0.056,0
3.5160,0.52515,-0.00392,0.00092,0.52710,0.00000,-0.406,-0.079,0
3.5680,0.53259,-0.00442,0.00077,0.53490,0.00000,-0.368,-0.101,0
3.6200,0.54006,-0.00489,0.00062,0.54270,0.00000,-0.331,-0.123,0
3.6720,0.54756,-0.00534,0.00047,0.55050,0.00000,-0.294,-0.143,0
3.7240,0.55509,-0.00577,0.00033,0.55830,0.00000,-0.258,-0.162,0
3.7760,0.56264,-0.00618,0.00018,0.56610,0.00000,-0.222,-0.180,0
3.8280,0.57023,-0.00656,0.00004,0.57390,0.00000,-0.188,-0.197,0
3.8800,0.57784,-0.00692,-0.00009,0.58170,0.00000,-0.155,-0.213,0
3.9320,0.58548,-0.00725,-0.00022,0.58950,0.00000,-0.123,-0.228,0
3.9840,0.59315,-0.00755,-0.00035,0.59730,0.00000,-0.093,-0.242,0
4.0360,0.60085,-0.00782,-0.00047,0.60510,0.00000,-0.064,-0.256,0
4.0880,0.60857,-0.00806,-0.00058,0.61290,0.00000,-0.037,-0.268,0
4.1400,0.61631,-0.00826,-0.00068,0.62070,0.00000,-0.011,-0.280,0
4.1920,0.62407,-0.00844,-0.00077,0.62850,0.00000,0.012,-0.291,0
4.2440,0.63186,-0.00858,-0.00086,0.63630,0.00000,0.035,-0.300,0
4.2960,0.63966,-0.00869,-0.00094,0.64410,0.00000,0.055,-0.309,0
4.3480,0.64748,-0.00876,-0.00100,0.65190,0.00000,0.074,-0.318,0
4.4000,0.65531,-0.00879,-0.00106,0.65970,0.00000,0.091,-0.325,0
4.4520,0.66316,-0.00879,-0.00110,0.66750,0.00000,0.106,-0.331,0
4.5040,0.67101,-0.00876,-0.00114,0.67530,0.00000,0.120,-0.337,0
4.5560,0.67888,-0.00869,-0.00116,0.68310,0.00000,0.133,-0.341,0
4.6080,0.68675,-0.00858,-0.00118,0.69090,0.00000,0.144,-0.345,0
4.6600,0.69462,-0.00844,-0.00118,0.69870,0.00000,0.153,-0.348,0
4.7120,0.70250,-0.00826,-0.00117,0.70650,0.00000,0.161,-0.350,0
4.7640,0.71038,-0.00804,-0.00115,0.71430,0.00000,0.169,-0.351,0
4.8160,0.71825,-0.00779,-0.00112,0.72210,0.00000,0.175,-0.351,0
4.8680,0.72612,-0.00751,-0.00109,0.72990,0.00000,0.180,-0.351,0
4.9200,0.73399,-0.00719,-0.00104,0.73770,0.00000,0.184,-0.349,0
4.9720,0.74184,-0.00684,-0.00098,0.74550,0.00000,0.187,-0.347,0
5.0240,0.74969,-0.00646,-0.00091,0.75330,0.00000,0.190,-0.344,0
5.0760,0.75753,-0.00605,-0.00084,0.76110,0.00000,0.192,-0.341,0
5.1280,0.76536,-0.00561,-0.00076,0.76890,0.00000,0.193,-0.337,0
5.1800,0.77317,-0.00514,-0.00067,0.77670,0.00000,0.195,-0.332,0
5.2320,0.78097,-0.00465,-0.00058,0.78450,0.00000,0.195,-0.327,0
5.2840,0.78875,-0.00413,-0.00048,0.79230,0.00000,0.196,-0.321,0
5.3360,0.79652,-0.00359,-0.00038,0.80010,0.00000,0.197,-0.315,0
5.3880,0.80427,-0.00302,-0.00027,0.80790,0.00000,0.198,-0.308,0
5.4400,0.81201,-0.00244,-0.00016,0.81570,0.00000,0.199,-0.302,0
5.4920,0.81972,-0.00184,-0.00005,0.82350,0.00000,0.200,-0.295,0
5.5440,0.82742,-0.00122,0.00006,0.83130,0.00000,0.201,-0.289,0
5.5960,0.83510,-0.00059,0.00017,0.83910,0.00000,0.203,-0.282,0
5.6480,0.84277,0.00005,0.00027,0.84690,0.00000,0.206,-0.276,0
5.7000,0.85042,0.00070,0.00038,0.85470,0.00000,0.209,-0.270,0
5.7520,0.85805,0.00136,0.00048,0.86250,0.00000,0.212,-0.265,0
5.8040,0.86566,0.00202,0.00058,0.87030,0.00000,0.217,-0.261,0
5.8560,0.87326,0.00269,0.00067,0.87810,0.00000,0.222,-0.257,0
5.9080,0.88085,0.00336,0.00076,0.88590,0.00000,0.228,-0.255,0
5.9600,0.88842,0.00402,0.00084,0.89370,0.00000,0.235,-0.253,0
6.0120,0.89598,0.00469,0.00092,0.90150,0.00000,0.244,-0.254,0
6.0640,0.90353,0.00535,0.00098,0.90930,0.00000,0.253,-0.255,0
6.1160,0.91107,0.00600,0.00104,0.91710,0.00000,0.264,-0.259,0
6.1680,0.91860,0.00664,0.00109,0.92490,0.00000,0.276,-0.264,0
6.2200,0.92613,0.00728,0.00112,0.93270,0.00000,0.290,-0.272,0
6.2720,0.93365,0.00790,0.00115,0.94050,0.00000,0.304,-0.281,0
6.3240,0.94117,0.00851,0.00117,0.94830,0.00000,0.321,-0.294,0
6.3760,0.94869,0.00910,0.00117,0.95610,0.00000,0.339,-0.309,0
6.4280,0.95621,0.00967,0.00117,0.96390,0.00000,0.358,-0.327,0
6.4800,0.96374,0.01022,0.00115,0.97170,0.00000,0.379,-0.347,0
6.5320,0.97127,0.01076,0.00112,0.97950,0.00000,0.401,-0.371,0
6.5840,0.97881,0.01127,0.00108,0.98730,0.00000,0.426,-0.399,0
6.6360,0.98635,0.01176,0.00103,0.99510,0.00000,0.451,-0.429,0
