t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00018,0.00012,0.00000,0.00750,0.00000,0.000,-0.000,0
0.1020,0.00131,0.00041,0.00001,0.01500,0.00000,0.003,-0.000,0
0.1520,0.00401,0.00083,0.00002,0.02250,0.00000,0.014,-0.001,0
0.2020,0.00811,0.00135,0.00003,0.03000,0.00000,0.038,-0.002,0
0.2520,0.01331,0.00195,0.00004,0.03750,0.00000,0.076,-0.005,0
0.3020,0.01939,0.00260,0.00005,0.04500,0.00000,0.128,-0.010,0
0.3520,0.02615,0.00329,0.00007,0.05250,0.00000,0.192,-0.016,0
0.4020,0.03344,0.00401,0.00008,0.06000,0.00000,0.265,-0.024,0
0.4520,0.04113,0.00473,0.00010,0.06750,0.00000,0.346,-0.034,0
0.5040,0.04946,0.00548,0.00012,0.07530,0.00000,0.435,-0.046,0
0.5540,0.05769,0.00618,0.00013,0.08280,0.00000,0.523,-0.060,0
0.6040,0.06609,0.00687,0.00015,0.09030,0.00000,0.611,-0.076,0
0.6540,0.07459,0.00754,0.00016,0.09780,0.00000,0.696,-0.094,0
0.7040,0.08317,0.00817,0.00018,0.10530,0.00000,0.778,-0.114,0
0.7540,0.09178,0.00878,0.00019,0.11280,0.00000,0.855,-0.135,0
0.8040,0.10042,0.00935,0.00021,0.12030,0.00000,0.926,-0.159,0
0.8540,0.10905,0.00988,0.00022,0.12780,0.00000,0.990,-0.185,0
0.9040,0.11767,0.01037,0.00024,0.13530,0.00000,1.048,-0.212,0
0.9540,0.12627,0.01083,0.00025,0.14280,0.00000,1.098,-0.241,0
1.0060,0.13518,0.01126,0.00026,0.15060,0.00000,1.143,-0.273,0
1.0560,0.14370,0.01163,0.00027,0.15810,0.00000,1.178,-0.305,0
1.1060,0.15219,0.01197,0.00028,0.16560,0.00000,1.207,-0.338,0
1.1560,0.16063,0.01227,0.00029,0.17310,0.00000,1.229,-0.373,0
1.2060,0.16903,0.01254,0.00030,0.18060,0.00000,1.245,-0.409,0
1.2560,0.17739,0.01277,0.00031,0.18810,0.00000,1.255,-0.446,0
1.3060,0.18570,0.01297,0.00032,0.19560,0.00000,1.259,-0.483,0
1.3560,0.19397,0.01313,0.00033,0.20310,0.00000,1.258,-0.522,0
1.4060,0.20219,0.01327,0.00033,0.21060,0.00000,1.253,-0.561,0
1.4560,0.21038,0.01338,0.00034,0.21810,0.00000,1.244,-0.601,0
1.5060,0.21852,0.01346,0.00034,0.22560,0.00000,1.232,-0.641,0
1.5560,0.22662,0.01352,0.00034,0.23310,0.00000,1.216,-0.682,0
1.6060,0.23469,0.01355,0.00035,0.24060,0.00000,1.197,-0.722,0
1.6560,0.24273,0.01356,0.00035,0.24810,0.00000,1.177,-0.763,0
1.7060,0.25073,0.01355,0.00035,0.25560,0.00000,1.154,-0.803,0
1.7560,0.25870,0.01353,0.00035,0.26310,0.00000,1.130,-0.844,0
1.8060,0.26663,0.01348,0.00035,0.27060,0.00000,1.104,-0.884,0
1.8560,0.27454,0.01342,0.00035,0.27810,0.00000,1.077,-0.923,0
1.9060,0.28243,0.01335,0.00035,0.28560,0.00000,1.050,-0.962,0
1.9560,0.29028,0.01326,0.00034,0.29310,0.00000,1.022,-1.001,0
2.0080,0.29843,0.01316,0.00034,0.30090,0.00000,0.993,-1.040,0
2.0600,0.30655,0.01304,0.00034,0.30870,0.00000,0.963,-1.077,0
2.1120,0.31465,0.01291,0.00033,0.31650,0.00000,0.933,-1.114,0
2.1640,0.32272,0.01278,0.00033,0.32430,0.00000,0.904,-1.150,0
2.2160,0.33078,0.01263,0.00032,0.33210,0.00000,0.875,-1.184,0
2.2680,0.33882,0.01248,0.00032,0.33990,0.00000,0.846,-1.217,0
2.3200,0.34683,0.01233,0.00031,0.34770,0.00000,0.818,-1.248,0
2.3720,0.35484,0.01216,0.00030,0.35550,0.00000,0.790,-1.277,0
2.4240,0.36282,0.01199,0.00030,0.36330,0.00000,0.763,-1.305,0
2.4760,0.37079,0.01182,0.00029,0.37110,0.00000,0.737,-1.331,0
2.5280,0.37875,0.01165,0.00028,0.37890,0.00000,0.711,-1.355,0
2.5800,0.38669,0.01147,0.00027,0.38670,0.00000,0.686,-1.377,0
2.6320,0.39463,0.01129,0.00027,0.39450,0.00000,0.662,-1.396,0
2.6840,0.40255,0.01111,0.00026,0.40230,0.00000,0.638,-1.414,0
