t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09962,0.04966,0.00006,0.00000,0.00000,0.005,0.005,0
0.1020,0.09850,0.04892,0.00014,0.00000,0.00000,-0.003,0.014,0
0.1520,0.09662,0.04789,0.00021,0.00000,0.00000,-0.022,0.024,0
0.2020,0.09403,0.04663,0.00026,0.00000,0.00000,-0.030,0.034,0
0.2520,0.09085,0.04519,0.00030,0.00000,0.00000,-0.031,0.042,0
0.3020,0.08720,0.04358,0.00033,0.00000,0.00000,-0.029,0.050,0
0.3520,0.08319,0.04185,0.00035,0.00000,0.00000,-0.023,0.058,0
0.4020,0.07892,0.04002,0.00035,0.00000,0.00000,-0.016,0.065,0
0.4520,0.07446,0.03811,0.00035,0.00000,0.00000,-0.007,0.071,0
0.5040,0.06971,0.03606,0.00034,0.00000,0.00000,0.002,0.078,0
0.5540,0.06510,0.03406,0.00032,0.00000,0.00000,0.011,0.084,0
0.6040,0.06050,0.03206,0.00029,0.00000,0.00000,0.021,0.090,0
0.6540,0.05595,0.03006,0.00025,0.00000,0.00000,0.029,0.095,0
0.7040,0.05149,0.02807,0.00021,0.00000,0.00000,0.038,0.101,0
0.7540,0.04716,0.02610,0.00017,0.00000,0.00000,0.046,0.105,0
0.8040,0.04298,0.02418,0.00012,0.00000,0.00000,0.054,0.110,0
0.8540,0.03898,0.02232,0.00007,0.00000,0.00000,0.061,0.115,0
0.9040,0.03516,0.02050,0.00001,0.00000,0.00000,0.067,0.119,0
0.9540,0.03153,0.01875,-0.00005,0.00000,0.00000,0.074,0.123,0
1.0060,0.02798,0.01702,-0.00012,0.00000,0.00000,0.079,0.126,0
1.0560,0.02478,0.01543,-0.00018,0.00000,0.00000,0.083,0.129,0
1.1060,0.02179,0.01391,-0.00025,0.00000,0.00000,0.086,0.132,0
1.1560,0.01901,0.01247,-0.00032,0.00000,0.00000,0.090,0.134,0
1.2060,0.01644,0.01113,-0.00039,0.00000,0.00000,0.092,0.137,0
1.2560,0.01407,0.00987,-0.00047,0.00000,0.00000,0.093,0.138,0
1.3060,0.01190,0.00869,-0.00054,0.00000,0.00000,0.094,0.139,0
1.3560,0.00992,0.00758,-0.00061,0.00000,0.00000,0.094,0.140,0
1.4060,0.00812,0.00655,-0.00069,0.00000,0.00000,0.094,0.141,0
1.4560,0.00649,0.00561,-0.00076,0.00000,0.00000,0.093,0.141,0
1.5060,0.00503,0.00474,-0.00084,0.00000,0.00000,0.092,0.141,0
1.5560,0.00372,0.00394,-0.00092,0.00000,0.00000,0.090,0.141,0
1.6060,0.00256,0.00322,-0.00099,0.00000,0.00000,0.088,0.140,0
1.6560,0.00153,0.00256,-0.00107,0.00000,0.00000,0.085,0.139,0
1.7060,0.00063,0.00198,-0.00114,0.00000,0.00000,0.083,0.138,0
1.7560,-0.00016,0.00144,-0.00122,0.00000,0.00000,0.080,0.136,0
1.8060,-0.00083,0.00097,-0.00129,0.00000,0.00000,0.076,0.134,0
1.8560,-0.00141,0.00056,-0.00137,0.00000,0.00000,0.073,0.132,0
1.9060,-0.00191,0.00021,-0.00144,0.00000,0.00000,0.069,0.130,0
1.9560,-0.00232,-0.00009,-0.00151,0.00000,0.00000,0.065,0.128,0
2.0080,-0.00267,-0.00036,-0.00159,0.00000,0.00000,0.061,0.125,0
2.0600,-0.00295,-0.00059,-0.00166,0.00000,0.00000,0.057,0.122,0
2.1120,-0.00316,-0.00078,-0.00173,0.00000,0.00000,0.053,0.118,0
2.1640,-0.00332,-0.00094,-0.00180,0.00000,0.00000,0.050,0.115,0
2.2160,-0.00343,-0.00106,-0.00187,0.00000,0.00000,0.046,0.112,0
2.2680,-0.00349,-0.00117,-0.00193,0.00000,0.00000,0.043,0.108,0
2.3200,-0.00352,-0.00123,-0.00200,0.00000,0.00000,0.040,0.105,0
2.3720,-0.00352,-0.00127,-0.00206,0.00000,0.00000,0.036,0.101,0
2.4240,-0.00349,-0.00128,-0.00212,0.00000,0.00000,0.033,0.097,0
2.4760,-0.00344,-0.00126,-0.00218,0.00000,0.00000,0.030,0.094,0
2.5280,-0.00337,-0.00123,-0.00224,0.00000,0.00000,0.027,0.090,0
2.5800,-0.00329,-0.00119,-0.00230,0.00000,0.00000,0.024,0.086,0
2.6320,-0.00319,-0.00115,-0.00235,0.00000,0.00000,0.021,0.082,0
2.6840,-0.00308,-0.00109,-0.00240,0.00000,0.00000,0.019,0.078,0
2.7360,-0.00296,-0.00102,-0.00245,0.00000,0.00000,0.017,0.074,0
2.7880,-0.00284,-0.00094,-0.00249,0.00000,0.00000,0.015,0.071,0
2.8400,-0.00272,-0.00086,-0.00253,0.00000,0.00000,0.013,0.067,0
2.8920,-0.00259,-0.00077,-0.00257,0.00000,0.00000,0.012,0.063,0
2.9440,-0.00246,-0.00068,-0.00261,0.00000,0.00000,0.010,0.060,0
2.9960,-0.00234,-0.00058,-0.00264,0.00000,0.00000,0.008,0.056,0
3.0480,-0.00222,-0.00047,-0.00267,0.00000,0.00000,0.007,0.053,0
3.1000,-0.00209,-0.00037,-0.00270,0.00000,0.00000,0.005,0.049,0
3.1520,-0.00197,-0.00028,-0.00273,0.00000,0.00000,0.004,0.046,0
3.2040,-0.00186,-0.00019,-0.00275,0.00000,0.00000,0.003,0.043,0
3.2560,-0.00174,-0.00010,-0.00277,0.00000,0.00000,0.002,0.040,0
3.3080,-0.00163,0.00000,-0.00278,0.00000,0.00000,0.001,0.037,0
3.3600,-0.00153,0.00011,-0.00280,0.00000,0.00000,0.001,0.034,0
3.4120,-0.00143,0.00022,-0.00281,0.00000,0.00000,-0.000,0.032,0
3.4640,-0.00133,0.00031,-0.00281,0.00000,0.00000,-0.001,0.029,0
3.5160,-0.00124,0.00040,-0.00282,0.00000,0.00000,-0.002,0.027,0
3.5680,-0.00115,0.00048,-0.00282,0.00000,0.00000,-0.002,0.025,0
3.6200,-0.00106,0.00057,-0.00282,0.00000,0.00000,-0.003,0.023,0
3.6720,-0.00098,0.00064,-0.00281,0.00000,0.00000,-0.003,0.021,0
3.7240,-0.00090,0.00070,-0.00280,0.00000,0.00000,-0.004,0.019,0
3.7760,-0.00082,0.00077,-0.00279,0.00000,0.00000,-0.004,0.018,0
3.8280,-0.00075,0.00085,-0.00278,0.00000,0.00000,-0.004,0.016,0
3.8800,-0.00068,0.00092,-0.00277,0.00000,0.00000,-0.004,0.015,0
3.9320,-0.00061,0.00099,-0.00275,0.00000,0.00000,-0.005,0.014,0
3.9840,-0.00055,0.00105,-0.00273,0.00000,0.00000,-0.005,0.013,0
4.0360,-0.00049,0.00111,-0.00271,0.00000,0.00000,-0.005,0.012,0
4.0880,-0.00043,0.00116,-0.00268,0.00000,0.00000,-0.005,0.011,0
4.1400,-0.00037,0.00120,-0.00266,0.00000,0.00000,-0.005,0.011,0
4.1920,-0.00032,0.00125,-0.00263,0.00000,0.00000,-0.005,0.010,0
4.2440,-0.00027,0.00130,-0.00260,0.00000,0.00000,-0.005,0.010,0
4.2960,-0.00022,0.00136,-0.00257,0.00000,0.00000,-0.005,0.010,0
4.3480,-0.00018,0.00141,-0.00254,0.00000,0.00000,-0.005,0.010,0
4.4000,-0.00014,0.00146,-0.00251,0.00000,0.00000,-0.005,0.010,0
4.4520,-0.00010,0.00151,-0.00248,0.00000,0.00000,-0.005,0.010,0
4.5040,-0.00006,0.00156,-0.00244,0.00000,0.00000,-0.005,0.010,0
4.5560,-0.00003,0.00161,-0.00241,0.00000,0.00000,-0.005,0.010,0
4.6080,-0.00000,0.00167,-0.00238,0.00000,0.00000,-0.005,0.010,0
4.6600,0.00003,0.00171,-0.00235,0.00000,0.00000,-0.005,0.011,0
4.7120,0.00005,0.00176,-0.00231,0.00000,0.00000,-0.005,0.011,0
4.7640,0.00007,0.00182,-0.00228,0.00000,0.00000,-0.005,0.011,0
4.8160,0.00009,0.00187,-0.00225,0.00000,0.00000,-0.005,0.011,0
4.8680,0.00010,0.00193,-0.00222,0.00000,0.00000,-0.004,0.012,0
4.9200,0.00011,0.00198,-0.00220,0.00000,0.00000,-0.004,0.012,0
4.9720,0.00012,0.00203,-0.00217,0.00000,0.00000,-0.004,0.012,0
5.0240,0.00013,0.00209,-0.00214,0.00000,0.00000,-0.004,0.013,0
5.0760,0.00013,0.00215,-0.00212,0.00000,0.00000,-0.004,0.013,0
5.1280,0.00013,0.00221,-0.00210,0.00000,0.00000,-0.004,0.013,0
5.1800,0.00012,0.00225,-0.00208,0.00000,0.00000,-0.004,0.013,0
5.2320,0.00012,0.00229,-0.00206,0.00000,0.00000,-0.004,0.013,0
5.2840,0.00011,0.00234,-0.00205,0.00000,0.00000,-0.004,0.013,0
5.3360,0.00010,0.00239,-0.00204,0.00000,0.00000,-0.004,0.013,0
5.3880,0.00008,0.00244,-0.00202,0.00000,0.00000,-0.004,0.013,0
5.4400,0.00007,0.00248,-0.00202,0.00000,0.00000,-0.004,0.012,0
5.4920,0.00005,0.00253,-0.00201,0.00000,0.00000,-0.005,0.012,0
5.5440,0.00003,0.00258,-0.00201,0.00000,0.00000,-0.005,0.011,0
5.5960,0.00001,0.00261,-0.00201,0.00000,0.00000,-0.005,0.011,0
5.6480,-0.00002,0.00264,-0.00201,0.00000,0.00000,-0.005,0.010,0
5.7000,-0.00004,0.00267,-0.00201,0.00000,0.00000,-0.005,0.009,0
5.7520,-0.00007,0.00271,-0.00202,0.00000,0.00000,-0.005,0.009,0
5.8040,-0.00009,0.00275,-0.00203,0.00000,0.00000,-0.005,0.008,0
5.8560,-0.00012,0.00278,-0.00204,0.00000,0.00000,-0.005,0.007,0
5.9080,-0.00015,0.00280,-0.00205,0.00000,0.00000,-0.006,0.005,0
5.9600,-0.00018,0.00281,-0.00207,0.00000,0.00000,-0.006,0.004,0
6.0120,-0.00020,0.00281,-0.00208,0.00000,0.00000,-0.006,0.003,0
6.0640,-0.00023,0.00281,-0.00210,0.00000,0.00000,-0.006,0.002,0
6.1160,-0.00025,0.00280,-0.00212,0.00000,0.00000,-0.006,0.001,0
