t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09938,0.04977,0.00006,0.00000,0.00000,0.012,0.003,0
0.1020,0.09774,0.04922,0.00014,0.00000,0.00000,0.030,0.002,0
0.1520,0.09532,0.04839,0.00021,0.00000,0.00000,0.045,-0.005,0
0.2020,0.09225,0.04730,0.00026,0.00000,0.00000,0.057,-0.010,0
0.2520,0.08866,0.04599,0.00030,0.00000,0.00000,0.066,-0.015,0
0.3020,0.08465,0.04451,0.00032,0.00000,0.00000,0.072,-0.019,0
0.3520,0.08034,0.04289,0.00034,0.00000,0.00000,0.076,-0.022,0
0.4020,0.07580,0.04115,0.00034,0.00000,0.00000,0.077,-0.025,0
0.4520,0.07112,0.03931,0.00033,0.00000,0.00000,0.076,-0.028,0
0.5040,0.06617,0.03734,0.00031,0.00000,0.00000,0.072,-0.030,0
0.5540,0.06140,0.03540,0.00029,0.00000,0.00000,0.067,-0.032,0
0.6040,0.05667,0.03343,0.00026,0.00000,0.00000,0.061,-0.034,0
0.6540,0.05201,0.03146,0.00022,0.00000,0.00000,0.054,-0.036,0
0.7040,0.04748,0.02950,0.00018,0.00000,0.00000,0.047,-0.037,0
0.7540,0.04310,0.02756,0.00013,0.00000,0.00000,0.039,-0.039,0
0.8040,0.03889,0.02565,0.00008,0.00000,0.00000,0.031,-0.039,0
0.8540,0.03488,0.02379,0.00002,0.00000,0.00000,0.023,-0.040,0
0.9040,0.03107,0.02198,-0.00004,0.00000,0.00000,0.015,-0.041,0
0.9540,0.02749,0.02023,-0.00010,0.00000,0.00000,0.008,-0.041,0
1.0060,0.02399,0.01847,-0.00017,0.00000,0.00000,0.001,-0.041,0
1.0560,0.02086,0.01686,-0.00024,0.00000,0.00000,-0.005,-0.042,0
1.1060,0.01797,0.01531,-0.00031,0.00000,0.00000,-0.011,-0.042,0
1.1560,0.01530,0.01384,-0.00038,0.00000,0.00000,-0.015,-0.042,0
1.2060,0.01285,0.01245,-0.00045,0.00000,0.00000,-0.019,-0.042,0
1.2560,0.01062,0.01113,-0.00052,0.00000,0.00000,-0.023,-0.041,0
1.3060,0.00860,0.00990,-0.00059,0.00000,0.00000,-0.025,-0.041,0
1.3560,0.00679,0.00873,-0.00067,0.00000,0.00000,-0.027,-0.041,0
1.4060,0.00517,0.00765,-0.00074,0.00000,0.00000,-0.029,-0.040,0
1.4560,0.00374,0.00664,-0.00082,0.00000,0.00000,-0.029,-0.040,0
1.5060,0.00247,0.00570,-0.00089,0.00000,0.00000,-0.030,-0.039,0
1.5560,0.00138,0.00483,-0.00096,0.00000,0.00000,-0.030,-0.038,0
1.6060,0.00043,0.00403,-0.00104,0.00000,0.00000,-0.029,-0.037,0
1.6560,-0.00038,0.00330,-0.00111,0.00000,0.00000,-0.028,-0.036,0
1.7060,-0.00106,0.00263,-0.00119,0.00000,0.00000,-0.027,-0.035,0
1.7560,-0.00161,0.00202,-0.00126,0.00000,0.00000,-0.026,-0.034,0
1.8060,-0.00207,0.00147,-0.00133,0.00000,0.00000,-0.024,-0.033,0
1.8560,-0.00242,0.00097,-0.00140,0.00000,0.00000,-0.022,-0.031,0
1.9060,-0.00270,0.00053,-0.00147,0.00000,0.00000,-0.021,-0.030,0
1.9560,-0.00290,0.00013,-0.00154,0.00000,0.00000,-0.019,-0.028,0
2.0080,-0.00303,-0.00024,-0.00162,0.00000,0.00000,-0.017,-0.027,0
2.0600,-0.00309,-0.00055,-0.00169,0.00000,0.00000,-0.015,-0.025,0
2.1120,-0.00309,-0.00083,-0.00176,0.00000,0.00000,-0.014,-0.023,0
