t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09942,0.04975,-0.00001,0.00000,0.00000,-0.006,0.005,0
0.1020,0.09789,0.04904,-0.00004,0.00000,0.00000,-0.013,0.008,0
0.1520,0.09556,0.04794,-0.00009,0.00000,0.00000,-0.017,0.003,0
0.2020,0.09257,0.04650,-0.00016,0.00000,0.00000,-0.024,-0.003,0
0.2520,0.08906,0.04475,-0.00023,0.00000,0.00000,-0.032,-0.008,0
0.3020,0.08512,0.04274,-0.00032,0.00000,0.00000,-0.042,-0.012,0
0.3520,0.08086,0.04051,-0.00041,0.00000,0.00000,-0.052,-0.016,0
0.4020,0.07637,0.03810,-0.00051,0.00000,0.00000,-0.062,-0.019,0
0.4520,0.07173,0.03553,-0.00060,0.00000,0.00000,-0.072,-0.022,0
0.5040,0.06681,0.03273,-0.00070,0.00000,0.00000,-0.082,-0.024,0
0.5540,0.06205,0.02995,-0.00080,0.00000,0.00000,-0.090,-0.025,0
0.6040,0.05731,0.02710,-0.00089,0.00000,0.00000,-0.097,-0.026,0
0.6540,0.05264,0.02420,-0.00097,0.00000,0.00000,-0.102,-0.027,0
0.7040,0.04806,0.02128,-0.00104,0.00000,0.00000,-0.106,-0.027,0
0.7540,0.04361,0.01836,-0.00110,0.00000,0.00000,-0.109,-0.027,0
0.8040,0.03931,0.01547,-0.00116,0.00000,0.00000,-0.111,-0.027,0
0.8540,0.03518,0.01260,-0.00120,0.00000,0.00000,-0.111,-0.026,0
0.9040,0.03123,0.00980,-0.00122,0.00000,0.00000,-0.110,-0.026,0
0.9540,0.02747,0.00707,-0.00123,0.00000,0.00000,-0.108,-0.025,0
1.0060,0.02377,0.00429,-0.00123,0.00000,0.00000,-0.106,-0.024,0
1.0560,0.02043,0.00171,-0.00121,0.00000,0.00000,-0.102,-0.023,0
1.1060,0.01729,-0.00077,-0.00118,0.00000,0.00000,-0.097,-0.021,0
1.1560,0.01435,-0.00314,-0.00113,0.00000,0.00000,-0.092,-0.020,0
1.2060,0.01161,-0.00541,-0.00106,0.00000,0.00000,-0.087,-0.019,0
1.2560,0.00908,-0.00757,-0.00098,0.00000,0.00000,-0.081,-0.017,0
1.3060,0.00673,-0.00962,-0.00089,0.00000,0.00000,-0.075,-0.016,0
1.3560,0.00457,-0.01153,-0.00077,0.00000,0.00000,-0.069,-0.015,0
1.4060,0.00258,-0.01330,-0.00065,0.00000,0.00000,-0.063,-0.013,0
1.4560,0.00077,-0.01495,-0.00051,0.00000,0.00000,-0.057,-0.012,0
1.5060,-0.00089,-0.01646,-0.00035,0.00000,0.00000,-0.051,-0.011,0
1.5560,-0.00239,-0.01783,-0.00019,0.00000,0.00000,-0.046,-0.010,0
1.6060,-0.00376,-0.01906,-0.00001,0.00000,0.00000,-0.040,-0.009,0
1.6560,-0.00498,-0.02016,0.00018,0.00000,0.00000,-0.035,-0.008,0
1.7060,-0.00609,-0.02112,0.00038,0.00000,0.00000,-0.030,-0.006,0
1.7560,-0.00708,-0.02193,0.00059,0.00000,0.00000,-0.026,-0.006,0
1.8060,-0.00797,-0.02260,0.00081,0.00000,0.00000,-0.022,-0.005,0
1.8560,-0.00876,-0.02314,0.00103,0.00000,0.00000,-0.018,-0.004,0
1.9060,-0.00946,-0.02356,0.00125,0.00000,0.00000,-0.015,-0.003,0
1.9560,-0.01008,-0.02386,0.00148,0.00000,0.00000,-0.012,-0.002,0
2.0080,-0.01064,-0.02404,0.00173,0.00000,0.00000,-0.010,-0.002,0
2.0600,-0.01114,-0.02410,0.00197,0.00000,0.00000,-0.008,-0.001,0
2.1120,-0.01157,-0.02401,0.00221,0.00000,0.00000,-0.006,-0.001,0
2.1640,-0.01196,-0.02381,0.00245,0.00000,0.00000,-0.005,-0.000,0
2.2160,-0.01230,-0.02348,0.00269,0.00000,0.00000,-0.004,-0.000,0
2.2680,-0.01261,-0.02301,0.00292,0.00000,0.00000,-0.003,-0.000,0
2.3200,-0.01288,-0.02242,0.00314,0.00000,0.00000,-0.003,-0.000,0
2.3720,-0.01313,-0.02174,0.00335,0.00000,0.00000,-0.002,-0.000,0
2.4240,-0.01336,-0.02096,0.00356,0.00000,0.00000,-0.002,-0.000,0
2.4760,-0.01357,-0.02011,0.00375,0.00000,0.00000,-0.003,-0.000,0
2.5280,-0.01377,-0.01918,0.00394,0.00000,0.00000,-0.003,-0.001,0
2.5800,-0.01396,-0.01818,0.00411,0.00000,0.00000,-0.003,-0.001,0
2.6320,-0.01415,-0.01710,0.00426,0.00000,0.00000,-0.004,-0.001,0
2.6840,-0.01434,-0.01596,0.00440,0.00000,0.00000,-0.004,-0.002,0
2.7360,-0.01454,-0.01475,0.00452,0.00000,0.00000,-0.005,-0.002,0
2.7880,-0.01473,-0.01350,0.00463,0.00000,0.00000,-0.005,-0.003,0
2.8400,-0.01493,-0.01220,0.00472,0.00000,0.00000,-0.006,-0.004,0
2.8920,-0.01514,-0.01087,0.00479,0.00000,0.00000,-0.006,-0.005,0
2.9440,-0.01536,-0.00952,0.00484,0.00000,0.00000,-0.006,-0.005,0
2.9960,-0.01558,-0.00816,0.00488,0.00000,0.00000,-0.006,-0.006,0
3.0480,-0.01581,-0.00679,0.00489,0.00000,0.00000,-0.006,-0.007,0
3.1000,-0.01605,-0.00543,0.00489,0.00000,0.00000,-0.006,-0.008,0
3.1520,-0.01630,-0.00406,0.00486,0.00000,0.00000,-0.006,-0.009,0
3.2040,-0.01656,-0.00270,0.00482,0.00000,0.00000,-0.006,-0.010,0
3.2560,-0.01682,-0.00135,0.00476,0.00000,0.00000,-0.005,-0.011,0
3.3080,-0.01710,-0.00002,0.00468,0.00000,0.00000,-0.004,-0.012,0
3.3600,-0.01738,0.00126,0.00458,0.00000,0.00000,-0.003,-0.013,0
3.4120,-0.01766,0.00250,0.00447,0.00000,0.00000,-0.002,-0.014,0
3.4640,-0.01794,0.00370,0.00434,0.00000,0.00000,-0.001,-0.015,0
3.5160,-0.01823,0.00484,0.00420,0.00000,0.00000,0.000,-0.016,0
3.5680,-0.01852,0.00595,0.00404,0.00000,0.00000,0.002,-0.017,0
3.6200,-0.01882,0.00700,0.00387,0.00000,0.00000,0.004,-0.018,0
3.6720,-0.01911,0.00802,0.00369,0.00000,0.00000,0.006,-0.019,0
3.7240,-0.01940,0.00899,0.00349,0.00000,0.00000,0.008,-0.020,0
3.7760,-0.01969,0.00990,0.00329,0.00000,0.00000,0.010,-0.021,0
3.8280,-0.01997,0.01075,0.00307,0.00000,0.00000,0.013,-0.022,0
3.8800,-0.02025,0.01154,0.00285,0.00000,0.00000,0.016,-0.023,0
3.9320,-0.02051,0.01226,0.00263,0.00000,0.00000,0.018,-0.024,0
3.9840,-0.02077,0.01292,0.00240,0.00000,0.00000,0.021,-0.025,0
4.0360,-0.02101,0.01352,0.00217,0.00000,0.00000,0.024,-0.026,0
4.0880,-0.02124,0.01408,0.00193,0.00000,0.00000,0.027,-0.026,0
4.1400,-0.02146,0.01459,0.00170,0.00000,0.00000,0.030,-0.027,0
