t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09941,0.05004,-0.00001,0.00000,0.00000,0.026,0.009,0
0.1020,0.09786,0.05012,-0.00005,0.00000,0.00000,0.081,0.018,0
0.1520,0.09553,0.05027,-0.00010,0.00000,0.00000,0.134,0.020,0
0.2020,0.09258,0.05046,-0.00017,0.00000,0.00000,0.175,0.019,0
0.2520,0.08914,0.05068,-0.00024,0.00000,0.00000,0.204,0.018,0
0.3020,0.08535,0.05094,-0.00033,0.00000,0.00000,0.225,0.017,0
0.3520,0.08129,0.05122,-0.00042,0.00000,0.00000,0.239,0.016,0
0.4020,0.07707,0.05154,-0.00051,0.00000,0.00000,0.247,0.015,0
0.4520,0.07275,0.05187,-0.00060,0.00000,0.00000,0.252,0.015,0
0.5040,0.06824,0.05224,-0.00070,0.00000,0.00000,0.254,0.014,0
0.5540,0.06393,0.05261,-0.00079,0.00000,0.00000,0.253,0.014,0
0.6040,0.05969,0.05299,-0.00087,0.00000,0.00000,0.251,0.013,0
0.6540,0.05558,0.05338,-0.00095,0.00000,0.00000,0.248,0.013,0
0.7040,0.05162,0.05377,-0.00101,0.00000,0.00000,0.244,0.013,0
0.7540,0.04782,0.05418,-0.00107,0.00000,0.00000,0.239,0.013,0
0.8040,0.04421,0.05459,-0.00112,0.00000,0.00000,0.235,0.013,0
0.8540,0.04080,0.05500,-0.00115,0.00000,0.00000,0.230,0.013,0
0.9040,0.03760,0.05542,-0.00117,0.00000,0.00000,0.226,0.013,0
0.9540,0.03461,0.05583,-0.00118,0.00000,0.00000,0.222,0.013,0
1.0060,0.03174,0.05625,-0.00117,0.00000,0.00000,0.217,0.013,0
1.0560,0.02920,0.05664,-0.00115,0.00000,0.00000,0.213,0.013,0
1.1060,0.02687,0.05701,-0.00111,0.00000,0.00000,0.210,0.013,0
1.1560,0.02475,0.05738,-0.00106,0.00000,0.00000,0.206,0.013,0
1.2060,0.02282,0.05772,-0.00099,0.00000,0.00000,0.203,0.013,0
1.2560,0.02109,0.05803,-0.00090,0.00000,0.00000,0.199,0.013,0
1.3060,0.01954,0.05831,-0.00080,0.00000,0.00000,0.196,0.013,0
1.3560,0.01816,0.05857,-0.00069,0.00000,0.00000,0.192,0.013,0
1.4060,0.01693,0.05880,-0.00056,0.00000,0.00000,0.189,0.013,0
1.4560,0.01584,0.05900,-0.00042,0.00000,0.00000,0.185,0.013,0
1.5060,0.01489,0.05915,-0.00027,0.00000,0.00000,0.182,0.012,0
1.5560,0.01406,0.05927,-0.00010,0.00000,0.00000,0.178,0.012,0
1.6060,0.01334,0.05935,0.00008,0.00000,0.00000,0.175,0.011,0
1.6560,0.01272,0.05938,0.00027,0.00000,0.00000,0.171,0.011,0
1.7060,0.01218,0.05937,0.00047,0.00000,0.00000,0.167,0.010,0
1.7560,0.01172,0.05931,0.00067,0.00000,0.00000,0.163,0.010,0
1.8060,0.01132,0.05921,0.00089,0.00000,0.00000,0.158,0.009,0
1.8560,0.01098,0.05905,0.00111,0.00000,0.00000,0.154,0.008,0
1.9060,0.01069,0.05884,0.00133,0.00000,0.00000,0.149,0.008,0
1.9560,0.01045,0.05857,0.00156,0.00000,0.00000,0.144,0.007,0
2.0080,0.01025,0.05822,0.00180,0.00000,0.00000,0.139,0.006,0
2.0600,0.01006,0.05781,0.00204,0.00000,0.00000,0.133,0.006,0
2.1120,0.00990,0.05735,0.00228,0.00000,0.00000,0.128,0.005,0
2.1640,0.00975,0.05683,0.00252,0.00000,0.00000,0.122,0.004,0
2.2160,0.00961,0.05626,0.00275,0.00000,0.00000,0.116,0.003,0
2.2680,0.00946,0.05564,0.00298,0.00000,0.00000,0.111,0.003,0
2.3200,0.00931,0.05497,0.00320,0.00000,0.00000,0.105,0.002,0
2.3720,0.00916,0.05424,0.00341,0.00000,0.00000,0.100,0.001,0
2.4240,0.00900,0.05346,0.00361,0.00000,0.00000,0.094,0.001,0
2.4760,0.00884,0.05262,0.00381,0.00000,0.00000,0.089,0.000,0
2.5280,0.00868,0.05172,0.00399,0.00000,0.00000,0.084,-0.000,0
2.5800,0.00851,0.05077,0.00415,0.00000,0.00000,0.078,-0.001,0
2.6320,0.00832,0.04978,0.00430,0.00000,0.00000,0.073,-0.001,0
2.6840,0.00812,0.04874,0.00444,0.00000,0.00000,0.068,-0.002,0
2.7360,0.00791,0.04767,0.00456,0.00000,0.00000,0.064,-0.002,0
2.7880,0.00770,0.04656,0.00466,0.00000,0.00000,0.059,-0.002,0
2.8400,0.00747,0.04541,0.00475,0.00000,0.00000,0.055,-0.002,0
2.8920,0.00723,0.04424,0.00482,0.00000,0.00000,0.051,-0.003,0
2.9440,0.00699,0.04302,0.00487,0.00000,0.00000,0.047,-0.003,0
2.9960,0.00675,0.04178,0.00490,0.00000,0.00000,0.043,-0.003,0
3.0480,0.00652,0.04050,0.00491,0.00000,0.00000,0.040,-0.003,0
3.1000,0.00628,0.03920,0.00490,0.00000,0.00000,0.036,-0.003,0
3.1520,0.00605,0.03788,0.00487,0.00000,0.00000,0.033,-0.003,0
3.2040,0.00582,0.03656,0.00483,0.00000,0.00000,0.030,-0.003,0
3.2560,0.00559,0.03522,0.00476,0.00000,0.00000,0.027,-0.003,0
3.3080,0.00537,0.03387,0.00468,0.00000,0.00000,0.025,-0.003,0
3.3600,0.00516,0.03252,0.00458,0.00000,0.00000,0.022,-0.003,0
3.4120,0.00498,0.03115,0.00447,0.00000,0.00000,0.020,-0.003,0
3.4640,0.00481,0.02979,0.00433,0.00000,0.00000,0.018,-0.002,0
3.5160,0.00465,0.02842,0.00419,0.00000,0.00000,0.015,-0.002,0
3.5680,0.00450,0.02708,0.00402,0.00000,0.00000,0.013,-0.002,0
3.6200,0.00437,0.02574,0.00385,0.00000,0.00000,0.011,-0.002,0
3.6720,0.00425,0.02443,0.00366,0.00000,0.00000,0.009,-0.002,0
3.7240,0.00413,0.02316,0.00347,0.00000,0.00000,0.007,-0.002,0
3.7760,0.00402,0.02191,0.00326,0.00000,0.00000,0.005,-0.001,0
3.8280,0.00394,0.02068,0.00304,0.00000,0.00000,0.004,-0.001,0
3.8800,0.00387,0.01949,0.00282,0.00000,0.00000,0.002,-0.001,0
3.9320,0.00381,0.01833,0.00259,0.00000,0.00000,0.001,-0.001,0
3.9840,0.00377,0.01720,0.00236,0.00000,0.00000,-0.001,-0.001,0
4.0360,0.00373,0.01613,0.00213,0.00000,0.00000,-0.002,-0.000,0
4.0880,0.00370,0.01510,0.00189,0.00000,0.00000,-0.004,-0.000,0
4.1400,0.00367,0.01414,0.00166,0.00000,0.00000,-0.005,0.000,0
4.1920,0.00364,0.01322,0.00142,0.00000,0.00000,-0.006,0.000,0
