t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09954,0.04970,-0.00001,0.00000,0.00000,-0.006,0.008,0
0.1020,0.09832,0.04893,-0.00005,0.00000,0.00000,-0.008,0.015,0
0.1520,0.09647,0.04773,-0.00010,0.00000,0.00000,-0.000,0.015,0
0.2020,0.09413,0.04617,-0.00016,0.00000,0.00000,0.011,0.013,0
0.2520,0.09138,0.04430,-0.00024,0.00000,0.00000,0.022,0.011,0
0.3020,0.08833,0.04217,-0.00032,0.00000,0.00000,0.032,0.008,0
0.3520,0.08506,0.03983,-0.00041,0.00000,0.00000,0.041,0.007,0
0.4020,0.08163,0.03730,-0.00050,0.00000,0.00000,0.049,0.005,0
0.4520,0.07811,0.03464,-0.00060,0.00000,0.00000,0.055,0.003,0
0.5040,0.07439,0.03175,-0.00069,0.00000,0.00000,0.059,0.002,0
0.5540,0.07082,0.02890,-0.00078,0.00000,0.00000,0.062,0.000,0
0.6040,0.06730,0.02599,-0.00087,0.00000,0.00000,0.063,-0.001,0
0.6540,0.06384,0.02307,-0.00094,0.00000,0.00000,0.063,-0.002,0
0.7040,0.06049,0.02013,-0.00101,0.00000,0.00000,0.063,-0.003,0
0.7540,0.05724,0.01720,-0.00107,0.00000,0.00000,0.061,-0.004,0
0.8040,0.05413,0.01429,-0.00112,0.00000,0.00000,0.059,-0.004,0
0.8540,0.05117,0.01143,-0.00116,0.00000,0.00000,0.056,-0.005,0
0.9040,0.04836,0.00862,-0.00118,0.00000,0.00000,0.054,-0.005,0
0.9540,0.04570,0.00586,-0.00119,0.00000,0.00000,0.051,-0.005,0
1.0060,0.04311,0.00308,-0.00118,0.00000,0.00000,0.048,-0.006,0
1.0560,0.04078,0.00049,-0.00116,0.00000,0.00000,0.046,-0.006,0
1.1060,0.03861,-0.00201,-0.00113,0.00000,0.00000,0.044,-0.006,0
1.1560,0.03659,-0.00443,-0.00108,0.00000,0.00000,0.042,-0.006,0
1.2060,0.03471,-0.00675,-0.00101,0.00000,0.00000,0.040,-0.007,0
1.2560,0.03299,-0.00895,-0.00093,0.00000,0.00000,0.039,-0.007,0
1.3060,0.03139,-0.01106,-0.00083,0.00000,0.00000,0.038,-0.007,0
1.3560,0.02992,-0.01307,-0.00072,0.00000,0.00000,0.038,-0.007,0
1.4060,0.02856,-0.01498,-0.00059,0.00000,0.00000,0.038,-0.007,0
1.4560,0.02730,-0.01678,-0.00045,0.00000,0.00000,0.038,-0.007,0
1.5060,0.02614,-0.01849,-0.00030,0.00000,0.00000,0.039,-0.007,0
1.5560,0.02506,-0.02010,-0.00014,0.00000,0.00000,0.040,-0.007,0
1.6060,0.02406,-0.02162,0.00004,0.00000,0.00000,0.042,-0.007,0
1.6560,0.02312,-0.02304,0.00023,0.00000,0.00000,0.043,-0.007,0
