t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09989,0.04956,-0.00000,0.00000,0.00000,-0.018,-0.003,0
0.1020,0.09894,0.04842,-0.00002,0.00000,0.00000,-0.068,-0.012,0
0.1520,0.09669,0.04671,-0.00004,0.00000,0.00000,-0.145,-0.027,0
0.2020,0.09343,0.04455,-0.00007,0.00000,0.00000,-0.245,-0.048,0
0.2520,0.08943,0.04203,-0.00011,0.00000,0.00000,-0.362,-0.077,0
0.3020,0.08493,0.03925,-0.00014,0.00000,0.00000,-0.490,-0.113,0
0.3520,0.08010,0.03626,-0.00018,0.00000,0.00000,-0.624,-0.156,0
0.4020,0.07508,0.03314,-0.00022,0.00000,0.00000,-0.758,-0.206,0
0.4520,0.06997,0.02993,-0.00025,0.00000,0.00000,-0.886,-0.262,0
0.5040,0.06466,0.02655,-0.00028,0.00000,0.00000,-1.008,-0.328,0
0.5540,0.05960,0.02330,-0.00031,0.00000,0.00000,-1.112,-0.398,0
0.6040,0.05465,0.02008,-0.00033,0.00000,0.00000,-1.200,-0.474,0
0.6540,0.04982,0.01691,-0.00034,0.00000,0.00000,-1.269,-0.556,0
0.7040,0.04516,0.01382,-0.00035,0.00000,0.00000,-1.320,-0.642,0
0.7540,0.04067,0.01082,-0.00035,0.00000,0.00000,-1.352,-0.734,0
0.8040,0.03636,0.00794,-0.00034,0.00000,0.00000,-1.364,-0.829,0
0.8540,0.03225,0.00518,-0.00032,0.00000,0.00000,-1.358,-0.928,0
0.9040,0.02833,0.00257,-0.00029,0.00000,0.00000,-1.334,-1.030,0
0.9540,0.02462,0.00009,-0.00025,0.00000,0.00000,-1.294,-1.134,0
1.0060,0.02096,-0.00233,-0.00020,0.00000,0.00000,-1.238,-1.243,0
1.0560,0.01763,-0.00451,-0.00015,0.00000,0.00000,-1.171,-1.350,0
1.1060,0.01450,-0.00653,-0.00008,0.00000,0.00000,-1.093,-1.457,0
1.1560,0.01156,-0.00840,-0.00001,0.00000,0.00000,-1.007,-1.563,0
1.2060,0.00879,-0.01011,0.00008,0.00000,0.00000,-0.913,-1.668,0
1.2560,0.00620,-0.01168,0.00017,0.00000,0.00000,-0.814,-1.772,0
1.3060,0.00377,-0.01309,0.00027,0.00000,0.00000,-0.712,-1.873,0
1.3560,0.00151,-0.01435,0.00037,0.00000,0.00000,-0.608,-1.970,0
1.4060,-0.00060,-0.01546,0.00048,0.00000,0.00000,-0.503,-2.064,0
1.4560,-0.00256,-0.01642,0.00060,0.00000,0.00000,-0.398,-2.153,0
1.5060,-0.00437,-0.01724,0.00072,0.00000,0.00000,-0.296,-2.237,0
1.5560,-0.00605,-0.01792,0.00084,0.00000,0.00000,-0.196,-2.315,0
1.6060,-0.00760,-0.01847,0.00097,0.00000,0.00000,-0.100,-2.386,0
1.6560,-0.00902,-0.01889,0.00110,0.00000,0.00000,-0.008,-2.451,0
1.7060,-0.01033,-0.01919,0.00123,0.00000,0.00000,0.079,-2.509,0
1.7560,-0.01152,-0.01936,0.00136,0.00000,0.00000,0.160,-2.559,0
1.8060,-0.01261,-0.01943,0.00149,0.00000,0.00000,0.235,-2.600,0
1.8560,-0.01360,-0.01939,0.00162,0.00000,0.00000,0.304,-2.633,0
1.9060,-0.01450,-0.01926,0.00174,0.00000,0.00000,0.367,-2.657,0
1.9560,-0.01531,-0.01905,0.00186,0.00000,0.00000,0.424,-2.672,0
2.0080,-0.01608,-0.01875,0.00198,0.00000,0.00000,0.476,-2.677,0
2.0600,-0.01675,-0.01836,0.00210,0.00000,0.00000,0.521,-2.673,0
2.1120,-0.01735,-0.01788,0.00221,0.00000,0.00000,0.560,-2.657,0
2.1640,-0.01787,-0.01733,0.00231,0.00000,0.00000,0.592,-2.631,0
2.2160,-0.01831,-0.01671,0.00240,0.00000,0.00000,0.619,-2.595,0
2.2680,-0.01869,-0.01601,0.00248,0.00000,0.00000,0.639,-2.548,0
2.3200,-0.01900,-0.01525,0.00256,0.00000,0.00000,0.654,-2.491,0
2.3720,-0.01926,-0.01444,0.00262,0.00000,0.00000,0.664,-2.423,0
2.4240,-0.01946,-0.01359,0.00267,0.00000,0.00000,0.669,-2.346,0
2.4760,-0.01963,-0.01271,0.00271,0.00000,0.00000,0.670,-2.259,0
2.5280,-0.01975,-0.01180,0.00274,0.00000,0.00000,0.667,-2.163,0
2.5800,-0.01983,-0.01086,0.00276,0.00000,0.00000,0.660,-2.058,0
2.6320,-0.01987,-0.00989,0.00276,0.00000,0.00000,0.650,-1.945,0
