t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09990,0.04961,-0.00001,0.00000,0.00000,0.009,0.003,0
0.1020,0.09899,0.04862,-0.00002,0.00000,0.00000,0.033,0.010,0
0.1520,0.09680,0.04716,-0.00005,0.00000,0.00000,0.066,0.021,0
0.2020,0.09360,0.04531,-0.00007,0.00000,0.00000,0.102,0.035,0
0.2520,0.08969,0.04315,-0.00010,0.00000,0.00000,0.137,0.051,0
0.3020,0.08529,0.04076,-0.00013,0.00000,0.00000,0.168,0.069,0
0.3520,0.08057,0.03820,-0.00016,0.00000,0.00000,0.194,0.088,0
0.4020,0.07567,0.03550,-0.00019,0.00000,0.00000,0.214,0.108,0
0.4520,0.07071,0.03273,-0.00021,0.00000,0.00000,0.227,0.128,0
0.5040,0.06556,0.02980,-0.00023,0.00000,0.00000,0.234,0.149,0
0.5540,0.06070,0.02698,-0.00024,0.00000,0.00000,0.235,0.170,0
0.6040,0.05597,0.02417,-0.00024,0.00000,0.00000,0.232,0.190,0
0.6540,0.05141,0.02140,-0.00024,0.00000,0.00000,0.224,0.210,0
0.7040,0.04703,0.01869,-0.00023,0.00000,0.00000,0.212,0.229,0
0.7540,0.04284,0.01604,-0.00021,0.00000,0.00000,0.198,0.248,0
0.8040,0.03887,0.01348,-0.00018,0.00000,0.00000,0.182,0.266,0
0.8540,0.03511,0.01101,-0.00014,0.00000,0.00000,0.165,0.283,0
0.9040,0.03155,0.00865,-0.00010,0.00000,0.00000,0.147,0.299,0
0.9540,0.02820,0.00638,-0.00005,0.00000,0.00000,0.129,0.314,0
1.0060,0.02495,0.00415,0.00001,0.00000,0.00000,0.110,0.328,0
1.0560,0.02201,0.00211,0.00008,0.00000,0.00000,0.092,0.341,0
1.1060,0.01927,0.00018,0.00015,0.00000,0.00000,0.075,0.353,0
1.1560,0.01670,-0.00163,0.00023,0.00000,0.00000,0.058,0.363,0
1.2060,0.01430,-0.00333,0.00031,0.00000,0.00000,0.043,0.372,0
1.2560,0.01206,-0.00492,0.00041,0.00000,0.00000,0.028,0.379,0
1.3060,0.00998,-0.00640,0.00050,0.00000,0.00000,0.014,0.385,0
1.3560,0.00803,-0.00777,0.00060,0.00000,0.00000,0.002,0.389,0
1.4060,0.00621,-0.00904,0.00071,0.00000,0.00000,-0.010,0.392,0
1.4560,0.00451,-0.01020,0.00081,0.00000,0.00000,-0.020,0.394,0
1.5060,0.00292,-0.01127,0.00092,0.00000,0.00000,-0.030,0.393,0
1.5560,0.00143,-0.01224,0.00104,0.00000,0.00000,-0.038,0.392,0
1.6060,0.00003,-0.01312,0.00115,0.00000,0.00000,-0.045,0.388,0
1.6560,-0.00128,-0.01391,0.00126,0.00000,0.00000,-0.051,0.383,0
1.7060,-0.00251,-0.01462,0.00137,0.00000,0.00000,-0.056,0.377,0
1.7560,-0.00368,-0.01525,0.00148,0.00000,0.00000,-0.061,0.369,0
1.8060,-0.00477,-0.01580,0.00159,0.00000,0.00000,-0.064,0.360,0
1.8560,-0.00581,-0.01628,0.00170,0.00000,0.00000,-0.066,0.349,0
1.9060,-0.00679,-0.01670,0.00180,0.00000,0.00000,-0.067,0.337,0
1.9560,-0.00771,-0.01705,0.00190,0.00000,0.00000,-0.068,0.324,0
2.0080,-0.00861,-0.01735,0.00199,0.00000,0.00000,-0.068,0.309,0
2.0600,-0.00947,-0.01760,0.00208,0.00000,0.00000,-0.067,0.293,0
