t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.10003,0.04948,-0.00001,0.00000,0.00000,0.007,-0.001,0
0.1020,0.09950,0.04818,-0.00002,0.00000,0.00000,0.026,-0.006,0
0.1520,0.09783,0.04624,-0.00004,0.00000,0.00000,0.055,-0.014,0
0.2020,0.09522,0.04379,-0.00007,0.00000,0.00000,0.091,-0.026,0
0.2520,0.09193,0.04094,-0.00010,0.00000,0.00000,0.133,-0.042,0
0.3020,0.08818,0.03779,-0.00013,0.00000,0.00000,0.180,-0.064,0
0.3520,0.08413,0.03443,-0.00017,0.00000,0.00000,0.230,-0.091,0
0.4020,0.07990,0.03091,-0.00020,0.00000,0.00000,0.281,-0.124,0
0.4520,0.07561,0.02730,-0.00022,0.00000,0.00000,0.333,-0.162,0
0.5040,0.07115,0.02351,-0.00025,0.00000,0.00000,0.388,-0.207,0
0.5540,0.06693,0.01987,-0.00027,0.00000,0.00000,0.441,-0.257,0
0.6040,0.06281,0.01627,-0.00028,0.00000,0.00000,0.495,-0.312,0
0.6540,0.05882,0.01274,-0.00029,0.00000,0.00000,0.549,-0.372,0
0.7040,0.05500,0.00931,-0.00029,0.00000,0.00000,0.604,-0.438,0
0.7540,0.05134,0.00597,-0.00029,0.00000,0.00000,0.660,-0.508,0
0.8040,0.04785,0.00275,-0.00028,0.00000,0.00000,0.716,-0.583,0
0.8540,0.04455,-0.00033,-0.00026,0.00000,0.00000,0.774,-0.663,0
0.9040,0.04142,-0.00328,-0.00023,0.00000,0.00000,0.832,-0.748,0
0.9540,0.03847,-0.00610,-0.00020,0.00000,0.00000,0.892,-0.836,0
1.0060,0.03558,-0.00886,-0.00016,0.00000,0.00000,0.956,-0.932,0
1.0560,0.03297,-0.01136,-0.00011,0.00000,0.00000,1.019,-1.027,0
1.1060,0.03051,-0.01371,-0.00005,0.00000,0.00000,1.082,-1.126,0
1.1560,0.02820,-0.01592,0.00001,0.00000,0.00000,1.146,-1.227,0
1.2060,0.02603,-0.01797,0.00007,0.00000,0.00000,1.212,-1.331,0
1.2560,0.02399,-0.01987,0.00015,0.00000,0.00000,1.277,-1.436,0
1.3060,0.02206,-0.02164,0.00023,0.00000,0.00000,1.343,-1.543,0
1.3560,0.02026,-0.02327,0.00031,0.00000,0.00000,1.408,-1.651,0
1.4060,0.01856,-0.02477,0.00040,0.00000,0.00000,1.473,-1.760,0
1.4560,0.01695,-0.02614,0.00049,0.00000,0.00000,1.538,-1.870,0
1.5060,0.01544,-0.02739,0.00059,0.00000,0.00000,1.601,-1.979,0
1.5560,0.01401,-0.02853,0.00069,0.00000,0.00000,1.663,-2.087,0
1.6060,0.01265,-0.02956,0.00079,0.00000,0.00000,1.723,-2.194,0
1.6560,0.01136,-0.03048,0.00089,0.00000,0.00000,1.782,-2.300,0
1.7060,0.01013,-0.03130,0.00100,0.00000,0.00000,1.838,-2.404,0
1.7560,0.00897,-0.03203,0.00111,0.00000,0.00000,1.892,-2.505,0
1.8060,0.00785,-0.03267,0.00121,0.00000,0.00000,1.943,-2.604,0
1.8560,0.00678,-0.03322,0.00132,0.00000,0.00000,1.990,-2.699,0
1.9060,0.00574,-0.03369,0.00143,0.00000,0.00000,2.035,-2.791,0
1.9560,0.00474,-0.03407,0.00153,0.00000,0.00000,2.076,-2.878,0
2.0080,0.00374,-0.03437,0.00164,0.00000,0.00000,2.114,-2.963,0
2.0600,0.00277,-0.03461,0.00174,0.00000,0.00000,2.147,-3.043,0
2.1120,0.00182,-0.03479,0.00185,0.00000,0.00000,2.176,-3.117,0
2.1640,0.00091,-0.03490,0.00194,0.00000,0.00000,2.200,-3.184,0
2.2160,0.00001,-0.03496,0.00204,0.00000,0.00000,2.220,-3.244,0
2.2680,-0.00085,-0.03500,0.00213,0.00000,0.00000,2.234,-3.296,0
2.3200,-0.00170,-0.03498,0.00221,0.00000,0.00000,2.243,-3.340,0
2.3720,-0.00253,-0.03492,0.00229,0.00000,0.00000,2.248,-3.375,0
2.4240,-0.00335,-0.03482,0.00236,0.00000,0.00000,2.248,-3.401,0
2.4760,-0.00416,-0.03467,0.00242,0.00000,0.00000,2.243,-3.418,0
2.5280,-0.00495,-0.03448,0.00248,0.00000,0.00000,2.232,-3.425,0
2.5800,-0.00573,-0.03426,0.00253,0.00000,0.00000,2.217,-3.421,0
2.6320,-0.00649,-0.03402,0.00257,0.00000,0.00000,2.197,-3.407,0
2.6840,-0.00724,-0.03376,0.00260,0.00000,0.00000,2.172,-3.382,0
2.7360,-0.00798,-0.03348,0.00263,0.00000,0.00000,2.142,-3.345,0
2.7880,-0.00870,-0.03320,0.00264,0.00000,0.00000,2.108,-3.297,0
2.8400,-0.00941,-0.03289,0.00265,0.00000,0.00000,2.070,-3.237,0
2.8920,-0.01010,-0.03258,0.00265,0.00000,0.00000,2.028,-3.166,0
2.9440,-0.01078,-0.03225,0.00264,0.00000,0.00000,1.983,-3.082,0
2.9960,-0.01144,-0.03191,0.00262,0.00000,0.00000,1.933,-2.987,0
3.0480,-0.01209,-0.03154,0.00259,0.00000,0.00000,1.880,-2.880,0
3.1000,-0.01272,-0.03117,0.00255,0.00000,0.00000,1.824,-2.761,0
3.1520,-0.01333,-0.03080,0.00251,0.00000,0.00000,1.764,-2.631,0
3.2040,-0.01391,-0.03044,0.00245,0.00000,0.00000,1.702,-2.490,0
3.2560,-0.01448,-0.03007,0.00239,0.00000,0.00000,1.637,-2.338,0
3.3080,-0.01502,-0.02970,0.00232,0.00000,0.00000,1.570,-2.176,0
3.3600,-0.01554,-0.02932,0.00224,0.00000,0.00000,1.501,-2.003,0
3.4120,-0.01604,-0.02892,0.00215,0.00000,0.00000,1.429,-1.822,0
3.4640,-0.01651,-0.02852,0.00205,0.00000,0.00000,1.357,-1.631,0
3.5160,-0.01696,-0.02812,0.00195,0.00000,0.00000,1.282,-1.432,0
3.5680,-0.01737,-0.02773,0.00185,0.00000,0.00000,1.207,-1.226,0
3.6200,-0.01776,-0.02734,0.00173,0.00000,0.00000,1.130,-1.012,0
3.6720,-0.01812,-0.02696,0.00162,0.00000,0.00000,1.053,-0.793,0
3.7240,-0.01844,-0.02660,0.00149,0.00000,0.00000,0.976,-0.568,0
3.7760,-0.01873,-0.02624,0.00137,0.00000,0.00000,0.898,-0.339,0
3.8280,-0.01900,-0.02587,0.00124,0.00000,0.00000,0.821,-0.107,0
3.8800,-0.01923,-0.02551,0.00111,0.00000,0.00000,0.745,0.128,0
3.9320,-0.01943,-0.02514,0.00098,0.00000,0.00000,0.669,0.365,0
3.9840,-0.01959,-0.02478,0.00085,0.00000,0.00000,0.594,0.603,0
4.0360,-0.01973,-0.02442,0.00072,0.00000,0.00000,0.520,0.841,0
4.0880,-0.01983,-0.02407,0.00059,0.00000,0.00000,0.447,1.077,0
4.1400,-0.01989,-0.02373,0.00046,0.00000,0.00000,0.375,1.312,0
4.1920,-0.01993,-0.02340,0.00033,0.00000,0.00000,0.306,1.545,0
4.2440,-0.01993,-0.02307,0.00021,0.00000,0.00000,0.238,1.773,0
4.2960,-0.01991,-0.02273,0.00009,0.00000,0.00000,0.173,1.998,0
4.3480,-0.01985,-0.02239,-0.00002,0.00000,0.00000,0.110,2.217,0
4.4000,-0.01977,-0.02205,-0.00013,0.00000,0.00000,0.048,2.430,0
4.4520,-0.01966,-0.02171,-0.00023,0.00000,0.00000,-0.010,2.636,0
