t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09970,0.04962,0.00000,0.00000,0.00000,-0.003,-0.001,0
0.1020,0.09825,0.04867,0.00001,0.00000,0.00000,-0.009,-0.005,0
0.1520,0.09534,0.04726,0.00002,0.00000,0.00000,-0.015,-0.011,0
0.2020,0.09131,0.04548,0.00003,0.00000,0.00000,-0.018,-0.019,0
0.2520,0.08649,0.04342,0.00004,0.00000,0.00000,-0.019,-0.028,0
0.3020,0.08115,0.04113,0.00005,0.00000,0.00000,-0.018,-0.039,0
0.3520,0.07548,0.03869,0.00007,0.00000,0.00000,-0.015,-0.050,0
0.4020,0.06963,0.03614,0.00008,0.00000,0.00000,-0.010,-0.062,0
0.4520,0.06374,0.03353,0.00010,0.00000,0.00000,-0.004,-0.075,0
0.5040,0.05766,0.03079,0.00012,0.00000,0.00000,0.003,-0.090,0
0.5540,0.05194,0.02816,0.00013,0.00000,0.00000,0.011,-0.104,0
0.6040,0.04639,0.02556,0.00015,0.00000,0.00000,0.018,-0.119,0
0.6540,0.04106,0.02302,0.00016,0.00000,0.00000,0.026,-0.135,0
0.7040,0.03596,0.02054,0.00018,0.00000,0.00000,0.033,-0.152,0
0.7540,0.03111,0.01815,0.00019,0.00000,0.00000,0.039,-0.169,0
0.8040,0.02652,0.01585,0.00021,0.00000,0.00000,0.045,-0.187,0
0.8540,0.02220,0.01366,0.00022,0.00000,0.00000,0.050,-0.206,0
0.9040,0.01814,0.01157,0.00023,0.00000,0.00000,0.055,-0.226,0
0.9540,0.01433,0.00959,0.00024,0.00000,0.00000,0.058,-0.246,0
1.0060,0.01066,0.00765,0.00025,0.00000,0.00000,0.060,-0.268,0
1.0560,0.00737,0.00590,0.00026,0.00000,0.00000,0.060,-0.290,0
1.1060,0.00432,0.00427,0.00027,0.00000,0.00000,0.060,-0.312,0
1.1560,0.00149,0.00275,0.00028,0.00000,0.00000,0.058,-0.336,0
1.2060,-0.00112,0.00134,0.00029,0.00000,0.00000,0.054,-0.360,0
1.2560,-0.00352,0.00004,0.00030,0.00000,0.00000,0.049,-0.385,0
1.3060,-0.00572,-0.00116,0.00031,0.00000,0.00000,0.043,-0.411,0
1.3560,-0.00775,-0.00226,0.00032,0.00000,0.00000,0.036,-0.437,0
1.4060,-0.00960,-0.00327,0.00032,0.00000,0.00000,0.028,-0.465,0
1.4560,-0.01130,-0.00418,0.00033,0.00000,0.00000,0.018,-0.492,0
1.5060,-0.01284,-0.00501,0.00033,0.00000,0.00000,0.008,-0.521,0
1.5560,-0.01424,-0.00576,0.00034,0.00000,0.00000,-0.004,-0.550,0
1.6060,-0.01551,-0.00643,0.00034,0.00000,0.00000,-0.016,-0.580,0
1.6560,-0.01665,-0.00703,0.00035,0.00000,0.00000,-0.028,-0.610,0
1.7060,-0.01768,-0.00756,0.00035,0.00000,0.00000,-0.041,-0.641,0
1.7560,-0.01861,-0.00803,0.00035,0.00000,0.00000,-0.054,-0.673,0
1.8060,-0.01944,-0.00844,0.00035,0.00000,0.00000,-0.067,-0.704,0
1.8560,-0.02017,-0.00879,0.00035,0.00000,0.00000,-0.081,-0.737,0
1.9060,-0.02081,-0.00909,0.00036,0.00000,0.00000,-0.094,-0.769,0
1.9560,-0.02137,-0.00935,0.00036,0.00000,0.00000,-0.107,-0.802,0
2.0080,-0.02186,-0.00957,0.00036,0.00000,0.00000,-0.120,-0.836,0
2.0600,-0.02228,-0.00974,0.00036,0.00000,0.00000,-0.133,-0.871,0
