t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09973,0.04957,0.00000,0.00000,0.00000,-0.012,-0.001,0
0.1020,0.09836,0.04852,0.00001,0.00000,0.00000,-0.039,-0.004,0
0.1520,0.09555,0.04695,0.00002,0.00000,0.00000,-0.071,-0.009,0
0.2020,0.09163,0.04498,0.00003,0.00000,0.00000,-0.102,-0.015,0
0.2520,0.08692,0.04270,0.00004,0.00000,0.00000,-0.129,-0.022,0
0.3020,0.08168,0.04019,0.00005,0.00000,0.00000,-0.151,-0.030,0
0.3520,0.07611,0.03752,0.00007,0.00000,0.00000,-0.168,-0.039,0
0.4020,0.07036,0.03474,0.00008,0.00000,0.00000,-0.179,-0.047,0
0.4520,0.06456,0.03190,0.00010,0.00000,0.00000,-0.185,-0.057,0
0.5040,0.05856,0.02892,0.00011,0.00000,0.00000,-0.188,-0.067,0
0.5540,0.05291,0.02607,0.00013,0.00000,0.00000,-0.188,-0.077,0
0.6040,0.04743,0.02326,0.00014,0.00000,0.00000,-0.186,-0.087,0
0.6540,0.04215,0.02053,0.00016,0.00000,0.00000,-0.182,-0.098,0
0.7040,0.03711,0.01787,0.00017,0.00000,0.00000,-0.178,-0.109,0
0.7540,0.03231,0.01530,0.00019,0.00000,0.00000,-0.175,-0.120,0
0.8040,0.02777,0.01284,0.00020,0.00000,0.00000,-0.172,-0.132,0
0.8540,0.02349,0.01049,0.00021,0.00000,0.00000,-0.170,-0.144,0
0.9040,0.01948,0.00825,0.00022,0.00000,0.00000,-0.169,-0.157,0
0.9540,0.01572,0.00613,0.00023,0.00000,0.00000,-0.170,-0.171,0
1.0060,0.01208,0.00406,0.00024,0.00000,0.00000,-0.173,-0.185,0
1.0560,0.00883,0.00220,0.00025,0.00000,0.00000,-0.178,-0.200,0
1.1060,0.00582,0.00046,0.00026,0.00000,0.00000,-0.185,-0.215,0
1.1560,0.00303,-0.00116,0.00027,0.00000,0.00000,-0.194,-0.231,0
1.2060,0.00045,-0.00267,0.00028,0.00000,0.00000,-0.205,-0.247,0
1.2560,-0.00191,-0.00404,0.00028,0.00000,0.00000,-0.217,-0.264,0
1.3060,-0.00409,-0.00531,0.00029,0.00000,0.00000,-0.231,-0.282,0
1.3560,-0.00608,-0.00648,0.00029,0.00000,0.00000,-0.246,-0.300,0
1.4060,-0.00791,-0.00755,0.00030,0.00000,0.00000,-0.263,-0.319,0
1.4560,-0.00957,-0.00851,0.00030,0.00000,0.00000,-0.280,-0.338,0
1.5060,-0.01109,-0.00939,0.00031,0.00000,0.00000,-0.299,-0.359,0
1.5560,-0.01247,-0.01018,0.00031,0.00000,0.00000,-0.317,-0.379,0
1.6060,-0.01371,-0.01088,0.00031,0.00000,0.00000,-0.336,-0.401,0
1.6560,-0.01484,-0.01151,0.00031,0.00000,0.00000,-0.356,-0.423,0
1.7060,-0.01585,-0.01206,0.00032,0.00000,0.00000,-0.375,-0.445,0
1.7560,-0.01676,-0.01255,0.00032,0.00000,0.00000,-0.394,-0.468,0
1.8060,-0.01757,-0.01298,0.00032,0.00000,0.00000,-0.412,-0.491,0
1.8560,-0.01829,-0.01335,0.00032,0.00000,0.00000,-0.430,-0.515,0
1.9060,-0.01892,-0.01365,0.00032,0.00000,0.00000,-0.447,-0.539,0
1.9560,-0.01946,-0.01390,0.00032,0.00000,0.00000,-0.463,-0.564,0
2.0080,-0.01995,-0.01410,0.00032,0.00000,0.00000,-0.478,-0.590,0
2.0600,-0.02036,-0.01426,0.00032,0.00000,0.00000,-0.493,-0.616,0
2.1120,-0.02072,-0.01438,0.00032,0.00000,0.00000,-0.506,-0.642,0
2.1640,-0.02101,-0.01446,0.00031,0.00000,0.00000,-0.517,-0.668,0
2.2160,-0.02124,-0.01451,0.00031,0.00000,0.00000,-0.527,-0.694,0
2.2680,-0.02144,-0.01454,0.00031,0.00000,0.00000,-0.536,-0.721,0
2.3200,-0.02160,-0.01455,0.00031,0.00000,0.00000,-0.544,-0.747,0
2.3720,-0.02170,-0.01452,0.00030,0.00000,0.00000,-0.550,-0.773,0
2.4240,-0.02177,-0.01448,0.00030,0.00000,0.00000,-0.556,-0.799,0
2.4760,-0.02179,-0.01440,0.00030,0.00000,0.00000,-0.560,-0.824,0
2.5280,-0.02179,-0.01431,0.00029,0.00000,0.00000,-0.562,-0.850,0
2.5800,-0.02174,-0.01420,0.00029,0.00000,0.00000,-0.564,-0.875,0
2.6320,-0.02168,-0.01408,0.00029,0.00000,0.00000,-0.564,-0.899,0
2.6840,-0.02160,-0.01395,0.00028,0.00000,0.00000,-0.564,-0.923,0
2.7360,-0.02149,-0.01381,0.00028,0.00000,0.00000,-0.562,-0.947,0
2.7880,-0.02137,-0.01367,0.00027,0.00000,0.00000,-0.560,-0.969,0
2.8400,-0.02123,-0.01352,0.00027,0.00000,0.00000,-0.557,-0.992,0
2.8920,-0.02107,-0.01336,0.00026,0.00000,0.00000,-0.553,-1.013,0
2.9440,-0.02090,-0.01319,0.00026,0.00000,0.00000,-0.549,-1.034,0
2.9960,-0.02071,-0.01302,0.00025,0.00000,0.00000,-0.544,-1.054,0
3.0480,-0.02050,-0.01283,0.00025,0.00000,0.00000,-0.539,-1.073,0
3.1000,-0.02029,-0.01264,0.00024,0.00000,0.00000,-0.532,-1.091,0
3.1520,-0.02006,-0.01245,0.00023,0.00000,0.00000,-0.526,-1.108,0
3.2040,-0.01983,-0.01226,0.00023,0.00000,0.00000,-0.519,-1.124,0
3.2560,-0.01959,-0.01207,0.00022,0.00000,0.00000,-0.511,-1.139,0
3.3080,-0.01935,-0.01187,0.00021,0.00000,0.00000,-0.503,-1.153,0
3.3600,-0.01909,-0.01167,0.00021,0.00000,0.00000,-0.495,-1.165,0
3.4120,-0.01882,-0.01145,0.00020,0.00000,0.00000,-0.486,-1.177,0
3.4640,-0.01854,-0.01123,0.00019,0.00000,0.00000,-0.477,-1.188,0
3.5160,-0.01826,-0.01101,0.00019,0.00000,0.00000,-0.468,-1.197,0
3.5680,-0.01797,-0.01080,0.00018,0.00000,0.00000,-0.458,-1.205,0
3.6200,-0.01769,-0.01058,0.00017,0.00000,0.00000,-0.448,-1.212,0
3.6720,-0.01740,-0.01036,0.00016,0.00000,0.00000,-0.437,-1.217,0
3.7240,-0.01712,-0.01016,0.00016,0.00000,0.00000,-0.427,-1.222,0
3.7760,-0.01684,-0.00995,0.00015,0.00000,0.00000,-0.416,-1.225,0
3.8280,-0.01655,-0.00974,0.00014,0.00000,0.00000,-0.405,-1.226,0
3.8800,-0.01626,-0.00953,0.00013,0.00000,0.00000,-0.394,-1.227,0
3.9320,-0.01597,-0.00932,0.00013,0.00000,0.00000,-0.383,-1.226,0
3.9840,-0.01568,-0.00911,0.00012,0.00000,0.00000,-0.371,-1.223,0
4.0360,-0.01539,-0.00890,0.00011,0.00000,0.00000,-0.360,-1.220,0
4.0880,-0.01510,-0.00870,0.00010,0.00000,0.00000,-0.348,-1.215,0
4.1400,-0.01482,-0.00851,0.00009,0.00000,0.00000,-0.337,-1.209,0
4.1920,-0.01455,-0.00833,0.00009,0.00000,0.00000,-0.326,-1.201,0
4.2440,-0.01428,-0.00815,0.00008,0.00000,0.00000,-0.314,-1.193,0
4.2960,-0.01401,-0.00797,0.00007,0.00000,0.00000,-0.303,-1.183,0
4.3480,-0.01374,-0.00779,0.00007,0.00000,0.00000,-0.293,-1.172,0
4.4000,-0.01348,-0.00762,0.00006,0.00000,0.00000,-0.282,-1.160,0
4.4520,-0.01322,-0.00746,0.00005,0.00000,0.00000,-0.272,-1.147,0
4.5040,-0.01297,-0.00729,0.00005,0.00000,0.00000,-0.262,-1.133,0
4.5560,-0.01272,-0.00714,0.00004,0.00000,0.00000,-0.252,-1.118,0
4.6080,-0.01247,-0.00699,0.00003,0.00000,0.00000,-0.242,-1.102,0
4.6600,-0.01223,-0.00684,0.00003,0.00000,0.00000,-0.233,-1.085,0
4.7120,-0.01199,-0.00669,0.00002,0.00000,0.00000,-0.224,-1.068,0
4.7640,-0.01175,-0.00654,0.00001,0.00000,0.00000,-0.215,-1.049,0
4.8160,-0.01151,-0.00640,0.00001,0.00000,0.00000,-0.207,-1.030,0
4.8680,-0.01128,-0.00626,0.00000,0.00000,0.00000,-0.198,-1.010,0
4.9200,-0.01105,-0.00612,-0.00000,0.00000,0.00000,-0.190,-0.990,0
4.9720,-0.01083,-0.00598,-0.00001,0.00000,0.00000,-0.183,-0.969,0
5.0240,-0.01060,-0.00585,-0.00001,0.00000,0.00000,-0.175,-0.948,0
