t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09994,0.04962,0.00000,0.00000,0.00000,0.003,0.001,0
0.1020,0.09916,0.04867,0.00001,0.00000,0.00000,0.008,0.006,0
0.1520,0.09716,0.04727,0.00002,0.00000,0.00000,0.013,0.013,0
0.2020,0.09419,0.04550,0.00003,0.00000,0.00000,0.014,0.024,0
0.2520,0.09053,0.04344,0.00004,0.00000,0.00000,0.011,0.038,0
0.3020,0.08639,0.04116,0.00006,0.00000,0.00000,0.003,0.056,0
0.3520,0.08194,0.03873,0.00008,0.00000,0.00000,-0.010,0.078,0
0.4020,0.07733,0.03619,0.00010,0.00000,0.00000,-0.028,0.103,0
0.4520,0.07265,0.03359,0.00012,0.00000,0.00000,-0.049,0.132,0
0.5040,0.06778,0.03086,0.00014,0.00000,0.00000,-0.073,0.166,0
0.5540,0.06318,0.02824,0.00016,0.00000,0.00000,-0.098,0.202,0
0.6040,0.05868,0.02566,0.00018,0.00000,0.00000,-0.123,0.241,0
0.6540,0.05432,0.02312,0.00021,0.00000,0.00000,-0.147,0.284,0
0.7040,0.05012,0.02066,0.00023,0.00000,0.00000,-0.168,0.330,0
0.7540,0.04610,0.01828,0.00025,0.00000,0.00000,-0.187,0.379,0
0.8040,0.04226,0.01599,0.00027,0.00000,0.00000,-0.203,0.431,0
0.8540,0.03861,0.01381,0.00029,0.00000,0.00000,-0.215,0.485,0
0.9040,0.03516,0.01172,0.00031,0.00000,0.00000,-0.223,0.542,0
0.9540,0.03190,0.00975,0.00033,0.00000,0.00000,-0.227,0.601,0
1.0060,0.02870,0.00782,0.00035,0.00000,0.00000,-0.227,0.664,0
1.0560,0.02580,0.00608,0.00037,0.00000,0.00000,-0.223,0.728,0
1.1060,0.02309,0.00445,0.00038,0.00000,0.00000,-0.216,0.792,0
1.1560,0.02054,0.00292,0.00039,0.00000,0.00000,-0.205,0.858,0
1.2060,0.01815,0.00151,0.00041,0.00000,0.00000,-0.191,0.926,0
1.2560,0.01590,0.00021,0.00042,0.00000,0.00000,-0.175,0.994,0
1.3060,0.01381,-0.00100,0.00043,0.00000,0.00000,-0.156,1.064,0
1.3560,0.01185,-0.00210,0.00044,0.00000,0.00000,-0.136,1.133,0
1.4060,0.01003,-0.00311,0.00044,0.00000,0.00000,-0.114,1.204,0
1.4560,0.00833,-0.00403,0.00045,0.00000,0.00000,-0.090,1.274,0
1.5060,0.00675,-0.00487,0.00046,0.00000,0.00000,-0.066,1.344,0
1.5560,0.00529,-0.00562,0.00046,0.00000,0.00000,-0.042,1.414,0
1.6060,0.00393,-0.00630,0.00046,0.00000,0.00000,-0.017,1.483,0
1.6560,0.00266,-0.00690,0.00046,0.00000,0.00000,0.007,1.552,0
1.7060,0.00149,-0.00744,0.00046,0.00000,0.00000,0.031,1.620,0
1.7560,0.00042,-0.00791,0.00046,0.00000,0.00000,0.055,1.686,0
1.8060,-0.00058,-0.00833,0.00046,0.00000,0.00000,0.078,1.752,0
1.8560,-0.00150,-0.00868,0.00045,0.00000,0.00000,0.100,1.815,0
1.9060,-0.00235,-0.00899,0.00045,0.00000,0.00000,0.120,1.877,0
1.9560,-0.00314,-0.00925,0.00044,0.00000,0.00000,0.140,1.937,0
2.0080,-0.00390,-0.00947,0.00043,0.00000,0.00000,0.159,1.997,0
2.0600,-0.00459,-0.00965,0.00043,0.00000,0.00000,0.176,2.055,0
2.1120,-0.00522,-0.00979,0.00042,0.00000,0.00000,0.192,2.110,0
2.1640,-0.00579,-0.00989,0.00041,0.00000,0.00000,0.207,2.162,0
2.2160,-0.00630,-0.00996,0.00040,0.00000,0.00000,0.220,2.211,0
2.2680,-0.00675,-0.01001,0.00039,0.00000,0.00000,0.232,2.257,0
2.3200,-0.00715,-0.01003,0.00037,0.00000,0.00000,0.242,2.300,0
2.3720,-0.00752,-0.01003,0.00036,0.00000,0.00000,0.251,2.339,0
2.4240,-0.00784,-0.01000,0.00035,0.00000,0.00000,0.258,2.375,0
2.4760,-0.00812,-0.00996,0.00033,0.00000,0.00000,0.264,2.407,0
2.5280,-0.00838,-0.00989,0.00032,0.00000,0.00000,0.269,2.435,0
2.5800,-0.00861,-0.00981,0.00030,0.00000,0.00000,0.273,2.460,0
2.6320,-0.00880,-0.00972,0.00029,0.00000,0.00000,0.276,2.480,0
2.6840,-0.00895,-0.00962,0.00027,0.00000,0.00000,0.278,2.497,0
2.7360,-0.00908,-0.00952,0.00026,0.00000,0.00000,0.279,2.510,0
2.7880,-0.00918,-0.00940,0.00024,0.00000,0.00000,0.279,2.519,0
2.8400,-0.00926,-0.00927,0.00023,0.00000,0.00000,0.278,2.524,0
2.8920,-0.00931,-0.00915,0.00021,0.00000,0.00000,0.277,2.525,0
2.9440,-0.00935,-0.00901,0.00019,0.00000,0.00000,0.275,2.522,0
2.9960,-0.00937,-0.00887,0.00018,0.00000,0.00000,0.272,2.515,0
3.0480,-0.00939,-0.00872,0.00016,0.00000,0.00000,0.269,2.504,0
3.1000,-0.00939,-0.00858,0.00014,0.00000,0.00000,0.265,2.489,0
3.1520,-0.00937,-0.00843,0.00012,0.00000,0.00000,0.261,2.470,0
3.2040,-0.00934,-0.00828,0.00011,0.00000,0.00000,0.257,2.448,0
3.2560,-0.00930,-0.00813,0.00009,0.00000,0.00000,0.252,2.422,0
3.3080,-0.00925,-0.00798,0.00007,0.00000,0.00000,0.248,2.392,0
3.3600,-0.00919,-0.00782,0.00005,0.00000,0.00000,0.242,2.359,0
3.4120,-0.00914,-0.00767,0.00004,0.00000,0.00000,0.237,2.322,0
3.4640,-0.00909,-0.00752,0.00002,0.00000,0.00000,0.232,2.283,0
3.5160,-0.00903,-0.00736,-0.00000,0.00000,0.00000,0.226,2.240,0
3.5680,-0.00896,-0.00721,-0.00002,0.00000,0.00000,0.220,2.194,0
3.6200,-0.00889,-0.00706,-0.00004,0.00000,0.00000,0.214,2.145,0
3.6720,-0.00881,-0.00691,-0.00005,0.00000,0.00000,0.208,2.094,0
3.7240,-0.00872,-0.00677,-0.00007,0.00000,0.00000,0.202,2.040,0
