t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09914,0.04977,0.00006,0.00000,0.00000,-0.023,0.009,0
0.1020,0.09714,0.04922,0.00014,0.00000,0.00000,-0.021,0.007,0
0.1520,0.09440,0.04841,0.00021,0.00000,0.00000,0.023,-0.014,0
0.2020,0.09106,0.04734,0.00026,0.00000,0.00000,0.061,-0.034,0
0.2520,0.08725,0.04607,0.00030,0.00000,0.00000,0.087,-0.052,0
0.3020,0.08306,0.04461,0.00033,0.00000,0.00000,0.104,-0.067,0
0.3520,0.07860,0.04300,0.00035,0.00000,0.00000,0.114,-0.080,0
0.4020,0.07394,0.04128,0.00035,0.00000,0.00000,0.118,-0.091,0
0.4520,0.06917,0.03947,0.00034,0.00000,0.00000,0.117,-0.101,0
0.5040,0.06416,0.03751,0.00033,0.00000,0.00000,0.112,-0.109,0
0.5540,0.05935,0.03558,0.00030,0.00000,0.00000,0.103,-0.116,0
0.6040,0.05459,0.03362,0.00027,0.00000,0.00000,0.093,-0.122,0
0.6540,0.04993,0.03165,0.00023,0.00000,0.00000,0.080,-0.126,0
0.7040,0.04541,0.02970,0.00019,0.00000,0.00000,0.067,-0.130,0
0.7540,0.04105,0.02776,0.00014,0.00000,0.00000,0.054,-0.134,0
0.8040,0.03686,0.02585,0.00008,0.00000,0.00000,0.040,-0.136,0
0.8540,0.03288,0.02399,0.00003,0.00000,0.00000,0.027,-0.138,0
0.9040,0.02912,0.02217,-0.00004,0.00000,0.00000,0.014,-0.140,0
0.9540,0.02557,0.02041,-0.00010,0.00000,0.00000,0.002,-0.142,0
1.0060,0.02212,0.01865,-0.00017,0.00000,0.00000,-0.009,-0.143,0
1.0560,0.01905,0.01702,-0.00024,0.00000,0.00000,-0.018,-0.144,0
1.1060,0.01620,0.01546,-0.00031,0.00000,0.00000,-0.027,-0.145,0
1.1560,0.01358,0.01398,-0.00038,0.00000,0.00000,-0.035,-0.146,0
1.2060,0.01118,0.01257,-0.00045,0.00000,0.00000,-0.041,-0.147,0
1.2560,0.00900,0.01124,-0.00052,0.00000,0.00000,-0.046,-0.148,0
1.3060,0.00703,0.00998,-0.00060,0.00000,0.00000,-0.050,-0.149,0
1.3560,0.00526,0.00880,-0.00067,0.00000,0.00000,-0.053,-0.149,0
