t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09950,0.04980,-0.00001,0.00000,0.00000,-0.006,0.008,0
0.1020,0.09819,0.04929,-0.00005,0.00000,0.00000,-0.007,0.017,0
0.1520,0.09622,0.04849,-0.00010,0.00000,0.00000,0.004,0.018,0
0.2020,0.09373,0.04746,-0.00016,0.00000,0.00000,0.016,0.017,0
0.2520,0.09082,0.04621,-0.00024,0.00000,0.00000,0.028,0.016,0
0.3020,0.08761,0.04480,-0.00032,0.00000,0.00000,0.039,0.014,0
0.3520,0.08417,0.04323,-0.00041,0.00000,0.00000,0.048,0.013,0
0.4020,0.08058,0.04154,-0.00051,0.00000,0.00000,0.056,0.012,0
0.4520,0.07690,0.03976,-0.00060,0.00000,0.00000,0.062,0.011,0
0.5040,0.07305,0.03782,-0.00069,0.00000,0.00000,0.067,0.009,0
0.5540,0.06936,0.03590,-0.00078,0.00000,0.00000,0.070,0.008,0
0.6040,0.06573,0.03395,-0.00087,0.00000,0.00000,0.071,0.008,0
0.6540,0.06219,0.03197,-0.00094,0.00000,0.00000,0.071,0.007,0
0.7040,0.05877,0.02998,-0.00101,0.00000,0.00000,0.070,0.006,0
0.7540,0.05548,0.02799,-0.00107,0.00000,0.00000,0.068,0.006,0
0.8040,0.05235,0.02602,-0.00112,0.00000,0.00000,0.065,0.005,0
0.8540,0.04938,0.02407,-0.00115,0.00000,0.00000,0.062,0.005,0
0.9040,0.04658,0.02216,-0.00117,0.00000,0.00000,0.058,0.004,0
0.9540,0.04396,0.02028,-0.00118,0.00000,0.00000,0.054,0.004,0
1.0060,0.04141,0.01837,-0.00117,0.00000,0.00000,0.050,0.004,0
1.0560,0.03914,0.01659,-0.00115,0.00000,0.00000,0.046,0.004,0
1.1060,0.03704,0.01485,-0.00112,0.00000,0.00000,0.042,0.003,0
1.1560,0.03511,0.01318,-0.00107,0.00000,0.00000,0.038,0.003,0
1.2060,0.03333,0.01155,-0.00100,0.00000,0.00000,0.035,0.003,0
1.2560,0.03169,0.00999,-0.00092,0.00000,0.00000,0.031,0.002,0
1.3060,0.03020,0.00849,-0.00082,0.00000,0.00000,0.028,0.002,0
1.3560,0.02883,0.00704,-0.00071,0.00000,0.00000,0.025,0.002,0
1.4060,0.02758,0.00565,-0.00058,0.00000,0.00000,0.023,0.001,0
1.4560,0.02644,0.00431,-0.00044,0.00000,0.00000,0.020,0.001,0
1.5060,0.02539,0.00303,-0.00029,0.00000,0.00000,0.018,0.001,0
1.5560,0.02443,0.00180,-0.00013,0.00000,0.00000,0.016,0.000,0
1.6060,0.02355,0.00063,0.00005,0.00000,0.00000,0.015,0.000,0
1.6560,0.02273,-0.00050,0.00024,0.00000,0.00000,0.013,-0.000,0
1.7060,0.02197,-0.00159,0.00043,0.00000,0.00000,0.012,-0.001,0
1.7560,0.02125,-0.00263,0.00064,0.00000,0.00000,0.011,-0.001,0
1.8060,0.02057,-0.00363,0.00085,0.00000,0.00000,0.011,-0.001,0
1.8560,0.01993,-0.00459,0.00107,0.00000,0.00000,0.010,-0.001,0
1.9060,0.01931,-0.00552,0.00130,0.00000,0.00000,0.010,-0.002,0
1.9560,0.01871,-0.00642,0.00152,0.00000,0.00000,0.010,-0.002,0
2.0080,0.01809,-0.00732,0.00176,0.00000,0.00000,0.010,-0.002,0
2.0600,0.01748,-0.00819,0.00200,0.00000,0.00000,0.010,-0.002,0
2.1120,0.01688,-0.00904,0.00224,0.00000,0.00000,0.011,-0.002,0
2.1640,0.01627,-0.00987,0.00248,0.00000,0.00000,0.011,-0.002,0
2.2160,0.01566,-0.01068,0.00271,0.00000,0.00000,0.012,-0.002,0
2.2680,0.01504,-0.01147,0.00294,0.00000,0.00000,0.012,-0.002,0
2.3200,0.01440,-0.01225,0.00316,0.00000,0.00000,0.013,-0.002,0
2.3720,0.01376,-0.01302,0.00337,0.00000,0.00000,0.014,-0.002,0
2.4240,0.01310,-0.01378,0.00357,0.00000,0.00000,0.015,-0.002,0
2.4760,0.01243,-0.01453,0.00377,0.00000,0.00000,0.016,-0.001,0
2.5280,0.01174,-0.01527,0.00395,0.00000,0.00000,0.017,-0.001,0
2.5800,0.01105,-0.01601,0.00412,0.00000,0.00000,0.018,-0.001,0
2.6320,0.01033,-0.01675,0.00427,0.00000,0.00000,0.019,-0.000,0
2.6840,0.00961,-0.01749,0.00441,0.00000,0.00000,0.020,0.000,0
2.7360,0.00888,-0.01822,0.00453,0.00000,0.00000,0.021,0.001,0
2.7880,0.00814,-0.01896,0.00464,0.00000,0.00000,0.022,0.001,0
2.8400,0.00739,-0.01969,0.00472,0.00000,0.00000,0.023,0.002,0
2.8920,0.00664,-0.02043,0.00479,0.00000,0.00000,0.024,0.002,0
2.9440,0.00589,-0.02117,0.00485,0.00000,0.00000,0.025,0.003,0
2.9960,0.00515,-0.02191,0.00488,0.00000,0.00000,0.026,0.003,0
3.0480,0.00440,-0.02265,0.00489,0.00000,0.00000,0.026,0.003,0
3.1000,0.00367,-0.02339,0.00489,0.00000,0.00000,0.027,0.004,0
3.1520,0.00294,-0.02414,0.00486,0.00000,0.00000,0.027,0.004,0
3.2040,0.00223,-0.02488,0.00482,0.00000,0.00000,0.027,0.004,0
3.2560,0.00153,-0.02562,0.00476,0.00000,0.00000,0.028,0.005,0
3.3080,0.00085,-0.02636,0.00468,0.00000,0.00000,0.028,0.005,0
