t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09970,0.04968,-0.00001,0.00000,0.00000,0.006,0.003,0
0.1020,0.09893,0.04886,-0.00004,0.00000,0.00000,0.022,0.003,0
0.1520,0.09777,0.04760,-0.00009,0.00000,0.00000,0.041,-0.005,0
0.2020,0.09631,0.04595,-0.00016,0.00000,0.00000,0.057,-0.013,0
0.2520,0.09463,0.04397,-0.00024,0.00000,0.00000,0.071,-0.020,0
0.3020,0.09280,0.04171,-0.00032,0.00000,0.00000,0.081,-0.026,0
0.3520,0.09085,0.03921,-0.00041,0.00000,0.00000,0.088,-0.031,0
0.4020,0.08885,0.03652,-0.00051,0.00000,0.00000,0.094,-0.036,0
0.4520,0.08683,0.03368,-0.00061,0.00000,0.00000,0.098,-0.040,0
0.5040,0.08475,0.03059,-0.00071,0.00000,0.00000,0.102,-0.043,0
0.5540,0.08279,0.02753,-0.00080,0.00000,0.00000,0.104,-0.046,0
0.6040,0.08089,0.02442,-0.00088,0.00000,0.00000,0.106,-0.049,0
0.6540,0.07907,0.02127,-0.00096,0.00000,0.00000,0.108,-0.051,0
0.7040,0.07735,0.01812,-0.00104,0.00000,0.00000,0.110,-0.053,0
0.7540,0.07573,0.01497,-0.00110,0.00000,0.00000,0.112,-0.055,0
0.8040,0.07421,0.01186,-0.00115,0.00000,0.00000,0.115,-0.056,0
0.8540,0.07280,0.00879,-0.00119,0.00000,0.00000,0.119,-0.057,0
0.9040,0.07151,0.00578,-0.00121,0.00000,0.00000,0.123,-0.058,0
0.9540,0.07032,0.00285,-0.00122,0.00000,0.00000,0.128,-0.059,0
1.0060,0.06920,-0.00011,-0.00121,0.00000,0.00000,0.135,-0.060,0
1.0560,0.06822,-0.00287,-0.00119,0.00000,0.00000,0.142,-0.060,0
1.1060,0.06735,-0.00553,-0.00116,0.00000,0.00000,0.149,-0.060,0
1.1560,0.06656,-0.00808,-0.00111,0.00000,0.00000,0.158,-0.061,0
1.2060,0.06586,-0.01052,-0.00104,0.00000,0.00000,0.168,-0.060,0
1.2560,0.06523,-0.01286,-0.00096,0.00000,0.00000,0.178,-0.060,0
1.3060,0.06467,-0.01508,-0.00086,0.00000,0.00000,0.189,-0.060,0
1.3560,0.06418,-0.01719,-0.00074,0.00000,0.00000,0.201,-0.059,0
1.4060,0.06374,-0.01919,-0.00062,0.00000,0.00000,0.213,-0.059,0
1.4560,0.06334,-0.02107,-0.00047,0.00000,0.00000,0.226,-0.058,0
1.5060,0.06299,-0.02285,-0.00032,0.00000,0.00000,0.240,-0.057,0
1.5560,0.06267,-0.02451,-0.00015,0.00000,0.00000,0.253,-0.056,0
1.6060,0.06237,-0.02607,0.00003,0.00000,0.00000,0.267,-0.055,0
1.6560,0.06209,-0.02753,0.00022,0.00000,0.00000,0.281,-0.053,0
1.7060,0.06182,-0.02889,0.00042,0.00000,0.00000,0.296,-0.052,0
1.7560,0.06156,-0.03016,0.00063,0.00000,0.00000,0.310,-0.050,0
1.8060,0.06129,-0.03133,0.00085,0.00000,0.00000,0.324,-0.048,0
1.8560,0.06103,-0.03242,0.00107,0.00000,0.00000,0.339,-0.045,0
1.9060,0.06075,-0.03342,0.00130,0.00000,0.00000,0.353,-0.043,0
1.9560,0.06045,-0.03434,0.00153,0.00000,0.00000,0.367,-0.041,0
2.0080,0.06013,-0.03523,0.00178,0.00000,0.00000,0.382,-0.038,0
2.0600,0.05978,-0.03604,0.00202,0.00000,0.00000,0.396,-0.035,0
2.1120,0.05941,-0.03678,0.00226,0.00000,0.00000,0.410,-0.031,0
2.1640,0.05900,-0.03745,0.00250,0.00000,0.00000,0.423,-0.028,0
2.2160,0.05856,-0.03806,0.00274,0.00000,0.00000,0.437,-0.025,0
2.2680,0.05809,-0.03862,0.00297,0.00000,0.00000,0.449,-0.021,0
2.3200,0.05757,-0.03913,0.00320,0.00000,0.00000,0.461,-0.017,0
2.3720,0.05703,-0.03959,0.00341,0.00000,0.00000,0.473,-0.013,0
2.4240,0.05644,-0.04000,0.00362,0.00000,0.00000,0.484,-0.009,0
2.4760,0.05581,-0.04038,0.00382,0.00000,0.00000,0.495,-0.005,0
2.5280,0.05514,-0.04073,0.00400,0.00000,0.00000,0.505,-0.001,0
2.5800,0.05444,-0.04104,0.00417,0.00000,0.00000,0.515,0.003,0
2.6320,0.05369,-0.04133,0.00433,0.00000,0.00000,0.523,0.007,0
2.6840,0.05291,-0.04160,0.00447,0.00000,0.00000,0.532,0.011,0
2.7360,0.05210,-0.04185,0.00459,0.00000,0.00000,0.540,0.016,0
2.7880,0.05125,-0.04208,0.00469,0.00000,0.00000,0.547,0.020,0
2.8400,0.05037,-0.04230,0.00478,0.00000,0.00000,0.553,0.024,0
2.8920,0.04946,-0.04250,0.00485,0.00000,0.00000,0.559,0.028,0
2.9440,0.04852,-0.04270,0.00490,0.00000,0.00000,0.565,0.032,0
2.9960,0.04756,-0.04289,0.00494,0.00000,0.00000,0.570,0.036,0
3.0480,0.04658,-0.04308,0.00495,0.00000,0.00000,0.574,0.039,0
3.1000,0.04558,-0.04327,0.00494,0.00000,0.00000,0.578,0.043,0
3.1520,0.04457,-0.04346,0.00492,0.00000,0.00000,0.581,0.046,0
3.2040,0.04354,-0.04365,0.00487,0.00000,0.00000,0.584,0.049,0
3.2560,0.04251,-0.04384,0.00481,0.00000,0.00000,0.586,0.052,0
3.3080,0.04147,-0.04403,0.00473,0.00000,0.00000,0.588,0.055,0
3.3600,0.04043,-0.04424,0.00463,0.00000,0.00000,0.589,0.058,0
3.4120,0.03939,-0.04444,0.00452,0.00000,0.00000,0.590,0.060,0
3.4640,0.03836,-0.04466,0.00438,0.00000,0.00000,0.591,0.062,0
3.5160,0.03733,-0.04488,0.00424,0.00000,0.00000,0.591,0.064,0
3.5680,0.03632,-0.04510,0.00407,0.00000,0.00000,0.591,0.066,0
3.6200,0.03533,-0.04534,0.00390,0.00000,0.00000,0.591,0.067,0
3.6720,0.03435,-0.04558,0.00371,0.00000,0.00000,0.590,0.068,0
3.7240,0.03339,-0.04583,0.00351,0.00000,0.00000,0.589,0.069,0
3.7760,0.03246,-0.04608,0.00331,0.00000,0.00000,0.588,0.070,0
3.8280,0.03156,-0.04634,0.00309,0.00000,0.00000,0.587,0.071,0
3.8800,0.03068,-0.04660,0.00287,0.00000,0.00000,0.585,0.071,0
3.9320,0.02984,-0.04686,0.00264,0.00000,0.00000,0.584,0.071,0
3.9840,0.02903,-0.04713,0.00240,0.00000,0.00000,0.582,0.071,0
4.0360,0.02825,-0.04739,0.00217,0.00000,0.00000,0.580,0.071,0
4.0880,0.02752,-0.04765,0.00193,0.00000,0.00000,0.577,0.071,0
4.1400,0.02681,-0.04791,0.00169,0.00000,0.00000,0.575,0.070,0
4.1920,0.02615,-0.04817,0.00146,0.00000,0.00000,0.573,0.070,0
4.2440,0.02553,-0.04841,0.00123,0.00000,0.00000,0.571,0.069,0
4.2960,0.02494,-0.04865,0.00100,0.00000,0.00000,0.568,0.068,0
4.3480,0.02440,-0.04887,0.00078,0.00000,0.00000,0.566,0.067,0
4.4000,0.02389,-0.04908,0.00057,0.00000,0.00000,0.563,0.066,0
4.4520,0.02343,-0.04927,0.00036,0.00000,0.00000,0.561,0.065,0
4.5040,0.02300,-0.04944,0.00017,0.00000,0.00000,0.558,0.064,0
4.5560,0.02261,-0.04959,-0.00001,0.00000,0.00000,0.556,0.063,0
4.6080,0.02225,-0.04972,-0.00018,0.00000,0.00000,0.553,0.062,0
4.6600,0.02193,-0.04982,-0.00034,0.00000,0.00000,0.551,0.060,0
4.7120,0.02165,-0.04989,-0.00048,0.00000,0.00000,0.548,0.059,0
4.7640,0.02139,-0.04993,-0.00061,0.00000,0.00000,0.546,0.058,0
4.8160,0.02117,-0.04993,-0.00072,0.00000,0.00000,0.543,0.056,0
4.8680,0.02097,-0.04989,-0.00081,0.00000,0.00000,0.541,0.055,0
4.9200,0.02079,-0.04982,-0.00089,0.00000,0.00000,0.538,0.054,0
4.9720,0.02064,-0.04970,-0.00094,0.00000,0.00000,0.536,0.053,0
5.0240,0.02051,-0.04955,-0.00099,0.00000,0.00000,0.533,0.052,0
5.0760,0.02039,-0.04934,-0.00101,0.00000,0.00000,0.530,0.051,0
5.1280,0.02029,-0.04909,-0.00101,0.00000,0.00000,0.528,0.050,0
5.1800,0.02020,-0.04878,-0.00100,0.00000,0.00000,0.525,0.049,0
5.2320,0.02012,-0.04843,-0.00097,0.00000,0.00000,0.522,0.048,0
5.2840,0.02005,-0.04802,-0.00093,0.00000,0.00000,0.519,0.047,0
5.3360,0.01998,-0.04756,-0.00086,0.00000,0.00000,0.516,0.046,0
5.3880,0.01991,-0.04704,-0.00078,0.00000,0.00000,0.513,0.046,0
5.4400,0.01984,-0.04647,-0.00069,0.00000,0.00000,0.510,0.045,0
5.4920,0.01977,-0.04584,-0.00058,0.00000,0.00000,0.507,0.045,0
5.5440,0.01969,-0.04516,-0.00046,0.00000,0.00000,0.503,0.045,0
5.5960,0.01960,-0.04441,-0.00032,0.00000,0.00000,0.499,0.044,0
5.6480,0.01950,-0.04361,-0.00018,0.00000,0.00000,0.495,0.044,0
5.7000,0.01939,-0.04276,-0.00002,0.00000,0.00000,0.491,0.044,0
5.7520,0.01927,-0.04185,0.00014,0.00000,0.00000,0.487,0.044,0
5.8040,0.01913,-0.04088,0.00031,0.00000,0.00000,0.482,0.045,0
5.8560,0.01898,-0.03986,0.00049,0.00000,0.00000,0.477,0.045,0
5.9080,0.01880,-0.03879,0.00067,0.00000,0.00000,0.472,0.045,0
5.9600,0.01861,-0.03767,0.00085,0.00000,0.00000,0.466,0.046,0
