t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09995,0.04952,-0.00001,0.00000,0.00000,-0.007,-0.004,0
0.1020,0.09915,0.04824,-0.00002,0.00000,0.00000,-0.027,-0.015,0
0.1520,0.09711,0.04633,-0.00004,0.00000,0.00000,-0.060,-0.033,0
0.2020,0.09408,0.04391,-0.00008,0.00000,0.00000,-0.106,-0.060,0
0.2520,0.09034,0.04109,-0.00011,0.00000,0.00000,-0.161,-0.095,0
0.3020,0.08611,0.03798,-0.00015,0.00000,0.00000,-0.223,-0.139,0
0.3520,0.08156,0.03464,-0.00019,0.00000,0.00000,-0.289,-0.191,0
0.4020,0.07682,0.03117,-0.00023,0.00000,0.00000,-0.354,-0.251,0
0.4520,0.07199,0.02760,-0.00027,0.00000,0.00000,-0.416,-0.320,0
0.5040,0.06695,0.02386,-0.00031,0.00000,0.00000,-0.473,-0.400,0
0.5540,0.06216,0.02028,-0.00034,0.00000,0.00000,-0.520,-0.484,0
0.6040,0.05745,0.01674,-0.00036,0.00000,0.00000,-0.555,-0.576,0
0.6540,0.05286,0.01328,-0.00038,0.00000,0.00000,-0.578,-0.675,0
0.7040,0.04841,0.00993,-0.00040,0.00000,0.00000,-0.589,-0.781,0
0.7540,0.04412,0.00669,-0.00040,0.00000,0.00000,-0.585,-0.893,0
0.8040,0.04000,0.00360,-0.00040,0.00000,0.00000,-0.569,-1.009,0
0.8540,0.03605,0.00066,-0.00039,0.00000,0.00000,-0.539,-1.131,0
0.9040,0.03227,-0.00212,-0.00037,0.00000,0.00000,-0.498,-1.257,0
0.9540,0.02868,-0.00473,-0.00033,0.00000,0.00000,-0.445,-1.387,0
1.0060,0.02513,-0.00726,-0.00029,0.00000,0.00000,-0.381,-1.525,0
1.0560,0.02189,-0.00951,-0.00024,0.00000,0.00000,-0.310,-1.660,0
1.1060,0.01883,-0.01158,-0.00018,0.00000,0.00000,-0.232,-1.796,0
1.1560,0.01594,-0.01348,-0.00011,0.00000,0.00000,-0.149,-1.932,0
1.2060,0.01321,-0.01520,-0.00004,0.00000,0.00000,-0.063,-2.069,0
1.2560,0.01064,-0.01675,0.00005,0.00000,0.00000,0.026,-2.204,0
1.3060,0.00823,-0.01814,0.00014,0.00000,0.00000,0.116,-2.338,0
1.3560,0.00596,-0.01936,0.00024,0.00000,0.00000,0.206,-2.469,0
1.4060,0.00384,-0.02043,0.00035,0.00000,0.00000,0.294,-2.596,0
1.4560,0.00185,-0.02135,0.00047,0.00000,0.00000,0.380,-2.719,0
1.5060,-0.00000,-0.02212,0.00059,0.00000,0.00000,0.462,-2.838,0
1.5560,-0.00173,-0.02276,0.00071,0.00000,0.00000,0.540,-2.950,0
1.6060,-0.00334,-0.02327,0.00084,0.00000,0.00000,0.613,-3.056,0
1.6560,-0.00483,-0.02365,0.00097,0.00000,0.00000,0.680,-3.155,0
1.7060,-0.00622,-0.02391,0.00110,0.00000,0.00000,0.742,-3.246,0
1.7560,-0.00750,-0.02407,0.00124,0.00000,0.00000,0.797,-3.329,0
1.8060,-0.00868,-0.02411,0.00137,0.00000,0.00000,0.845,-3.402,0
1.8560,-0.00977,-0.02406,0.00150,0.00000,0.00000,0.887,-3.466,0
1.9060,-0.01077,-0.02391,0.00163,0.00000,0.00000,0.922,-3.520,0
1.9560,-0.01168,-0.02367,0.00176,0.00000,0.00000,0.951,-3.563,0
2.0080,-0.01254,-0.02334,0.00189,0.00000,0.00000,0.973,-3.597,0
2.0600,-0.01333,-0.02292,0.00201,0.00000,0.00000,0.989,-3.618,0
2.1120,-0.01404,-0.02242,0.00213,0.00000,0.00000,0.999,-3.626,0
2.1640,-0.01467,-0.02186,0.00224,0.00000,0.00000,1.002,-3.621,0
2.2160,-0.01524,-0.02122,0.00235,0.00000,0.00000,0.999,-3.603,0
2.2680,-0.01574,-0.02053,0.00244,0.00000,0.00000,0.991,-3.572,0
2.3200,-0.01618,-0.01978,0.00253,0.00000,0.00000,0.977,-3.527,0
2.3720,-0.01657,-0.01898,0.00261,0.00000,0.00000,0.959,-3.468,0
2.4240,-0.01691,-0.01813,0.00268,0.00000,0.00000,0.937,-3.396,0
2.4760,-0.01719,-0.01725,0.00273,0.00000,0.00000,0.911,-3.311,0
2.5280,-0.01743,-0.01633,0.00278,0.00000,0.00000,0.881,-3.213,0
2.5800,-0.01763,-0.01537,0.00281,0.00000,0.00000,0.849,-3.102,0
2.6320,-0.01780,-0.01439,0.00284,0.00000,0.00000,0.814,-2.978,0
2.6840,-0.01792,-0.01339,0.00285,0.00000,0.00000,0.777,-2.843,0
2.7360,-0.01801,-0.01237,0.00285,0.00000,0.00000,0.738,-2.696,0
2.7880,-0.01808,-0.01134,0.00283,0.00000,0.00000,0.697,-2.538,0
2.8400,-0.01811,-0.01030,0.00281,0.00000,0.00000,0.656,-2.371,0
2.8920,-0.01812,-0.00925,0.00277,0.00000,0.00000,0.614,-2.193,0
2.9440,-0.01811,-0.00820,0.00273,0.00000,0.00000,0.571,-2.007,0
2.9960,-0.01807,-0.00715,0.00267,0.00000,0.00000,0.527,-1.814,0
3.0480,-0.01802,-0.00611,0.00260,0.00000,0.00000,0.484,-1.613,0
3.1000,-0.01795,-0.00509,0.00252,0.00000,0.00000,0.441,-1.405,0
3.1520,-0.01787,-0.00407,0.00243,0.00000,0.00000,0.398,-1.193,0
3.2040,-0.01777,-0.00307,0.00234,0.00000,0.00000,0.355,-0.976,0
3.2560,-0.01766,-0.00209,0.00223,0.00000,0.00000,0.314,-0.755,0
3.3080,-0.01754,-0.00114,0.00212,0.00000,0.00000,0.273,-0.532,0
3.3600,-0.01741,-0.00022,0.00200,0.00000,0.00000,0.233,-0.308,0
3.4120,-0.01727,0.00068,0.00187,0.00000,0.00000,0.193,-0.082,0
3.4640,-0.01713,0.00155,0.00174,0.00000,0.00000,0.155,0.143,0
3.5160,-0.01698,0.00237,0.00160,0.00000,0.00000,0.119,0.367,0
3.5680,-0.01682,0.00317,0.00146,0.00000,0.00000,0.083,0.589,0
3.6200,-0.01666,0.00392,0.00132,0.00000,0.00000,0.049,0.807,0
3.6720,-0.01649,0.00463,0.00117,0.00000,0.00000,0.016,1.023,0
3.7240,-0.01632,0.00530,0.00102,0.00000,0.00000,-0.016,1.233,0
3.7760,-0.01615,0.00592,0.00087,0.00000,0.00000,-0.046,1.438,0
3.8280,-0.01597,0.00650,0.00072,0.00000,0.00000,-0.075,1.637,0
3.8800,-0.01579,0.00704,0.00058,0.00000,0.00000,-0.102,1.828,0
3.9320,-0.01560,0.00752,0.00043,0.00000,0.00000,-0.128,2.012,0
3.9840,-0.01541,0.00796,0.00029,0.00000,0.00000,-0.152,2.187,0
4.0360,-0.01521,0.00836,0.00015,0.00000,0.00000,-0.175,2.354,0
4.0880,-0.01501,0.00870,0.00001,0.00000,0.00000,-0.196,2.510,0
4.1400,-0.01480,0.00900,-0.00012,0.00000,0.00000,-0.216,2.657,0
4.1920,-0.01459,0.00925,-0.00024,0.00000,0.00000,-0.234,2.792,0
4.2440,-0.01437,0.00946,-0.00036,0.00000,0.00000,-0.251,2.917,0
4.2960,-0.01415,0.00962,-0.00047,0.00000,0.00000,-0.267,3.029,0
4.3480,-0.01391,0.00974,-0.00057,0.00000,0.00000,-0.281,3.130,0
4.4000,-0.01367,0.00982,-0.00067,0.00000,0.00000,-0.294,3.218,0
4.4520,-0.01342,0.00985,-0.00075,0.00000,0.00000,-0.305,3.294,0
4.5040,-0.01316,0.00985,-0.00083,0.00000,0.00000,-0.315,3.357,0
4.5560,-0.01288,0.00982,-0.00089,0.00000,0.00000,-0.324,3.407,0
4.6080,-0.01260,0.00975,-0.00095,0.00000,0.00000,-0.331,3.443,0
4.6600,-0.01230,0.00965,-0.00099,0.00000,0.00000,-0.338,3.466,0
4.7120,-0.01199,0.00952,-0.00103,0.00000,0.00000,-0.343,3.476,0
4.7640,-0.01167,0.00937,-0.00105,0.00000,0.00000,-0.347,3.473,0
4.8160,-0.01134,0.00919,-0.00106,0.00000,0.00000,-0.351,3.456,0
4.8680,-0.01099,0.00899,-0.00106,0.00000,0.00000,-0.353,3.426,0
4.9200,-0.01063,0.00877,-0.00106,0.00000,0.00000,-0.354,3.383,0
4.9720,-0.01025,0.00854,-0.00104,0.00000,0.00000,-0.354,3.328,0
5.0240,-0.00986,0.00830,-0.00101,0.00000,0.00000,-0.354,3.260,0
5.0760,-0.00945,0.00804,-0.00097,0.00000,0.00000,-0.353,3.180,0
5.1280,-0.00903,0.00778,-0.00092,0.00000,0.00000,-0.351,3.088,0
5.1800,-0.00859,0.00752,-0.00086,0.00000,0.00000,-0.348,2.986,0
5.2320,-0.00814,0.00725,-0.00080,0.00000,0.00000,-0.345,2.873,0
5.2840,-0.00767,0.00699,-0.00073,0.00000,0.00000,-0.342,2.751,0
5.3360,-0.00719,0.00673,-0.00065,0.00000,0.00000,-0.337,2.619,0
5.3880,-0.00670,0.00647,-0.00056,0.00000,0.00000,-0.333,2.479,0
5.4400,-0.00619,0.00623,-0.00048,0.00000,0.00000,-0.328,2.331,0
5.4920,-0.00568,0.00599,-0.00038,0.00000,0.00000,-0.323,2.177,0
5.5440,-0.00515,0.00576,-0.00029,0.00000,0.00000,-0.317,2.016,0
5.5960,-0.00461,0.00555,-0.00019,0.00000,0.00000,-0.312,1.851,0
5.6480,-0.00406,0.00536,-0.00009,0.00000,0.00000,-0.306,1.681,0
5.7000,-0.00350,0.00518,0.00001,0.00000,0.00000,-0.300,1.507,0
5.7520,-0.00293,0.00501,0.00011,0.00000,0.00000,-0.294,1.331,0
5.8040,-0.00236,0.00487,0.00020,0.00000,0.00000,-0.289,1.154,0
5.8560,-0.00178,0.00474,0.00030,0.00000,0.00000,-0.283,0.975,0
5.9080,-0.00120,0.00464,0.00038,0.00000,0.00000,-0.278,0.797,0
5.9600,-0.00062,0.00455,0.00047,0.00000,0.00000,-0.272,0.619,0
6.0120,-0.00003,0.00449,0.00055,0.00000,0.00000,-0.268,0.444,0
6.0640,0.00056,0.00444,0.00062,0.00000,0.00000,-0.263,0.271,0
