t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09991,0.04965,-0.00001,0.00000,0.00000,-0.005,0.003,0
0.1020,0.09903,0.04877,-0.00002,0.00000,0.00000,-0.015,0.010,0
0.1520,0.09688,0.04747,-0.00005,0.00000,0.00000,-0.026,0.021,0
0.2020,0.09374,0.04581,-0.00008,0.00000,0.00000,-0.036,0.035,0
0.2520,0.08988,0.04388,-0.00010,0.00000,0.00000,-0.042,0.051,0
0.3020,0.08554,0.04174,-0.00013,0.00000,0.00000,-0.046,0.068,0
0.3520,0.08088,0.03943,-0.00016,0.00000,0.00000,-0.047,0.087,0
0.4020,0.07605,0.03701,-0.00019,0.00000,0.00000,-0.046,0.106,0
0.4520,0.07116,0.03452,-0.00021,0.00000,0.00000,-0.044,0.126,0
0.5040,0.06608,0.03189,-0.00022,0.00000,0.00000,-0.040,0.147,0
0.5540,0.06129,0.02935,-0.00023,0.00000,0.00000,-0.036,0.167,0
0.6040,0.05662,0.02682,-0.00024,0.00000,0.00000,-0.031,0.186,0
0.6540,0.05212,0.02433,-0.00023,0.00000,0.00000,-0.027,0.205,0
0.7040,0.04780,0.02189,-0.00022,0.00000,0.00000,-0.022,0.224,0
0.7540,0.04369,0.01951,-0.00020,0.00000,0.00000,-0.018,0.242,0
0.8040,0.03979,0.01721,-0.00017,0.00000,0.00000,-0.014,0.258,0
0.8540,0.03610,0.01499,-0.00014,0.00000,0.00000,-0.010,0.274,0
0.9040,0.03262,0.01286,-0.00009,0.00000,0.00000,-0.007,0.289,0
0.9540,0.02935,0.01082,-0.00004,0.00000,0.00000,-0.004,0.302,0
1.0060,0.02617,0.00880,0.00002,0.00000,0.00000,-0.001,0.315,0
1.0560,0.02332,0.00695,0.00009,0.00000,0.00000,0.001,0.326,0
1.1060,0.02065,0.00521,0.00016,0.00000,0.00000,0.003,0.335,0
1.1560,0.01816,0.00355,0.00024,0.00000,0.00000,0.005,0.343,0
1.2060,0.01584,0.00200,0.00032,0.00000,0.00000,0.006,0.350,0
1.2560,0.01367,0.00053,0.00042,0.00000,0.00000,0.007,0.354,0
1.3060,0.01166,-0.00085,0.00051,0.00000,0.00000,0.009,0.357,0
1.3560,0.00978,-0.00214,0.00061,0.00000,0.00000,0.010,0.359,0
1.4060,0.00803,-0.00335,0.00072,0.00000,0.00000,0.011,0.359,0
1.4560,0.00640,-0.00448,0.00082,0.00000,0.00000,0.013,0.357,0
1.5060,0.00487,-0.00554,0.00093,0.00000,0.00000,0.014,0.353,0
1.5560,0.00345,-0.00652,0.00104,0.00000,0.00000,0.016,0.348,0
1.6060,0.00212,-0.00744,0.00116,0.00000,0.00000,0.018,0.341,0
1.6560,0.00087,-0.00830,0.00127,0.00000,0.00000,0.020,0.333,0
1.7060,-0.00030,-0.00910,0.00138,0.00000,0.00000,0.022,0.323,0
1.7560,-0.00140,-0.00985,0.00149,0.00000,0.00000,0.025,0.312,0
1.8060,-0.00243,-0.01054,0.00160,0.00000,0.00000,0.028,0.299,0
1.8560,-0.00341,-0.01119,0.00170,0.00000,0.00000,0.031,0.286,0
1.9060,-0.00433,-0.01180,0.00180,0.00000,0.00000,0.035,0.271,0
1.9560,-0.00521,-0.01237,0.00190,0.00000,0.00000,0.039,0.255,0
2.0080,-0.00607,-0.01292,0.00199,0.00000,0.00000,0.043,0.237,0
2.0600,-0.00689,-0.01344,0.00208,0.00000,0.00000,0.048,0.219,0
2.1120,-0.00767,-0.01392,0.00217,0.00000,0.00000,0.053,0.200,0
2.1640,-0.00842,-0.01438,0.00224,0.00000,0.00000,0.058,0.181,0
2.2160,-0.00913,-0.01480,0.00231,0.00000,0.00000,0.063,0.161,0
2.2680,-0.00981,-0.01521,0.00237,0.00000,0.00000,0.068,0.142,0
2.3200,-0.01046,-0.01559,0.00242,0.00000,0.00000,0.074,0.122,0
2.3720,-0.01108,-0.01596,0.00246,0.00000,0.00000,0.080,0.102,0
2.4240,-0.01168,-0.01631,0.00250,0.00000,0.00000,0.085,0.083,0
2.4760,-0.01226,-0.01664,0.00252,0.00000,0.00000,0.091,0.064,0
2.5280,-0.01281,-0.01696,0.00253,0.00000,0.00000,0.096,0.046,0
2.5800,-0.01334,-0.01726,0.00254,0.00000,0.00000,0.101,0.029,0
2.6320,-0.01384,-0.01756,0.00253,0.00000,0.00000,0.106,0.012,0
2.6840,-0.01433,-0.01784,0.00252,0.00000,0.00000,0.111,-0.003,0
2.7360,-0.01479,-0.01812,0.00249,0.00000,0.00000,0.115,-0.018,0
2.7880,-0.01524,-0.01838,0.00245,0.00000,0.00000,0.119,-0.031,0
2.8400,-0.01566,-0.01864,0.00241,0.00000,0.00000,0.123,-0.043,0
2.8920,-0.01606,-0.01889,0.00235,0.00000,0.00000,0.126,-0.054,0
2.9440,-0.01643,-0.01913,0.00229,0.00000,0.00000,0.128,-0.064,0
2.9960,-0.01679,-0.01937,0.00222,0.00000,0.00000,0.130,-0.073,0
3.0480,-0.01712,-0.01960,0.00214,0.00000,0.00000,0.131,-0.080,0
3.1000,-0.01743,-0.01982,0.00205,0.00000,0.00000,0.131,-0.086,0
3.1520,-0.01771,-0.02003,0.00195,0.00000,0.00000,0.130,-0.090,0
3.2040,-0.01797,-0.02024,0.00185,0.00000,0.00000,0.129,-0.094,0
3.2560,-0.01820,-0.02044,0.00174,0.00000,0.00000,0.127,-0.096,0
3.3080,-0.01841,-0.02062,0.00162,0.00000,0.00000,0.124,-0.097,0
