t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09992,0.04938,-0.00000,0.00000,0.00000,0.014,-0.002,0
0.1020,0.09906,0.04781,-0.00002,0.00000,0.00000,0.051,-0.008,0
0.1520,0.09694,0.04546,-0.00004,0.00000,0.00000,0.106,-0.018,0
0.2020,0.09382,0.04249,-0.00007,0.00000,0.00000,0.174,-0.033,0
0.2520,0.08998,0.03904,-0.00010,0.00000,0.00000,0.253,-0.053,0
0.3020,0.08565,0.03523,-0.00014,0.00000,0.00000,0.340,-0.079,0
0.3520,0.08099,0.03115,-0.00017,0.00000,0.00000,0.431,-0.110,0
0.4020,0.07616,0.02689,-0.00020,0.00000,0.00000,0.524,-0.148,0
0.4520,0.07125,0.02253,-0.00023,0.00000,0.00000,0.618,-0.191,0
0.5040,0.06614,0.01795,-0.00026,0.00000,0.00000,0.715,-0.241,0
0.5540,0.06131,0.01356,-0.00028,0.00000,0.00000,0.807,-0.295,0
0.6040,0.05658,0.00922,-0.00030,0.00000,0.00000,0.897,-0.354,0
0.6540,0.05200,0.00496,-0.00030,0.00000,0.00000,0.984,-0.418,0
0.7040,0.04759,0.00083,-0.00031,0.00000,0.00000,1.068,-0.486,0
0.7540,0.04336,-0.00317,-0.00030,0.00000,0.00000,1.149,-0.559,0
0.8040,0.03931,-0.00701,-0.00029,0.00000,0.00000,1.226,-0.635,0
0.8540,0.03547,-0.01068,-0.00026,0.00000,0.00000,1.299,-0.715,0
0.9040,0.03182,-0.01418,-0.00023,0.00000,0.00000,1.367,-0.797,0
0.9540,0.02836,-0.01749,-0.00019,0.00000,0.00000,1.432,-0.882,0
1.0060,0.02497,-0.02073,-0.00014,0.00000,0.00000,1.493,-0.972,0
1.0560,0.02189,-0.02366,-0.00009,0.00000,0.00000,1.547,-1.061,0
1.1060,0.01900,-0.02640,-0.00002,0.00000,0.00000,1.596,-1.150,0
1.1560,0.01628,-0.02895,0.00005,0.00000,0.00000,1.639,-1.240,0
1.2060,0.01372,-0.03132,0.00013,0.00000,0.00000,1.677,-1.330,0
1.2560,0.01133,-0.03350,0.00022,0.00000,0.00000,1.709,-1.419,0
1.3060,0.00908,-0.03551,0.00031,0.00000,0.00000,1.735,-1.507,0
1.3560,0.00697,-0.03735,0.00041,0.00000,0.00000,1.755,-1.594,0
1.4060,0.00500,-0.03903,0.00052,0.00000,0.00000,1.769,-1.679,0
1.4560,0.00315,-0.04054,0.00063,0.00000,0.00000,1.778,-1.761,0
1.5060,0.00142,-0.04190,0.00075,0.00000,0.00000,1.781,-1.840,0
1.5560,-0.00019,-0.04311,0.00087,0.00000,0.00000,1.778,-1.915,0
1.6060,-0.00170,-0.04418,0.00099,0.00000,0.00000,1.770,-1.987,0
1.6560,-0.00311,-0.04511,0.00111,0.00000,0.00000,1.757,-2.054,0
1.7060,-0.00443,-0.04591,0.00124,0.00000,0.00000,1.739,-2.116,0
1.7560,-0.00566,-0.04658,0.00136,0.00000,0.00000,1.716,-2.173,0
1.8060,-0.00681,-0.04713,0.00149,0.00000,0.00000,1.688,-2.225,0
1.8560,-0.00789,-0.04756,0.00161,0.00000,0.00000,1.657,-2.270,0
1.9060,-0.00890,-0.04788,0.00173,0.00000,0.00000,1.621,-2.309,0
1.9560,-0.00984,-0.04809,0.00185,0.00000,0.00000,1.581,-2.342,0
2.0080,-0.01075,-0.04821,0.00197,0.00000,0.00000,1.537,-2.368,0
2.0600,-0.01160,-0.04822,0.00209,0.00000,0.00000,1.489,-2.387,0
2.1120,-0.01239,-0.04813,0.00220,0.00000,0.00000,1.437,-2.397,0
2.1640,-0.01313,-0.04795,0.00231,0.00000,0.00000,1.383,-2.400,0
2.2160,-0.01383,-0.04767,0.00241,0.00000,0.00000,1.326,-2.393,0
2.2680,-0.01447,-0.04731,0.00250,0.00000,0.00000,1.267,-2.378,0
2.3200,-0.01507,-0.04687,0.00258,0.00000,0.00000,1.206,-2.354,0
2.3720,-0.01563,-0.04635,0.00265,0.00000,0.00000,1.143,-2.321,0
2.4240,-0.01616,-0.04577,0.00272,0.00000,0.00000,1.078,-2.279,0
2.4760,-0.01665,-0.04511,0.00277,0.00000,0.00000,1.011,-2.228,0
2.5280,-0.01710,-0.04440,0.00281,0.00000,0.00000,0.944,-2.169,0
2.5800,-0.01753,-0.04362,0.00284,0.00000,0.00000,0.875,-2.100,0
2.6320,-0.01793,-0.04280,0.00287,0.00000,0.00000,0.805,-2.023,0
2.6840,-0.01830,-0.04192,0.00288,0.00000,0.00000,0.735,-1.938,0
2.7360,-0.01864,-0.04100,0.00287,0.00000,0.00000,0.663,-1.845,0
2.7880,-0.01896,-0.04004,0.00286,0.00000,0.00000,0.592,-1.744,0
2.8400,-0.01926,-0.03905,0.00283,0.00000,0.00000,0.519,-1.635,0
2.8920,-0.01953,-0.03802,0.00279,0.00000,0.00000,0.447,-1.520,0
2.9440,-0.01978,-0.03697,0.00274,0.00000,0.00000,0.375,-1.398,0
2.9960,-0.02001,-0.03589,0.00268,0.00000,0.00000,0.302,-1.271,0
3.0480,-0.02022,-0.03480,0.00261,0.00000,0.00000,0.230,-1.137,0
3.1000,-0.02041,-0.03369,0.00253,0.00000,0.00000,0.158,-0.999,0
3.1520,-0.02058,-0.03257,0.00243,0.00000,0.00000,0.086,-0.857,0
3.2040,-0.02073,-0.03144,0.00233,0.00000,0.00000,0.015,-0.711,0
3.2560,-0.02086,-0.03031,0.00221,0.00000,0.00000,-0.056,-0.562,0
3.3080,-0.02097,-0.02919,0.00209,0.00000,0.00000,-0.126,-0.411,0
3.3600,-0.02107,-0.02806,0.00196,0.00000,0.00000,-0.195,-0.258,0
3.4120,-0.02114,-0.02694,0.00182,0.00000,0.00000,-0.263,-0.105,0
3.4640,-0.02120,-0.02584,0.00167,0.00000,0.00000,-0.330,0.049,0
3.5160,-0.02124,-0.02474,0.00152,0.00000,0.00000,-0.396,0.202,0
3.5680,-0.02125,-0.02367,0.00136,0.00000,0.00000,-0.461,0.354,0
