t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.10000,0.05000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.09954,0.04979,-0.00000,0.00000,0.00000,-0.003,0.007,0
0.1020,0.09833,0.04924,-0.00001,0.00000,0.00000,-0.003,0.015,0
0.1520,0.09652,0.04841,-0.00002,0.00000,0.00000,0.002,0.015,0
0.2020,0.09422,0.04733,-0.00004,0.00000,0.00000,0.005,0.015,0
0.2520,0.09154,0.04604,-0.00006,0.00000,0.00000,0.006,0.015,0
0.3020,0.08857,0.04458,-0.00008,0.00000,0.00000,0.005,0.016,0
0.3520,0.08539,0.04299,-0.00011,0.00000,0.00000,0.002,0.017,0
0.4020,0.08207,0.04128,-0.00014,0.00000,0.00000,-0.002,0.018,0
0.4520,0.07866,0.03949,-0.00017,0.00000,0.00000,-0.007,0.019,0
0.5040,0.07508,0.03756,-0.00020,0.00000,0.00000,-0.013,0.020,0
0.5540,0.07164,0.03567,-0.00023,0.00000,0.00000,-0.020,0.021,0
0.6040,0.06824,0.03376,-0.00027,0.00000,0.00000,-0.026,0.023,0
0.6540,0.06492,0.03185,-0.00030,0.00000,0.00000,-0.033,0.024,0
0.7040,0.06169,0.02995,-0.00034,0.00000,0.00000,-0.039,0.025,0
0.7540,0.05857,0.02808,-0.00037,0.00000,0.00000,-0.044,0.026,0
0.8040,0.05558,0.02624,-0.00041,0.00000,0.00000,-0.050,0.027,0
0.8540,0.05272,0.02445,-0.00044,0.00000,0.00000,-0.055,0.028,0
0.9040,0.05000,0.02271,-0.00048,0.00000,0.00000,-0.059,0.028,0
0.9540,0.04743,0.02103,-0.00051,0.00000,0.00000,-0.062,0.029,0
1.0060,0.04492,0.01934,-0.00055,0.00000,0.00000,-0.065,0.029,0
1.0560,0.04266,0.01780,-0.00058,0.00000,0.00000,-0.068,0.030,0
1.1060,0.04055,0.01632,-0.00062,0.00000,0.00000,-0.070,0.030,0
1.1560,0.03858,0.01492,-0.00065,0.00000,0.00000,-0.071,0.030,0
1.2060,0.03676,0.01359,-0.00068,0.00000,0.00000,-0.072,0.031,0
1.2560,0.03507,0.01234,-0.00071,0.00000,0.00000,-0.072,0.031,0
1.3060,0.03352,0.01117,-0.00074,0.00000,0.00000,-0.072,0.031,0
1.3560,0.03210,0.01006,-0.00077,0.00000,0.00000,-0.072,0.031,0
1.4060,0.03079,0.00904,-0.00080,0.00000,0.00000,-0.071,0.031,0
1.4560,0.02960,0.00808,-0.00082,0.00000,0.00000,-0.070,0.031,0
1.5060,0.02852,0.00720,-0.00085,0.00000,0.00000,-0.069,0.031,0
1.5560,0.02754,0.00638,-0.00087,0.00000,0.00000,-0.067,0.031,0
1.6060,0.02665,0.00563,-0.00089,0.00000,0.00000,-0.066,0.030,0
1.6560,0.02586,0.00494,-0.00092,0.00000,0.00000,-0.064,0.030,0
1.7060,0.02514,0.00431,-0.00094,0.00000,0.00000,-0.063,0.030,0
1.7560,0.02450,0.00374,-0.00096,0.00000,0.00000,-0.061,0.030,0
1.8060,0.02393,0.00323,-0.00098,0.00000,0.00000,-0.059,0.030,0
1.8560,0.02343,0.00277,-0.00099,0.00000,0.00000,-0.057,0.029,0
1.9060,0.02299,0.00235,-0.00101,0.00000,0.00000,-0.056,0.029,0
1.9560,0.02260,0.00198,-0.00103,0.00000,0.00000,-0.054,0.029,0
2.0080,0.02224,0.00165,-0.00104,0.00000,0.00000,-0.052,0.029,0
2.0600,0.02194,0.00135,-0.00105,0.00000,0.00000,-0.050,0.028,0
2.1120,0.02167,0.00110,-0.00107,0.00000,0.00000,-0.049,0.028,0
2.1640,0.02145,0.00088,-0.00108,0.00000,0.00000,-0.047,0.028,0
2.2160,0.02126,0.00070,-0.00109,0.00000,0.00000,-0.045,0.028,0
2.2680,0.02110,0.00055,-0.00110,0.00000,0.00000,-0.044,0.027,0
2.3200,0.02097,0.00043,-0.00111,0.00000,0.00000,-0.043,0.027,0
2.3720,0.02086,0.00033,-0.00112,0.00000,0.00000,-0.041,0.027,0
2.4240,0.02078,0.00026,-0.00113,0.00000,0.00000,-0.040,0.027,0
2.4760,0.02071,0.00020,-0.00114,0.00000,0.00000,-0.039,0.027,0
2.5280,0.02066,0.00017,-0.00114,0.00000,0.00000,-0.038,0.027,0
2.5800,0.02063,0.00015,-0.00115,0.00000,0.00000,-0.037,0.026,0
2.6320,0.02060,0.00015,-0.00115,0.00000,0.00000,-0.036,0.026,0
2.6840,0.02059,0.00016,-0.00116,0.00000,0.00000,-0.036,0.026,0
2.7360,0.02058,0.00018,-0.00116,0.00000,0.00000,-0.035,0.026,0
2.7880,0.02058,0.00021,-0.00117,0.00000,0.00000,-0.034,0.026,0
2.8400,0.02059,0.00024,-0.00117,0.00000,0.00000,-0.034,0.026,0
2.8920,0.02060,0.00029,-0.00117,0.00000,0.00000,-0.033,0.026,0
2.9440,0.02062,0.00034,-0.00117,0.00000,0.00000,-0.033,0.025,0
2.9960,0.02064,0.00039,-0.00118,0.00000,0.00000,-0.032,0.025,0
3.0480,0.02066,0.00045,-0.00118,0.00000,0.00000,-0.032,0.025,0
3.1000,0.02069,0.00051,-0.00118,0.00000,0.00000,-0.032,0.025,0
3.1520,0.02071,0.00057,-0.00118,0.00000,0.00000,-0.031,0.025,0
3.2040,0.02074,0.00063,-0.00118,0.00000,0.00000,-0.031,0.025,0
3.2560,0.02076,0.00070,-0.00118,0.00000,0.00000,-0.031,0.025,0
3.3080,0.02079,0.00076,-0.00118,0.00000,0.00000,-0.031,0.025,0
3.3600,0.02081,0.00082,-0.00118,0.00000,0.00000,-0.031,0.025,0
3.4120,0.02084,0.00088,-0.00118,0.00000,0.00000,-0.031,0.025,0
3.4640,0.02086,0.00094,-0.00118,0.00000,0.00000,-0.030,0.025,0
3.5160,0.02088,0.00100,-0.00118,0.00000,0.00000,-0.030,0.025,0
3.5680,0.02091,0.00105,-0.00118,0.00000,0.00000,-0.030,0.025,0
3.6200,0.02093,0.00111,-0.00118,0.00000,0.00000,-0.030,0.025,0
3.6720,0.02095,0.00116,-0.00118,0.00000,0.00000,-0.030,0.025,0
3.7240,0.02096,0.00121,-0.00118,0.00000,0.00000,-0.030,0.025,0
3.7760,0.02098,0.00125,-0.00118,0.00000,0.00000,-0.030,0.025,0
3.8280,0.02100,0.00130,-0.00117,0.00000,0.00000,-0.030,0.025,0
3.8800,0.02101,0.00134,-0.00117,0.00000,0.00000,-0.030,0.025,0
3.9320,0.02103,0.00138,-0.00117,0.00000,0.00000,-0.030,0.025,0
3.9840,0.02104,0.00141,-0.00117,0.00000,0.00000,-0.030,0.025,0
4.0360,0.02105,0.00145,-0.00117,0.00000,0.00000,-0.030,0.025,0
4.0880,0.02106,0.00148,-0.00117,0.00000,0.00000,-0.031,0.025,0
4.1400,0.02107,0.00151,-0.00117,0.00000,0.00000,-0.031,0.025,0
4.1920,0.02108,0.00153,-0.00117,0.00000,0.00000,-0.031,0.025,0
4.2440,0.02109,0.00156,-0.00117,0.00000,0.00000,-0.031,0.025,0
4.2960,0.02110,0.00158,-0.00117,0.00000,0.00000,-0.031,0.025,0
4.3480,0.02110,0.00160,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.4000,0.02111,0.00162,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.4520,0.02112,0.00163,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.5040,0.02112,0.00165,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.5560,0.02112,0.00166,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.6080,0.02113,0.00167,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.6600,0.02113,0.00168,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.7120,0.02113,0.00169,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.7640,0.02114,0.00170,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.8160,0.02114,0.00170,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.8680,0.02114,0.00171,-0.00116,0.00000,0.00000,-0.031,0.025,0
4.9200,0.02114,0.00171,-0.00115,0.00000,0.00000,-0.031,0.025,0
4.9720,0.02114,0.00172,-0.00115,0.00000,0.00000,-0.031,0.025,0
5.0240,0.02114,0.00172,-0.00115,0.00000,0.00000,-0.031,0.025,0
5.0760,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.031,0.025,0
5.1280,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.031,0.025,0
5.1800,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.031,0.025,0
5.2320,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.2840,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.3360,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.3880,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.4400,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.4920,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.5440,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.5960,0.02115,0.00172,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.6480,0.02115,0.00171,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.7000,0.02115,0.00171,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.7520,0.02115,0.00171,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.8040,0.02115,0.00171,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.8560,0.02115,0.00171,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.9080,0.02115,0.00170,-0.00115,0.00000,0.00000,-0.032,0.025,0
5.9600,0.02115,0.00170,-0.00115,0.00000,0.00000,-0.032,0.025,0
