t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00029,-0.00007,-0.00001,0.00750,0.00000,-0.006,0.002,0
0.1020,0.00173,-0.00025,-0.00002,0.01500,0.00000,-0.022,0.008,0
0.1520,0.00485,-0.00054,-0.00005,0.02250,0.00000,-0.046,0.018,0
0.2020,0.00941,-0.00092,-0.00008,0.03000,0.00000,-0.078,0.033,0
0.2520,0.01509,-0.00136,-0.00011,0.03750,0.00000,-0.117,0.054,0
0.3020,0.02166,-0.00185,-0.00014,0.04500,0.00000,-0.162,0.080,0
0.3520,0.02890,-0.00239,-0.00017,0.05250,0.00000,-0.209,0.112,0
0.4020,0.03668,-0.00296,-0.00021,0.06000,0.00000,-0.259,0.150,0
0.4520,0.04485,-0.00355,-0.00023,0.06750,0.00000,-0.310,0.194,0
0.5040,0.05366,-0.00418,-0.00026,0.07530,0.00000,-0.363,0.246,0
0.5540,0.06235,-0.00480,-0.00028,0.08280,0.00000,-0.413,0.301,0
0.6040,0.07119,-0.00542,-0.00029,0.09030,0.00000,-0.460,0.361,0
0.6540,0.08014,-0.00603,-0.00030,0.09780,0.00000,-0.505,0.426,0
0.7040,0.08915,-0.00664,-0.00030,0.10530,0.00000,-0.547,0.495,0
0.7540,0.09818,-0.00724,-0.00029,0.11280,0.00000,-0.585,0.569,0
0.8040,0.10721,-0.00784,-0.00027,0.12030,0.00000,-0.619,0.646,0
0.8540,0.11623,-0.00841,-0.00024,0.12780,0.00000,-0.649,0.726,0
0.9040,0.12522,-0.00898,-0.00021,0.13530,0.00000,-0.675,0.808,0
0.9540,0.13416,-0.00954,-0.00017,0.14280,0.00000,-0.697,0.892,0
1.0060,0.14340,-0.01009,-0.00011,0.15060,0.00000,-0.716,0.981,0
1.0560,0.15223,-0.01059,-0.00005,0.15810,0.00000,-0.730,1.068,0
1.1060,0.16099,-0.01108,0.00002,0.16560,0.00000,-0.740,1.155,0
1.1560,0.16968,-0.01154,0.00010,0.17310,0.00000,-0.746,1.241,0
1.2060,0.17829,-0.01198,0.00019,0.18060,0.00000,-0.748,1.327,0
1.2560,0.18684,-0.01239,0.00028,0.18810,0.00000,-0.747,1.411,0
1.3060,0.19532,-0.01277,0.00038,0.19560,0.00000,-0.743,1.493,0
1.3560,0.20371,-0.01313,0.00049,0.20310,0.00000,-0.736,1.572,0
1.4060,0.21203,-0.01347,0.00060,0.21060,0.00000,-0.725,1.648,0
1.4560,0.22027,-0.01379,0.00072,0.21810,0.00000,-0.713,1.721,0
1.5060,0.22843,-0.01408,0.00084,0.22560,0.00000,-0.698,1.789,0
1.5560,0.23653,-0.01435,0.00096,0.23310,0.00000,-0.681,1.852,0
1.6060,0.24454,-0.01459,0.00109,0.24060,0.00000,-0.662,1.911,0
1.6560,0.25249,-0.01482,0.00121,0.24810,0.00000,-0.641,1.964,0
1.7060,0.26037,-0.01502,0.00134,0.25560,0.00000,-0.620,2.010,0
1.7560,0.26818,-0.01521,0.00146,0.26310,0.00000,-0.597,2.051,0
1.8060,0.27592,-0.01537,0.00159,0.27060,0.00000,-0.574,2.085,0
1.8560,0.28360,-0.01552,0.00171,0.27810,0.00000,-0.550,2.112,0
1.9060,0.29122,-0.01565,0.00182,0.28560,0.00000,-0.525,2.132,0
1.9560,0.29879,-0.01574,0.00193,0.29310,0.00000,-0.501,2.145,0
2.0080,0.30661,-0.01583,0.00205,0.30090,0.00000,-0.476,2.150,0
2.0600,0.31436,-0.01589,0.00215,0.30870,0.00000,-0.451,2.147,0
2.1120,0.32206,-0.01595,0.00225,0.31650,0.00000,-0.426,2.136,0
2.1640,0.32971,-0.01600,0.00233,0.32430,0.00000,-0.403,2.116,0
2.2160,0.33731,-0.01604,0.00241,0.33210,0.00000,-0.381,2.087,0
2.2680,0.34485,-0.01609,0.00248,0.33990,0.00000,-0.360,2.050,0
2.3200,0.35235,-0.01613,0.00254,0.34770,0.00000,-0.340,2.004,0
2.3720,0.35981,-0.01616,0.00259,0.35550,0.00000,-0.323,1.949,0
2.4240,0.36724,-0.01619,0.00263,0.36330,0.00000,-0.308,1.887,0
2.4760,0.37464,-0.01620,0.00265,0.37110,0.00000,-0.294,1.816,0
2.5280,0.38202,-0.01621,0.00267,0.37890,0.00000,-0.283,1.737,0
2.5800,0.38937,-0.01621,0.00267,0.38670,0.00000,-0.275,1.651,0
2.6320,0.39670,-0.01622,0.00267,0.39450,0.00000,-0.268,1.557,0
2.6840,0.40401,-0.01624,0.00265,0.40230,0.00000,-0.265,1.456,0
2.7360,0.41130,-0.01626,0.00262,0.41010,0.00000,-0.264,1.348,0
2.7880,0.41858,-0.01628,0.00258,0.41790,0.00000,-0.266,1.233,0
2.8400,0.42585,-0.01630,0.00253,0.42570,0.00000,-0.270,1.112,0
2.8920,0.43311,-0.01633,0.00247,0.43350,0.00000,-0.277,0.985,0
2.9440,0.44038,-0.01636,0.00240,0.44130,0.00000,-0.288,0.853,0
2.9960,0.44765,-0.01638,0.00233,0.44910,0.00000,-0.301,0.716,0
3.0480,0.45492,-0.01640,0.00224,0.45690,0.00000,-0.316,0.574,0
3.1000,0.46221,-0.01643,0.00215,0.46470,0.00000,-0.334,0.428,0
3.1520,0.46950,-0.01646,0.00205,0.47250,0.00000,-0.354,0.279,0
3.2040,0.47679,-0.01649,0.00194,0.48030,0.00000,-0.377,0.126,0
3.2560,0.48411,-0.01653,0.00183,0.48810,0.00000,-0.401,-0.031,0
3.3080,0.49143,-0.01657,0.00172,0.49590,0.00000,-0.428,-0.189,0
3.3600,0.49878,-0.01660,0.00160,0.50370,0.00000,-0.457,-0.350,0
3.4120,0.50616,-0.01663,0.00147,0.51150,0.00000,-0.488,-0.512,0
3.4640,0.51355,-0.01665,0.00135,0.51930,0.00000,-0.519,-0.675,0
