t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00058,-0.00010,-0.00000,0.00750,0.00000,-0.014,-0.011,0
0.1020,0.00214,-0.00034,-0.00001,0.01500,0.00000,-0.042,-0.023,0
0.1520,0.00459,-0.00073,-0.00002,0.02250,0.00000,-0.069,-0.022,0
0.2020,0.00784,-0.00124,-0.00004,0.03000,0.00000,-0.095,-0.021,0
0.2520,0.01182,-0.00183,-0.00006,0.03750,0.00000,-0.120,-0.020,0
0.3020,0.01645,-0.00250,-0.00008,0.04500,0.00000,-0.143,-0.019,0
0.3520,0.02165,-0.00323,-0.00011,0.05250,0.00000,-0.165,-0.020,0
0.4020,0.02736,-0.00400,-0.00013,0.06000,0.00000,-0.185,-0.020,0
0.4520,0.03351,-0.00480,-0.00016,0.06750,0.00000,-0.203,-0.021,0
0.5040,0.04032,-0.00566,-0.00020,0.07530,0.00000,-0.220,-0.022,0
0.5540,0.04722,-0.00649,-0.00023,0.08280,0.00000,-0.235,-0.024,0
0.6040,0.05440,-0.00733,-0.00026,0.09030,0.00000,-0.248,-0.025,0
0.6540,0.06184,-0.00816,-0.00030,0.09780,0.00000,-0.260,-0.027,0
0.7040,0.06948,-0.00897,-0.00033,0.10530,0.00000,-0.270,-0.029,0
0.7540,0.07729,-0.00979,-0.00037,0.11280,0.00000,-0.279,-0.030,0
0.8040,0.08524,-0.01058,-0.00040,0.12030,0.00000,-0.287,-0.032,0
0.8540,0.09331,-0.01136,-0.00044,0.12780,0.00000,-0.294,-0.033,0
0.9040,0.10147,-0.01212,-0.00047,0.13530,0.00000,-0.299,-0.035,0
0.9540,0.10969,-0.01286,-0.00051,0.14280,0.00000,-0.304,-0.036,0
1.0060,0.11830,-0.01359,-0.00054,0.15060,0.00000,-0.309,-0.037,0
1.0560,0.12661,-0.01427,-0.00057,0.15810,0.00000,-0.312,-0.039,0
1.1060,0.13494,-0.01492,-0.00061,0.16560,0.00000,-0.315,-0.040,0
1.1560,0.14328,-0.01554,-0.00064,0.17310,0.00000,-0.317,-0.041,0
1.2060,0.15162,-0.01613,-0.00067,0.18060,0.00000,-0.319,-0.042,0
1.2560,0.15995,-0.01668,-0.00070,0.18810,0.00000,-0.320,-0.042,0
1.3060,0.16826,-0.01719,-0.00072,0.19560,0.00000,-0.321,-0.043,0
1.3560,0.17655,-0.01767,-0.00075,0.20310,0.00000,-0.322,-0.044,0
1.4060,0.18481,-0.01813,-0.00078,0.21060,0.00000,-0.322,-0.044,0
1.4560,0.19304,-0.01856,-0.00080,0.21810,0.00000,-0.322,-0.045,0
1.5060,0.20124,-0.01895,-0.00083,0.22560,0.00000,-0.322,-0.045,0
1.5560,0.20940,-0.01932,-0.00085,0.23310,0.00000,-0.322,-0.045,0
1.6060,0.21753,-0.01965,-0.00087,0.24060,0.00000,-0.322,-0.046,0
1.6560,0.22562,-0.01996,-0.00089,0.24810,0.00000,-0.321,-0.046,0
1.7060,0.23367,-0.02024,-0.00091,0.25560,0.00000,-0.320,-0.046,0
1.7560,0.24169,-0.02051,-0.00093,0.26310,0.00000,-0.320,-0.046,0
1.8060,0.24966,-0.02075,-0.00095,0.27060,0.00000,-0.319,-0.046,0
1.8560,0.25761,-0.02096,-0.00097,0.27810,0.00000,-0.318,-0.046,0
1.9060,0.26552,-0.02115,-0.00099,0.28560,0.00000,-0.318,-0.046,0
1.9560,0.27340,-0.02131,-0.00100,0.29310,0.00000,-0.317,-0.046,0
2.0080,0.28157,-0.02144,-0.00101,0.30090,0.00000,-0.316,-0.046,0
2.0600,0.28971,-0.02155,-0.00103,0.30870,0.00000,-0.314,-0.046,0
2.1120,0.29782,-0.02165,-0.00104,0.31650,0.00000,-0.313,-0.046,0
2.1640,0.30589,-0.02174,-0.00105,0.32430,0.00000,-0.312,-0.046,0
2.2160,0.31394,-0.02181,-0.00106,0.33210,0.00000,-0.311,-0.046,0
2.2680,0.32196,-0.02190,-0.00107,0.33990,0.00000,-0.310,-0.046,0
2.3200,0.32994,-0.02198,-0.00108,0.34770,0.00000,-0.310,-0.046,0
2.3720,0.33791,-0.02205,-0.00109,0.35550,0.00000,-0.309,-0.046,0
2.4240,0.34586,-0.02211,-0.00110,0.36330,0.00000,-0.309,-0.046,0
2.4760,0.35379,-0.02215,-0.00111,0.37110,0.00000,-0.308,-0.046,0
2.5280,0.36170,-0.02218,-0.00111,0.37890,0.00000,-0.308,-0.046,0
2.5800,0.36960,-0.02220,-0.00112,0.38670,0.00000,-0.307,-0.045,0
2.6320,0.37748,-0.02223,-0.00113,0.39450,0.00000,-0.306,-0.045,0
2.6840,0.38534,-0.02227,-0.00113,0.40230,0.00000,-0.306,-0.045,0
2.7360,0.39320,-0.02230,-0.00113,0.41010,0.00000,-0.306,-0.045,0
2.7880,0.40103,-0.02233,-0.00114,0.41790,0.00000,-0.306,-0.045,0
2.8400,0.40886,-0.02237,-0.00114,0.42570,0.00000,-0.306,-0.045,0
2.8920,0.41667,-0.02241,-0.00114,0.43350,0.00000,-0.306,-0.045,0
2.9440,0.42448,-0.02244,-0.00115,0.44130,0.00000,-0.306,-0.045,0
2.9960,0.43229,-0.02247,-0.00115,0.44910,0.00000,-0.306,-0.045,0
3.0480,0.44009,-0.02248,-0.00115,0.45690,0.00000,-0.306,-0.045,0
3.1000,0.44789,-0.02250,-0.00115,0.46470,0.00000,-0.306,-0.045,0
3.1520,0.45568,-0.02251,-0.00115,0.47250,0.00000,-0.306,-0.045,0
3.2040,0.46346,-0.02254,-0.00115,0.48030,0.00000,-0.306,-0.045,0
3.2560,0.47125,-0.02256,-0.00115,0.48810,0.00000,-0.306,-0.045,0
3.3080,0.47903,-0.02257,-0.00115,0.49590,0.00000,-0.306,-0.044,0
3.3600,0.48681,-0.02258,-0.00116,0.50370,0.00000,-0.306,-0.044,0
3.4120,0.49460,-0.02257,-0.00116,0.51150,0.00000,-0.306,-0.044,0
3.4640,0.50239,-0.02255,-0.00116,0.51930,0.00000,-0.306,-0.044,0
3.5160,0.51019,-0.02252,-0.00115,0.52710,0.00000,-0.306,-0.044,0
3.5680,0.51798,-0.02250,-0.00115,0.53490,0.00000,-0.306,-0.044,0
3.6200,0.52578,-0.02247,-0.00115,0.54270,0.00000,-0.306,-0.044,0
3.6720,0.53358,-0.02244,-0.00115,0.55050,0.00000,-0.305,-0.044,0
3.7240,0.54137,-0.02242,-0.00115,0.55830,0.00000,-0.305,-0.044,0
3.7760,0.54916,-0.02240,-0.00115,0.56610,0.00000,-0.305,-0.044,0
3.8280,0.55696,-0.02237,-0.00115,0.57390,0.00000,-0.305,-0.044,0
3.8800,0.56476,-0.02234,-0.00115,0.58170,0.00000,-0.305,-0.044,0
3.9320,0.57256,-0.02230,-0.00115,0.58950,0.00000,-0.305,-0.044,0
3.9840,0.58037,-0.02225,-0.00115,0.59730,0.00000,-0.304,-0.044,0
4.0360,0.58818,-0.02220,-0.00115,0.60510,0.00000,-0.304,-0.044,0
4.0880,0.59599,-0.02216,-0.00115,0.61290,0.00000,-0.303,-0.044,0
4.1400,0.60379,-0.02213,-0.00115,0.62070,0.00000,-0.303,-0.044,0
4.1920,0.61159,-0.02211,-0.00115,0.62850,0.00000,-0.303,-0.044,0
4.2440,0.61940,-0.02208,-0.00114,0.63630,0.00000,-0.303,-0.044,0
4.2960,0.62720,-0.02205,-0.00114,0.64410,0.00000,-0.303,-0.044,0
4.3480,0.63501,-0.02202,-0.00114,0.65190,0.00000,-0.302,-0.044,0
4.4000,0.64281,-0.02200,-0.00114,0.65970,0.00000,-0.302,-0.044,0
4.4520,0.65062,-0.02199,-0.00114,0.66750,0.00000,-0.302,-0.044,0
4.5040,0.65842,-0.02196,-0.00114,0.67530,0.00000,-0.302,-0.044,0
4.5560,0.66622,-0.02195,-0.00114,0.68310,0.00000,-0.302,-0.044,0
4.6080,0.67403,-0.02194,-0.00114,0.69090,0.00000,-0.302,-0.044,0
4.6600,0.68183,-0.02193,-0.00114,0.69870,0.00000,-0.302,-0.044,0
4.7120,0.68963,-0.02191,-0.00114,0.70650,0.00000,-0.302,-0.044,0
4.7640,0.69744,-0.02190,-0.00114,0.71430,0.00000,-0.302,-0.044,0
4.8160,0.70524,-0.02189,-0.00114,0.72210,0.00000,-0.302,-0.044,0
4.8680,0.71305,-0.02187,-0.00113,0.72990,0.00000,-0.301,-0.044,0
4.9200,0.72085,-0.02186,-0.00113,0.73770,0.00000,-0.301,-0.044,0
4.9720,0.72866,-0.02185,-0.00113,0.74550,0.00000,-0.301,-0.044,0
5.0240,0.73647,-0.02183,-0.00113,0.75330,0.00000,-0.301,-0.044,0
5.0760,0.74428,-0.02180,-0.00113,0.76110,0.00000,-0.301,-0.044,0
5.1280,0.75209,-0.02176,-0.00113,0.76890,0.00000,-0.300,-0.044,0
5.1800,0.75991,-0.02174,-0.00113,0.77670,0.00000,-0.300,-0.044,0
5.2320,0.76771,-0.02173,-0.00113,0.78450,0.00000,-0.300,-0.044,0
5.2840,0.77552,-0.02172,-0.00113,0.79230,0.00000,-0.300,-0.044,0
5.3360,0.78333,-0.02170,-0.00113,0.80010,0.00000,-0.300,-0.044,0
5.3880,0.79114,-0.02169,-0.00113,0.80790,0.00000,-0.299,-0.044,0
5.4400,0.79895,-0.02167,-0.00113,0.81570,0.00000,-0.299,-0.044,0
5.4920,0.80676,-0.02165,-0.00113,0.82350,0.00000,-0.299,-0.044,0
5.5440,0.81457,-0.02163,-0.00113,0.83130,0.00000,-0.299,-0.044,0
5.5960,0.82238,-0.02161,-0.00113,0.83910,0.00000,-0.298,-0.044,0
5.6480,0.83019,-0.02159,-0.00113,0.84690,0.00000,-0.298,-0.044,0
5.7000,0.83800,-0.02158,-0.00113,0.85470,0.00000,-0.298,-0.044,0
5.7520,0.84581,-0.02156,-0.00113,0.86250,0.00000,-0.298,-0.044,0
5.8040,0.85363,-0.02154,-0.00113,0.87030,0.00000,-0.298,-0.044,0
5.8560,0.86144,-0.02151,-0.00113,0.87810,0.00000,-0.297,-0.044,0
5.9080,0.86926,-0.02147,-0.00113,0.88590,0.00000,-0.297,-0.044,0
5.9600,0.87708,-0.02145,-0.00113,0.89370,0.00000,-0.297,-0.044,0
6.0120,0.88489,-0.02144,-0.00113,0.90150,0.00000,-0.296,-0.044,0
6.0640,0.89269,-0.02143,-0.00113,0.90930,0.00000,-0.296,-0.044,0
6.1160,0.90050,-0.02143,-0.00113,0.91710,0.00000,-0.296,-0.044,0
6.1680,0.90830,-0.02143,-0.00113,0.92490,0.00000,-0.296,-0.044,0
6.2200,0.91611,-0.02143,-0.00113,0.93270,0.00000,-0.296,-0.044,0
6.2720,0.92391,-0.02142,-0.00113,0.94050,0.00000,-0.296,-0.044,0
6.3240,0.93172,-0.02142,-0.00113,0.94830,0.00000,-0.296,-0.044,0
6.3760,0.93952,-0.02143,-0.00113,0.95610,0.00000,-0.296,-0.044,0
6.4280,0.94731,-0.02144,-0.00113,0.96390,0.00000,-0.296,-0.044,0
6.4800,0.95511,-0.02146,-0.00113,0.97170,0.00000,-0.296,-0.044,0
6.5320,0.96290,-0.02148,-0.00113,0.97950,0.00000,-0.296,-0.044,0
6.5840,0.97069,-0.02151,-0.00113,0.98730,0.00000,-0.296,-0.044,0
6.6360,0.97848,-0.02154,-0.00113,0.99510,0.00000,-0.296,-0.044,0
6.6880,0.98627,-0.02156,-0.00113,1.00000,0.00290,-0.297,-0.044,0
6.7400,0.99366,-0.02123,-0.00113,1.00000,0.01070,-0.173,-0.036,0
6.7920,0.99986,-0.01987,-0.00113,1.00000,0.01850,0.362,-0.020,0
6.8440,1.00500,-0.01753,-0.00113,1.00000,0.02630,1.299,-0.022,0
6.8960,1.00923,-0.01427,-0.00112,1.00000,0.03410,2.638,-0.025,0
6.9480,1.01265,-0.01019,-0.00112,1.00000,0.04190,4.306,-0.028,0
7.0000,1.01537,-0.00536,-0.00112,1.00000,0.04970,6.244,-0.030,0
7.0520,1.01750,0.00016,-0.00112,1.00000,0.05750,8.401,-0.031,0
7.1040,1.01912,0.00629,-0.00112,1.00000,0.06530,10.737,-0.032,0
7.1560,1.02030,0.01298,-0.00112,1.00000,0.07310,13.219,-0.032,0
7.2080,1.02110,0.02016,-0.00113,1.00000,0.08090,15.820,-0.032,0
7.2600,1.02159,0.02780,-0.00113,1.00000,0.08870,18.518,-0.033,0
7.3120,1.02180,0.03586,-0.00113,1.00000,0.09650,21.295,-0.033,0
7.3640,1.02178,0.04429,-0.00113,1.00000,0.10430,24.136,-0.033,0
7.4160,1.02154,0.05307,-0.00113,1.00000,0.11210,27.029,-0.034,0
7.4680,1.02111,0.06214,-0.00113,1.00000,0.11990,29.965,-0.034,0
7.5200,1.02050,0.07149,-0.00113,1.00000,0.12770,32.935,-0.035,0
7.5720,1.01971,0.08105,-0.00113,1.00000,0.13550,35.933,-0.036,0
7.6240,1.01876,0.09080,-0.00113,1.00000,0.14330,38.954,-0.037,0
7.6760,1.01763,0.10070,-0.00113,1.00000,0.15110,41.994,-0.038,0
7.7280,1.01635,0.11073,-0.00113,1.00000,0.15890,45.050,-0.040,0
7.7800,1.01491,0.12083,-0.00113,1.00000,0.16670,48.119,-0.041,0
7.8320,1.01331,0.13098,-0.00113,1.00000,0.17450,51.199,-0.043,0
7.8840,1.01156,0.14115,-0.00112,1.00000,0.18230,54.289,-0.045,0
7.9360,1.00968,0.15129,-0.00112,1.00000,0.19010,57.387,-0.046,0
7.9880,1.00767,0.16139,-0.00112,1.00000,0.19790,60.492,-0.048,0
8.0380,1.00563,0.17102,-0.00112,1.00000,0.20540,63.484,-0.049,0
