t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00047,0.00001,-0.00001,0.00750,0.00000,-0.021,-0.003,0
0.1020,0.00241,0.00001,-0.00002,0.01500,0.00000,-0.070,-0.011,0
0.1520,0.00622,0.00000,-0.00005,0.02250,0.00000,-0.134,-0.023,0
0.2020,0.01155,-0.00003,-0.00008,0.03000,0.00000,-0.201,-0.038,0
0.2520,0.01807,-0.00008,-0.00011,0.03750,0.00000,-0.264,-0.057,0
0.3020,0.02550,-0.00015,-0.00014,0.04500,0.00000,-0.320,-0.077,0
0.3520,0.03363,-0.00025,-0.00017,0.05250,0.00000,-0.367,-0.099,0
0.4020,0.04228,-0.00038,-0.00019,0.06000,0.00000,-0.404,-0.123,0
0.4520,0.05130,-0.00053,-0.00022,0.06750,0.00000,-0.431,-0.149,0
0.5040,0.06097,-0.00072,-0.00024,0.07530,0.00000,-0.452,-0.177,0
0.5540,0.07044,-0.00093,-0.00025,0.08280,0.00000,-0.465,-0.204,0
0.6040,0.08002,-0.00115,-0.00025,0.09030,0.00000,-0.472,-0.234,0
0.6540,0.08963,-0.00140,-0.00025,0.09780,0.00000,-0.475,-0.264,0
0.7040,0.09925,-0.00167,-0.00024,0.10530,0.00000,-0.475,-0.296,0
0.7540,0.10883,-0.00195,-0.00022,0.11280,0.00000,-0.473,-0.328,0
0.8040,0.11836,-0.00225,-0.00020,0.12030,0.00000,-0.470,-0.362,0
0.8540,0.12781,-0.00256,-0.00017,0.12780,0.00000,-0.465,-0.398,0
0.9040,0.13716,-0.00287,-0.00013,0.13530,0.00000,-0.461,-0.434,0
0.9540,0.14642,-0.00320,-0.00008,0.14280,0.00000,-0.456,-0.472,0
1.0060,0.15593,-0.00353,-0.00002,0.15060,0.00000,-0.451,-0.513,0
1.0560,0.16497,-0.00386,0.00004,0.15810,0.00000,-0.447,-0.553,0
1.1060,0.17389,-0.00419,0.00011,0.16560,0.00000,-0.442,-0.595,0
1.1560,0.18271,-0.00451,0.00019,0.17310,0.00000,-0.437,-0.638,0
1.2060,0.19141,-0.00482,0.00027,0.18060,0.00000,-0.432,-0.681,0
1.2560,0.20000,-0.00512,0.00036,0.18810,0.00000,-0.426,-0.726,0
1.3060,0.20849,-0.00542,0.00045,0.19560,0.00000,-0.420,-0.771,0
1.3560,0.21688,-0.00570,0.00055,0.20310,0.00000,-0.413,-0.817,0
1.4060,0.22517,-0.00597,0.00065,0.21060,0.00000,-0.404,-0.863,0
1.4560,0.23336,-0.00622,0.00075,0.21810,0.00000,-0.395,-0.909,0
1.5060,0.24146,-0.00645,0.00086,0.22560,0.00000,-0.384,-0.955,0
1.5560,0.24947,-0.00667,0.00096,0.23310,0.00000,-0.371,-1.000,0
1.6060,0.25740,-0.00687,0.00107,0.24060,0.00000,-0.357,-1.045,0
1.6560,0.26524,-0.00705,0.00118,0.24810,0.00000,-0.341,-1.089,0
1.7060,0.27301,-0.00721,0.00129,0.25560,0.00000,-0.323,-1.131,0
1.7560,0.28071,-0.00734,0.00140,0.26310,0.00000,-0.304,-1.172,0
