t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,-0.00002,-0.00016,-0.00001,0.00750,0.00000,-0.008,0.002,0
0.1020,0.00050,-0.00056,-0.00002,0.01500,0.00000,-0.030,0.008,0
0.1520,0.00231,-0.00117,-0.00005,0.02250,0.00000,-0.064,0.018,0
0.2020,0.00536,-0.00193,-0.00008,0.03000,0.00000,-0.110,0.034,0
0.2520,0.00940,-0.00281,-0.00011,0.03750,0.00000,-0.167,0.055,0
0.3020,0.01423,-0.00379,-0.00014,0.04500,0.00000,-0.233,0.084,0
0.3520,0.01969,-0.00483,-0.00018,0.05250,0.00000,-0.309,0.118,0
0.4020,0.02563,-0.00590,-0.00021,0.06000,0.00000,-0.392,0.161,0
0.4520,0.03195,-0.00699,-0.00024,0.06750,0.00000,-0.481,0.210,0
0.5040,0.03885,-0.00813,-0.00027,0.07530,0.00000,-0.580,0.270,0
0.5540,0.04570,-0.00922,-0.00030,0.08280,0.00000,-0.679,0.335,0
0.6040,0.05274,-0.01027,-0.00032,0.09030,0.00000,-0.782,0.409,0
0.6540,0.05991,-0.01130,-0.00034,0.09780,0.00000,-0.887,0.490,0
0.7040,0.06718,-0.01228,-0.00035,0.10530,0.00000,-0.994,0.580,0
0.7540,0.07452,-0.01321,-0.00036,0.11280,0.00000,-1.103,0.678,0
0.8040,0.08193,-0.01409,-0.00037,0.12030,0.00000,-1.213,0.784,0
0.8540,0.08938,-0.01492,-0.00037,0.12780,0.00000,-1.324,0.899,0
0.9040,0.09686,-0.01568,-0.00036,0.13530,0.00000,-1.434,1.021,0
0.9540,0.10436,-0.01638,-0.00035,0.14280,0.00000,-1.545,1.153,0
1.0060,0.11218,-0.01704,-0.00033,0.15060,0.00000,-1.659,1.298,0
1.0560,0.11972,-0.01762,-0.00031,0.15810,0.00000,-1.768,1.446,0
1.1060,0.12726,-0.01812,-0.00028,0.16560,0.00000,-1.875,1.603,0
1.1560,0.13482,-0.01857,-0.00025,0.17310,0.00000,-1.982,1.768,0
1.2060,0.14238,-0.01895,-0.00021,0.18060,0.00000,-2.086,1.941,0
1.2560,0.14995,-0.01927,-0.00017,0.18810,0.00000,-2.189,2.123,0
1.3060,0.15753,-0.01952,-0.00012,0.19560,0.00000,-2.289,2.314,0
1.3560,0.16511,-0.01972,-0.00007,0.20310,0.00000,-2.387,2.513,0
1.4060,0.17270,-0.01985,-0.00002,0.21060,0.00000,-2.481,2.721,0
1.4560,0.18030,-0.01993,0.00004,0.21810,0.00000,-2.573,2.938,0
1.5060,0.18791,-0.01995,0.00009,0.22560,0.00000,-2.662,3.164,0
1.5560,0.19553,-0.01991,0.00016,0.23310,0.00000,-2.747,3.398,0
1.6060,0.20316,-0.01982,0.00022,0.24060,0.00000,-2.828,3.642,0
1.6560,0.21080,-0.01968,0.00028,0.24810,0.00000,-2.905,3.896,0
1.7060,0.21846,-0.01949,0.00035,0.25560,0.00000,-2.977,4.159,0
1.7560,0.22613,-0.01924,0.00041,0.26310,0.00000,-3.045,4.432,0
1.8060,0.23381,-0.01895,0.00048,0.27060,0.00000,-3.109,4.716,0
1.8560,0.24151,-0.01861,0.00054,0.27810,0.00000,-3.167,5.009,0
1.9060,0.24922,-0.01823,0.00060,0.28560,0.00000,-3.219,5.314,0
1.9560,0.25695,-0.01779,0.00066,0.29310,0.00000,-3.267,5.630,0
2.0080,0.26500,-0.01730,0.00072,0.30090,0.00000,-3.310,5.970,0
2.0600,0.27307,-0.01676,0.00078,0.30870,0.00000,-3.346,6.324,0
2.1120,0.28116,-0.01618,0.00083,0.31650,0.00000,-3.376,6.691,0
2.1640,0.28926,-0.01556,0.00088,0.32430,0.00000,-3.399,7.073,0
2.2160,0.29738,-0.01490,0.00092,0.33210,0.00000,-3.415,7.469,0
2.2680,0.30551,-0.01420,0.00095,0.33990,0.00000,-3.424,7.880,0
2.3200,0.31366,-0.01346,0.00098,0.34770,0.00000,-3.426,8.307,0
2.3720,0.32183,-0.01269,0.00100,0.35550,0.00000,-3.419,8.751,0
2.4240,0.33001,-0.01189,0.00101,0.36330,0.00000,-3.406,9.212,0
2.4760,0.33820,-0.01106,0.00102,0.37110,0.00000,-3.384,9.692,0
2.5280,0.34640,-0.01020,0.00101,0.37890,0.00000,-3.355,10.191,0
2.5800,0.35461,-0.00932,0.00099,0.38670,0.00000,-3.318,10.709,0
2.6320,0.36283,-0.00842,0.00097,0.39450,0.00000,-3.273,11.248,0
2.6840,0.37106,-0.00749,0.00093,0.40230,0.00000,-3.221,11.809,0
2.7360,0.37929,-0.00655,0.00088,0.41010,0.00000,-3.161,12.393,0
2.7880,0.38753,-0.00559,0.00081,0.41790,0.00000,-3.093,12.999,0
2.8400,0.39576,-0.00462,0.00073,0.42570,0.00000,-3.018,13.630,0
2.8920,0.40400,-0.00364,0.00064,0.43350,0.00000,-2.935,14.287,0
2.9440,0.41224,-0.00265,0.00054,0.44130,0.00000,-2.845,14.969,0
2.9960,0.42046,-0.00166,0.00042,0.44910,0.00000,-2.748,15.678,0
3.0480,0.42867,-0.00067,0.00029,0.45690,0.00000,-2.644,16.415,0
3.1000,0.43682,0.00032,0.00016,0.46470,0.00000,-2.533,17.181,0
3.1520,0.44472,0.00131,0.00008,0.47250,0.00000,-2.415,17.975,0
3.2040,0.45216,0.00231,0.00014,0.48030,0.00000,-2.288,18.796,0
3.2560,0.45899,0.00332,0.00038,0.48810,0.00000,-2.151,19.642,0
3.3080,0.46516,0.00434,0.00083,0.49590,0.00000,-2.002,20.510,0
3.3600,0.47066,0.00536,0.00153,0.50370,0.00000,-1.841,21.396,0
3.4120,0.47550,0.00637,0.00247,0.51150,0.00000,-1.668,22.295,0
3.4640,0.47969,0.00737,0.00369,0.51930,0.00000,-1.482,23.205,0
3.5160,0.48325,0.00835,0.00519,0.52710,0.00000,-1.286,24.120,0
3.5680,0.48621,0.00930,0.00698,0.53490,0.00000,-1.079,25.037,0
3.6200,0.48859,0.01021,0.00909,0.54270,0.00000,-0.864,25.951,0
3.6720,0.49044,0.01108,0.01151,0.55050,0.00000,-0.642,26.858,0
3.7240,0.49177,0.01188,0.01426,0.55830,0.00000,-0.415,27.753,0
3.7760,0.49262,0.01262,0.01734,0.56610,0.00000,-0.185,28.634,0
3.8280,0.49303,0.01329,0.02078,0.57390,0.00000,0.047,29.496,0
3.8800,0.49301,0.01387,0.02457,0.58170,0.00000,0.278,30.334,0
3.9320,0.49261,0.01437,0.02871,0.58950,0.00000,0.507,31.147,0
3.9840,0.49184,0.01476,0.03322,0.59730,0.00000,0.731,31.929,0
4.0360,0.49074,0.01506,0.03809,0.60510,0.00000,0.950,32.678,0
4.0880,0.48933,0.01524,0.04332,0.61290,0.00000,1.161,33.390,0
4.1400,0.48764,0.01532,0.04891,0.62070,0.00000,1.363,34.062,0
4.1920,0.48570,0.01528,0.05486,0.62850,0.00000,1.555,34.690,0
4.2440,0.48351,0.01512,0.06116,0.63630,0.00000,1.735,35.272,0
4.2960,0.48111,0.01485,0.06779,0.64410,0.00000,1.903,35.806,0
4.3480,0.47850,0.01446,0.07475,0.65190,0.00000,2.058,36.287,0
4.4000,0.47571,0.01396,0.08203,0.65970,0.00000,2.200,36.713,0
4.4520,0.47274,0.01335,0.08961,0.66750,0.00000,2.327,37.083,0
4.5040,0.46961,0.01263,0.09746,0.67530,0.00000,2.440,37.392,0
