t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00056,0.00012,0.00006,0.00750,0.00000,-0.015,-0.007,0
0.1020,0.00214,0.00032,0.00014,0.01500,0.00000,-0.048,-0.014,0
0.1520,0.00469,0.00049,0.00021,0.02250,0.00000,-0.078,-0.016,0
0.2020,0.00816,0.00065,0.00026,0.03000,0.00000,-0.098,-0.020,0
0.2520,0.01245,0.00078,0.00030,0.03750,0.00000,-0.112,-0.024,0
0.3020,0.01747,0.00089,0.00033,0.04500,0.00000,-0.122,-0.027,0
0.3520,0.02315,0.00097,0.00034,0.05250,0.00000,-0.127,-0.030,0
0.4020,0.02941,0.00104,0.00035,0.06000,0.00000,-0.129,-0.032,0
0.4520,0.03617,0.00108,0.00034,0.06750,0.00000,-0.129,-0.034,0
0.5040,0.04367,0.00110,0.00033,0.07530,0.00000,-0.126,-0.036,0
0.5540,0.05126,0.00111,0.00031,0.08280,0.00000,-0.121,-0.038,0
0.6040,0.05918,0.00110,0.00028,0.09030,0.00000,-0.115,-0.040,0
0.6540,0.06737,0.00108,0.00024,0.09780,0.00000,-0.109,-0.041,0
0.7040,0.07578,0.00104,0.00020,0.10530,0.00000,-0.102,-0.041,0
0.7540,0.08437,0.00099,0.00015,0.11280,0.00000,-0.094,-0.042,0
0.8040,0.09310,0.00092,0.00010,0.12030,0.00000,-0.087,-0.042,0
0.8540,0.10195,0.00086,0.00005,0.12780,0.00000,-0.079,-0.043,0
0.9040,0.11087,0.00077,-0.00001,0.13530,0.00000,-0.072,-0.043,0
0.9540,0.11985,0.00068,-0.00007,0.14280,0.00000,-0.065,-0.043,0
1.0060,0.12923,0.00060,-0.00014,0.15060,0.00000,-0.059,-0.042,0
1.0560,0.13825,0.00050,-0.00020,0.15810,0.00000,-0.053,-0.042,0
1.1060,0.14727,0.00040,-0.00027,0.16560,0.00000,-0.048,-0.041,0
1.1560,0.15626,0.00030,-0.00034,0.17310,0.00000,-0.043,-0.040,0
1.2060,0.16522,0.00020,-0.00041,0.18060,0.00000,-0.038,-0.040,0
1.2560,0.17414,0.00011,-0.00049,0.18810,0.00000,-0.035,-0.038,0
1.3060,0.18301,0.00001,-0.00056,0.19560,0.00000,-0.031,-0.037,0
1.3560,0.19181,-0.00009,-0.00063,0.20310,0.00000,-0.028,-0.036,0
1.4060,0.20055,-0.00020,-0.00071,0.21060,0.00000,-0.026,-0.034,0
1.4560,0.20922,-0.00030,-0.00078,0.21810,0.00000,-0.023,-0.033,0
1.5060,0.21782,-0.00039,-0.00086,0.22560,0.00000,-0.021,-0.032,0
1.5560,0.22635,-0.00049,-0.00093,0.23310,0.00000,-0.020,-0.030,0
1.6060,0.23480,-0.00058,-0.00101,0.24060,0.00000,-0.018,-0.029,0
1.6560,0.24319,-0.00067,-0.00108,0.24810,0.00000,-0.017,-0.027,0
1.7060,0.25150,-0.00076,-0.00116,0.25560,0.00000,-0.016,-0.026,0
