t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00009,-0.00006,0.00000,0.00750,0.00000,-0.012,-0.001,0
0.1020,0.00095,-0.00019,0.00001,0.01500,0.00000,-0.045,-0.005,0
0.1520,0.00324,-0.00039,0.00002,0.02250,0.00000,-0.094,-0.011,0
0.2020,0.00685,-0.00065,0.00003,0.03000,0.00000,-0.158,-0.020,0
0.2520,0.01150,-0.00094,0.00004,0.03750,0.00000,-0.233,-0.033,0
0.3020,0.01697,-0.00127,0.00006,0.04500,0.00000,-0.318,-0.049,0
0.3520,0.02309,-0.00161,0.00008,0.05250,0.00000,-0.409,-0.069,0
0.4020,0.02971,-0.00197,0.00009,0.06000,0.00000,-0.503,-0.092,0
0.4520,0.03672,-0.00234,0.00011,0.06750,0.00000,-0.598,-0.119,0
0.5040,0.04433,-0.00272,0.00014,0.07530,0.00000,-0.697,-0.152,0
0.5540,0.05189,-0.00308,0.00016,0.08280,0.00000,-0.788,-0.187,0
0.6040,0.05963,-0.00344,0.00018,0.09030,0.00000,-0.876,-0.226,0
0.6540,0.06750,-0.00378,0.00021,0.09780,0.00000,-0.959,-0.269,0
0.7040,0.07547,-0.00411,0.00023,0.10530,0.00000,-1.035,-0.315,0
0.7540,0.08351,-0.00441,0.00025,0.11280,0.00000,-1.106,-0.366,0
0.8040,0.09160,-0.00470,0.00028,0.12030,0.00000,-1.169,-0.420,0
0.8540,0.09973,-0.00497,0.00030,0.12780,0.00000,-1.226,-0.478,0
0.9040,0.10788,-0.00522,0.00033,0.13530,0.00000,-1.276,-0.540,0
0.9540,0.11605,-0.00544,0.00035,0.14280,0.00000,-1.319,-0.606,0
1.0060,0.12455,-0.00566,0.00038,0.15060,0.00000,-1.357,-0.678,0
1.0560,0.13272,-0.00584,0.00040,0.15810,0.00000,-1.386,-0.750,0
1.1060,0.14088,-0.00600,0.00042,0.16560,0.00000,-1.410,-0.827,0
1.1560,0.14904,-0.00614,0.00044,0.17310,0.00000,-1.428,-0.906,0
1.2060,0.15719,-0.00625,0.00046,0.18060,0.00000,-1.440,-0.989,0
1.2560,0.16532,-0.00635,0.00048,0.18810,0.00000,-1.447,-1.075,0
1.3060,0.17345,-0.00644,0.00050,0.19560,0.00000,-1.450,-1.165,0
1.3560,0.18155,-0.00650,0.00052,0.20310,0.00000,-1.449,-1.257,0
1.4060,0.18965,-0.00655,0.00053,0.21060,0.00000,-1.443,-1.352,0
1.4560,0.19772,-0.00658,0.00055,0.21810,0.00000,-1.435,-1.451,0
1.5060,0.20578,-0.00660,0.00056,0.22560,0.00000,-1.423,-1.552,0
1.5560,0.21383,-0.00661,0.00058,0.23310,0.00000,-1.408,-1.656,0
1.6060,0.22186,-0.00660,0.00059,0.24060,0.00000,-1.390,-1.763,0
1.6560,0.22987,-0.00658,0.00060,0.24810,0.00000,-1.371,-1.872,0
1.7060,0.23787,-0.00655,0.00061,0.25560,0.00000,-1.349,-1.983,0
1.7560,0.24585,-0.00652,0.00062,0.26310,0.00000,-1.326,-2.097,0
1.8060,0.25382,-0.00647,0.00063,0.27060,0.00000,-1.302,-2.214,0
1.8560,0.26177,-0.00642,0.00064,0.27810,0.00000,-1.276,-2.332,0
1.9060,0.26972,-0.00636,0.00064,0.28560,0.00000,-1.249,-2.452,0
1.9560,0.27764,-0.00629,0.00065,0.29310,0.00000,-1.222,-2.575,0
2.0080,0.28587,-0.00622,0.00065,0.30090,0.00000,-1.192,-2.704,0
2.0600,0.29409,-0.00614,0.00065,0.30870,0.00000,-1.162,-2.835,0
2.1120,0.30229,-0.00606,0.00065,0.31650,0.00000,-1.132,-2.968,0
2.1640,0.31048,-0.00597,0.00065,0.32430,0.00000,-1.102,-3.102,0
2.2160,0.31866,-0.00588,0.00065,0.33210,0.00000,-1.071,-3.238,0
2.2680,0.32683,-0.00579,0.00065,0.33990,0.00000,-1.040,-3.376,0
2.3200,0.33498,-0.00570,0.00065,0.34770,0.00000,-1.010,-3.514,0
2.3720,0.34312,-0.00560,0.00064,0.35550,0.00000,-0.979,-3.654,0
2.4240,0.35126,-0.00551,0.00064,0.36330,0.00000,-0.949,-3.795,0
2.4760,0.35938,-0.00541,0.00063,0.37110,0.00000,-0.919,-3.937,0
2.5280,0.36749,-0.00531,0.00063,0.37890,0.00000,-0.890,-4.079,0
2.5800,0.37559,-0.00522,0.00062,0.38670,0.00000,-0.861,-4.222,0
2.6320,0.38369,-0.00512,0.00061,0.39450,0.00000,-0.832,-4.366,0
2.6840,0.39177,-0.00502,0.00060,0.40230,0.00000,-0.804,-4.510,0
2.7360,0.39985,-0.00492,0.00059,0.41010,0.00000,-0.776,-4.654,0
2.7880,0.40791,-0.00483,0.00058,0.41790,0.00000,-0.749,-4.798,0
2.8400,0.41597,-0.00473,0.00057,0.42570,0.00000,-0.723,-4.943,0
2.8920,0.42402,-0.00464,0.00055,0.43350,0.00000,-0.697,-5.087,0
2.9440,0.43207,-0.00455,0.00054,0.44130,0.00000,-0.672,-5.231,0
2.9960,0.44011,-0.00446,0.00053,0.44910,0.00000,-0.647,-5.375,0
3.0480,0.44814,-0.00437,0.00051,0.45690,0.00000,-0.623,-5.518,0
3.1000,0.45616,-0.00428,0.00050,0.46470,0.00000,-0.600,-5.661,0
3.1520,0.46418,-0.00419,0.00048,0.47250,0.00000,-0.577,-5.803,0
3.2040,0.47219,-0.00410,0.00047,0.48030,0.00000,-0.555,-5.945,0
3.2560,0.48020,-0.00402,0.00045,0.48810,0.00000,-0.534,-6.085,0
3.3080,0.48820,-0.00394,0.00043,0.49590,0.00000,-0.513,-6.225,0
3.3600,0.49619,-0.00386,0.00042,0.50370,0.00000,-0.493,-6.363,0
3.4120,0.50418,-0.00378,0.00040,0.51150,0.00000,-0.473,-6.500,0
3.4640,0.51216,-0.00370,0.00038,0.51930,0.00000,-0.454,-6.636,0
3.5160,0.52014,-0.00362,0.00036,0.52710,0.00000,-0.436,-6.771,0
3.5680,0.52812,-0.00355,0.00034,0.53490,0.00000,-0.418,-6.904,0
3.6200,0.53609,-0.00347,0.00033,0.54270,0.00000,-0.400,-7.035,0
3.6720,0.54406,-0.00340,0.00031,0.55050,0.00000,-0.384,-7.165,0
3.7240,0.55202,-0.00333,0.00029,0.55830,0.00000,-0.368,-7.293,0
3.7760,0.55998,-0.00326,0.00027,0.56610,0.00000,-0.352,-7.419,0
3.8280,0.56793,-0.00319,0.00025,0.57390,0.00000,-0.337,-7.544,0
3.8800,0.57588,-0.00313,0.00023,0.58170,0.00000,-0.322,-7.666,0
3.9320,0.58383,-0.00306,0.00021,0.58950,0.00000,-0.308,-7.786,0
3.9840,0.59177,-0.00300,0.00019,0.59730,0.00000,-0.295,-7.904,0
4.0360,0.59971,-0.00294,0.00017,0.60510,0.00000,-0.282,-8.019,0
4.0880,0.60765,-0.00288,0.00015,0.61290,0.00000,-0.269,-8.132,0
4.1400,0.61558,-0.00282,0.00013,0.62070,0.00000,-0.257,-8.243,0
4.1920,0.62351,-0.00276,0.00011,0.62850,0.00000,-0.245,-8.351,0
4.2440,0.63144,-0.00270,0.00009,0.63630,0.00000,-0.234,-8.457,0
4.2960,0.63936,-0.00265,0.00007,0.64410,0.00000,-0.223,-8.560,0
4.3480,0.64729,-0.00259,0.00005,0.65190,0.00000,-0.212,-8.660,0
4.4000,0.65521,-0.00254,0.00003,0.65970,0.00000,-0.202,-8.758,0
4.4520,0.66312,-0.00249,0.00001,0.66750,0.00000,-0.192,-8.853,0
4.5040,0.67104,-0.00244,-0.00001,0.67530,0.00000,-0.183,-8.945,0
4.5560,0.67895,-0.00239,-0.00003,0.68310,0.00000,-0.174,-9.034,0
4.6080,0.68686,-0.00234,-0.00005,0.69090,0.00000,-0.165,-9.120,0
4.6600,0.69477,-0.00229,-0.00007,0.69870,0.00000,-0.157,-9.202,0
4.7120,0.70267,-0.00224,-0.00009,0.70650,0.00000,-0.149,-9.282,0
4.7640,0.71057,-0.00220,-0.00011,0.71430,0.00000,-0.141,-9.359,0
4.8160,0.71847,-0.00215,-0.00013,0.72210,0.00000,-0.133,-9.432,0
4.8680,0.72637,-0.00211,-0.00015,0.72990,0.00000,-0.126,-9.502,0
4.9200,0.73427,-0.00207,-0.00017,0.73770,0.00000,-0.119,-9.569,0
4.9720,0.74216,-0.00202,-0.00019,0.74550,0.00000,-0.113,-9.633,0
5.0240,0.75006,-0.00198,-0.00021,0.75330,0.00000,-0.106,-9.693,0
5.0760,0.75795,-0.00194,-0.00023,0.76110,0.00000,-0.100,-9.750,0
5.1280,0.76584,-0.00190,-0.00025,0.76890,0.00000,-0.094,-9.804,0
5.1800,0.77372,-0.00186,-0.00027,0.77670,0.00000,-0.089,-9.854,0
5.2320,0.78161,-0.00183,-0.00029,0.78450,0.00000,-0.083,-9.901,0
5.2840,0.78949,-0.00179,-0.00031,0.79230,0.00000,-0.078,-9.944,0
5.3360,0.79737,-0.00175,-0.00032,0.80010,0.00000,-0.073,-9.983,0
5.3880,0.80526,-0.00172,-0.00034,0.80790,0.00000,-0.068,-10.020,0
5.4400,0.81313,-0.00168,-0.00036,0.81570,0.00000,-0.064,-10.052,0
5.4920,0.82101,-0.00165,-0.00038,0.82350,0.00000,-0.059,-10.081,0
5.5440,0.82889,-0.00161,-0.00040,0.83130,0.00000,-0.055,-10.107,0
5.5960,0.83676,-0.00158,-0.00042,0.83910,0.00000,-0.051,-10.129,0
5.6480,0.84463,-0.00155,-0.00043,0.84690,0.00000,-0.047,-10.147,0
5.7000,0.85250,-0.00152,-0.00045,0.85470,0.00000,-0.044,-10.162,0
5.7520,0.86037,-0.00149,-0.00047,0.86250,0.00000,-0.040,-10.173,0
5.8040,0.86824,-0.00146,-0.00049,0.87030,0.00000,-0.037,-10.181,0
5.8560,0.87611,-0.00143,-0.00050,0.87810,0.00000,-0.034,-10.185,0
5.9080,0.88397,-0.00140,-0.00052,0.88590,0.00000,-0.031,-10.185,0
5.9600,0.89184,-0.00137,-0.00054,0.89370,0.00000,-0.028,-10.182,0
6.0120,0.89970,-0.00134,-0.00055,0.90150,0.00000,-0.025,-10.176,0
6.0640,0.90756,-0.00131,-0.00057,0.90930,0.00000,-0.023,-10.166,0
6.1160,0.91542,-0.00129,-0.00059,0.91710,0.00000,-0.020,-10.152,0
6.1680,0.92328,-0.00126,-0.00060,0.92490,0.00000,-0.018,-10.135,0
6.2200,0.93113,-0.00123,-0.00062,0.93270,0.00000,-0.016,-10.114,0
6.2720,0.93899,-0.00121,-0.00064,0.94050,0.00000,-0.014,-10.090,0
6.3240,0.94684,-0.00118,-0.00065,0.94830,0.00000,-0.012,-10.063,0
6.3760,0.95469,-0.00116,-0.00067,0.95610,0.00000,-0.010,-10.032,0
6.4280,0.96255,-0.00114,-0.00068,0.96390,0.00000,-0.009,-9.998,0
6.4800,0.97040,-0.00111,-0.00070,0.97170,0.00000,-0.007,-9.961,0
6.5320,0.97824,-0.00109,-0.00071,0.97950,0.00000,-0.006,-9.921,0
6.5840,0.98609,-0.00107,-0.00073,0.98730,0.00000,-0.005,-9.877,0
6.6360,0.99394,-0.00105,-0.00074,0.99510,0.00000,-0.003,-9.830,0
6.6880,1.00177,-0.00089,-0.00074,1.00000,0.00290,0.060,-9.781,0
6.7400,1.00915,0.00046,-0.00062,1.00000,0.01070,0.816,-9.736,0
6.7920,1.01522,0.00310,-0.00052,1.00000,0.01850,2.256,-9.685,0
6.8440,1.01976,0.00687,-0.00052,1.00000,0.02630,4.195,-9.617,0
6.8960,1.02311,0.01162,-0.00055,1.00000,0.03410,6.486,-9.521,0
6.9480,1.02556,0.01722,-0.00061,1.00000,0.04190,9.022,-9.391,0
7.0000,1.02730,0.02355,-0.00067,1.00000,0.04970,11.725,-9.222,0
7.0520,1.02848,0.03051,-0.00072,1.00000,0.05750,14.540,-9.013,0
7.1040,1.02923,0.03802,-0.00077,1.00000,0.06530,17.432,-8.765,0
7.1560,1.02961,0.04599,-0.00080,1.00000,0.07310,20.378,-8.478,0
7.2080,1.02969,0.05435,-0.00082,1.00000,0.08090,23.363,-8.155,0
7.2600,1.02951,0.06305,-0.00084,1.00000,0.08870,26.376,-7.799,0
7.3120,1.02911,0.07202,-0.00086,1.00000,0.09650,29.412,-7.412,0
7.3640,1.02849,0.08120,-0.00088,1.00000,0.10430,32.468,-6.998,0
