scenario,direction,mode,controller,metric,mean,std
square,c300.6/w232.9,NONE,pid,radial_rms,1.3789,0.0000
square,c300.6/w232.9,NONE,pid,radial_max,4.0100,0.0000
square,c300.6/w232.9,NONE,pid,dc_ex,-0.0014,0.0000
square,c300.6/w232.9,NONE,pid,dc_ey,0.0196,0.0000
square,c300.6/w232.9,NONE,pid,dc_radial,0.0196,0.0000
square,c300.6/w232.9,NONE,pid,std_x,0.9750,0.0000
square,c300.6/w232.9,NONE,pid,std_y,0.9748,0.0000
square,c300.6/w232.9,NONE,pid,depth_std,0.0000,0.0000
square,c300.6/w232.9,NONE,pid,pitch_mean,-0.0000,0.0000
square,c300.6/w232.9,NONE,pid,pitch_max,0.0000,0.0000
square,c300.6/w232.9,NONE,pid,IAE,193.0139,0.0000
square,c300.6/w232.9,NONE,pid,IAE_norm,0.7209,0.0000
square,c300.6/w232.9,NONE,pid,settling_time,0.0000,0.0000
square,c300.6/w232.9,NONE,pid,ss_error,0.7209,0.0000
square,c300.6/w232.9,NONE,pid,control_effort,4080.0226,0.0000
square,c300.6/w232.9,NONE,pid,slew,4415.0646,0.0000
square,c300.6/w232.9,NONE,pid,sat_freq,0.0000,0.0000
square,c300.6/w232.9,NONE,pid,band_dc,0.0056,0.0000
square,c300.6/w232.9,NONE,pid,band_wave,0.6983,0.0000
square,c300.6/w232.9,NONE,pid,band_high,0.1612,0.0000
square,c300.6/w232.9,NONE,pid,est_err_rms,0.0000,0.0000
square,c300.6/w232.9,NONE,pid,w_x,0.0000,0.0000
square,c300.6/w232.9,NONE,pid,w_y,0.0000,0.0000
square,c300.6/w232.9,NONE,pid,n_fail,0.0000,0.0000
square,c300.6/w232.9,NONE,mpc,radial_rms,2.0870,0.0000
square,c300.6/w232.9,NONE,mpc,radial_max,5.9263,0.0000
square,c300.6/w232.9,NONE,mpc,dc_ex,0.0185,0.0000
square,c300.6/w232.9,NONE,mpc,dc_ey,0.0129,0.0000
square,c300.6/w232.9,NONE,mpc,dc_radial,0.0225,0.0000
square,c300.6/w232.9,NONE,mpc,std_x,1.4686,0.0000
square,c300.6/w232.9,NONE,mpc,std_y,1.4828,0.0000
square,c300.6/w232.9,NONE,mpc,depth_std,0.0179,0.0000
square,c300.6/w232.9,NONE,mpc,pitch_mean,-0.0122,0.0000
square,c300.6/w232.9,NONE,mpc,pitch_max,0.0392,0.0000
square,c300.6/w232.9,NONE,mpc,IAE,304.9557,0.0000
square,c300.6/w232.9,NONE,mpc,IAE_norm,1.1448,0.0000
square,c300.6/w232.9,NONE,mpc,settling_time,260.8160,0.0000
square,c300.6/w232.9,NONE,mpc,ss_error,1.1448,0.0000
square,c300.6/w232.9,NONE,mpc,control_effort,8899.3862,0.0000
square,c300.6/w232.9,NONE,mpc,slew,14603.1404,0.0000
square,c300.6/w232.9,NONE,mpc,sat_freq,0.0000,0.0000
square,c300.6/w232.9,NONE,mpc,band_dc,0.0182,0.0000
square,c300.6/w232.9,NONE,mpc,band_wave,1.0753,0.0000
square,c300.6/w232.9,NONE,mpc,band_high,0.1682,0.0000
square,c300.6/w232.9,NONE,mpc,est_err_rms,0.0000,0.0000
square,c300.6/w232.9,NONE,mpc,w_x,0.0000,0.0000
square,c300.6/w232.9,NONE,mpc,w_y,0.0000,0.0000
square,c300.6/w232.9,NONE,mpc,n_fail,0.0000,0.0000
square,c300.6/w232.9,NONE,dobmpc,radial_rms,2.1228,0.0000
square,c300.6/w232.9,NONE,dobmpc,radial_max,5.9650,0.0000
square,c300.6/w232.9,NONE,dobmpc,dc_ex,0.0186,0.0000
square,c300.6/w232.9,NONE,dobmpc,dc_ey,0.0147,0.0000
square,c300.6/w232.9,NONE,dobmpc,dc_radial,0.0237,0.0000
square,c300.6/w232.9,NONE,dobmpc,std_x,1.4961,0.0000
square,c300.6/w232.9,NONE,dobmpc,std_y,1.5058,0.0000
square,c300.6/w232.9,NONE,dobmpc,depth_std,0.0151,0.0000
square,c300.6/w232.9,NONE,dobmpc,pitch_mean,-0.0123,0.0000
square,c300.6/w232.9,NONE,dobmpc,pitch_max,0.0367,0.0000
square,c300.6/w232.9,NONE,dobmpc,IAE,310.0533,0.0000
square,c300.6/w232.9,NONE,dobmpc,IAE_norm,1.1640,0.0000
square,c300.6/w232.9,NONE,dobmpc,settling_time,260.8160,0.0000
square,c300.6/w232.9,NONE,dobmpc,ss_error,1.1640,0.0000
square,c300.6/w232.9,NONE,dobmpc,control_effort,8914.0799,0.0000
square,c300.6/w232.9,NONE,dobmpc,slew,14911.2398,0.0000
square,c300.6/w232.9,NONE,dobmpc,sat_freq,0.0000,0.0000
square,c300.6/w232.9,NONE,dobmpc,band_dc,0.0185,0.0000
square,c300.6/w232.9,NONE,dobmpc,band_wave,1.1023,0.0000
square,c300.6/w232.9,NONE,dobmpc,band_high,0.1698,0.0000
square,c300.6/w232.9,NONE,dobmpc,est_err_rms,0.2196,0.0000
square,c300.6/w232.9,NONE,dobmpc,w_x,-0.0001,0.0000
square,c300.6/w232.9,NONE,dobmpc,w_y,-0.0009,0.0000
square,c300.6/w232.9,NONE,dobmpc,n_fail,0.0000,0.0000
square,c300.6/w232.9,C,pid,radial_rms,1.4995,0.0000
square,c300.6/w232.9,C,pid,radial_max,4.5398,0.0000
square,c300.6/w232.9,C,pid,dc_ex,-0.0033,0.0000
square,c300.6/w232.9,C,pid,dc_ey,0.0258,0.0000
square,c300.6/w232.9,C,pid,dc_radial,0.0260,0.0000
square,c300.6/w232.9,C,pid,std_x,1.0441,0.0000
square,c300.6/w232.9,C,pid,std_y,1.0760,0.0000
square,c300.6/w232.9,C,pid,depth_std,0.0903,0.0000
square,c300.6/w232.9,C,pid,pitch_mean,-1.7987,0.0000
square,c300.6/w232.9,C,pid,pitch_max,12.0628,0.0000
square,c300.6/w232.9,C,pid,IAE,237.2881,0.0000
square,c300.6/w232.9,C,pid,IAE_norm,0.8768,0.0000
square,c300.6/w232.9,C,pid,settling_time,0.0000,0.0000
square,c300.6/w232.9,C,pid,ss_error,0.8768,0.0000
square,c300.6/w232.9,C,pid,control_effort,4894.3661,0.0000
square,c300.6/w232.9,C,pid,slew,4441.0397,0.0000
square,c300.6/w232.9,C,pid,sat_freq,0.0000,0.0000
square,c300.6/w232.9,C,pid,band_dc,0.0088,0.0000
square,c300.6/w232.9,C,pid,band_wave,0.7625,0.0000
square,c300.6/w232.9,C,pid,band_high,0.1619,0.0000
square,c300.6/w232.9,C,pid,est_err_rms,0.0000,0.0000
square,c300.6/w232.9,C,pid,w_x,0.0000,0.0000
square,c300.6/w232.9,C,pid,w_y,0.0000,0.0000
square,c300.6/w232.9,C,pid,n_fail,0.0000,0.0000
square,c300.6/w232.9,C,mpc,radial_rms,3.4924,0.0000
square,c300.6/w232.9,C,mpc,radial_max,9.1666,0.0000
square,c300.6/w232.9,C,mpc,dc_ex,1.3067,0.0000
square,c300.6/w232.9,C,mpc,dc_ey,-2.3579,0.0000
square,c300.6/w232.9,C,mpc,dc_radial,2.6958,0.0000
square,c300.6/w232.9,C,mpc,std_x,1.5722,0.0000
square,c300.6/w232.9,C,mpc,std_y,1.5678,0.0000
square,c300.6/w232.9,C,mpc,depth_std,0.0096,0.0000
square,c300.6/w232.9,C,mpc,pitch_mean,-0.0291,0.0000
square,c300.6/w232.9,C,mpc,pitch_max,0.0614,0.0000
square,c300.6/w232.9,C,mpc,IAE,847.8246,0.0000
square,c300.6/w232.9,C,mpc,IAE_norm,3.1717,0.0000
square,c300.6/w232.9,C,mpc,settling_time,248.3160,0.0000
square,c300.6/w232.9,C,mpc,ss_error,3.1717,0.0000
square,c300.6/w232.9,C,mpc,control_effort,9211.9915,0.0000
square,c300.6/w232.9,C,mpc,slew,12226.0041,0.0000
square,c300.6/w232.9,C,mpc,sat_freq,0.0000,0.0000
square,c300.6/w232.9,C,mpc,band_dc,0.0217,0.0000
square,c300.6/w232.9,C,mpc,band_wave,1.1574,0.0000
square,c300.6/w232.9,C,mpc,band_high,0.1709,0.0000
square,c300.6/w232.9,C,mpc,est_err_rms,0.0000,0.0000
square,c300.6/w232.9,C,mpc,w_x,0.0000,0.0000
square,c300.6/w232.9,C,mpc,w_y,0.0000,0.0000
square,c300.6/w232.9,C,mpc,n_fail,0.0000,0.0000
square,c300.6/w232.9,C,dobmpc,radial_rms,2.1075,0.0000
square,c300.6/w232.9,C,dobmpc,radial_max,6.2258,0.0000
square,c300.6/w232.9,C,dobmpc,dc_ex,-0.1260,0.0000
square,c300.6/w232.9,C,dobmpc,dc_ey,-0.0726,0.0000
square,c300.6/w232.9,C,dobmpc,dc_radial,0.1454,0.0000
square,c300.6/w232.9,C,dobmpc,std_x,1.4733,0.0000
square,c300.6/w232.9,C,dobmpc,std_y,1.4999,0.0000
square,c300.6/w232.9,C,dobmpc,depth_std,0.0077,0.0000
square,c300.6/w232.9,C,dobmpc,pitch_mean,-0.0272,0.0000
square,c300.6/w232.9,C,dobmpc,pitch_max,0.1191,0.0000
square,c300.6/w232.9,C,dobmpc,IAE,306.1681,0.0000
square,c300.6/w232.9,C,dobmpc,IAE_norm,1.1458,0.0000
square,c300.6/w232.9,C,dobmpc,settling_time,254.1660,0.0000
square,c300.6/w232.9,C,dobmpc,ss_error,1.1458,0.0000
square,c300.6/w232.9,C,dobmpc,control_effort,8713.8642,0.0000
square,c300.6/w232.9,C,dobmpc,slew,11269.1367,0.0000
square,c300.6/w232.9,C,dobmpc,sat_freq,0.0000,0.0000
square,c300.6/w232.9,C,dobmpc,band_dc,0.0200,0.0000
square,c300.6/w232.9,C,dobmpc,band_wave,1.0884,0.0000
square,c300.6/w232.9,C,dobmpc,band_high,0.1694,0.0000
square,c300.6/w232.9,C,dobmpc,est_err_rms,0.1747,0.0000
square,c300.6/w232.9,C,dobmpc,w_x,0.9530,0.0000
square,c300.6/w232.9,C,dobmpc,w_y,-1.6842,0.0000
square,c300.6/w232.9,C,dobmpc,n_fail,0.0000,0.0000
square,c300.6/w232.9,CD,pid,radial_rms,1.4970,0.0000
square,c300.6/w232.9,CD,pid,radial_max,4.5162,0.0000
square,c300.6/w232.9,CD,pid,dc_ex,-0.0033,0.0000
square,c300.6/w232.9,CD,pid,dc_ey,0.0256,0.0000
square,c300.6/w232.9,CD,pid,dc_radial,0.0258,0.0000
square,c300.6/w232.9,CD,pid,std_x,1.0433,0.0000
square,c300.6/w232.9,CD,pid,std_y,1.0733,0.0000
square,c300.6/w232.9,CD,pid,depth_std,0.0877,0.0000
square,c300.6/w232.9,CD,pid,pitch_mean,-1.7589,0.0000
square,c300.6/w232.9,CD,pid,pitch_max,14.9818,0.0000
square,c300.6/w232.9,CD,pid,IAE,236.7238,0.0000
square,c300.6/w232.9,CD,pid,IAE_norm,0.8752,0.0000
square,c300.6/w232.9,CD,pid,settling_time,0.0000,0.0000
square,c300.6/w232.9,CD,pid,ss_error,0.8752,0.0000
square,c300.6/w232.9,CD,pid,control_effort,4879.2037,0.0000
square,c300.6/w232.9,CD,pid,slew,4476.7224,0.0000
square,c300.6/w232.9,CD,pid,sat_freq,0.0000,0.0000
square,c300.6/w232.9,CD,pid,band_dc,0.0076,0.0000
square,c300.6/w232.9,CD,pid,band_wave,0.7622,0.0000
square,c300.6/w232.9,CD,pid,band_high,0.1619,0.0000
square,c300.6/w232.9,CD,pid,est_err_rms,0.0000,0.0000
square,c300.6/w232.9,CD,pid,w_x,0.0000,0.0000
square,c300.6/w232.9,CD,pid,w_y,0.0000,0.0000
square,c300.6/w232.9,CD,pid,n_fail,0.0000,0.0000
square,c300.6/w232.9,CD,mpc,radial_rms,3.4728,0.0000
square,c300.6/w232.9,CD,mpc,radial_max,9.1097,0.0000
square,c300.6/w232.9,CD,mpc,dc_ex,1.2961,0.0000
square,c300.6/w232.9,CD,mpc,dc_ey,-2.3371,0.0000
square,c300.6/w232.9,CD,mpc,dc_radial,2.6724,0.0000
square,c300.6/w232.9,CD,mpc,std_x,1.5702,0.0000
square,c300.6/w232.9,CD,mpc,std_y,1.5662,0.0000
square,c300.6/w232.9,CD,mpc,depth_std,0.0095,0.0000
square,c300.6/w232.9,CD,mpc,pitch_mean,-0.0290,0.0000
square,c300.6/w232.9,CD,mpc,pitch_max,0.0617,0.0000
square,c300.6/w232.9,CD,mpc,IAE,841.9805,0.0000
square,c300.6/w232.9,CD,mpc,IAE_norm,3.1507,0.0000
square,c300.6/w232.9,CD,mpc,settling_time,248.3160,0.0000
square,c300.6/w232.9,CD,mpc,ss_error,3.1507,0.0000
square,c300.6/w232.9,CD,mpc,control_effort,9189.9859,0.0000
square,c300.6/w232.9,CD,mpc,slew,12278.0889,0.0000
square,c300.6/w232.9,CD,mpc,sat_freq,0.0000,0.0000
square,c300.6/w232.9,CD,mpc,band_dc,0.0352,0.0000
square,c300.6/w232.9,CD,mpc,band_wave,1.1572,0.0000
square,c300.6/w232.9,CD,mpc,band_high,0.1710,0.0000
square,c300.6/w232.9,CD,mpc,est_err_rms,0.0000,0.0000
square,c300.6/w232.9,CD,mpc,w_x,0.0000,0.0000
square,c300.6/w232.9,CD,mpc,w_y,0.0000,0.0000
square,c300.6/w232.9,CD,mpc,n_fail,0.0000,0.0000
square,c300.6/w232.9,CD,dobmpc,radial_rms,2.1069,0.0000
square,c300.6/w232.9,CD,dobmpc,radial_max,6.2205,0.0000
square,c300.6/w232.9,CD,dobmpc,dc_ex,-0.1247,0.0000
square,c300.6/w232.9,CD,dobmpc,dc_ey,-0.0720,0.0000
square,c300.6/w232.9,CD,dobmpc,dc_radial,0.1440,0.0000
square,c300.6/w232.9,CD,dobmpc,std_x,1.4736,0.0000
square,c300.6/w232.9,CD,dobmpc,std_y,1.4990,0.0000
square,c300.6/w232.9,CD,dobmpc,depth_std,0.0077,0.0000
square,c300.6/w232.9,CD,dobmpc,pitch_mean,-0.0269,0.0000
square,c300.6/w232.9,CD,dobmpc,pitch_max,0.1254,0.0000
square,c300.6/w232.9,CD,dobmpc,IAE,306.0851,0.0000
square,c300.6/w232.9,CD,dobmpc,IAE_norm,1.1456,0.0000
square,c300.6/w232.9,CD,dobmpc,settling_time,254.1660,0.0000
square,c300.6/w232.9,CD,dobmpc,ss_error,1.1456,0.0000
square,c300.6/w232.9,CD,dobmpc,control_effort,8696.2797,0.0000
square,c300.6/w232.9,CD,dobmpc,slew,11722.7700,0.0000
square,c300.6/w232.9,CD,dobmpc,sat_freq,0.0000,0.0000
square,c300.6/w232.9,CD,dobmpc,band_dc,0.0231,0.0000
square,c300.6/w232.9,CD,dobmpc,band_wave,1.0885,0.0000
