t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00066,0.00026,-0.00001,0.00750,0.00000,0.027,-0.008,0
0.1020,0.00245,0.00097,-0.00005,0.01500,0.00000,0.076,-0.012,0
0.1520,0.00527,0.00207,-0.00010,0.02250,0.00000,0.120,-0.004,0
0.2020,0.00901,0.00350,-0.00016,0.03000,0.00000,0.160,0.005,0
0.2520,0.01357,0.00520,-0.00024,0.03750,0.00000,0.197,0.013,0
0.3020,0.01886,0.00713,-0.00032,0.04500,0.00000,0.231,0.019,0
0.3520,0.02480,0.00925,-0.00042,0.05250,0.00000,0.261,0.025,0
0.4020,0.03132,0.01151,-0.00051,0.06000,0.00000,0.289,0.030,0
0.4520,0.03834,0.01389,-0.00061,0.06750,0.00000,0.313,0.034,0
0.5040,0.04611,0.01644,-0.00071,0.07530,0.00000,0.336,0.038,0
0.5540,0.05397,0.01896,-0.00080,0.08280,0.00000,0.355,0.041,0
0.6040,0.06216,0.02150,-0.00089,0.09030,0.00000,0.371,0.043,0
0.6540,0.07063,0.02404,-0.00097,0.09780,0.00000,0.384,0.045,0
0.7040,0.07933,0.02657,-0.00104,0.10530,0.00000,0.396,0.046,0
0.7540,0.08823,0.02909,-0.00110,0.11280,0.00000,0.406,0.047,0
0.8040,0.09729,0.03156,-0.00115,0.12030,0.00000,0.413,0.047,0
0.8540,0.10647,0.03399,-0.00119,0.12780,0.00000,0.419,0.047,0
0.9040,0.11575,0.03635,-0.00121,0.13530,0.00000,0.424,0.047,0
0.9540,0.12509,0.03866,-0.00122,0.14280,0.00000,0.427,0.046,0
1.0060,0.13486,0.04096,-0.00121,0.15060,0.00000,0.429,0.045,0
1.0560,0.14429,0.04308,-0.00119,0.15810,0.00000,0.429,0.045,0
1.1060,0.15372,0.04511,-0.00115,0.16560,0.00000,0.428,0.043,0
1.1560,0.16314,0.04705,-0.00109,0.17310,0.00000,0.427,0.042,0
1.2060,0.17253,0.04889,-0.00102,0.18060,0.00000,0.424,0.041,0
1.2560,0.18190,0.05061,-0.00093,0.18810,0.00000,0.420,0.039,0
1.3060,0.19122,0.05222,-0.00082,0.19560,0.00000,0.415,0.037,0
1.3560,0.20048,0.05373,-0.00070,0.20310,0.00000,0.409,0.036,0
1.4060,0.20967,0.05513,-0.00057,0.21060,0.00000,0.403,0.034,0
1.4560,0.21880,0.05642,-0.00042,0.21810,0.00000,0.396,0.032,0
1.5060,0.22784,0.05760,-0.00026,0.22560,0.00000,0.388,0.030,0
1.5560,0.23681,0.05867,-0.00008,0.23310,0.00000,0.380,0.028,0
1.6060,0.24569,0.05963,0.00011,0.24060,0.00000,0.371,0.026,0
1.6560,0.25449,0.06048,0.00030,0.24810,0.00000,0.362,0.025,0
1.7060,0.26319,0.06122,0.00051,0.25560,0.00000,0.352,0.023,0
1.7560,0.27180,0.06186,0.00073,0.26310,0.00000,0.342,0.021,0
1.8060,0.28033,0.06240,0.00095,0.27060,0.00000,0.332,0.019,0
1.8560,0.28876,0.06283,0.00118,0.27810,0.00000,0.322,0.017,0
1.9060,0.29710,0.06315,0.00141,0.28560,0.00000,0.311,0.016,0
1.9560,0.30537,0.06336,0.00165,0.29310,0.00000,0.301,0.014,0
2.0080,0.31387,0.06347,0.00189,0.30090,0.00000,0.290,0.013,0
2.0600,0.32229,0.06347,0.00214,0.30870,0.00000,0.279,0.011,0
2.1120,0.33061,0.06338,0.00238,0.31650,0.00000,0.268,0.009,0
2.1640,0.33885,0.06319,0.00262,0.32430,0.00000,0.257,0.008,0
2.2160,0.34701,0.06291,0.00286,0.33210,0.00000,0.246,0.007,0
2.2680,0.35509,0.06256,0.00309,0.33990,0.00000,0.236,0.005,0
2.3200,0.36309,0.06213,0.00331,0.34770,0.00000,0.227,0.004,0
2.3720,0.37102,0.06161,0.00352,0.35550,0.00000,0.218,0.003,0
2.4240,0.37889,0.06102,0.00372,0.36330,0.00000,0.209,0.002,0
2.4760,0.38670,0.06034,0.00391,0.37110,0.00000,0.201,0.001,0
2.5280,0.39447,0.05958,0.00408,0.37890,0.00000,0.193,0.000,0
2.5800,0.40218,0.05874,0.00424,0.38670,0.00000,0.185,-0.001,0
2.6320,0.40985,0.05786,0.00439,0.39450,0.00000,0.178,-0.001,0
2.6840,0.41748,0.05691,0.00451,0.40230,0.00000,0.171,-0.002,0
2.7360,0.42507,0.05592,0.00462,0.41010,0.00000,0.165,-0.003,0
2.7880,0.43263,0.05487,0.00472,0.41790,0.00000,0.159,-0.003,0
2.8400,0.44016,0.05378,0.00479,0.42570,0.00000,0.154,-0.004,0
2.8920,0.44768,0.05264,0.00485,0.43350,0.00000,0.150,-0.005,0
2.9440,0.45517,0.05147,0.00488,0.44130,0.00000,0.145,-0.005,0
