t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00034,-0.00002,-0.00001,0.00750,0.00000,-0.023,-0.008,0
0.1020,0.00123,-0.00007,-0.00005,0.01500,0.00000,-0.066,-0.012,0
0.1520,0.00265,-0.00013,-0.00010,0.02250,0.00000,-0.106,-0.004,0
0.2020,0.00456,-0.00019,-0.00016,0.03000,0.00000,-0.142,0.004,0
0.2520,0.00694,-0.00025,-0.00024,0.03750,0.00000,-0.175,0.012,0
0.3020,0.00974,-0.00029,-0.00032,0.04500,0.00000,-0.204,0.019,0
0.3520,0.01293,-0.00032,-0.00042,0.05250,0.00000,-0.230,0.025,0
0.4020,0.01648,-0.00032,-0.00052,0.06000,0.00000,-0.253,0.030,0
0.4520,0.02037,-0.00030,-0.00061,0.06750,0.00000,-0.274,0.036,0
0.5040,0.02472,-0.00024,-0.00072,0.07530,0.00000,-0.293,0.040,0
0.5540,0.02919,-0.00016,-0.00081,0.08280,0.00000,-0.309,0.044,0
0.6040,0.03391,-0.00004,-0.00090,0.09030,0.00000,-0.323,0.048,0
0.6540,0.03886,0.00011,-0.00098,0.09780,0.00000,-0.336,0.051,0
0.7040,0.04400,0.00030,-0.00106,0.10530,0.00000,-0.346,0.054,0
0.7540,0.04933,0.00051,-0.00113,0.11280,0.00000,-0.356,0.057,0
0.8040,0.05481,0.00076,-0.00118,0.12030,0.00000,-0.363,0.059,0
0.8540,0.06044,0.00103,-0.00122,0.12780,0.00000,-0.370,0.061,0
0.9040,0.06620,0.00133,-0.00125,0.13530,0.00000,-0.375,0.063,0
0.9540,0.07207,0.00165,-0.00127,0.14280,0.00000,-0.379,0.064,0
1.0060,0.07829,0.00202,-0.00127,0.15060,0.00000,-0.382,0.065,0
1.0560,0.08437,0.00239,-0.00126,0.15810,0.00000,-0.383,0.066,0
1.1060,0.09053,0.00278,-0.00123,0.16560,0.00000,-0.384,0.067,0
1.1560,0.09677,0.00318,-0.00119,0.17310,0.00000,-0.384,0.067,0
1.2060,0.10309,0.00360,-0.00113,0.18060,0.00000,-0.383,0.068,0
1.2560,0.10949,0.00404,-0.00105,0.18810,0.00000,-0.382,0.068,0
1.3060,0.11595,0.00449,-0.00096,0.19560,0.00000,-0.379,0.067,0
1.3560,0.12247,0.00494,-0.00086,0.20310,0.00000,-0.376,0.067,0
1.4060,0.12905,0.00540,-0.00074,0.21060,0.00000,-0.372,0.066,0
1.4560,0.13569,0.00586,-0.00061,0.21810,0.00000,-0.367,0.065,0
1.5060,0.14238,0.00633,-0.00046,0.22560,0.00000,-0.362,0.064,0
1.5560,0.14913,0.00679,-0.00030,0.23310,0.00000,-0.356,0.063,0
1.6060,0.15593,0.00725,-0.00013,0.24060,0.00000,-0.349,0.061,0
1.6560,0.16279,0.00770,0.00006,0.24810,0.00000,-0.342,0.060,0
1.7060,0.16971,0.00815,0.00025,0.25560,0.00000,-0.335,0.057,0
1.7560,0.17667,0.00858,0.00045,0.26310,0.00000,-0.327,0.055,0
1.8060,0.18369,0.00901,0.00066,0.27060,0.00000,-0.319,0.053,0
1.8560,0.19077,0.00942,0.00088,0.27810,0.00000,-0.310,0.050,0
1.9060,0.19791,0.00982,0.00110,0.28560,0.00000,-0.301,0.047,0
1.9560,0.20511,0.01022,0.00133,0.29310,0.00000,-0.292,0.043,0
2.0080,0.21267,0.01062,0.00157,0.30090,0.00000,-0.281,0.040,0
2.0600,0.22030,0.01100,0.00181,0.30870,0.00000,-0.271,0.036,0
2.1120,0.22798,0.01137,0.00205,0.31650,0.00000,-0.260,0.032,0
2.1640,0.23574,0.01171,0.00230,0.32430,0.00000,-0.249,0.027,0
2.2160,0.24355,0.01204,0.00253,0.33210,0.00000,-0.238,0.023,0
2.2680,0.25141,0.01233,0.00277,0.33990,0.00000,-0.226,0.018,0
2.3200,0.25933,0.01261,0.00300,0.34770,0.00000,-0.215,0.013,0
2.3720,0.26731,0.01286,0.00322,0.35550,0.00000,-0.204,0.008,0
2.4240,0.27535,0.01310,0.00343,0.36330,0.00000,-0.192,0.003,0
2.4760,0.28346,0.01333,0.00364,0.37110,0.00000,-0.181,-0.003,0
2.5280,0.29164,0.01353,0.00383,0.37890,0.00000,-0.169,-0.008,0
2.5800,0.29987,0.01373,0.00401,0.38670,0.00000,-0.157,-0.014,0
2.6320,0.30816,0.01390,0.00418,0.39450,0.00000,-0.146,-0.019,0
2.6840,0.31649,0.01405,0.00433,0.40230,0.00000,-0.134,-0.025,0
2.7360,0.32488,0.01419,0.00447,0.41010,0.00000,-0.123,-0.030,0
2.7880,0.33331,0.01431,0.00460,0.41790,0.00000,-0.112,-0.036,0
2.8400,0.34179,0.01442,0.00470,0.42570,0.00000,-0.100,-0.042,0
2.8920,0.35031,0.01452,0.00479,0.43350,0.00000,-0.089,-0.047,0
2.9440,0.35888,0.01461,0.00487,0.44130,0.00000,-0.079,-0.053,0
2.9960,0.36749,0.01469,0.00492,0.44910,0.00000,-0.068,-0.058,0
3.0480,0.37615,0.01477,0.00496,0.45690,0.00000,-0.057,-0.063,0
3.1000,0.38484,0.01485,0.00498,0.46470,0.00000,-0.047,-0.068,0
3.1520,0.39357,0.01492,0.00497,0.47250,0.00000,-0.036,-0.073,0
3.2040,0.40232,0.01498,0.00496,0.48030,0.00000,-0.026,-0.078,0
