t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00019,0.00019,-0.00001,0.00750,0.00000,-0.004,-0.002,0
0.1020,0.00132,0.00068,-0.00002,0.01500,0.00000,-0.014,-0.006,0
0.1520,0.00403,0.00144,-0.00005,0.02250,0.00000,-0.026,-0.012,0
0.2020,0.00813,0.00240,-0.00007,0.03000,0.00000,-0.037,-0.019,0
0.2520,0.01335,0.00351,-0.00010,0.03750,0.00000,-0.044,-0.026,0
0.3020,0.01946,0.00476,-0.00014,0.04500,0.00000,-0.048,-0.032,0
0.3520,0.02627,0.00608,-0.00016,0.05250,0.00000,-0.047,-0.038,0
0.4020,0.03364,0.00747,-0.00019,0.06000,0.00000,-0.040,-0.043,0
0.4520,0.04144,0.00890,-0.00021,0.06750,0.00000,-0.029,-0.046,0
0.5040,0.04990,0.01040,-0.00023,0.07530,0.00000,-0.012,-0.047,0
0.5540,0.05827,0.01184,-0.00024,0.08280,0.00000,0.009,-0.046,0
0.6040,0.06682,0.01326,-0.00024,0.09030,0.00000,0.034,-0.043,0
0.6540,0.07550,0.01466,-0.00024,0.09780,0.00000,0.062,-0.037,0
0.7040,0.08425,0.01601,-0.00023,0.10530,0.00000,0.093,-0.030,0
0.7540,0.09305,0.01733,-0.00021,0.11280,0.00000,0.127,-0.020,0
0.8040,0.10188,0.01859,-0.00019,0.12030,0.00000,0.162,-0.008,0
0.8540,0.11071,0.01979,-0.00015,0.12780,0.00000,0.198,0.006,0
0.9040,0.11953,0.02094,-0.00011,0.13530,0.00000,0.236,0.023,0
0.9540,0.12833,0.02203,-0.00006,0.14280,0.00000,0.273,0.041,0
1.0060,0.13744,0.02309,-0.00000,0.15060,0.00000,0.311,0.062,0
1.0560,0.14617,0.02403,0.00006,0.15810,0.00000,0.347,0.084,0
1.1060,0.15485,0.02491,0.00013,0.16560,0.00000,0.382,0.107,0
1.1560,0.16348,0.02572,0.00021,0.17310,0.00000,0.415,0.132,0
1.2060,0.17207,0.02646,0.00029,0.18060,0.00000,0.447,0.158,0
1.2560,0.18060,0.02712,0.00038,0.18810,0.00000,0.477,0.185,0
1.3060,0.18909,0.02771,0.00047,0.19560,0.00000,0.504,0.213,0
1.3560,0.19753,0.02824,0.00057,0.20310,0.00000,0.530,0.241,0
1.4060,0.20593,0.02870,0.00067,0.21060,0.00000,0.552,0.270,0
1.4560,0.21429,0.02909,0.00078,0.21810,0.00000,0.572,0.299,0
1.5060,0.22260,0.02941,0.00088,0.22560,0.00000,0.590,0.328,0
1.5560,0.23088,0.02967,0.00099,0.23310,0.00000,0.605,0.356,0
1.6060,0.23912,0.02987,0.00110,0.24060,0.00000,0.617,0.385,0
1.6560,0.24733,0.03000,0.00121,0.24810,0.00000,0.626,0.412,0
1.7060,0.25550,0.03008,0.00133,0.25560,0.00000,0.633,0.439,0
1.7560,0.26365,0.03010,0.00144,0.26310,0.00000,0.637,0.465,0
1.8060,0.27177,0.03006,0.00154,0.27060,0.00000,0.638,0.489,0
1.8560,0.27986,0.02996,0.00165,0.27810,0.00000,0.637,0.513,0
1.9060,0.28792,0.02981,0.00175,0.28560,0.00000,0.633,0.534,0
1.9560,0.29595,0.02960,0.00185,0.29310,0.00000,0.627,0.554,0
2.0080,0.30428,0.02932,0.00195,0.30090,0.00000,0.618,0.573,0
2.0600,0.31259,0.02899,0.00205,0.30870,0.00000,0.606,0.589,0
2.1120,0.32089,0.02862,0.00214,0.31650,0.00000,0.593,0.603,0
2.1640,0.32916,0.02820,0.00222,0.32430,0.00000,0.577,0.614,0
2.2160,0.33743,0.02773,0.00229,0.33210,0.00000,0.559,0.623,0
2.2680,0.34569,0.02724,0.00236,0.33990,0.00000,0.538,0.629,0
2.3200,0.35394,0.02670,0.00242,0.34770,0.00000,0.515,0.632,0
2.3720,0.36218,0.02613,0.00247,0.35550,0.00000,0.490,0.632,0
2.4240,0.37040,0.02552,0.00251,0.36330,0.00000,0.462,0.629,0
2.4760,0.37861,0.02488,0.00254,0.37110,0.00000,0.432,0.624,0
2.5280,0.38680,0.02420,0.00256,0.37890,0.00000,0.401,0.615,0
2.5800,0.39498,0.02349,0.00258,0.38670,0.00000,0.368,0.604,0
2.6320,0.40315,0.02277,0.00258,0.39450,0.00000,0.333,0.589,0
2.6840,0.41132,0.02202,0.00257,0.40230,0.00000,0.296,0.572,0
2.7360,0.41948,0.02126,0.00255,0.41010,0.00000,0.257,0.552,0
2.7880,0.42763,0.02049,0.00253,0.41790,0.00000,0.217,0.529,0
2.8400,0.43577,0.01970,0.00249,0.42570,0.00000,0.176,0.505,0
2.8920,0.44390,0.01891,0.00244,0.43350,0.00000,0.133,0.478,0
2.9440,0.45202,0.01810,0.00239,0.44130,0.00000,0.089,0.448,0
2.9960,0.46012,0.01729,0.00232,0.44910,0.00000,0.043,0.417,0
3.0480,0.46820,0.01647,0.00224,0.45690,0.00000,-0.003,0.385,0
3.1000,0.47627,0.01564,0.00216,0.46470,0.00000,-0.050,0.351,0
3.1520,0.48432,0.01483,0.00207,0.47250,0.00000,-0.097,0.316,0
3.2040,0.49236,0.01402,0.00197,0.48030,0.00000,-0.144,0.280,0
3.2560,0.50039,0.01321,0.00186,0.48810,0.00000,-0.192,0.244,0
3.3080,0.50840,0.01242,0.00175,0.49590,0.00000,-0.240,0.208,0
3.3600,0.51639,0.01163,0.00163,0.50370,0.00000,-0.288,0.171,0
3.4120,0.52436,0.01085,0.00150,0.51150,0.00000,-0.336,0.135,0
3.4640,0.53230,0.01008,0.00137,0.51930,0.00000,-0.382,0.100,0
3.5160,0.54023,0.00933,0.00124,0.52710,0.00000,-0.428,0.066,0
3.5680,0.54815,0.00860,0.00110,0.53490,0.00000,-0.473,0.033,0
3.6200,0.55604,0.00789,0.00096,0.54270,0.00000,-0.517,0.001,0
3.6720,0.56392,0.00720,0.00082,0.55050,0.00000,-0.560,-0.029,0
3.7240,0.57180,0.00654,0.00068,0.55830,0.00000,-0.602,-0.057,0
3.7760,0.57965,0.00591,0.00054,0.56610,0.00000,-0.642,-0.082,0
3.8280,0.58748,0.00529,0.00040,0.57390,0.00000,-0.682,-0.105,0
3.8800,0.59529,0.00470,0.00027,0.58170,0.00000,-0.719,-0.125,0
3.9320,0.60308,0.00413,0.00013,0.58950,0.00000,-0.755,-0.143,0
3.9840,0.61085,0.00358,0.00000,0.59730,0.00000,-0.790,-0.157,0
4.0360,0.61861,0.00306,-0.00012,0.60510,0.00000,-0.822,-0.168,0
4.0880,0.62634,0.00257,-0.00025,0.61290,0.00000,-0.853,-0.176,0
4.1400,0.63407,0.00211,-0.00036,0.62070,0.00000,-0.882,-0.180,0
4.1920,0.64178,0.00168,-0.00047,0.62850,0.00000,-0.909,-0.181,0
4.2440,0.64948,0.00127,-0.00057,0.63630,0.00000,-0.934,-0.178,0
4.2960,0.65715,0.00088,-0.00067,0.64410,0.00000,-0.958,-0.172,0
4.3480,0.66480,0.00051,-0.00075,0.65190,0.00000,-0.979,-0.162,0
4.4000,0.67244,0.00017,-0.00083,0.65970,0.00000,-0.999,-0.148,0
4.4520,0.68006,-0.00015,-0.00090,0.66750,0.00000,-1.017,-0.131,0
