t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00039,0.00008,-0.00001,0.00750,0.00000,-0.018,-0.002,0
0.1020,0.00212,0.00024,-0.00002,0.01500,0.00000,-0.059,-0.006,0
0.1520,0.00565,0.00048,-0.00005,0.02250,0.00000,-0.108,-0.012,0
0.2020,0.01069,0.00075,-0.00007,0.03000,0.00000,-0.153,-0.019,0
0.2520,0.01691,0.00104,-0.00010,0.03750,0.00000,-0.188,-0.026,0
0.3020,0.02406,0.00133,-0.00013,0.04500,0.00000,-0.209,-0.033,0
0.3520,0.03192,0.00160,-0.00016,0.05250,0.00000,-0.218,-0.040,0
0.4020,0.04031,0.00184,-0.00019,0.06000,0.00000,-0.214,-0.047,0
0.4520,0.04911,0.00205,-0.00021,0.06750,0.00000,-0.201,-0.053,0
0.5040,0.05855,0.00224,-0.00023,0.07530,0.00000,-0.180,-0.058,0
0.5540,0.06782,0.00237,-0.00024,0.08280,0.00000,-0.154,-0.063,0
0.6040,0.07720,0.00246,-0.00024,0.09030,0.00000,-0.127,-0.067,0
0.6540,0.08664,0.00251,-0.00023,0.09780,0.00000,-0.100,-0.070,0
0.7040,0.09610,0.00251,-0.00022,0.10530,0.00000,-0.074,-0.073,0
0.7540,0.10553,0.00248,-0.00020,0.11280,0.00000,-0.052,-0.075,0
0.8040,0.11492,0.00241,-0.00017,0.12030,0.00000,-0.035,-0.078,0
0.8540,0.12423,0.00231,-0.00014,0.12780,0.00000,-0.022,-0.080,0
0.9040,0.13346,0.00219,-0.00009,0.13530,0.00000,-0.014,-0.083,0
0.9540,0.14260,0.00204,-0.00004,0.14280,0.00000,-0.013,-0.085,0
1.0060,0.15199,0.00185,0.00003,0.15060,0.00000,-0.017,-0.088,0
1.0560,0.16091,0.00165,0.00010,0.15810,0.00000,-0.026,-0.092,0
1.1060,0.16973,0.00143,0.00017,0.16560,0.00000,-0.039,-0.096,0
1.1560,0.17843,0.00119,0.00026,0.17310,0.00000,-0.057,-0.101,0
1.2060,0.18703,0.00094,0.00035,0.18060,0.00000,-0.079,-0.107,0
1.2560,0.19551,0.00067,0.00044,0.18810,0.00000,-0.103,-0.114,0
1.3060,0.20389,0.00040,0.00054,0.19560,0.00000,-0.130,-0.122,0
1.3560,0.21217,0.00012,0.00065,0.20310,0.00000,-0.158,-0.130,0
1.4060,0.22035,-0.00015,0.00075,0.21060,0.00000,-0.186,-0.139,0
1.4560,0.22844,-0.00043,0.00087,0.21810,0.00000,-0.215,-0.150,0
1.5060,0.23644,-0.00070,0.00098,0.22560,0.00000,-0.244,-0.161,0
1.5560,0.24435,-0.00097,0.00109,0.23310,0.00000,-0.272,-0.172,0
1.6060,0.25218,-0.00122,0.00121,0.24060,0.00000,-0.298,-0.184,0
1.6560,0.25994,-0.00147,0.00133,0.24810,0.00000,-0.323,-0.197,0
1.7060,0.26761,-0.00171,0.00144,0.25560,0.00000,-0.346,-0.210,0
1.7560,0.27523,-0.00193,0.00155,0.26310,0.00000,-0.367,-0.223,0
1.8060,0.28277,-0.00213,0.00166,0.27060,0.00000,-0.385,-0.236,0
1.8560,0.29025,-0.00232,0.00177,0.27810,0.00000,-0.400,-0.248,0
1.9060,0.29767,-0.00250,0.00187,0.28560,0.00000,-0.413,-0.260,0
