t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00055,0.00008,-0.00000,0.00750,0.00000,0.015,-0.012,0
0.1020,0.00205,0.00027,-0.00001,0.01500,0.00000,0.044,-0.023,0
0.1520,0.00440,0.00058,-0.00002,0.02250,0.00000,0.072,-0.024,0
0.2020,0.00752,0.00098,-0.00004,0.03000,0.00000,0.097,-0.023,0
0.2520,0.01133,0.00145,-0.00006,0.03750,0.00000,0.121,-0.022,0
0.3020,0.01577,0.00198,-0.00008,0.04500,0.00000,0.143,-0.022,0
0.3520,0.02076,0.00256,-0.00010,0.05250,0.00000,0.163,-0.022,0
0.4020,0.02624,0.00317,-0.00013,0.06000,0.00000,0.181,-0.023,0
0.4520,0.03216,0.00380,-0.00016,0.06750,0.00000,0.198,-0.024,0
0.5040,0.03872,0.00448,-0.00019,0.07530,0.00000,0.213,-0.026,0
0.5540,0.04536,0.00514,-0.00023,0.08280,0.00000,0.226,-0.027,0
0.6040,0.05228,0.00581,-0.00026,0.09030,0.00000,0.238,-0.029,0
0.6540,0.05946,0.00646,-0.00029,0.09780,0.00000,0.248,-0.031,0
0.7040,0.06684,0.00711,-0.00033,0.10530,0.00000,0.257,-0.032,0
0.7540,0.07440,0.00776,-0.00036,0.11280,0.00000,0.265,-0.034,0
0.8040,0.08210,0.00839,-0.00040,0.12030,0.00000,0.272,-0.036,0
0.8540,0.08993,0.00900,-0.00043,0.12780,0.00000,0.278,-0.037,0
0.9040,0.09784,0.00961,-0.00047,0.13530,0.00000,0.283,-0.039,0
0.9540,0.10584,0.01020,-0.00050,0.14280,0.00000,0.287,-0.040,0
1.0060,0.11421,0.01078,-0.00054,0.15060,0.00000,0.291,-0.041,0
1.0560,0.12231,0.01131,-0.00057,0.15810,0.00000,0.294,-0.043,0
1.1060,0.13044,0.01183,-0.00060,0.16560,0.00000,0.297,-0.044,0
1.1560,0.13858,0.01232,-0.00063,0.17310,0.00000,0.299,-0.045,0
1.2060,0.14674,0.01279,-0.00066,0.18060,0.00000,0.301,-0.046,0
1.2560,0.15490,0.01322,-0.00069,0.18810,0.00000,0.303,-0.047,0
