t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00013,-0.00009,0.00000,0.00750,0.00000,-0.012,-0.001,0
0.1020,0.00110,-0.00031,0.00001,0.01500,0.00000,-0.045,-0.003,0
0.1520,0.00355,-0.00065,0.00002,0.02250,0.00000,-0.096,-0.008,0
0.2020,0.00735,-0.00107,0.00003,0.03000,0.00000,-0.166,-0.015,0
0.2520,0.01220,-0.00155,0.00004,0.03750,0.00000,-0.250,-0.024,0
0.3020,0.01790,-0.00208,0.00006,0.04500,0.00000,-0.348,-0.036,0
0.3520,0.02425,-0.00264,0.00007,0.05250,0.00000,-0.454,-0.052,0
0.4020,0.03112,-0.00321,0.00009,0.06000,0.00000,-0.566,-0.070,0
0.4520,0.03838,-0.00379,0.00011,0.06750,0.00000,-0.681,-0.092,0
0.5040,0.04625,-0.00438,0.00013,0.07530,0.00000,-0.801,-0.118,0
0.5540,0.05405,-0.00495,0.00015,0.08280,0.00000,-0.913,-0.146,0
0.6040,0.06203,-0.00549,0.00017,0.09030,0.00000,-1.022,-0.177,0
0.6540,0.07013,-0.00601,0.00019,0.09780,0.00000,-1.124,-0.212,0
0.7040,0.07832,-0.00651,0.00021,0.10530,0.00000,-1.220,-0.250,0
0.7540,0.08657,-0.00698,0.00023,0.11280,0.00000,-1.307,-0.290,0
0.8040,0.09487,-0.00743,0.00025,0.12030,0.00000,-1.386,-0.334,0
0.8540,0.10318,-0.00784,0.00027,0.12780,0.00000,-1.457,-0.381,0
0.9040,0.11150,-0.00824,0.00029,0.13530,0.00000,-1.518,-0.431,0
0.9540,0.11982,-0.00861,0.00031,0.14280,0.00000,-1.572,-0.484,0
1.0060,0.12847,-0.00895,0.00033,0.15060,0.00000,-1.618,-0.541,0
1.0560,0.13677,-0.00924,0.00035,0.15810,0.00000,-1.655,-0.600,0
1.1060,0.14506,-0.00951,0.00037,0.16560,0.00000,-1.683,-0.660,0
1.1560,0.15332,-0.00975,0.00038,0.17310,0.00000,-1.705,-0.724,0
1.2060,0.16156,-0.00995,0.00040,0.18060,0.00000,-1.719,-0.789,0
1.2560,0.16979,-0.01012,0.00041,0.18810,0.00000,-1.728,-0.857,0
1.3060,0.17798,-0.01026,0.00043,0.19560,0.00000,-1.730,-0.927,0
1.3560,0.18616,-0.01038,0.00044,0.20310,0.00000,-1.727,-0.998,0
1.4060,0.19431,-0.01047,0.00045,0.21060,0.00000,-1.719,-1.072,0
1.4560,0.20243,-0.01054,0.00046,0.21810,0.00000,-1.707,-1.147,0
1.5060,0.21053,-0.01059,0.00047,0.22560,0.00000,-1.691,-1.224,0
1.5560,0.21861,-0.01061,0.00048,0.23310,0.00000,-1.671,-1.303,0
1.6060,0.22666,-0.01062,0.00049,0.24060,0.00000,-1.648,-1.383,0
1.6560,0.23469,-0.01061,0.00050,0.24810,0.00000,-1.623,-1.464,0
1.7060,0.24270,-0.01058,0.00050,0.25560,0.00000,-1.595,-1.546,0
1.7560,0.25069,-0.01054,0.00051,0.26310,0.00000,-1.566,-1.629,0
1.8060,0.25866,-0.01048,0.00051,0.27060,0.00000,-1.535,-1.712,0
1.8560,0.26661,-0.01041,0.00052,0.27810,0.00000,-1.502,-1.797,0
1.9060,0.27454,-0.01033,0.00052,0.28560,0.00000,-1.468,-1.881,0
1.9560,0.28246,-0.01022,0.00052,0.29310,0.00000,-1.434,-1.966,0
2.0080,0.29068,-0.01008,0.00052,0.30090,0.00000,-1.397,-2.055,0
2.0600,0.29888,-0.00994,0.00052,0.30870,0.00000,-1.359,-2.144,0
2.1120,0.30707,-0.00980,0.00051,0.31650,0.00000,-1.321,-2.232,0
