t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00025,-0.00008,0.00000,0.00750,0.00000,0.013,0.001,0
0.1020,0.00155,-0.00028,0.00001,0.01500,0.00000,0.043,0.003,0
0.1520,0.00450,-0.00058,0.00002,0.02250,0.00000,0.079,0.007,0
0.2020,0.00886,-0.00096,0.00003,0.03000,0.00000,0.114,0.012,0
0.2520,0.01434,-0.00138,0.00004,0.03750,0.00000,0.142,0.016,0
0.3020,0.02071,-0.00185,0.00005,0.04500,0.00000,0.160,0.021,0
0.3520,0.02778,-0.00233,0.00007,0.05250,0.00000,0.168,0.026,0
0.4020,0.03539,-0.00282,0.00008,0.06000,0.00000,0.166,0.030,0
0.4520,0.04342,-0.00332,0.00010,0.06750,0.00000,0.155,0.034,0
0.5040,0.05209,-0.00383,0.00011,0.07530,0.00000,0.135,0.037,0
0.5540,0.06066,-0.00431,0.00013,0.08280,0.00000,0.109,0.039,0
0.6040,0.06938,-0.00477,0.00014,0.09030,0.00000,0.078,0.041,0
0.6540,0.07819,-0.00520,0.00015,0.09780,0.00000,0.044,0.042,0
0.7040,0.08707,-0.00562,0.00017,0.10530,0.00000,0.009,0.042,0
0.7540,0.09598,-0.00602,0.00018,0.11280,0.00000,-0.027,0.041,0
0.8040,0.10489,-0.00639,0.00019,0.12030,0.00000,-0.063,0.039,0
0.8540,0.11378,-0.00674,0.00020,0.12780,0.00000,-0.097,0.037,0
0.9040,0.12264,-0.00708,0.00021,0.13530,0.00000,-0.130,0.033,0
0.9540,0.13146,-0.00739,0.00022,0.14280,0.00000,-0.160,0.029,0
1.0060,0.14057,-0.00768,0.00023,0.15060,0.00000,-0.188,0.024,0
1.0560,0.14927,-0.00793,0.00024,0.15810,0.00000,-0.211,0.018,0
1.1060,0.15792,-0.00816,0.00024,0.16560,0.00000,-0.232,0.012,0
1.1560,0.16650,-0.00837,0.00025,0.17310,0.00000,-0.249,0.005,0
1.2060,0.17501,-0.00855,0.00025,0.18060,0.00000,-0.263,-0.003,0
1.2560,0.18346,-0.00870,0.00026,0.18810,0.00000,-0.273,-0.011,0
1.3060,0.19184,-0.00883,0.00026,0.19560,0.00000,-0.281,-0.020,0
1.3560,0.20016,-0.00894,0.00027,0.20310,0.00000,-0.286,-0.029,0
1.4060,0.20843,-0.00903,0.00027,0.21060,0.00000,-0.289,-0.038,0
1.4560,0.21664,-0.00910,0.00027,0.21810,0.00000,-0.289,-0.048,0
1.5060,0.22480,-0.00915,0.00027,0.22560,0.00000,-0.287,-0.058,0
1.5560,0.23290,-0.00918,0.00027,0.23310,0.00000,-0.283,-0.069,0
1.6060,0.24096,-0.00920,0.00027,0.24060,0.00000,-0.278,-0.079,0
1.6560,0.24897,-0.00920,0.00027,0.24810,0.00000,-0.271,-0.090,0
1.7060,0.25693,-0.00919,0.00027,0.25560,0.00000,-0.263,-0.101,0
1.7560,0.26486,-0.00917,0.00027,0.26310,0.00000,-0.255,-0.112,0
1.8060,0.27275,-0.00914,0.00027,0.27060,0.00000,-0.245,-0.123,0
