t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00027,-0.00006,0.00000,0.00750,0.00000,0.013,0.001,0
0.1020,0.00162,-0.00022,0.00001,0.01500,0.00000,0.043,0.004,0
0.1520,0.00463,-0.00045,0.00002,0.02250,0.00000,0.081,0.009,0
0.2020,0.00906,-0.00075,0.00003,0.03000,0.00000,0.118,0.014,0
0.2520,0.01461,-0.00109,0.00004,0.03750,0.00000,0.151,0.021,0
0.3020,0.02105,-0.00145,0.00005,0.04500,0.00000,0.176,0.027,0
0.3520,0.02817,-0.00183,0.00007,0.05250,0.00000,0.192,0.034,0
0.4020,0.03583,-0.00222,0.00008,0.06000,0.00000,0.200,0.041,0
0.4520,0.04390,-0.00261,0.00010,0.06750,0.00000,0.199,0.047,0
0.5040,0.05262,-0.00301,0.00011,0.07530,0.00000,0.191,0.054,0
0.5540,0.06122,-0.00339,0.00013,0.08280,0.00000,0.176,0.059,0
0.6040,0.06998,-0.00375,0.00014,0.09030,0.00000,0.157,0.064,0
0.6540,0.07883,-0.00409,0.00015,0.09780,0.00000,0.135,0.069,0
0.7040,0.08774,-0.00442,0.00017,0.10530,0.00000,0.110,0.073,0
0.7540,0.09668,-0.00473,0.00018,0.11280,0.00000,0.084,0.076,0
0.8040,0.10562,-0.00502,0.00019,0.12030,0.00000,0.058,0.079,0
0.8540,0.11453,-0.00530,0.00020,0.12780,0.00000,0.032,0.081,0
0.9040,0.12342,-0.00556,0.00021,0.13530,0.00000,0.007,0.082,0
0.9540,0.13226,-0.00580,0.00022,0.14280,0.00000,-0.016,0.083,0
1.0060,0.14139,-0.00603,0.00023,0.15060,0.00000,-0.039,0.083,0
1.0560,0.15010,-0.00623,0.00024,0.15810,0.00000,-0.058,0.082,0
1.1060,0.15876,-0.00641,0.00024,0.16560,0.00000,-0.075,0.081,0
1.1560,0.16735,-0.00657,0.00025,0.17310,0.00000,-0.089,0.080,0
1.2060,0.17587,-0.00671,0.00025,0.18060,0.00000,-0.101,0.077,0
1.2560,0.18432,-0.00683,0.00026,0.18810,0.00000,-0.111,0.075,0
