t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00066,0.00027,0.00006,0.00750,0.00000,0.027,-0.008,0
0.1020,0.00242,0.00069,0.00014,0.01500,0.00000,0.011,-0.013,0
0.1520,0.00516,0.00107,0.00021,0.02250,0.00000,-0.063,-0.009,0
0.2020,0.00877,0.00139,0.00026,0.03000,0.00000,-0.121,-0.006,0
0.2520,0.01318,0.00165,0.00031,0.03750,0.00000,-0.161,-0.003,0
0.3020,0.01829,0.00186,0.00033,0.04500,0.00000,-0.192,-0.000,0
0.3520,0.02403,0.00202,0.00035,0.05250,0.00000,-0.213,0.002,0
0.4020,0.03033,0.00214,0.00036,0.06000,0.00000,-0.226,0.004,0
0.4520,0.03713,0.00222,0.00036,0.06750,0.00000,-0.232,0.006,0
0.5040,0.04464,0.00226,0.00034,0.07530,0.00000,-0.234,0.007,0
0.5540,0.05224,0.00226,0.00032,0.08280,0.00000,-0.232,0.009,0
0.6040,0.06016,0.00224,0.00030,0.09030,0.00000,-0.227,0.010,0
0.6540,0.06833,0.00219,0.00026,0.09780,0.00000,-0.220,0.012,0
0.7040,0.07673,0.00211,0.00022,0.10530,0.00000,-0.211,0.013,0
0.7540,0.08530,0.00202,0.00018,0.11280,0.00000,-0.201,0.015,0
0.8040,0.09401,0.00191,0.00013,0.12030,0.00000,-0.191,0.016,0
0.8540,0.10283,0.00179,0.00008,0.12780,0.00000,-0.181,0.017,0
0.9040,0.11173,0.00165,0.00002,0.13530,0.00000,-0.170,0.019,0
0.9540,0.12068,0.00150,-0.00004,0.14280,0.00000,-0.160,0.020,0
1.0060,0.13001,0.00134,-0.00011,0.15060,0.00000,-0.150,0.021,0
1.0560,0.13900,0.00118,-0.00017,0.15810,0.00000,-0.140,0.023,0
1.1060,0.14798,0.00102,-0.00024,0.16560,0.00000,-0.131,0.024,0
1.1560,0.15693,0.00085,-0.00031,0.17310,0.00000,-0.123,0.025,0
1.2060,0.16585,0.00067,-0.00038,0.18060,0.00000,-0.116,0.027,0
1.2560,0.17472,0.00050,-0.00046,0.18810,0.00000,-0.109,0.028,0
1.3060,0.18354,0.00032,-0.00053,0.19560,0.00000,-0.103,0.029,0
1.3560,0.19230,0.00015,-0.00060,0.20310,0.00000,-0.097,0.030,0
1.4060,0.20099,-0.00002,-0.00068,0.21060,0.00000,-0.092,0.031,0
1.4560,0.20961,-0.00020,-0.00076,0.21810,0.00000,-0.088,0.032,0
1.5060,0.21817,-0.00037,-0.00083,0.22560,0.00000,-0.084,0.033,0
1.5560,0.22665,-0.00053,-0.00091,0.23310,0.00000,-0.081,0.034,0
