t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00047,0.00024,0.00006,0.00750,0.00000,0.019,-0.007,0
0.1020,0.00177,0.00065,0.00014,0.01500,0.00000,-0.002,-0.018,0
0.1520,0.00390,0.00101,0.00021,0.02250,0.00000,-0.070,-0.029,0
0.2020,0.00682,0.00133,0.00026,0.03000,0.00000,-0.122,-0.040,0
0.2520,0.01051,0.00159,0.00031,0.03750,0.00000,-0.162,-0.050,0
0.3020,0.01493,0.00180,0.00034,0.04500,0.00000,-0.193,-0.057,0
0.3520,0.02006,0.00197,0.00035,0.05250,0.00000,-0.216,-0.064,0
0.4020,0.02585,0.00209,0.00036,0.06000,0.00000,-0.230,-0.070,0
0.4520,0.03225,0.00218,0.00036,0.06750,0.00000,-0.238,-0.076,0
0.5040,0.03946,0.00224,0.00035,0.07530,0.00000,-0.240,-0.082,0
0.5540,0.04685,0.00226,0.00033,0.08280,0.00000,-0.238,-0.087,0
0.6040,0.05463,0.00226,0.00031,0.09030,0.00000,-0.232,-0.092,0
0.6540,0.06274,0.00223,0.00028,0.09780,0.00000,-0.224,-0.096,0
0.7040,0.07112,0.00218,0.00024,0.10530,0.00000,-0.214,-0.100,0
0.7540,0.07973,0.00212,0.00020,0.11280,0.00000,-0.202,-0.104,0
0.8040,0.08851,0.00203,0.00015,0.12030,0.00000,-0.190,-0.108,0
0.8540,0.09744,0.00193,0.00010,0.12780,0.00000,-0.178,-0.111,0
0.9040,0.10648,0.00182,0.00004,0.13530,0.00000,-0.165,-0.114,0
0.9540,0.11559,0.00170,-0.00001,0.14280,0.00000,-0.153,-0.117,0
1.0060,0.12512,0.00157,-0.00008,0.15060,0.00000,-0.141,-0.120,0
1.0560,0.13431,0.00143,-0.00014,0.15810,0.00000,-0.130,-0.122,0
1.1060,0.14350,0.00128,-0.00020,0.16560,0.00000,-0.120,-0.123,0
1.1560,0.15268,0.00113,-0.00027,0.17310,0.00000,-0.111,-0.125,0
1.2060,0.16183,0.00098,-0.00034,0.18060,0.00000,-0.102,-0.126,0
1.2560,0.17094,0.00082,-0.00041,0.18810,0.00000,-0.094,-0.126,0
1.3060,0.18000,0.00066,-0.00048,0.19560,0.00000,-0.087,-0.127,0
1.3560,0.18900,0.00050,-0.00055,0.20310,0.00000,-0.081,-0.127,0
