t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00093,-0.00006,0.00006,0.00750,0.00000,-0.001,-0.013,0
0.1020,0.00311,-0.00015,0.00014,0.01500,0.00000,0.007,-0.016,0
0.1520,0.00619,-0.00025,0.00021,0.02250,0.00000,0.025,0.005,0
0.2020,0.01007,-0.00033,0.00027,0.03000,0.00000,0.039,0.026,0
0.2520,0.01469,-0.00041,0.00031,0.03750,0.00000,0.050,0.043,0
0.3020,0.01996,-0.00047,0.00034,0.04500,0.00000,0.059,0.059,0
0.3520,0.02582,-0.00052,0.00036,0.05250,0.00000,0.065,0.073,0
0.4020,0.03220,-0.00057,0.00036,0.06000,0.00000,0.070,0.085,0
0.4520,0.03904,-0.00061,0.00036,0.06750,0.00000,0.072,0.096,0
0.5040,0.04657,-0.00063,0.00034,0.07530,0.00000,0.074,0.105,0
0.5540,0.05416,-0.00065,0.00032,0.08280,0.00000,0.074,0.114,0
0.6040,0.06205,-0.00067,0.00029,0.09030,0.00000,0.074,0.121,0
0.6540,0.07018,-0.00067,0.00025,0.09780,0.00000,0.073,0.127,0
0.7040,0.07851,-0.00067,0.00021,0.10530,0.00000,0.071,0.132,0
0.7540,0.08700,-0.00067,0.00016,0.11280,0.00000,0.069,0.137,0
0.8040,0.09563,-0.00065,0.00010,0.12030,0.00000,0.067,0.141,0
0.8540,0.10436,-0.00064,0.00005,0.12780,0.00000,0.064,0.144,0
0.9040,0.11316,-0.00062,-0.00002,0.13530,0.00000,0.062,0.147,0
0.9540,0.12200,-0.00059,-0.00008,0.14280,0.00000,0.059,0.149,0
1.0060,0.13123,-0.00056,-0.00015,0.15060,0.00000,0.056,0.152,0
1.0560,0.14011,-0.00053,-0.00022,0.15810,0.00000,0.054,0.153,0
1.1060,0.14898,-0.00050,-0.00029,0.16560,0.00000,0.052,0.154,0
1.1560,0.15783,-0.00046,-0.00036,0.17310,0.00000,0.049,0.155,0
1.2060,0.16665,-0.00042,-0.00044,0.18060,0.00000,0.047,0.156,0
1.2560,0.17542,-0.00038,-0.00051,0.18810,0.00000,0.045,0.157,0
1.3060,0.18414,-0.00034,-0.00059,0.19560,0.00000,0.044,0.157,0
1.3560,0.19281,-0.00029,-0.00066,0.20310,0.00000,0.042,0.157,0
1.4060,0.20141,-0.00025,-0.00074,0.21060,0.00000,0.041,0.157,0
1.4560,0.20995,-0.00021,-0.00082,0.21810,0.00000,0.040,0.157,0
1.5060,0.21842,-0.00016,-0.00089,0.22560,0.00000,0.039,0.156,0
1.5560,0.22683,-0.00012,-0.00097,0.23310,0.00000,0.038,0.156,0
1.6060,0.23517,-0.00007,-0.00105,0.24060,0.00000,0.037,0.155,0
1.6560,0.24344,-0.00003,-0.00112,0.24810,0.00000,0.037,0.154,0
1.7060,0.25164,0.00002,-0.00120,0.25560,0.00000,0.036,0.153,0
1.7560,0.25978,0.00006,-0.00127,0.26310,0.00000,0.036,0.152,0
1.8060,0.26786,0.00010,-0.00135,0.27060,0.00000,0.036,0.151,0
1.8560,0.27587,0.00014,-0.00142,0.27810,0.00000,0.036,0.150,0
1.9060,0.28383,0.00018,-0.00150,0.28560,0.00000,0.036,0.148,0
1.9560,0.29174,0.00022,-0.00157,0.29310,0.00000,0.036,0.147,0
2.0080,0.29990,0.00026,-0.00164,0.30090,0.00000,0.036,0.145,0
2.0600,0.30802,0.00030,-0.00171,0.30870,0.00000,0.036,0.143,0
2.1120,0.31609,0.00033,-0.00178,0.31650,0.00000,0.036,0.140,0
2.1640,0.32411,0.00037,-0.00185,0.32430,0.00000,0.037,0.138,0
2.2160,0.33210,0.00040,-0.00192,0.33210,0.00000,0.037,0.136,0
2.2680,0.34004,0.00043,-0.00199,0.33990,0.00000,0.037,0.133,0
2.3200,0.34796,0.00045,-0.00205,0.34770,0.00000,0.038,0.130,0
2.3720,0.35584,0.00048,-0.00212,0.35550,0.00000,0.038,0.127,0
2.4240,0.36370,0.00050,-0.00218,0.36330,0.00000,0.038,0.124,0
2.4760,0.37154,0.00052,-0.00224,0.37110,0.00000,0.039,0.121,0
2.5280,0.37935,0.00054,-0.00229,0.37890,0.00000,0.039,0.117,0
2.5800,0.38715,0.00056,-0.00235,0.38670,0.00000,0.039,0.114,0
2.6320,0.39493,0.00057,-0.00240,0.39450,0.00000,0.040,0.110,0
2.6840,0.40271,0.00059,-0.00245,0.40230,0.00000,0.040,0.107,0
2.7360,0.41047,0.00060,-0.00249,0.41010,0.00000,0.041,0.103,0
2.7880,0.41823,0.00061,-0.00254,0.41790,0.00000,0.041,0.099,0
2.8400,0.42598,0.00062,-0.00258,0.42570,0.00000,0.042,0.096,0
2.8920,0.43373,0.00062,-0.00262,0.43350,0.00000,0.042,0.092,0
2.9440,0.44148,0.00063,-0.00265,0.44130,0.00000,0.042,0.088,0
2.9960,0.44922,0.00063,-0.00268,0.44910,0.00000,0.043,0.084,0
3.0480,0.45697,0.00063,-0.00271,0.45690,0.00000,0.043,0.080,0
3.1000,0.46472,0.00063,-0.00274,0.46470,0.00000,0.044,0.077,0
3.1520,0.47247,0.00063,-0.00276,0.47250,0.00000,0.044,0.073,0
3.2040,0.48022,0.00063,-0.00278,0.48030,0.00000,0.044,0.070,0
