t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00027,0.00004,-0.00001,0.00750,0.00000,-0.008,0.001,0
0.1020,0.00167,0.00015,-0.00002,0.01500,0.00000,-0.030,0.005,0
0.1520,0.00476,0.00034,-0.00005,0.02250,0.00000,-0.066,0.011,0
0.2020,0.00928,0.00057,-0.00008,0.03000,0.00000,-0.116,0.021,0
0.2520,0.01494,0.00085,-0.00011,0.03750,0.00000,-0.177,0.036,0
0.3020,0.02149,0.00116,-0.00014,0.04500,0.00000,-0.247,0.055,0
0.3520,0.02873,0.00150,-0.00017,0.05250,0.00000,-0.321,0.078,0
0.4020,0.03652,0.00185,-0.00020,0.06000,0.00000,-0.398,0.107,0
0.4520,0.04471,0.00221,-0.00023,0.06750,0.00000,-0.474,0.140,0
0.5040,0.05355,0.00260,-0.00025,0.07530,0.00000,-0.548,0.179,0
0.5540,0.06228,0.00297,-0.00027,0.08280,0.00000,-0.614,0.222,0
0.6040,0.07116,0.00333,-0.00028,0.09030,0.00000,-0.672,0.269,0
0.6540,0.08016,0.00369,-0.00028,0.09780,0.00000,-0.720,0.319,0
0.7040,0.08922,0.00403,-0.00028,0.10530,0.00000,-0.759,0.374,0
0.7540,0.09832,0.00436,-0.00026,0.11280,0.00000,-0.788,0.432,0
0.8040,0.10742,0.00468,-0.00024,0.12030,0.00000,-0.807,0.493,0
0.8540,0.11652,0.00497,-0.00021,0.12780,0.00000,-0.815,0.557,0
0.9040,0.12559,0.00524,-0.00018,0.13530,0.00000,-0.814,0.623,0
0.9540,0.13462,0.00549,-0.00013,0.14280,0.00000,-0.804,0.691,0
1.0060,0.14397,0.00572,-0.00007,0.15060,0.00000,-0.785,0.762,0
1.0560,0.15289,0.00591,-0.00001,0.15810,0.00000,-0.759,0.832,0
1.1060,0.16176,0.00606,0.00006,0.16560,0.00000,-0.726,0.902,0
1.1560,0.17056,0.00619,0.00014,0.17310,0.00000,-0.688,0.971,0
1.2060,0.17929,0.00628,0.00023,0.18060,0.00000,-0.646,1.040,0
1.2560,0.18796,0.00634,0.00032,0.18810,0.00000,-0.599,1.107,0
1.3060,0.19655,0.00636,0.00042,0.19560,0.00000,-0.550,1.172,0
1.3560,0.20507,0.00634,0.00053,0.20310,0.00000,-0.500,1.235,0
1.4060,0.21352,0.00629,0.00064,0.21060,0.00000,-0.447,1.296,0
1.4560,0.22190,0.00619,0.00076,0.21810,0.00000,-0.395,1.353,0
1.5060,0.23021,0.00606,0.00087,0.22560,0.00000,-0.342,1.406,0
1.5560,0.23844,0.00589,0.00100,0.23310,0.00000,-0.290,1.456,0
1.6060,0.24662,0.00568,0.00112,0.24060,0.00000,-0.240,1.501,0
1.6560,0.25472,0.00543,0.00124,0.24810,0.00000,-0.190,1.541,0
1.7060,0.26276,0.00515,0.00137,0.25560,0.00000,-0.143,1.576,0
1.7560,0.27074,0.00483,0.00149,0.26310,0.00000,-0.098,1.606,0
1.8060,0.27866,0.00447,0.00161,0.27060,0.00000,-0.056,1.630,0
1.8560,0.28652,0.00408,0.00173,0.27810,0.00000,-0.016,1.649,0
1.9060,0.29433,0.00365,0.00184,0.28560,0.00000,0.021,1.661,0
1.9560,0.30208,0.00319,0.00195,0.29310,0.00000,0.056,1.668,0
2.0080,0.31009,0.00268,0.00206,0.30090,0.00000,0.089,1.668,0
2.0600,0.31805,0.00214,0.00216,0.30870,0.00000,0.119,1.661,0
2.1120,0.32596,0.00157,0.00225,0.31650,0.00000,0.146,1.647,0
2.1640,0.33383,0.00097,0.00234,0.32430,0.00000,0.170,1.627,0
2.2160,0.34165,0.00035,0.00241,0.33210,0.00000,0.191,1.600,0
2.2680,0.34944,-0.00030,0.00248,0.33990,0.00000,0.209,1.566,0
2.3200,0.35719,-0.00097,0.00254,0.34770,0.00000,0.225,1.526,0
2.3720,0.36491,-0.00166,0.00258,0.35550,0.00000,0.239,1.480,0
2.4240,0.37260,-0.00236,0.00262,0.36330,0.00000,0.250,1.427,0
2.4760,0.38026,-0.00307,0.00264,0.37110,0.00000,0.259,1.369,0
2.5280,0.38789,-0.00380,0.00266,0.37890,0.00000,0.267,1.305,0
2.5800,0.39551,-0.00453,0.00266,0.38670,0.00000,0.272,1.236,0
2.6320,0.40311,-0.00527,0.00265,0.39450,0.00000,0.276,1.162,0
2.6840,0.41069,-0.00602,0.00263,0.40230,0.00000,0.279,1.083,0
2.7360,0.41826,-0.00676,0.00260,0.41010,0.00000,0.280,1.000,0
2.7880,0.42582,-0.00750,0.00255,0.41790,0.00000,0.280,0.914,0
2.8400,0.43337,-0.00824,0.00250,0.42570,0.00000,0.280,0.823,0
2.8920,0.44092,-0.00897,0.00244,0.43350,0.00000,0.278,0.730,0
2.9440,0.44846,-0.00969,0.00236,0.44130,0.00000,0.275,0.635,0
2.9960,0.45600,-0.01040,0.00228,0.44910,0.00000,0.272,0.537,0
3.0480,0.46354,-0.01109,0.00219,0.45690,0.00000,0.269,0.438,0
3.1000,0.47109,-0.01177,0.00209,0.46470,0.00000,0.265,0.337,0
3.1520,0.47863,-0.01243,0.00198,0.47250,0.00000,0.260,0.236,0
3.2040,0.48619,-0.01307,0.00187,0.48030,0.00000,0.255,0.134,0
3.2560,0.49374,-0.01369,0.00175,0.48810,0.00000,0.250,0.032,0
3.3080,0.50131,-0.01429,0.00162,0.49590,0.00000,0.245,-0.069,0
3.3600,0.50888,-0.01486,0.00149,0.50370,0.00000,0.240,-0.169,0
3.4120,0.51646,-0.01540,0.00136,0.51150,0.00000,0.235,-0.268,0
3.4640,0.52405,-0.01591,0.00122,0.51930,0.00000,0.229,-0.365,0
3.5160,0.53165,-0.01640,0.00108,0.52710,0.00000,0.224,-0.460,0
3.5680,0.53926,-0.01685,0.00094,0.53490,0.00000,0.219,-0.553,0
3.6200,0.54688,-0.01727,0.00080,0.54270,0.00000,0.213,-0.643,0
3.6720,0.55451,-0.01766,0.00066,0.55050,0.00000,0.209,-0.729,0
3.7240,0.56215,-0.01802,0.00052,0.55830,0.00000,0.204,-0.812,0
3.7760,0.56980,-0.01834,0.00038,0.56610,0.00000,0.199,-0.892,0
3.8280,0.57746,-0.01863,0.00024,0.57390,0.00000,0.195,-0.967,0
3.8800,0.58512,-0.01888,0.00011,0.58170,0.00000,0.191,-1.037,0
3.9320,0.59279,-0.01909,-0.00002,0.58950,0.00000,0.187,-1.103,0
3.9840,0.60047,-0.01927,-0.00014,0.59730,0.00000,0.183,-1.164,0
4.0360,0.60816,-0.01942,-0.00026,0.60510,0.00000,0.180,-1.220,0
4.0880,0.61585,-0.01953,-0.00037,0.61290,0.00000,0.176,-1.270,0
4.1400,0.62354,-0.01960,-0.00047,0.62070,0.00000,0.174,-1.315,0
4.1920,0.63123,-0.01964,-0.00056,0.62850,0.00000,0.171,-1.355,0
4.2440,0.63893,-0.01965,-0.00065,0.63630,0.00000,0.169,-1.388,0
4.2960,0.64663,-0.01962,-0.00073,0.64410,0.00000,0.167,-1.416,0
4.3480,0.65432,-0.01956,-0.00080,0.65190,0.00000,0.165,-1.438,0
4.4000,0.66201,-0.01947,-0.00086,0.65970,0.00000,0.163,-1.453,0
4.4520,0.66970,-0.01935,-0.00091,0.66750,0.00000,0.162,-1.463,0
4.5040,0.67738,-0.01919,-0.00095,0.67530,0.00000,0.160,-1.467,0
4.5560,0.68506,-0.01901,-0.00098,0.68310,0.00000,0.159,-1.464,0
4.6080,0.69272,-0.01881,-0.00100,0.69090,0.00000,0.157,-1.456,0
4.6600,0.70038,-0.01857,-0.00101,0.69870,0.00000,0.156,-1.441,0
4.7120,0.70803,-0.01831,-0.00101,0.70650,0.00000,0.154,-1.421,0
4.7640,0.71566,-0.01803,-0.00100,0.71430,0.00000,0.153,-1.395,0
4.8160,0.72329,-0.01773,-0.00098,0.72210,0.00000,0.150,-1.363,0
4.8680,0.73090,-0.01741,-0.00096,0.72990,0.00000,0.148,-1.326,0
4.9200,0.73850,-0.01706,-0.00092,0.73770,0.00000,0.145,-1.284,0
4.9720,0.74608,-0.01671,-0.00087,0.74550,0.00000,0.141,-1.237,0
5.0240,0.75365,-0.01634,-0.00081,0.75330,0.00000,0.137,-1.185,0
5.0760,0.76120,-0.01595,-0.00075,0.76110,0.00000,0.132,-1.129,0
5.1280,0.76873,-0.01556,-0.00068,0.76890,0.00000,0.127,-1.069,0
5.1800,0.77625,-0.01516,-0.00061,0.77670,0.00000,0.120,-1.005,0
5.2320,0.78376,-0.01475,-0.00052,0.78450,0.00000,0.112,-0.937,0
5.2840,0.79125,-0.01433,-0.00044,0.79230,0.00000,0.104,-0.866,0
5.3360,0.79872,-0.01391,-0.00035,0.80010,0.00000,0.094,-0.793,0
5.3880,0.80617,-0.01349,-0.00025,0.80790,0.00000,0.083,-0.717,0
5.4400,0.81361,-0.01307,-0.00016,0.81570,0.00000,0.070,-0.639,0
5.4920,0.82104,-0.01265,-0.00006,0.82350,0.00000,0.057,-0.560,0
5.5440,0.82845,-0.01224,0.00004,0.83130,0.00000,0.042,-0.480,0
5.5960,0.83585,-0.01183,0.00014,0.83910,0.00000,0.025,-0.399,0
5.6480,0.84324,-0.01142,0.00023,0.84690,0.00000,0.007,-0.318,0
