t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00065,0.00012,-0.00000,0.00750,0.00000,-0.005,-0.010,0
0.1020,0.00241,0.00044,-0.00001,0.01500,0.00000,-0.011,-0.019,0
0.1520,0.00519,0.00091,-0.00002,0.02250,0.00000,-0.012,-0.016,0
0.2020,0.00888,0.00152,-0.00004,0.03000,0.00000,-0.007,-0.013,0
0.2520,0.01341,0.00224,-0.00006,0.03750,0.00000,0.003,-0.010,0
0.3020,0.01867,0.00306,-0.00008,0.04500,0.00000,0.016,-0.008,0
0.3520,0.02458,0.00395,-0.00011,0.05250,0.00000,0.029,-0.007,0
0.4020,0.03108,0.00489,-0.00014,0.06000,0.00000,0.044,-0.007,0
0.4520,0.03808,0.00588,-0.00017,0.06750,0.00000,0.059,-0.007,0
0.5040,0.04582,0.00694,-0.00020,0.07530,0.00000,0.074,-0.007,0
0.5540,0.05364,0.00798,-0.00024,0.08280,0.00000,0.087,-0.008,0
0.6040,0.06178,0.00903,-0.00027,0.09030,0.00000,0.100,-0.009,0
0.6540,0.07018,0.01007,-0.00031,0.09780,0.00000,0.111,-0.010,0
0.7040,0.07879,0.01111,-0.00034,0.10530,0.00000,0.121,-0.011,0
0.7540,0.08758,0.01213,-0.00038,0.11280,0.00000,0.130,-0.013,0
0.8040,0.09650,0.01313,-0.00041,0.12030,0.00000,0.138,-0.014,0
0.8540,0.10552,0.01411,-0.00045,0.12780,0.00000,0.145,-0.015,0
0.9040,0.11461,0.01505,-0.00048,0.13530,0.00000,0.151,-0.017,0
0.9540,0.12374,0.01597,-0.00052,0.14280,0.00000,0.155,-0.018,0
1.0060,0.13326,0.01688,-0.00055,0.15060,0.00000,0.159,-0.019,0
1.0560,0.14241,0.01773,-0.00059,0.15810,0.00000,0.161,-0.020,0
1.1060,0.15154,0.01853,-0.00062,0.16560,0.00000,0.163,-0.021,0
1.1560,0.16063,0.01930,-0.00065,0.17310,0.00000,0.164,-0.022,0
1.2060,0.16968,0.02002,-0.00068,0.18060,0.00000,0.165,-0.023,0
1.2560,0.17868,0.02071,-0.00071,0.18810,0.00000,0.165,-0.023,0
1.3060,0.18761,0.02136,-0.00074,0.19560,0.00000,0.164,-0.024,0
1.3560,0.19648,0.02197,-0.00077,0.20310,0.00000,0.163,-0.024,0
1.4060,0.20527,0.02254,-0.00080,0.21060,0.00000,0.162,-0.025,0
1.4560,0.21399,0.02308,-0.00082,0.21810,0.00000,0.161,-0.025,0
1.5060,0.22263,0.02358,-0.00085,0.22560,0.00000,0.159,-0.025,0
1.5560,0.23119,0.02404,-0.00087,0.23310,0.00000,0.157,-0.026,0
1.6060,0.23967,0.02448,-0.00089,0.24060,0.00000,0.155,-0.026,0
1.6560,0.24807,0.02488,-0.00091,0.24810,0.00000,0.152,-0.026,0
1.7060,0.25640,0.02524,-0.00093,0.25560,0.00000,0.150,-0.026,0
1.7560,0.26466,0.02558,-0.00095,0.26310,0.00000,0.148,-0.026,0
1.8060,0.27284,0.02590,-0.00097,0.27060,0.00000,0.145,-0.026,0
1.8560,0.28096,0.02618,-0.00099,0.27810,0.00000,0.143,-0.026,0
1.9060,0.28901,0.02644,-0.00100,0.28560,0.00000,0.140,-0.026,0
1.9560,0.29700,0.02668,-0.00102,0.29310,0.00000,0.138,-0.026,0
2.0080,0.30525,0.02691,-0.00103,0.30090,0.00000,0.136,-0.025,0
2.0600,0.31344,0.02711,-0.00104,0.30870,0.00000,0.133,-0.025,0
2.1120,0.32158,0.02729,-0.00106,0.31650,0.00000,0.131,-0.025,0
2.1640,0.32966,0.02745,-0.00107,0.32430,0.00000,0.129,-0.025,0
2.2160,0.33771,0.02760,-0.00108,0.33210,0.00000,0.127,-0.025,0
2.2680,0.34571,0.02773,-0.00109,0.33990,0.00000,0.125,-0.025,0
2.3200,0.35367,0.02784,-0.00110,0.34770,0.00000,0.124,-0.024,0
2.3720,0.36160,0.02794,-0.00111,0.35550,0.00000,0.122,-0.024,0
2.4240,0.36950,0.02803,-0.00111,0.36330,0.00000,0.120,-0.024,0
2.4760,0.37737,0.02810,-0.00112,0.37110,0.00000,0.119,-0.024,0
2.5280,0.38522,0.02817,-0.00113,0.37890,0.00000,0.118,-0.024,0
2.5800,0.39305,0.02822,-0.00113,0.38670,0.00000,0.116,-0.024,0
2.6320,0.40086,0.02827,-0.00114,0.39450,0.00000,0.115,-0.023,0
2.6840,0.40866,0.02831,-0.00114,0.40230,0.00000,0.114,-0.023,0
2.7360,0.41644,0.02834,-0.00114,0.41010,0.00000,0.113,-0.023,0
2.7880,0.42421,0.02837,-0.00115,0.41790,0.00000,0.113,-0.023,0
2.8400,0.43197,0.02839,-0.00115,0.42570,0.00000,0.112,-0.023,0
