t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00028,0.00005,0.00000,0.00750,0.00000,-0.011,0.001,0
0.1020,0.00168,0.00016,0.00001,0.01500,0.00000,-0.038,0.005,0
0.1520,0.00474,0.00034,0.00002,0.02250,0.00000,-0.072,0.010,0
0.2020,0.00921,0.00055,0.00003,0.03000,0.00000,-0.107,0.016,0
0.2520,0.01481,0.00079,0.00004,0.03750,0.00000,-0.138,0.024,0
0.3020,0.02129,0.00106,0.00005,0.04500,0.00000,-0.164,0.032,0
0.3520,0.02846,0.00134,0.00007,0.05250,0.00000,-0.182,0.040,0
0.4020,0.03616,0.00163,0.00008,0.06000,0.00000,-0.193,0.048,0
0.4520,0.04426,0.00192,0.00010,0.06750,0.00000,-0.197,0.057,0
0.5040,0.05301,0.00223,0.00011,0.07530,0.00000,-0.195,0.065,0
0.5540,0.06165,0.00251,0.00013,0.08280,0.00000,-0.188,0.073,0
0.6040,0.07043,0.00279,0.00014,0.09030,0.00000,-0.177,0.081,0
0.6540,0.07931,0.00306,0.00015,0.09780,0.00000,-0.162,0.088,0
0.7040,0.08825,0.00331,0.00017,0.10530,0.00000,-0.146,0.095,0
0.7540,0.09721,0.00355,0.00018,0.11280,0.00000,-0.128,0.101,0
0.8040,0.10617,0.00378,0.00019,0.12030,0.00000,-0.109,0.107,0
0.8540,0.11510,0.00399,0.00020,0.12780,0.00000,-0.090,0.113,0
0.9040,0.12399,0.00418,0.00021,0.13530,0.00000,-0.072,0.117,0
0.9540,0.13284,0.00436,0.00022,0.14280,0.00000,-0.055,0.122,0
1.0060,0.14198,0.00454,0.00023,0.15060,0.00000,-0.038,0.125,0
1.0560,0.15070,0.00468,0.00024,0.15810,0.00000,-0.023,0.129,0
1.1060,0.15936,0.00482,0.00024,0.16560,0.00000,-0.010,0.131,0
1.1560,0.16794,0.00493,0.00025,0.17310,0.00000,0.001,0.133,0
1.2060,0.17646,0.00504,0.00025,0.18060,0.00000,0.010,0.135,0
1.2560,0.18492,0.00513,0.00026,0.18810,0.00000,0.018,0.136,0
1.3060,0.19330,0.00520,0.00026,0.19560,0.00000,0.025,0.137,0
1.3560,0.20163,0.00527,0.00027,0.20310,0.00000,0.029,0.137,0
1.4060,0.20989,0.00532,0.00027,0.21060,0.00000,0.033,0.137,0
1.4560,0.21809,0.00536,0.00027,0.21810,0.00000,0.035,0.137,0
1.5060,0.22623,0.00539,0.00027,0.22560,0.00000,0.036,0.136,0
1.5560,0.23433,0.00541,0.00027,0.23310,0.00000,0.035,0.135,0
1.6060,0.24237,0.00542,0.00027,0.24060,0.00000,0.034,0.133,0
1.6560,0.25036,0.00542,0.00027,0.24810,0.00000,0.032,0.131,0
1.7060,0.25831,0.00541,0.00027,0.25560,0.00000,0.029,0.129,0
1.7560,0.26621,0.00540,0.00027,0.26310,0.00000,0.026,0.126,0
1.8060,0.27408,0.00538,0.00027,0.27060,0.00000,0.022,0.124,0
1.8560,0.28191,0.00535,0.00027,0.27810,0.00000,0.018,0.121,0
1.9060,0.28971,0.00532,0.00027,0.28560,0.00000,0.014,0.118,0
1.9560,0.29747,0.00528,0.00026,0.29310,0.00000,0.010,0.114,0
2.0080,0.30552,0.00523,0.00026,0.30090,0.00000,0.005,0.111,0
2.0600,0.31353,0.00519,0.00026,0.30870,0.00000,0.000,0.107,0
2.1120,0.32152,0.00513,0.00026,0.31650,0.00000,-0.004,0.103,0
2.1640,0.32948,0.00508,0.00025,0.32430,0.00000,-0.009,0.099,0
2.2160,0.33742,0.00502,0.00025,0.33210,0.00000,-0.013,0.095,0
2.2680,0.34534,0.00495,0.00024,0.33990,0.00000,-0.018,0.091,0
2.3200,0.35324,0.00489,0.00024,0.34770,0.00000,-0.022,0.087,0
2.3720,0.36113,0.00482,0.00024,0.35550,0.00000,-0.025,0.083,0
2.4240,0.36899,0.00475,0.00023,0.36330,0.00000,-0.029,0.079,0
2.4760,0.37684,0.00468,0.00023,0.37110,0.00000,-0.032,0.075,0
2.5280,0.38468,0.00461,0.00022,0.37890,0.00000,-0.035,0.071,0
2.5800,0.39251,0.00454,0.00022,0.38670,0.00000,-0.038,0.067,0
2.6320,0.40032,0.00447,0.00022,0.39450,0.00000,-0.040,0.063,0
2.6840,0.40813,0.00439,0.00021,0.40230,0.00000,-0.043,0.060,0
2.7360,0.41592,0.00432,0.00021,0.41010,0.00000,-0.045,0.056,0
