t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00031,-0.00000,0.00000,0.00750,0.00000,0.001,0.001,0
0.1020,0.00177,-0.00001,0.00001,0.01500,0.00000,0.003,0.005,0
0.1520,0.00490,-0.00002,0.00002,0.02250,0.00000,0.006,0.012,0
0.2020,0.00946,-0.00003,0.00003,0.03000,0.00000,0.009,0.019,0
0.2520,0.01514,-0.00004,0.00004,0.03750,0.00000,0.012,0.028,0
0.3020,0.02170,-0.00006,0.00005,0.04500,0.00000,0.014,0.038,0
0.3520,0.02894,-0.00007,0.00007,0.05250,0.00000,0.016,0.049,0
0.4020,0.03670,-0.00009,0.00008,0.06000,0.00000,0.017,0.060,0
0.4520,0.04486,-0.00010,0.00010,0.06750,0.00000,0.018,0.071,0
0.5040,0.05365,-0.00012,0.00011,0.07530,0.00000,0.018,0.083,0
0.5540,0.06233,-0.00014,0.00013,0.08280,0.00000,0.018,0.094,0
0.6040,0.07115,-0.00015,0.00014,0.09030,0.00000,0.018,0.105,0
0.6540,0.08006,-0.00016,0.00016,0.09780,0.00000,0.017,0.117,0
0.7040,0.08901,-0.00018,0.00017,0.10530,0.00000,0.016,0.128,0
0.7540,0.09799,-0.00019,0.00018,0.11280,0.00000,0.015,0.138,0
0.8040,0.10696,-0.00020,0.00019,0.12030,0.00000,0.014,0.149,0
0.8540,0.11591,-0.00022,0.00020,0.12780,0.00000,0.013,0.159,0
0.9040,0.12481,-0.00023,0.00021,0.13530,0.00000,0.012,0.169,0
0.9540,0.13366,-0.00024,0.00022,0.14280,0.00000,0.011,0.178,0
1.0060,0.14280,-0.00024,0.00023,0.15060,0.00000,0.010,0.187,0
1.0560,0.15153,-0.00025,0.00024,0.15810,0.00000,0.009,0.196,0
1.1060,0.16018,-0.00026,0.00025,0.16560,0.00000,0.008,0.204,0
1.1560,0.16877,-0.00027,0.00025,0.17310,0.00000,0.007,0.212,0
1.2060,0.17729,-0.00027,0.00026,0.18060,0.00000,0.006,0.219,0
1.2560,0.18574,-0.00028,0.00026,0.18810,0.00000,0.006,0.226,0
1.3060,0.19413,-0.00028,0.00027,0.19560,0.00000,0.005,0.232,0
1.3560,0.20244,-0.00028,0.00027,0.20310,0.00000,0.005,0.238,0
1.4060,0.21070,-0.00028,0.00027,0.21060,0.00000,0.005,0.244,0
1.4560,0.21890,-0.00029,0.00028,0.21810,0.00000,0.004,0.249,0
1.5060,0.22704,-0.00029,0.00028,0.22560,0.00000,0.004,0.254,0
1.5560,0.23513,-0.00029,0.00028,0.23310,0.00000,0.004,0.258,0
1.6060,0.24316,-0.00029,0.00028,0.24060,0.00000,0.004,0.262,0
1.6560,0.25115,-0.00029,0.00028,0.24810,0.00000,0.004,0.265,0
1.7060,0.25909,-0.00029,0.00028,0.25560,0.00000,0.004,0.268,0
1.7560,0.26700,-0.00029,0.00028,0.26310,0.00000,0.004,0.271,0
1.8060,0.27486,-0.00029,0.00028,0.27060,0.00000,0.004,0.273,0
1.8560,0.28268,-0.00028,0.00028,0.27810,0.00000,0.004,0.274,0
1.9060,0.29047,-0.00028,0.00027,0.28560,0.00000,0.005,0.276,0
1.9560,0.29823,-0.00028,0.00027,0.29310,0.00000,0.005,0.276,0
2.0080,0.30627,-0.00028,0.00027,0.30090,0.00000,0.005,0.277,0
2.0600,0.31428,-0.00027,0.00027,0.30870,0.00000,0.005,0.277,0
2.1120,0.32226,-0.00027,0.00026,0.31650,0.00000,0.005,0.277,0
2.1640,0.33022,-0.00027,0.00026,0.32430,0.00000,0.006,0.276,0
2.2160,0.33815,-0.00026,0.00026,0.33210,0.00000,0.006,0.275,0
2.2680,0.34606,-0.00026,0.00025,0.33990,0.00000,0.006,0.273,0
2.3200,0.35396,-0.00026,0.00025,0.34770,0.00000,0.006,0.272,0
2.3720,0.36183,-0.00025,0.00024,0.35550,0.00000,0.006,0.270,0
2.4240,0.36969,-0.00025,0.00024,0.36330,0.00000,0.006,0.267,0
2.4760,0.37754,-0.00025,0.00024,0.37110,0.00000,0.006,0.264,0
2.5280,0.38537,-0.00024,0.00023,0.37890,0.00000,0.007,0.261,0
2.5800,0.39319,-0.00024,0.00023,0.38670,0.00000,0.007,0.258,0
2.6320,0.40099,-0.00023,0.00022,0.39450,0.00000,0.007,0.254,0
2.6840,0.40879,-0.00023,0.00022,0.40230,0.00000,0.007,0.251,0
2.7360,0.41658,-0.00022,0.00021,0.41010,0.00000,0.007,0.247,0
2.7880,0.42436,-0.00022,0.00021,0.41790,0.00000,0.007,0.242,0
2.8400,0.43213,-0.00022,0.00021,0.42570,0.00000,0.007,0.238,0
2.8920,0.43989,-0.00021,0.00020,0.43350,0.00000,0.007,0.234,0
2.9440,0.44765,-0.00021,0.00020,0.44130,0.00000,0.007,0.229,0
2.9960,0.45540,-0.00020,0.00019,0.44910,0.00000,0.007,0.224,0
3.0480,0.46315,-0.00020,0.00019,0.45690,0.00000,0.007,0.219,0
3.1000,0.47090,-0.00020,0.00018,0.46470,0.00000,0.007,0.214,0
3.1520,0.47864,-0.00019,0.00018,0.47250,0.00000,0.006,0.209,0
3.2040,0.48637,-0.00019,0.00018,0.48030,0.00000,0.006,0.205,0
3.2560,0.49411,-0.00019,0.00017,0.48810,0.00000,0.006,0.200,0
3.3080,0.50184,-0.00018,0.00017,0.49590,0.00000,0.006,0.195,0
3.3600,0.50957,-0.00018,0.00016,0.50370,0.00000,0.006,0.190,0
3.4120,0.51729,-0.00017,0.00016,0.51150,0.00000,0.006,0.185,0
3.4640,0.52502,-0.00017,0.00016,0.51930,0.00000,0.006,0.180,0
3.5160,0.53274,-0.00017,0.00015,0.52710,0.00000,0.006,0.175,0
3.5680,0.54046,-0.00016,0.00015,0.53490,0.00000,0.006,0.171,0
3.6200,0.54818,-0.00016,0.00015,0.54270,0.00000,0.006,0.166,0
3.6720,0.55591,-0.00016,0.00014,0.55050,0.00000,0.005,0.162,0
3.7240,0.56363,-0.00015,0.00014,0.55830,0.00000,0.005,0.158,0
3.7760,0.57135,-0.00015,0.00014,0.56610,0.00000,0.005,0.154,0
3.8280,0.57907,-0.00015,0.00013,0.57390,0.00000,0.005,0.150,0
3.8800,0.58679,-0.00014,0.00013,0.58170,0.00000,0.005,0.147,0
3.9320,0.59450,-0.00014,0.00013,0.58950,0.00000,0.005,0.143,0
3.9840,0.60222,-0.00014,0.00012,0.59730,0.00000,0.005,0.140,0
4.0360,0.60995,-0.00014,0.00012,0.60510,0.00000,0.005,0.137,0
4.0880,0.61767,-0.00013,0.00012,0.61290,0.00000,0.004,0.135,0
4.1400,0.62539,-0.00013,0.00012,0.62070,0.00000,0.004,0.133,0
4.1920,0.63311,-0.00013,0.00011,0.62850,0.00000,0.004,0.130,0
4.2440,0.64083,-0.00012,0.00011,0.63630,0.00000,0.004,0.129,0
4.2960,0.64855,-0.00012,0.00011,0.64410,0.00000,0.004,0.127,0
4.3480,0.65628,-0.00012,0.00011,0.65190,0.00000,0.004,0.126,0
4.4000,0.66400,-0.00012,0.00010,0.65970,0.00000,0.004,0.125,0
4.4520,0.67173,-0.00011,0.00010,0.66750,0.00000,0.004,0.125,0
4.5040,0.67946,-0.00011,0.00010,0.67530,0.00000,0.003,0.124,0
4.5560,0.68718,-0.00011,0.00010,0.68310,0.00000,0.003,0.124,0
4.6080,0.69491,-0.00011,0.00010,0.69090,0.00000,0.003,0.124,0
4.6600,0.70264,-0.00011,0.00009,0.69870,0.00000,0.003,0.125,0
4.7120,0.71037,-0.00010,0.00009,0.70650,0.00000,0.003,0.126,0
4.7640,0.71810,-0.00010,0.00009,0.71430,0.00000,0.003,0.127,0
4.8160,0.72583,-0.00010,0.00009,0.72210,0.00000,0.003,0.128,0
4.8680,0.73357,-0.00010,0.00009,0.72990,0.00000,0.003,0.130,0
4.9200,0.74130,-0.00009,0.00009,0.73770,0.00000,0.003,0.132,0
4.9720,0.74904,-0.00009,0.00008,0.74550,0.00000,0.003,0.134,0
5.0240,0.75677,-0.00009,0.00008,0.75330,0.00000,0.002,0.136,0
5.0760,0.76451,-0.00009,0.00008,0.76110,0.00000,0.002,0.139,0
5.1280,0.77225,-0.00009,0.00008,0.76890,0.00000,0.002,0.142,0
5.1800,0.77999,-0.00009,0.00008,0.77670,0.00000,0.002,0.145,0
5.2320,0.78773,-0.00008,0.00008,0.78450,0.00000,0.002,0.148,0
5.2840,0.79547,-0.00008,0.00008,0.79230,0.00000,0.002,0.152,0
5.3360,0.80321,-0.00008,0.00007,0.80010,0.00000,0.002,0.155,0
5.3880,0.81096,-0.00008,0.00007,0.80790,0.00000,0.002,0.159,0
5.4400,0.81870,-0.00008,0.00007,0.81570,0.00000,0.002,0.163,0
5.4920,0.82645,-0.00008,0.00007,0.82350,0.00000,0.002,0.167,0
5.5440,0.83419,-0.00007,0.00007,0.83130,0.00000,0.002,0.171,0
5.5960,0.84194,-0.00007,0.00007,0.83910,0.00000,0.002,0.175,0
5.6480,0.84969,-0.00007,0.00007,0.84690,0.00000,0.002,0.179,0
5.7000,0.85744,-0.00007,0.00007,0.85470,0.00000,0.002,0.183,0
5.7520,0.86519,-0.00007,0.00007,0.86250,0.00000,0.001,0.187,0
5.8040,0.87294,-0.00007,0.00006,0.87030,0.00000,0.001,0.192,0
5.8560,0.88069,-0.00006,0.00006,0.87810,0.00000,0.001,0.196,0
5.9080,0.88845,-0.00006,0.00006,0.88590,0.00000,0.001,0.200,0
5.9600,0.89620,-0.00006,0.00006,0.89370,0.00000,0.001,0.204,0
6.0120,0.90395,-0.00006,0.00006,0.90150,0.00000,0.001,0.208,0
6.0640,0.91171,-0.00006,0.00006,0.90930,0.00000,0.001,0.212,0
6.1160,0.91947,-0.00006,0.00006,0.91710,0.00000,0.001,0.216,0
6.1680,0.92722,-0.00006,0.00006,0.92490,0.00000,0.001,0.220,0
6.2200,0.93498,-0.00006,0.00006,0.93270,0.00000,0.001,0.224,0
6.2720,0.94274,-0.00005,0.00006,0.94050,0.00000,0.001,0.228,0
6.3240,0.95050,-0.00005,0.00005,0.94830,0.00000,0.001,0.231,0
6.3760,0.95826,-0.00005,0.00005,0.95610,0.00000,0.001,0.234,0
6.4280,0.96602,-0.00005,0.00005,0.96390,0.00000,0.001,0.237,0
6.4800,0.97379,-0.00005,0.00005,0.97170,0.00000,0.001,0.240,0
6.5320,0.98155,-0.00005,0.00005,0.97950,0.00000,0.001,0.243,0
6.5840,0.98931,-0.00005,0.00005,0.98730,0.00000,0.001,0.245,0
6.6360,0.99708,-0.00005,0.00005,0.99510,0.00000,0.001,0.248,0
6.6880,1.00483,0.00008,0.00005,1.00000,0.00290,0.062,0.250,0
6.7400,1.01214,0.00140,0.00004,1.00000,0.01070,0.812,0.251,0
6.7920,1.01809,0.00393,0.00004,1.00000,0.01850,2.248,0.253,0
6.8440,1.02242,0.00748,0.00004,1.00000,0.02630,4.190,0.255,0
6.8960,1.02549,0.01190,0.00004,1.00000,0.03410,6.494,0.257,0
6.9480,1.02762,0.01703,0.00004,1.00000,0.04190,9.054,0.260,0
7.0000,1.02904,0.02278,0.00004,1.00000,0.04970,11.793,0.263,0
7.0520,1.02994,0.02904,0.00004,1.00000,0.05750,14.657,0.267,0
7.1040,1.03047,0.03576,0.00004,1.00000,0.06530,17.611,0.272,0
7.1560,1.03075,0.04287,0.00004,1.00000,0.07310,20.627,0.276,0
7.2080,1.03084,0.05033,0.00004,1.00000,0.08090,23.689,0.281,0
7.2600,1.03080,0.05810,0.00004,1.00000,0.08870,26.783,0.286,0
7.3120,1.03069,0.06614,0.00004,1.00000,0.09650,29.899,0.290,0
7.3640,1.03052,0.07443,0.00004,1.00000,0.10430,33.032,0.294,0
7.4160,1.03031,0.08295,0.00003,1.00000,0.11210,36.175,0.297,0
7.4680,1.03007,0.09167,0.00003,1.00000,0.11990,39.324,0.298,0
7.5200,1.02981,0.10057,0.00002,1.00000,0.12770,42.477,0.298,0
7.5720,1.02953,0.10963,0.00001,1.00000,0.13550,45.632,0.296,0
7.6240,1.02922,0.11883,0.00001,1.00000,0.14330,48.786,0.292,0
7.6760,1.02888,0.12817,0.00000,1.00000,0.15110,51.939,0.286,0
7.7280,1.02849,0.13761,-0.00001,1.00000,0.15890,55.089,0.277,0
7.7800,1.02806,0.14715,-0.00001,1.00000,0.16670,58.238,0.265,0
7.8320,1.02756,0.15676,-0.00002,1.00000,0.17450,61.384,0.251,0
7.8840,1.02700,0.16642,-0.00003,1.00000,0.18230,64.529,0.233,0
7.9360,1.02635,0.17612,-0.00004,1.00000,0.19010,67.672,0.212,0
7.9880,1.02562,0.18583,-0.00004,1.00000,0.19790,70.814,0.187,0
8.0380,1.02483,0.19515,-0.00005,1.00000,0.20540,73.836,0.161,0
8.0880,1.02394,0.20445,-0.00005,1.00000,0.21290,76.858,0.131,0
8.1380,1.02297,0.21371,-0.00005,1.00000,0.22040,79.882,0.098,0
8.1880,1.02190,0.22290,-0.00005,1.00000,0.22790,82.848,0.063,0
8.2380,1.02075,0.23199,-0.00005,1.00000,0.23540,85.226,0.029,0
8.2880,1.01954,0.24091,-0.00005,1.00000,0.24290,87.072,-0.004,0
8.3380,1.01831,0.24966,-0.00005,1.00000,0.25040,88.529,-0.036,0
8.3880,1.01709,0.25823,-0.00004,1.00000,0.25790,89.694,-0.069,0
8.4380,1.01588,0.26663,-0.00004,1.00000,0.26540,90.631,-0.103,0
8.4880,1.01470,0.27487,-0.00003,1.00000,0.27290,91.387,-0.138,0
8.5380,1.01357,0.28296,-0.00003,1.00000,0.28040,91.997,-0.174,0
8.5880,1.01249,0.29093,-0.00002,1.00000,0.28790,92.488,-0.212,0
8.6380,1.01146,0.29879,-0.00001,1.00000,0.29540,92.880,-0.251,0
8.6880,1.01049,0.30656,-0.00001,1.00000,0.30290,93.190,-0.291,0
8.7380,1.00958,0.31424,0.00000,1.00000,0.31040,93.430,-0.332,0
8.7880,1.00872,0.32186,0.00001,1.00000,0.31790,93.613,-0.375,0
8.8380,1.00793,0.32942,0.00002,1.00000,0.32540,93.747,-0.418,0
8.8880,1.00719,0.33693,0.00002,1.00000,0.33290,93.841,-0.463,0
8.9380,1.00650,0.34440,0.00003,1.00000,0.34040,93.900,-0.508,0
8.9880,1.00587,0.35184,0.00004,1.00000,0.34790,93.930,-0.554,0
9.0380,1.00529,0.35926,0.00005,1.00000,0.35540,93.936,-0.601,0
9.0880,1.00475,0.36666,0.00005,1.00000,0.36290,93.923,-0.648,0
9.1380,1.00426,0.37404,0.00006,1.00000,0.37040,93.893,-0.696,0
9.1880,1.00380,0.38141,0.00007,1.00000,0.37790,93.849,-0.743,0
9.2380,1.00339,0.38878,0.00007,1.00000,0.38540,93.795,-0.791,0
9.2880,1.00301,0.39614,0.00008,1.00000,0.39290,93.732,-0.838,0
9.3380,1.00267,0.40350,0.00009,1.00000,0.40040,93.663,-0.885,0
9.3880,1.00235,0.41086,0.00009,1.00000,0.40790,93.589,-0.932,0
9.4380,1.00207,0.41822,0.00010,1.00000,0.41540,93.510,-0.978,0
9.4880,1.00181,0.42559,0.00010,1.00000,0.42290,93.430,-1.023,0
9.5380,1.00157,0.43295,0.00011,1.00000,0.43040,93.347,-1.067,0
9.5880,1.00136,0.44033,0.00011,1.00000,0.43790,93.264,-1.111,0
9.6380,1.00117,0.44770,0.00011,1.00000,0.44540,93.180,-1.153,0
9.6880,1.00099,0.45508,0.00012,1.00000,0.45290,93.096,-1.193,0
9.7380,1.00084,0.46247,0.00012,1.00000,0.46040,93.013,-1.233,0
9.7880,1.00070,0.46986,0.00012,1.00000,0.46790,92.931,-1.271,0
9.8380,1.00057,0.47726,0.00012,1.00000,0.47540,92.850,-1.307,0
9.8880,1.00046,0.48466,0.00012,1.00000,0.48290,92.770,-1.342,0
9.9380,1.00036,0.49207,0.00012,1.00000,0.49040,92.692,-1.374,0
9.9880,1.00027,0.49949,0.00012,1.00000,0.49790,92.616,-1.405,0
10.0380,1.00019,0.50691,0.00012,1.00000,0.50540,92.541,-1.434,0
10.0880,1.00011,0.51433,0.00012,1.00000,0.51290,92.468,-1.461,0
10.1380,1.00005,0.52176,0.00012,1.00000,0.52040,92.397,-1.485,0
10.1880,1.00000,0.52919,0.00012,1.00000,0.52790,92.327,-1.508,0
10.2380,0.99995,0.53663,0.00011,1.00000,0.53540,92.260,-1.528,0
10.2880,0.99990,0.54407,0.00011,1.00000,0.54290,92.194,-1.546,0
10.3380,0.99986,0.55152,0.00011,1.00000,0.55040,92.130,-1.562,0
10.3880,0.99983,0.55897,0.00010,1.00000,0.55790,92.068,-1.575,0
10.4380,0.99980,0.56643,0.00010,1.00000,0.56540,92.008,-1.586,0
10.4880,0.99978,0.57388,0.00009,1.00000,0.57290,91.949,-1.595,0
10.5380,0.99976,0.58134,0.00009,1.00000,0.58040,91.892,-1.601,0
10.5880,0.99974,0.58881,0.00008,1.00000,0.58790,91.836,-1.605,0
10.6380,0.99973,0.59627,0.00007,1.00000,0.59540,91.783,-1.607,0
10.6880,0.99971,0.60374,0.00007,1.00000,0.60290,91.730,-1.606,0
10.7380,0.99970,0.61121,0.00006,1.00000,0.61040,91.680,-1.603,0
10.7880,0.99970,0.61869,0.00005,1.00000,0.61790,91.631,-1.598,0
10.8380,0.99969,0.62616,0.00004,1.00000,0.62540,91.583,-1.590,0
10.8880,0.99969,0.63364,0.00003,1.00000,0.63290,91.537,-1.581,0
10.9380,0.99968,0.64112,0.00003,1.00000,0.64040,91.492,-1.569,0
10.9880,0.99968,0.64860,0.00002,1.00000,0.64790,91.448,-1.555,0
11.0380,0.99968,0.65608,0.00001,1.00000,0.65540,91.406,-1.539,0
11.0880,0.99968,0.66357,-0.00000,1.00000,0.66290,91.364,-1.521,0
11.1380,0.99968,0.67105,-0.00001,1.00000,0.67040,91.325,-1.502,0
11.1880,0.99969,0.67854,-0.00002,1.00000,0.67790,91.286,-1.480,0
11.2380,0.99969,0.68603,-0.00003,1.00000,0.68540,91.248,-1.457,0
11.2880,0.99969,0.69352,-0.00004,1.00000,0.69290,91.212,-1.433,0
11.3380,0.99970,0.70100,-0.00005,1.00000,0.70040,91.176,-1.406,0
11.3880,0.99970,0.70850,-0.00006,1.00000,0.70790,91.142,-1.379,0
11.4380,0.99971,0.71599,-0.00006,1.00000,0.71540,91.109,-1.350,0
11.4880,0.99971,0.72348,-0.00007,1.00000,0.72290,91.076,-1.320,0
11.5380,0.99972,0.73097,-0.00008,1.00000,0.73040,91.045,-1.289,0
11.5880,0.99973,0.73846,-0.00009,1.00000,0.73790,91.015,-1.256,0
11.6380,0.99973,0.74596,-0.00010,1.00000,0.74540,90.985,-1.223,0
11.6880,0.99974,0.75345,-0.00011,1.00000,0.75290,90.956,-1.189,0
11.7380,0.99975,0.76095,-0.00011,1.00000,0.76040,90.928,-1.155,0
11.7880,0.99975,0.76844,-0.00012,1.00000,0.76790,90.901,-1.120,0
11.8380,0.99976,0.77594,-0.00013,1.00000,0.77540,90.875,-1.084,0
11.8880,0.99976,0.78343,-0.00013,1.00000,0.78290,90.850,-1.048,0
11.9380,0.99977,0.79093,-0.00014,1.00000,0.79040,90.825,-1.012,0
11.9880,0.99978,0.79842,-0.00015,1.00000,0.79790,90.801,-0.976,0
12.0380,0.99978,0.80592,-0.00015,1.00000,0.80540,90.777,-0.939,0
12.0880,0.99979,0.81342,-0.00016,1.00000,0.81290,90.755,-0.903,0
12.1380,0.99980,0.82091,-0.00016,1.00000,0.82040,90.733,-0.867,0
12.1880,0.99980,0.82841,-0.00017,1.00000,0.82790,90.711,-0.831,0
12.2380,0.99981,0.83591,-0.00017,1.00000,0.83540,90.691,-0.796,0
12.2880,0.99982,0.84341,-0.00017,1.00000,0.84290,90.670,-0.761,0
12.3380,0.99982,0.85090,-0.00018,1.00000,0.85040,90.651,-0.726,0
12.3880,0.99983,0.85840,-0.00018,1.00000,0.85790,90.632,-0.693,0
12.4380,0.99983,0.86590,-0.00018,1.00000,0.86540,90.613,-0.659,0
12.4880,0.99984,0.87340,-0.00018,1.00000,0.87290,90.595,-0.627,0
12.5380,0.99985,0.88089,-0.00018,1.00000,0.88040,90.578,-0.596,0
12.5880,0.99985,0.88839,-0.00018,1.00000,0.88790,90.561,-0.565,0
12.6380,0.99986,0.89589,-0.00018,1.00000,0.89540,90.544,-0.536,0
12.6880,0.99986,0.90339,-0.00018,1.00000,0.90290,90.528,-0.507,0
12.7380,0.99987,0.91088,-0.00018,1.00000,0.91040,90.513,-0.480,0
12.7880,0.99987,0.91838,-0.00018,1.00000,0.91790,90.498,-0.454,0
12.8380,0.99988,0.92588,-0.00017,1.00000,0.92540,90.483,-0.429,0
12.8880,0.99988,0.93338,-0.00017,1.00000,0.93290,90.469,-0.406,0
12.9380,0.99989,0.94088,-0.00017,1.00000,0.94040,90.455,-0.383,0
12.9880,0.99989,0.94837,-0.00016,1.00000,0.94790,90.441,-0.363,0
13.0380,0.99990,0.95587,-0.00016,1.00000,0.95540,90.428,-0.343,0
13.0880,0.99990,0.96337,-0.00015,1.00000,0.96290,90.416,-0.325,0
13.1380,0.99991,0.97087,-0.00015,1.00000,0.97040,90.403,-0.309,0
13.1880,0.99991,0.97837,-0.00014,1.00000,0.97790,90.391,-0.294,0
13.2380,0.99991,0.98586,-0.00014,1.00000,0.98540,90.380,-0.280,0
13.2880,0.99992,0.99336,-0.00013,1.00000,0.99290,90.369,-0.268,0
13.3380,0.99992,1.00086,-0.00012,0.99960,1.00000,90.359,-0.258,0
13.3880,0.99908,1.00817,-0.00011,0.99210,1.00000,90.810,-0.250,0
13.4380,0.99704,1.01455,-0.00010,0.98460,1.00000,91.956,-0.244,0
13.4880,0.99395,1.01949,-0.00009,0.97710,1.00000,93.627,-0.239,0
13.5380,0.98997,1.02321,-0.00009,0.96960,1.00000,95.682,-0.234,0
13.5880,0.98521,1.02600,-0.00008,0.96210,1.00000,98.010,-0.230,0
13.6380,0.97977,1.02808,-0.00007,0.95460,1.00000,100.529,-0.225,0
13.6880,0.97376,1.02961,-0.00006,0.94710,1.00000,103.178,-0.221,0
13.7380,0.96722,1.03072,-0.00005,0.93960,1.00000,105.916,-0.217,0
13.7880,0.96023,1.03151,-0.00005,0.93210,1.00000,108.715,-0.212,0
13.8380,0.95283,1.03204,-0.00004,0.92460,1.00000,111.555,-0.209,0
13.8880,0.94507,1.03236,-0.00003,0.91710,1.00000,114.423,-0.206,0
13.9380,0.93698,1.03250,-0.00002,0.90960,1.00000,117.310,-0.204,0
13.9880,0.92861,1.03248,-0.00001,0.90210,1.00000,120.210,-0.203,0
14.0380,0.91999,1.03230,0.00000,0.89460,1.00000,123.121,-0.204,0
14.0880,0.91116,1.03198,0.00001,0.88710,1.00000,126.040,-0.207,0
14.1380,0.90215,1.03151,0.00003,0.87960,1.00000,128.968,-0.212,0
14.1880,0.89300,1.03088,0.00004,0.87210,1.00000,131.904,-0.219,0
14.2380,0.88373,1.03011,0.00005,0.86460,1.00000,134.849,-0.229,0
14.2880,0.87438,1.02918,0.00006,0.85710,1.00000,137.804,-0.242,0
14.3380,0.86497,1.02810,0.00007,0.84960,1.00000,140.771,-0.258,0
14.3880,0.85555,1.02686,0.00008,0.84210,1.00000,143.751,-0.278,0
14.4380,0.84614,1.02547,0.00009,0.83460,1.00000,146.745,-0.301,0
14.4880,0.83677,1.02393,0.00010,0.82710,1.00000,149.755,-0.328,0
14.5380,0.82746,1.02225,0.00011,0.81960,1.00000,152.781,-0.359,0
14.5880,0.81823,1.02045,0.00013,0.81210,1.00000,155.826,-0.393,0
14.6380,0.80912,1.01852,0.00014,0.80460,1.00000,158.890,-0.432,0
14.6880,0.80014,1.01650,0.00015,0.79710,1.00000,161.974,-0.474,0
14.7380,0.79130,1.01439,0.00017,0.78960,1.00000,165.079,-0.521,0
14.7880,0.78263,1.01222,0.00018,0.78210,1.00000,168.204,-0.571,0
14.8380,0.77414,1.01000,0.00019,0.77460,1.00000,171.350,-0.625,0
14.8880,0.76584,1.00777,0.00021,0.76710,1.00000,174.084,-0.683,0
14.9380,0.75774,1.00560,0.00022,0.75960,1.00000,176.244,-0.746,0
14.9880,0.74985,1.00354,0.00023,0.75210,1.00000,177.997,-0.813,0
15.0380,0.74213,1.00164,0.00024,0.74460,1.00000,179.450,-0.884,0
15.0880,0.73456,0.99991,0.00026,0.73710,1.00000,-179.327,-0.960,0
15.1380,0.72711,0.99836,0.00027,0.72960,1.00000,-178.286,-1.039,0
15.1880,0.71976,0.99699,0.00028,0.72210,1.00000,-177.394,-1.123,0
15.2380,0.71247,0.99581,0.00029,0.71460,1.00000,-176.624,-1.210,0
15.2880,0.70525,0.99481,0.00030,0.70710,1.00000,-175.960,-1.302,0
15.3380,0.69805,0.99397,0.00031,0.69960,1.00000,-175.385,-1.397,0
15.3880,0.69088,0.99329,0.00032,0.69210,1.00000,-174.888,-1.495,0
15.4380,0.68372,0.99275,0.00034,0.68460,1.00000,-174.461,-1.597,0
15.4880,0.67656,0.99234,0.00035,0.67710,1.00000,-174.097,-1.702,0
15.5380,0.66940,0.99205,0.00036,0.66960,1.00000,-173.787,-1.810,0
15.5880,0.66222,0.99187,0.00037,0.66210,1.00000,-173.528,-1.922,0
15.6380,0.65503,0.99178,0.00038,0.65460,1.00000,-173.315,-2.036,0
15.6880,0.64782,0.99177,0.00039,0.64710,1.00000,-173.142,-2.154,0
15.7380,0.64059,0.99184,0.00040,0.63960,1.00000,-173.008,-2.274,0
15.7880,0.63334,0.99197,0.00041,0.63210,1.00000,-172.908,-2.397,0
15.8380,0.62607,0.99216,0.00042,0.62460,1.00000,-172.839,-2.523,0
15.8880,0.61878,0.99239,0.00043,0.61710,1.00000,-172.798,-2.651,0
15.9380,0.61147,0.99265,0.00044,0.60960,1.00000,-172.783,-2.782,0
15.9880,0.60413,0.99295,0.00044,0.60210,1.00000,-172.792,-2.915,0
16.0400,0.59649,0.99329,0.00045,0.59430,1.00000,-172.823,-3.057,0
