t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00070,0.00008,-0.00000,0.00750,0.00000,-0.014,-0.009,0
0.1020,0.00260,0.00030,-0.00001,0.01500,0.00000,-0.037,-0.017,0
0.1520,0.00556,0.00062,-0.00002,0.02250,0.00000,-0.052,-0.013,0
0.2020,0.00949,0.00103,-0.00004,0.03000,0.00000,-0.060,-0.008,0
0.2520,0.01427,0.00153,-0.00006,0.03750,0.00000,-0.062,-0.004,0
0.3020,0.01982,0.00208,-0.00009,0.04500,0.00000,-0.060,-0.001,0
0.3520,0.02604,0.00269,-0.00011,0.05250,0.00000,-0.055,0.001,0
0.4020,0.03285,0.00334,-0.00014,0.06000,0.00000,-0.049,0.002,0
0.4520,0.04019,0.00401,-0.00017,0.06750,0.00000,-0.041,0.002,0
0.5040,0.04831,0.00474,-0.00021,0.07530,0.00000,-0.033,0.002,0
0.5540,0.05650,0.00545,-0.00024,0.08280,0.00000,-0.024,0.002,0
0.6040,0.06502,0.00616,-0.00027,0.09030,0.00000,-0.016,0.001,0
0.6540,0.07382,0.00688,-0.00031,0.09780,0.00000,-0.009,0.000,0
0.7040,0.08283,0.00759,-0.00035,0.10530,0.00000,-0.002,-0.001,0
0.7540,0.09202,0.00829,-0.00038,0.11280,0.00000,0.004,-0.002,0
0.8040,0.10134,0.00897,-0.00042,0.12030,0.00000,0.010,-0.003,0
0.8540,0.11076,0.00964,-0.00045,0.12780,0.00000,0.014,-0.004,0
0.9040,0.12024,0.01029,-0.00049,0.13530,0.00000,0.018,-0.005,0
0.9540,0.12976,0.01092,-0.00052,0.14280,0.00000,0.021,-0.006,0
1.0060,0.13966,0.01154,-0.00056,0.15060,0.00000,0.023,-0.007,0
1.0560,0.14916,0.01212,-0.00059,0.15810,0.00000,0.025,-0.008,0
1.1060,0.15864,0.01267,-0.00063,0.16560,0.00000,0.026,-0.009,0
1.1560,0.16806,0.01320,-0.00066,0.17310,0.00000,0.026,-0.010,0
1.2060,0.17741,0.01369,-0.00069,0.18060,0.00000,0.026,-0.011,0
1.2560,0.18669,0.01416,-0.00072,0.18810,0.00000,0.026,-0.011,0
1.3060,0.19589,0.01461,-0.00075,0.19560,0.00000,0.025,-0.012,0
1.3560,0.20500,0.01502,-0.00078,0.20310,0.00000,0.024,-0.012,0
1.4060,0.21401,0.01541,-0.00081,0.21060,0.00000,0.022,-0.013,0
1.4560,0.22292,0.01578,-0.00083,0.21810,0.00000,0.020,-0.013,0
1.5060,0.23174,0.01612,-0.00086,0.22560,0.00000,0.018,-0.013,0
1.5560,0.24045,0.01643,-0.00088,0.23310,0.00000,0.016,-0.013,0
1.6060,0.24907,0.01672,-0.00090,0.24060,0.00000,0.014,-0.013,0
1.6560,0.25758,0.01699,-0.00092,0.24810,0.00000,0.011,-0.013,0
1.7060,0.26601,0.01724,-0.00094,0.25560,0.00000,0.009,-0.013,0
1.7560,0.27433,0.01747,-0.00096,0.26310,0.00000,0.006,-0.013,0
1.8060,0.28258,0.01768,-0.00098,0.27060,0.00000,0.004,-0.013,0
1.8560,0.29073,0.01787,-0.00100,0.27810,0.00000,0.001,-0.013,0
1.9060,0.29881,0.01804,-0.00101,0.28560,0.00000,-0.001,-0.013,0
1.9560,0.30681,0.01820,-0.00103,0.29310,0.00000,-0.003,-0.013,0
2.0080,0.31505,0.01834,-0.00104,0.30090,0.00000,-0.006,-0.013,0
2.0600,0.32323,0.01848,-0.00105,0.30870,0.00000,-0.008,-0.012,0
2.1120,0.33134,0.01859,-0.00107,0.31650,0.00000,-0.010,-0.012,0
2.1640,0.33939,0.01870,-0.00108,0.32430,0.00000,-0.013,-0.012,0
2.2160,0.34739,0.01879,-0.00109,0.33210,0.00000,-0.015,-0.012,0
2.2680,0.35534,0.01887,-0.00110,0.33990,0.00000,-0.016,-0.012,0
2.3200,0.36324,0.01894,-0.00111,0.34770,0.00000,-0.018,-0.011,0
2.3720,0.37111,0.01900,-0.00112,0.35550,0.00000,-0.020,-0.011,0
2.4240,0.37894,0.01905,-0.00112,0.36330,0.00000,-0.021,-0.011,0
2.4760,0.38674,0.01909,-0.00113,0.37110,0.00000,-0.023,-0.011,0
2.5280,0.39452,0.01913,-0.00114,0.37890,0.00000,-0.024,-0.011,0
2.5800,0.40227,0.01916,-0.00114,0.38670,0.00000,-0.025,-0.010,0
2.6320,0.41001,0.01918,-0.00115,0.39450,0.00000,-0.026,-0.010,0
