t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00018,0.00000,0.00000,0.00750,0.00000,0.000,-0.000,0
0.1020,0.00131,0.00000,0.00000,0.01500,0.00000,0.000,-0.000,0
0.1520,0.00401,0.00000,0.00000,0.02250,0.00000,0.000,-0.000,0
0.2020,0.00811,0.00000,0.00000,0.03000,0.00000,0.000,-0.000,0
0.2520,0.01331,0.00000,0.00000,0.03750,0.00000,0.000,-0.000,0
0.3020,0.01940,0.00000,0.00000,0.04500,0.00000,0.000,-0.000,0
0.3520,0.02616,0.00000,0.00000,0.05250,0.00000,0.000,-0.000,0
0.4020,0.03346,0.00000,0.00000,0.06000,0.00000,0.000,-0.000,0
0.4520,0.04117,0.00000,0.00000,0.06750,0.00000,0.000,-0.000,0
0.5040,0.04951,0.00000,0.00000,0.07530,0.00000,0.000,-0.000,0
0.5540,0.05776,0.00000,0.00000,0.08280,0.00000,0.000,-0.000,0
0.6040,0.06617,0.00000,0.00000,0.09030,0.00000,0.000,-0.000,0
0.6540,0.07469,0.00000,0.00000,0.09780,0.00000,0.000,-0.000,0
0.7040,0.08328,0.00000,0.00000,0.10530,0.00000,0.000,-0.000,0
0.7540,0.09191,0.00000,0.00000,0.11280,0.00000,0.000,-0.000,0
0.8040,0.10056,0.00000,0.00000,0.12030,0.00000,0.000,-0.000,0
0.8540,0.10920,0.00000,0.00000,0.12780,0.00000,0.000,-0.000,0
0.9040,0.11783,0.00000,0.00000,0.13530,0.00000,0.000,-0.000,0
0.9540,0.12644,0.00000,0.00000,0.14280,0.00000,0.000,-0.000,0
1.0060,0.13535,0.00000,0.00000,0.15060,0.00000,0.000,-0.000,0
1.0560,0.14388,0.00000,0.00000,0.15810,0.00000,0.000,-0.000,0
1.1060,0.15237,0.00000,0.00000,0.16560,0.00000,0.000,-0.000,0
1.1560,0.16082,0.00000,0.00000,0.17310,0.00000,0.000,-0.000,0
