idx,t_unix,t_monotonic,rgb_file,depth_file,left_file,right_file,rgb_seq,depth_seq,left_seq,right_seq,rgb_t_device,depth_t_device,left_t_device,right_t_device,rgb_latency_ms,depth_latency_ms,skew_ms,exposure_ms,rgb_encoding,rgb_frame_type
1,1785000000.000000,0.000000,rgb/1785000000.000000.png,depth/1785000000.000000.png,left/1785000000.000000.png,right/1785000000.000000.png,0,0,0,0,1785000000.000000,1785000000.000000,1785000000.000000,1785000000.000000,,,0.000,,raw,
2,1785000000.033333,0.033333,rgb/1785000000.033333.png,depth/1785000000.033333.png,left/1785000000.033333.png,right/1785000000.033333.png,1,1,1,1,1785000000.033333,1785000000.033333,1785000000.033333,1785000000.033333,,,0.000,,raw,
3,1785000000.066667,0.066667,rgb/1785000000.066667.png,depth/1785000000.066667.png,left/1785000000.066667.png,right/1785000000.066667.png,2,2,2,2,1785000000.066667,1785000000.066667,1785000000.066667,1785000000.066667,,,0.000,,raw,
4,1785000000.100000,0.100000,rgb/1785000000.100000.png,depth/1785000000.100000.png,left/1785000000.100000.png,right/1785000000.100000.png,3,3,3,3,1785000000.100000,1785000000.100000,1785000000.100000,1785000000.100000,,,0.000,,raw,
5,1785000000.133333,0.133333,rgb/1785000000.133333.png,depth/1785000000.133333.png,left/1785000000.133333.png,right/1785000000.133333.png,4,4,4,4,1785000000.133333,1785000000.133333,1785000000.133333,1785000000.133333,,,0.000,,raw,
6,1785000000.166667,0.166667,rgb/1785000000.166667.png,depth/1785000000.166667.png,left/1785000000.166667.png,right/1785000000.166667.png,5,5,5,5,1785000000.166667,1785000000.166667,1785000000.166667,1785000000.166667,,,0.000,,raw,
7,1785000000.200000,0.200000,rgb/1785000000.200000.png,depth/1785000000.200000.png,left/1785000000.200000.png,right/1785000000.200000.png,6,6,6,6,1785000000.200000,1785000000.200000,1785000000.200000,1785000000.200000,,,0.000,,raw,
8,1785000000.233333,0.233333,rgb/1785000000.233333.png,depth/1785000000.233333.png,left/1785000000.233333.png,right/1785000000.233333.png,7,7,7,7,1785000000.233333,1785000000.233333,1785000000.233333,1785000000.233333,,,0.000,,raw,
9,1785000000.266667,0.266667,rgb/1785000000.266667.png,depth/1785000000.266667.png,left/1785000000.266667.png,right/1785000000.266667.png,8,8,8,8,1785000000.266667,1785000000.266667,1785000000.266667,1785000000.266667,,,0.000,,raw,
10,1785000000.300000,0.300000,rgb/1785000000.300000.png,depth/1785000000.300000.png,left/1785000000.300000.png,right/1785000000.300000.png,9,9,9,9,1785000000.300000,1785000000.300000,1785000000.300000,1785000000.300000,,,0.000,,raw,
11,1785000000.333333,0.333333,rgb/1785000000.333333.png,depth/1785000000.333333.png,left/1785000000.333333.png,right/1785000000.333333.png,10,10,10,10,1785000000.333333,1785000000.333333,1785000000.333333,1785000000.333333,,,0.000,,raw,
